,Idle,Armed,Fuel Fill,Ox Fill,Press Standby,GN2 Low Press,GN2 Low Vent,Fuel Press,Fuel Vent,Ox Press,Ox Vent,GN2 High Press,GN2 High Vent,Calibrate,Ready,Fire,Vent,Engine Abort,GSE Abort,Emergency Abort
Idle,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Armed,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Fuel Fill,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Ox Fill,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Press Standby,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1
GN2 Low Press,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,1,1
GN2 Low Vent,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,1,1
Fuel Press,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,1,1
Fuel Vent,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1
Ox Press,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,1
Ox Vent,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1
GN2 High Press,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,1
GN2 High Vent,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1
Calibrate,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1
Ready,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1
Fire,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
Vent,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Engine Abort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
GSE Abort,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Emergency Abort,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
