time,PT.GN2_High.sample_ts_ms
2026-03-06 12:31:43.788031,3273776387
2026-03-06 12:31:43.788649,3273776488
2026-03-06 12:31:43.788955,3273776589
2026-03-06 12:31:43.789367,3273776690
2026-03-06 12:31:43.789774,3273776791
2026-03-06 12:31:43.790128,3273776893
2026-03-06 12:31:43.790392,3273776994
2026-03-06 12:31:43.790533,3273777096
2026-03-06 12:31:43.790615,3273777198
2026-03-06 12:31:43.790694,3273777300
2026-03-06 12:31:43.795317,3273777402
2026-03-06 12:31:43.795737,3273777504
2026-03-06 12:31:43.7961,3273777606
2026-03-06 12:31:43.796465,3273777708
2026-03-06 12:31:43.796791,3273777809
2026-03-06 12:31:43.862496,3273777910
2026-03-06 12:31:43.963968,3273778011
2026-03-06 12:31:44.065553,3273778112
2026-03-06 12:31:44.166586,3273778213
2026-03-06 12:31:44.267774,3273778315
2026-03-06 12:31:44.369406,3273778416
2026-03-06 12:31:44.470316,3273778517
2026-03-06 12:31:44.571278,3273778618
2026-03-06 12:31:44.673393,3273778720
2026-03-06 12:31:44.774766,3273778821
2026-03-06 12:31:44.87629,3273778923
2026-03-06 12:31:44.97717,3273779024
2026-03-06 12:31:45.078677,3273779125
2026-03-06 12:31:45.181006,3273779228
2026-03-06 12:31:45.282277,3273779329
2026-03-06 12:31:45.38434,3273779431
2026-03-06 12:31:45.484928,3273779532
2026-03-06 12:31:45.586214,3273779633
2026-03-06 12:31:45.687674,3273779734
2026-03-06 12:31:45.790154,3273779836
2026-03-06 12:31:45.890917,3273779937
2026-03-06 12:31:45.992211,3273780039
2026-03-06 12:31:46.093822,3273780141
2026-03-06 12:31:46.194766,3273780242
2026-03-06 12:31:46.296565,3273780343
2026-03-06 12:31:46.397489,3273780444
2026-03-06 12:31:46.498617,3273780546
2026-03-06 12:31:46.600228,3273780647
2026-03-06 12:31:46.701523,3273780749
2026-03-06 12:31:46.803127,3273780850
2026-03-06 12:31:46.90455,3273780951
2026-03-06 12:31:47.006558,3273781053
2026-03-06 12:31:47.107434,3273781154
2026-03-06 12:31:47.209245,3273781256
2026-03-06 12:31:47.309862,3273781357
2026-03-06 12:31:47.411231,3273781458
2026-03-06 12:31:47.512214,3273781559
2026-03-06 12:31:47.613627,3273781660
2026-03-06 12:31:47.715375,3273781762
2026-03-06 12:31:47.81711,3273781864
2026-03-06 12:31:47.918093,3273781965
2026-03-06 12:31:48.019301,3273782066
2026-03-06 12:31:48.120781,3273782167
2026-03-06 12:31:48.221632,3273782268
2026-03-06 12:31:48.322573,3273782370
2026-03-06 12:31:48.424317,3273782471
2026-03-06 12:31:48.525716,3273782572
2026-03-06 12:31:48.626233,3273782673
2026-03-06 12:31:48.727607,3273782774
2026-03-06 12:31:48.828327,3273782876
2026-03-06 12:31:48.929335,3273782976
2026-03-06 12:31:49.030645,3273783078
2026-03-06 12:31:49.131308,3273783179
2026-03-06 12:31:49.232199,3273783279
2026-03-06 12:31:49.333748,3273783381
2026-03-06 12:31:49.434376,3273783482
2026-03-06 12:31:49.535764,3273783583
2026-03-06 12:31:49.636945,3273783684
2026-03-06 12:31:49.738538,3273783785
2026-03-06 12:31:49.839243,3273783886
2026-03-06 12:31:49.940529,3273783987
2026-03-06 12:31:50.041178,3273784088
2026-03-06 12:31:50.142443,3273784190
2026-03-06 12:31:50.244307,3273784291
2026-03-06 12:31:50.345725,3273784392
2026-03-06 12:31:50.446883,3273784493
2026-03-06 12:31:50.547492,3273784594
2026-03-06 12:31:50.648701,3273784695
2026-03-06 12:31:50.749665,3273784797
2026-03-06 12:31:50.850454,3273784897
2026-03-06 12:31:50.951571,3273784998
2026-03-06 12:31:51.052193,3273785099
2026-03-06 12:31:51.153203,3273785200
2026-03-06 12:31:51.254125,3273785301
2026-03-06 12:31:51.35521,3273785402
2026-03-06 12:31:51.456253,3273785503
2026-03-06 12:31:51.557377,3273785604
2026-03-06 12:31:51.65827,3273785705
2026-03-06 12:31:51.75925,3273785806
2026-03-06 12:31:51.860962,3273785907
2026-03-06 12:31:51.9618,3273786009
2026-03-06 12:31:52.062695,3273786110
2026-03-06 12:31:52.164629,3273786211
2026-03-06 12:31:52.26499,3273786312
2026-03-06 12:31:52.36659,3273786413
2026-03-06 12:31:52.467701,3273786515
2026-03-06 12:31:52.569722,3273786616
2026-03-06 12:31:52.670599,3273786718
2026-03-06 12:31:52.772078,3273786819
2026-03-06 12:31:52.872898,3273786920
2026-03-06 12:31:52.97373,3273787021
2026-03-06 12:31:53.074681,3273787122
2026-03-06 12:31:53.175695,3273787223
2026-03-06 12:31:53.276394,3273787324
2026-03-06 12:31:53.377747,3273787425
2026-03-06 12:31:53.478037,3273787525
2026-03-06 12:31:53.578849,3273787626
2026-03-06 12:31:53.679886,3273787727
2026-03-06 12:31:53.780721,3273787828
2026-03-06 12:31:53.881906,3273787929
2026-03-06 12:31:53.983491,3273788030
2026-03-06 12:31:54.084366,3273788132
2026-03-06 12:31:54.185231,3273788232
2026-03-06 12:31:54.285985,3273788333
2026-03-06 12:31:54.386963,3273788434
2026-03-06 12:31:54.4885,3273788535
2026-03-06 12:31:54.589256,3273788636
2026-03-06 12:31:54.690673,3273788738
2026-03-06 12:31:54.791468,3273788838
2026-03-06 12:31:54.892516,3273788939
2026-03-06 12:31:54.993195,3273789040
2026-03-06 12:31:55.094005,3273789141
2026-03-06 12:31:55.194889,3273789242
2026-03-06 12:31:55.29595,3273789343
2026-03-06 12:31:55.396379,3273789444
2026-03-06 12:31:55.498197,3273789545
2026-03-06 12:31:55.599213,3273789646
2026-03-06 12:31:55.700208,3273789747
2026-03-06 12:31:55.80078,3273789848
2026-03-06 12:31:55.901892,3273789949
2026-03-06 12:31:56.003074,3273790050
2026-03-06 12:31:56.104562,3273790151
2026-03-06 12:31:56.205831,3273790253
2026-03-06 12:31:56.307268,3273790354
2026-03-06 12:31:56.408758,3273790456
2026-03-06 12:31:56.51028,3273790557
2026-03-06 12:31:56.61191,3273790659
2026-03-06 12:31:56.713109,3273790760
2026-03-06 12:31:56.814032,3273790861
2026-03-06 12:31:56.915291,3273790962
2026-03-06 12:31:57.016328,3273791063
2026-03-06 12:31:57.118336,3273791165
2026-03-06 12:31:57.220187,3273791267
2026-03-06 12:31:57.321197,3273791368
2026-03-06 12:31:57.422548,3273791469
2026-03-06 12:31:57.52337,3273791570
2026-03-06 12:31:57.624049,3273791671
2026-03-06 12:31:57.725198,3273791772
2026-03-06 12:31:57.825676,3273791873
2026-03-06 12:31:57.926452,3273791974
2026-03-06 12:31:58.027409,3273792075
2026-03-06 12:31:58.129276,3273792176
2026-03-06 12:31:58.23222,3273792279
2026-03-06 12:31:58.333202,3273792380
2026-03-06 12:31:58.434129,3273792481
2026-03-06 12:31:58.535089,3273792582
2026-03-06 12:31:58.63665,3273792684
2026-03-06 12:31:58.738116,3273792785
2026-03-06 12:31:58.83943,3273792886
2026-03-06 12:31:58.940221,3273792987
2026-03-06 12:31:59.041307,3273793088
2026-03-06 12:31:59.142482,3273793189
2026-03-06 12:31:59.243852,3273793291
2026-03-06 12:31:59.345857,3273793393
2026-03-06 12:31:59.447297,3273793494
2026-03-06 12:31:59.548695,3273793596
2026-03-06 12:31:59.649851,3273793697
2026-03-06 12:31:59.751408,3273793798
2026-03-06 12:31:59.852327,3273793899
2026-03-06 12:31:59.953698,3273794001
2026-03-06 12:32:00.055115,3273794102
2026-03-06 12:32:00.156345,3273794203
2026-03-06 12:32:00.257057,3273794304
2026-03-06 12:32:00.358251,3273794405
2026-03-06 12:32:00.459364,3273794506
2026-03-06 12:32:00.560062,3273794607
2026-03-06 12:32:00.661211,3273794708
2026-03-06 12:32:00.761452,3273794809
2026-03-06 12:32:00.862574,3273794909
2026-03-06 12:32:00.963519,3273795010
2026-03-06 12:32:01.063877,3273795111
2026-03-06 12:32:01.165072,3273795212
2026-03-06 12:32:01.26569,3273795313
2026-03-06 12:32:01.366685,3273795414
2026-03-06 12:32:01.467741,3273795515
2026-03-06 12:32:01.569134,3273795616
2026-03-06 12:32:01.670406,3273795717
2026-03-06 12:32:01.77144,3273795818
2026-03-06 12:32:01.87258,3273795919
2026-03-06 12:32:01.973682,3273796021
2026-03-06 12:32:02.074686,3273796122
2026-03-06 12:32:02.175612,3273796223
2026-03-06 12:32:02.276895,3273796324
2026-03-06 12:32:02.378031,3273796425
2026-03-06 12:32:02.478723,3273796526
2026-03-06 12:32:02.579792,3273796627
2026-03-06 12:32:02.680732,3273796728
2026-03-06 12:32:02.781551,3273796829
2026-03-06 12:32:02.882098,3273796929
2026-03-06 12:32:02.983421,3273797030
2026-03-06 12:32:03.08373,3273797131
2026-03-06 12:32:03.184637,3273797232
2026-03-06 12:32:03.285327,3273797333
2026-03-06 12:32:03.386207,3273797433
2026-03-06 12:32:03.487246,3273797534
2026-03-06 12:32:03.588009,3273797635
2026-03-06 12:32:03.688703,3273797736
2026-03-06 12:32:03.78981,3273797837
2026-03-06 12:32:03.8905,3273797937
2026-03-06 12:32:03.991687,3273798039
