time,PT.Fuel_Fill_Press.sample_ts_ms
2026-03-06 12:31:43.78046,3273776294
2026-03-06 12:31:43.788263,3273776395
2026-03-06 12:31:43.788829,3273776497
2026-03-06 12:31:43.789259,3273776598
2026-03-06 12:31:43.789677,3273776699
2026-03-06 12:31:43.790051,3273776800
2026-03-06 12:31:43.790363,3273776901
2026-03-06 12:31:43.790451,3273777003
2026-03-06 12:31:43.790543,3273777105
2026-03-06 12:31:43.790628,3273777207
2026-03-06 12:31:43.790702,3273777309
2026-03-06 12:31:43.795347,3273777411
2026-03-06 12:31:43.795793,3273777514
2026-03-06 12:31:43.796134,3273777615
2026-03-06 12:31:43.796514,3273777716
2026-03-06 12:31:43.796805,3273777817
2026-03-06 12:31:43.871007,3273777918
2026-03-06 12:31:43.973066,3273778019
2026-03-06 12:31:44.074432,3273778121
2026-03-06 12:31:44.17591,3273778223
2026-03-06 12:31:44.277127,3273778324
2026-03-06 12:31:44.378714,3273778425
2026-03-06 12:31:44.479074,3273778526
2026-03-06 12:31:44.580406,3273778627
2026-03-06 12:31:44.681552,3273778728
2026-03-06 12:31:44.783205,3273778830
2026-03-06 12:31:44.883719,3273778931
2026-03-06 12:31:44.984636,3273779032
2026-03-06 12:31:45.085784,3273779133
2026-03-06 12:31:45.1868,3273779234
2026-03-06 12:31:45.287747,3273779334
2026-03-06 12:31:45.388247,3273779435
2026-03-06 12:31:45.488995,3273779536
2026-03-06 12:31:45.590278,3273779637
2026-03-06 12:31:45.691212,3273779738
2026-03-06 12:31:45.792507,3273779839
2026-03-06 12:31:45.893467,3273779941
2026-03-06 12:31:45.994648,3273780042
2026-03-06 12:31:46.096801,3273780143
2026-03-06 12:31:46.19773,3273780244
2026-03-06 12:31:46.299008,3273780346
2026-03-06 12:31:46.40003,3273780447
2026-03-06 12:31:46.50115,3273780548
2026-03-06 12:31:46.602168,3273780649
2026-03-06 12:31:46.703692,3273780750
2026-03-06 12:31:46.804422,3273780851
2026-03-06 12:31:46.905996,3273780952
2026-03-06 12:31:47.007348,3273781054
2026-03-06 12:31:47.108135,3273781155
2026-03-06 12:31:47.209899,3273781257
2026-03-06 12:31:47.31109,3273781358
2026-03-06 12:31:47.413144,3273781460
2026-03-06 12:31:47.514075,3273781561
2026-03-06 12:31:47.615369,3273781662
2026-03-06 12:31:47.716753,3273781764
2026-03-06 12:31:47.817677,3273781865
2026-03-06 12:31:47.920044,3273781967
2026-03-06 12:31:48.021328,3273782068
2026-03-06 12:31:48.122637,3273782169
2026-03-06 12:31:48.223838,3273782270
2026-03-06 12:31:48.325018,3273782372
2026-03-06 12:31:48.426068,3273782473
2026-03-06 12:31:48.526887,3273782574
2026-03-06 12:31:48.628564,3273782676
2026-03-06 12:31:48.729949,3273782777
2026-03-06 12:31:48.831273,3273782878
2026-03-06 12:31:48.932226,3273782979
2026-03-06 12:31:49.033492,3273783080
2026-03-06 12:31:49.134243,3273783181
2026-03-06 12:31:49.234535,3273783282
2026-03-06 12:31:49.335581,3273783382
2026-03-06 12:31:49.436094,3273783483
2026-03-06 12:31:49.536844,3273783584
2026-03-06 12:31:49.638178,3273783685
2026-03-06 12:31:49.739195,3273783786
2026-03-06 12:31:49.840385,3273783887
2026-03-06 12:31:49.941764,3273783989
2026-03-06 12:31:50.042922,3273784090
2026-03-06 12:31:50.144694,3273784192
2026-03-06 12:31:50.246633,3273784293
2026-03-06 12:31:50.348335,3273784395
2026-03-06 12:31:50.449284,3273784496
2026-03-06 12:31:50.550453,3273784597
2026-03-06 12:31:50.651021,3273784698
2026-03-06 12:31:50.752581,3273784799
2026-03-06 12:31:50.853306,3273784900
2026-03-06 12:31:50.955123,3273785002
2026-03-06 12:31:51.056145,3273785103
2026-03-06 12:31:51.157864,3273785205
2026-03-06 12:31:51.258934,3273785306
2026-03-06 12:31:51.361049,3273785407
2026-03-06 12:31:51.461437,3273785508
2026-03-06 12:31:51.563097,3273785610
2026-03-06 12:31:51.664377,3273785711
2026-03-06 12:31:51.765633,3273785813
2026-03-06 12:31:51.867183,3273785914
2026-03-06 12:31:51.968641,3273786016
2026-03-06 12:31:52.069985,3273786117
2026-03-06 12:31:52.172138,3273786219
2026-03-06 12:31:52.273003,3273786320
2026-03-06 12:31:52.373671,3273786421
2026-03-06 12:31:52.474296,3273786521
2026-03-06 12:31:52.575539,3273786623
2026-03-06 12:31:52.676521,3273786723
2026-03-06 12:31:52.777917,3273786825
2026-03-06 12:31:52.878776,3273786926
2026-03-06 12:31:52.979513,3273787027
2026-03-06 12:31:53.080584,3273787127
2026-03-06 12:31:53.181659,3273787229
2026-03-06 12:31:53.282543,3273787329
2026-03-06 12:31:53.383377,3273787430
2026-03-06 12:31:53.484363,3273787531
