time,PT.Ox_Downstream.status
2026-03-06 12:31:43.780646,0
2026-03-06 12:31:43.788291,0
2026-03-06 12:31:43.788847,0
2026-03-06 12:31:43.789276,0
2026-03-06 12:31:43.789694,0
2026-03-06 12:31:43.790068,0
2026-03-06 12:31:43.790366,0
2026-03-06 12:31:43.790454,0
2026-03-06 12:31:43.790546,0
2026-03-06 12:31:43.790632,0
2026-03-06 12:31:43.790706,0
2026-03-06 12:31:43.795369,0
2026-03-06 12:31:43.795808,0
2026-03-06 12:31:43.79615,0
2026-03-06 12:31:43.796528,0
2026-03-06 12:31:43.796815,0
2026-03-06 12:31:43.871039,0
2026-03-06 12:31:43.973114,0
2026-03-06 12:31:44.074504,0
2026-03-06 12:31:44.175961,0
2026-03-06 12:31:44.277152,0
2026-03-06 12:31:44.378761,0
2026-03-06 12:31:44.479119,0
2026-03-06 12:31:44.580445,0
2026-03-06 12:31:44.68159,0
2026-03-06 12:31:44.78326,0
2026-03-06 12:31:44.883752,0
2026-03-06 12:31:44.984694,0
2026-03-06 12:31:45.085827,0
2026-03-06 12:31:45.186849,0
2026-03-06 12:31:45.287841,0
2026-03-06 12:31:45.388328,0
2026-03-06 12:31:45.489084,0
2026-03-06 12:31:45.590384,0
2026-03-06 12:31:45.691314,0
2026-03-06 12:31:45.792652,0
2026-03-06 12:31:45.893545,0
2026-03-06 12:31:45.994728,0
2026-03-06 12:31:46.09689,0
2026-03-06 12:31:46.197786,0
2026-03-06 12:31:46.299058,0
2026-03-06 12:31:46.400075,0
2026-03-06 12:31:46.50122,0
2026-03-06 12:31:46.602248,0
2026-03-06 12:31:46.703775,0
2026-03-06 12:31:46.804498,0
2026-03-06 12:31:46.906066,0
2026-03-06 12:31:47.007431,0
2026-03-06 12:31:47.108176,0
2026-03-06 12:31:47.209994,0
2026-03-06 12:31:47.311121,0
2026-03-06 12:31:47.413195,0
2026-03-06 12:31:47.514145,0
2026-03-06 12:31:47.615444,0
2026-03-06 12:31:47.716852,0
2026-03-06 12:31:47.817779,0
2026-03-06 12:31:47.920131,0
2026-03-06 12:31:48.021417,0
2026-03-06 12:31:48.122752,0
2026-03-06 12:31:48.223931,0
2026-03-06 12:31:48.325121,0
2026-03-06 12:31:48.426163,0
2026-03-06 12:31:48.526948,0
2026-03-06 12:31:48.628611,0
2026-03-06 12:31:48.730031,0
2026-03-06 12:31:48.831337,0
2026-03-06 12:31:48.932279,0
2026-03-06 12:31:49.033523,0
2026-03-06 12:31:49.134288,0
2026-03-06 12:31:49.234569,0
2026-03-06 12:31:49.335615,0
2026-03-06 12:31:49.436134,0
2026-03-06 12:31:49.536896,0
2026-03-06 12:31:49.638258,0
2026-03-06 12:31:49.739244,0
2026-03-06 12:31:49.840418,0
2026-03-06 12:31:49.941797,0
2026-03-06 12:31:50.042945,0
2026-03-06 12:31:50.144717,0
2026-03-06 12:31:50.246696,0
2026-03-06 12:31:50.348396,0
2026-03-06 12:31:50.449333,0
2026-03-06 12:31:50.550503,0
2026-03-06 12:31:50.651058,0
2026-03-06 12:31:50.752611,0
2026-03-06 12:31:50.853384,0
2026-03-06 12:31:50.955226,0
2026-03-06 12:31:51.056206,0
2026-03-06 12:31:51.157941,0
2026-03-06 12:31:51.25898,0
2026-03-06 12:31:51.361154,0
2026-03-06 12:31:51.461461,0
2026-03-06 12:31:51.563127,0
2026-03-06 12:31:51.664418,0
2026-03-06 12:31:51.76568,0
2026-03-06 12:31:51.867283,0
2026-03-06 12:31:51.968668,0
2026-03-06 12:31:52.070003,0
2026-03-06 12:31:52.172161,0
2026-03-06 12:31:52.273028,0
2026-03-06 12:31:52.37372,0
2026-03-06 12:31:52.47432,0
2026-03-06 12:31:52.575627,0
2026-03-06 12:31:52.676583,0
2026-03-06 12:31:52.777985,0
2026-03-06 12:31:52.87886,0
