time,PT.Fuel_Downstream.status
2026-03-06 12:31:43.780408,0
2026-03-06 12:31:43.788253,0
2026-03-06 12:31:43.788822,0
2026-03-06 12:31:43.789254,0
2026-03-06 12:31:43.789672,0
2026-03-06 12:31:43.790045,0
2026-03-06 12:31:43.790361,0
2026-03-06 12:31:43.790449,0
2026-03-06 12:31:43.790541,0
2026-03-06 12:31:43.790627,0
2026-03-06 12:31:43.790701,0
2026-03-06 12:31:43.795339,0
2026-03-06 12:31:43.795788,0
2026-03-06 12:31:43.79613,0
2026-03-06 12:31:43.796509,0
2026-03-06 12:31:43.796802,0
2026-03-06 12:31:43.870997,0
2026-03-06 12:31:43.97305,0
2026-03-06 12:31:44.074416,0
2026-03-06 12:31:44.175895,0
2026-03-06 12:31:44.277118,0
2026-03-06 12:31:44.378699,0
2026-03-06 12:31:44.47906,0
2026-03-06 12:31:44.580393,0
2026-03-06 12:31:44.681541,0
2026-03-06 12:31:44.783189,0
2026-03-06 12:31:44.883707,0
2026-03-06 12:31:44.984617,0
2026-03-06 12:31:45.08577,0
2026-03-06 12:31:45.186756,0
2026-03-06 12:31:45.287714,0
2026-03-06 12:31:45.388215,0
2026-03-06 12:31:45.488964,0
2026-03-06 12:31:45.590249,0
2026-03-06 12:31:45.691186,0
2026-03-06 12:31:45.792446,0
2026-03-06 12:31:45.89344,0
2026-03-06 12:31:45.994621,0
2026-03-06 12:31:46.096766,0
2026-03-06 12:31:46.197715,0
2026-03-06 12:31:46.298992,0
2026-03-06 12:31:46.399993,0
2026-03-06 12:31:46.501124,0
2026-03-06 12:31:46.602137,0
2026-03-06 12:31:46.703651,0
2026-03-06 12:31:46.804401,0
2026-03-06 12:31:46.90593,0
2026-03-06 12:31:47.007317,0
2026-03-06 12:31:47.108118,0
2026-03-06 12:31:47.209859,0
2026-03-06 12:31:47.311079,0
2026-03-06 12:31:47.413111,0
2026-03-06 12:31:47.514045,0
2026-03-06 12:31:47.615302,0
2026-03-06 12:31:47.716708,0
2026-03-06 12:31:47.817648,0
2026-03-06 12:31:47.920013,0
2026-03-06 12:31:48.021301,0
2026-03-06 12:31:48.1226,0
2026-03-06 12:31:48.223806,0
2026-03-06 12:31:48.324988,0
2026-03-06 12:31:48.426039,0
2026-03-06 12:31:48.526867,0
2026-03-06 12:31:48.628547,0
2026-03-06 12:31:48.729925,0
2026-03-06 12:31:48.831247,0
2026-03-06 12:31:48.93221,0
2026-03-06 12:31:49.033479,0
2026-03-06 12:31:49.134229,0
2026-03-06 12:31:49.234524,0
2026-03-06 12:31:49.335565,0
2026-03-06 12:31:49.436083,0
2026-03-06 12:31:49.53683,0
2026-03-06 12:31:49.638147,0
2026-03-06 12:31:49.739172,0
2026-03-06 12:31:49.840376,0
2026-03-06 12:31:49.941752,0
2026-03-06 12:31:50.042907,0
2026-03-06 12:31:50.144687,0
2026-03-06 12:31:50.246615,0
2026-03-06 12:31:50.348306,0
2026-03-06 12:31:50.449265,0
2026-03-06 12:31:50.55042,0
2026-03-06 12:31:50.651009,0
2026-03-06 12:31:50.752573,0
2026-03-06 12:31:50.853284,0
2026-03-06 12:31:50.955094,0
2026-03-06 12:31:51.056128,0
2026-03-06 12:31:51.157835,0
2026-03-06 12:31:51.258913,0
2026-03-06 12:31:51.361008,0
2026-03-06 12:31:51.461409,0
2026-03-06 12:31:51.563086,0
2026-03-06 12:31:51.664356,0
2026-03-06 12:31:51.765615,0
2026-03-06 12:31:51.867155,0
2026-03-06 12:31:51.968618,0
2026-03-06 12:31:52.069978,0
2026-03-06 12:31:52.172129,0
2026-03-06 12:31:52.272996,0
2026-03-06 12:31:52.373653,0
2026-03-06 12:31:52.474288,0
2026-03-06 12:31:52.5755,0
2026-03-06 12:31:52.676499,0
2026-03-06 12:31:52.777894,0
2026-03-06 12:31:52.878746,0
2026-03-06 12:31:52.979497,0
2026-03-06 12:31:53.080557,0
2026-03-06 12:31:53.181645,0
2026-03-06 12:31:53.28253,0
2026-03-06 12:31:53.383361,0
2026-03-06 12:31:53.484342,0
2026-03-06 12:31:53.585166,0
2026-03-06 12:31:53.686254,0
2026-03-06 12:31:53.787028,0
2026-03-06 12:31:53.888352,0
2026-03-06 12:31:53.989411,0
2026-03-06 12:31:54.090038,0
2026-03-06 12:31:54.191052,0
2026-03-06 12:31:54.29173,0
2026-03-06 12:31:54.392792,0
2026-03-06 12:31:54.493581,0
2026-03-06 12:31:54.594569,0
2026-03-06 12:31:54.695349,0
2026-03-06 12:31:54.796682,0
2026-03-06 12:31:54.89704,0
2026-03-06 12:31:54.998332,0
2026-03-06 12:31:55.099174,0
2026-03-06 12:31:55.20003,0
2026-03-06 12:31:55.301516,0
2026-03-06 12:31:55.403086,0
2026-03-06 12:31:55.504643,0
2026-03-06 12:31:55.606542,0
2026-03-06 12:31:55.708242,0
2026-03-06 12:31:55.8093,0
2026-03-06 12:31:55.910485,0
2026-03-06 12:31:56.011717,0
2026-03-06 12:31:56.113215,0
