time,PT.GN2_Regulated.sample_ts_ms
2026-03-06 12:31:43.780593,3273776294
2026-03-06 12:31:43.788282,3273776395
2026-03-06 12:31:43.788841,3273776497
2026-03-06 12:31:43.78927,3273776598
2026-03-06 12:31:43.789689,3273776699
2026-03-06 12:31:43.790062,3273776800
2026-03-06 12:31:43.790365,3273776901
2026-03-06 12:31:43.790453,3273777003
2026-03-06 12:31:43.790545,3273777105
2026-03-06 12:31:43.79063,3273777207
2026-03-06 12:31:43.790704,3273777309
2026-03-06 12:31:43.795361,3273777411
2026-03-06 12:31:43.795803,3273777514
2026-03-06 12:31:43.796144,3273777615
2026-03-06 12:31:43.796523,3273777716
2026-03-06 12:31:43.796812,3273777817
2026-03-06 12:31:43.871029,3273777918
2026-03-06 12:31:43.973098,3273778019
2026-03-06 12:31:44.074465,3273778121
2026-03-06 12:31:44.175941,3273778223
2026-03-06 12:31:44.277144,3273778324
2026-03-06 12:31:44.378745,3273778425
2026-03-06 12:31:44.479104,3273778526
2026-03-06 12:31:44.580432,3273778627
2026-03-06 12:31:44.681576,3273778728
2026-03-06 12:31:44.783243,3273778830
2026-03-06 12:31:44.883741,3273778931
2026-03-06 12:31:44.984675,3273779032
2026-03-06 12:31:45.085814,3273779133
2026-03-06 12:31:45.186832,3273779234
2026-03-06 12:31:45.287802,3273779334
2026-03-06 12:31:45.388299,3273779435
2026-03-06 12:31:45.489055,3273779536
2026-03-06 12:31:45.590352,3273779637
2026-03-06 12:31:45.691271,3273779738
2026-03-06 12:31:45.792604,3273779839
2026-03-06 12:31:45.893523,3273779941
2026-03-06 12:31:45.994702,3273780042
2026-03-06 12:31:46.096861,3273780143
2026-03-06 12:31:46.197769,3273780244
2026-03-06 12:31:46.299041,3273780346
2026-03-06 12:31:46.400061,3273780447
2026-03-06 12:31:46.501199,3273780548
2026-03-06 12:31:46.602223,3273780649
2026-03-06 12:31:46.703748,3273780750
2026-03-06 12:31:46.804464,3273780851
2026-03-06 12:31:46.906047,3273780952
2026-03-06 12:31:47.007403,3273781054
2026-03-06 12:31:47.108163,3273781155
2026-03-06 12:31:47.209962,3273781257
2026-03-06 12:31:47.311111,3273781358
2026-03-06 12:31:47.413175,3273781460
2026-03-06 12:31:47.514123,3273781561
2026-03-06 12:31:47.615422,3273781662
2026-03-06 12:31:47.716818,3273781764
2026-03-06 12:31:47.817745,3273781865
2026-03-06 12:31:47.920102,3273781967
2026-03-06 12:31:48.02139,3273782068
2026-03-06 12:31:48.122725,3273782169
2026-03-06 12:31:48.223896,3273782270
2026-03-06 12:31:48.325083,3273782372
2026-03-06 12:31:48.426128,3273782473
2026-03-06 12:31:48.526927,3273782574
2026-03-06 12:31:48.628596,3273782676
2026-03-06 12:31:48.730005,3273782777
2026-03-06 12:31:48.831316,3273782878
2026-03-06 12:31:48.932262,3273782979
2026-03-06 12:31:49.033513,3273783080
2026-03-06 12:31:49.134272,3273783181
2026-03-06 12:31:49.234559,3273783282
2026-03-06 12:31:49.335603,3273783382
2026-03-06 12:31:49.436122,3273783483
2026-03-06 12:31:49.536885,3273783584
2026-03-06 12:31:49.638231,3273783685
2026-03-06 12:31:49.739228,3273783786
2026-03-06 12:31:49.840408,3273783887
2026-03-06 12:31:49.941785,3273783989
2026-03-06 12:31:50.042938,3273784090
2026-03-06 12:31:50.14471,3273784192
2026-03-06 12:31:50.246678,3273784293
2026-03-06 12:31:50.348376,3273784395
2026-03-06 12:31:50.449318,3273784496
2026-03-06 12:31:50.55049,3273784597
2026-03-06 12:31:50.651046,3273784698
2026-03-06 12:31:50.752594,3273784799
2026-03-06 12:31:50.853361,3273784900
2026-03-06 12:31:50.955183,3273785002
2026-03-06 12:31:51.056185,3273785103
