time,PT.GSE_Mid.raw_adc_counts
2026-03-06 12:31:43.787983,639535656
2026-03-06 12:31:43.788642,657096265
2026-03-06 12:31:43.78895,675099790
2026-03-06 12:31:43.789361,693589176
2026-03-06 12:31:43.789769,712711682
2026-03-06 12:31:43.790122,732322012
2026-03-06 12:31:43.790391,752440968
2026-03-06 12:31:43.790532,773101781
2026-03-06 12:31:43.790614,794120150
2026-03-06 12:31:43.790693,815625121
2026-03-06 12:31:43.79531,837554160
2026-03-06 12:31:43.795732,859851939
2026-03-06 12:31:43.796095,882431504
2026-03-06 12:31:43.79646,905214243
2026-03-06 12:31:43.796787,928239556
2026-03-06 12:31:43.862488,951566282
2026-03-06 12:31:43.963954,975185442
2026-03-06 12:31:44.065535,999037860
2026-03-06 12:31:44.166568,1023126445
2026-03-06 12:31:44.267768,1047477871
2026-03-06 12:31:44.369388,1071963327
2026-03-06 12:31:44.470305,1096472454
2026-03-06 12:31:44.571258,1121185950
2026-03-06 12:31:44.673372,1146086990
2026-03-06 12:31:44.774746,1171105225
2026-03-06 12:31:44.876267,1196161055
2026-03-06 12:31:44.977149,1221145160
2026-03-06 12:31:45.07866,1246300428
2026-03-06 12:31:45.180983,1271567901
2026-03-06 12:31:45.282227,1296671470
2026-03-06 12:31:45.38431,1321695799
2026-03-06 12:31:45.484886,1346501720
2026-03-06 12:31:45.586179,1371207842
2026-03-06 12:31:45.687644,1395960822
2026-03-06 12:31:45.790124,1420575531
2026-03-06 12:31:45.890898,1444856540
2026-03-06 12:31:45.992174,1469020958
2026-03-06 12:31:46.093778,1493124732
2026-03-06 12:31:46.194725,1516793874
2026-03-06 12:31:46.296525,1540255284
2026-03-06 12:31:46.397441,1563411093
2026-03-06 12:31:46.498588,1586239939
2026-03-06 12:31:46.600202,1608820428
2026-03-06 12:31:46.701504,1631040140
2026-03-06 12:31:46.803099,1652862979
2026-03-06 12:31:46.904519,1674316759
2026-03-06 12:31:47.006531,1695486924
2026-03-06 12:31:47.107416,1716127621
2026-03-06 12:31:47.209211,1736358334
2026-03-06 12:31:47.30985,1755988483
2026-03-06 12:31:47.411189,1775179994
2026-03-06 12:31:47.512181,1793847932
2026-03-06 12:31:47.613592,1812083839
2026-03-06 12:31:47.715345,1829865663
2026-03-06 12:31:47.817077,1847009936
2026-03-06 12:31:47.918062,1863604244
2026-03-06 12:31:48.019269,1879565171
2026-03-06 12:31:48.12075,1894980784
2026-03-06 12:31:48.221596,1909746081
2026-03-06 12:31:48.322541,1923905610
2026-03-06 12:31:48.424285,1937489310
2026-03-06 12:31:48.525697,1950364177
2026-03-06 12:31:48.626215,1962561328
2026-03-06 12:31:48.727582,1974104816
2026-03-06 12:31:48.828297,1984979479
2026-03-06 12:31:48.929292,1995136964
2026-03-06 12:31:49.030633,2004652451
2026-03-06 12:31:49.131295,2013398915
2026-03-06 12:31:49.232187,2021450688
2026-03-06 12:31:49.333732,2028799024
2026-03-06 12:31:49.434362,2035409488
2026-03-06 12:31:49.535751,2041282672
2026-03-06 12:31:49.636917,2046429698
2026-03-06 12:31:49.738511,2050846369
2026-03-06 12:31:49.839234,2054501378
2026-03-06 12:31:49.94046,2057388172
2026-03-06 12:31:50.041155,2059530998
2026-03-06 12:31:50.142436,2060917895
2026-03-06 12:31:50.244283,2061545532
2026-03-06 12:31:50.3457,2061409094
2026-03-06 12:31:50.44687,2060515458
2026-03-06 12:31:50.547457,2058867731
2026-03-06 12:31:50.648683,2056462472
2026-03-06 12:31:50.749648,2053300837
2026-03-06 12:31:50.850431,2049397588
2026-03-06 12:31:50.951528,2044748735
2026-03-06 12:31:51.052178,2039373119
2026-03-06 12:31:51.153168,2033244724
2026-03-06 12:31:51.254108,2026393431
2026-03-06 12:31:51.35518,2018804531
2026-03-06 12:31:51.456244,2010488497
2026-03-06 12:31:51.557357,2001479539
2026-03-06 12:31:51.658255,1991768124
2026-03-06 12:31:51.759213,1981378285
2026-03-06 12:31:51.860927,1970241497
2026-03-06 12:31:51.961793,1958420394
2026-03-06 12:31:52.062688,1945983398
2026-03-06 12:31:52.164622,1932854324
2026-03-06 12:31:52.264983,1919165795
2026-03-06 12:31:52.366581,1904793058
2026-03-06 12:31:52.467692,1889755691
2026-03-06 12:31:52.569694,1874082221
2026-03-06 12:31:52.670574,1857917865
2026-03-06 12:31:52.772048,1841129407
2026-03-06 12:31:52.872865,1823856361
2026-03-06 12:31:52.973713,1806033760
2026-03-06 12:31:53.074648,1787746713
2026-03-06 12:31:53.175681,1768866535
2026-03-06 12:31:53.276356,1749545942
2026-03-06 12:31:53.377734,1729777602
2026-03-06 12:31:53.478022,1709576775
2026-03-06 12:31:53.578833,1688907466
2026-03-06 12:31:53.679869,1667828357
2026-03-06 12:31:53.780713,1646382893
2026-03-06 12:31:53.881883,1624508527
2026-03-06 12:31:53.983477,1602175545
2026-03-06 12:31:54.084348,1579506634
2026-03-06 12:31:54.185214,1556690406
2026-03-06 12:31:54.285971,1533550641
2026-03-06 12:31:54.38695,1510148595
2026-03-06 12:31:54.488484,1486383936
2026-03-06 12:31:54.589241,1462487994
2026-03-06 12:31:54.690659,1438259130
2026-03-06 12:31:54.791447,1414006507
2026-03-06 12:31:54.892507,1389535859
2026-03-06 12:31:54.993181,1364951282
2026-03-06 12:31:55.093993,1340228138
2026-03-06 12:31:55.194874,1315447976
2026-03-06 12:31:55.295937,1290581001
2026-03-06 12:31:55.396365,1265665877
2026-03-06 12:31:55.498164,1240607985
2026-03-06 12:31:55.599177,1215610788
2026-03-06 12:31:55.700178,1190590212
2026-03-06 12:31:55.800772,1165682706
2026-03-06 12:31:55.901868,1140852315
2026-03-06 12:31:56.003055,1116121240
2026-03-06 12:31:56.104539,1091361515
2026-03-06 12:31:56.205798,1066704047
2026-03-06 12:31:56.307248,1042229949
2026-03-06 12:31:56.408741,1017885166
2026-03-06 12:31:56.510253,993855541
2026-03-06 12:31:56.611891,969981752
2026-03-06 12:31:56.713094,946440447
2026-03-06 12:31:56.813997,923153718
2026-03-06 12:31:56.915258,900097174
2026-03-06 12:31:57.01631,877440851
2026-03-06 12:31:57.118305,854975043
2026-03-06 12:31:57.22017,832858965
2026-03-06 12:31:57.321165,811248184
2026-03-06 12:31:57.422517,789985602
2026-03-06 12:31:57.523345,769177733
2026-03-06 12:31:57.624025,748859405
2026-03-06 12:31:57.725183,728953247
2026-03-06 12:31:57.825662,709552817
2026-03-06 12:31:57.926437,690629716
2026-03-06 12:31:58.027399,672158476
2026-03-06 12:31:58.129264,654153457
2026-03-06 12:31:58.23221,636374228
2026-03-06 12:31:58.333195,619512564
2026-03-06 12:31:58.434113,603241354
2026-03-06 12:31:58.535082,587523159
2026-03-06 12:31:58.636642,572350391
2026-03-06 12:31:58.738105,557793872
2026-03-06 12:31:58.839419,543962761
2026-03-06 12:31:58.940211,530732473
2026-03-06 12:31:59.041273,518129967
2026-03-06 12:31:59.142463,506219681
2026-03-06 12:31:59.243837,494928198
2026-03-06 12:31:59.345836,484278666
2026-03-06 12:31:59.447266,474364035
2026-03-06 12:31:59.548675,465186740
2026-03-06 12:31:59.649834,456727219
2026-03-06 12:31:59.751392,448970863
2026-03-06 12:31:59.852305,441957375
2026-03-06 12:31:59.953677,435657126
2026-03-06 12:32:00.055101,430119208
