time,BOARD.HB_14.packet_ts_ms
2026-03-06 12:31:43.783618,3273776377
2026-03-06 12:31:43.79176,3273777380
2026-03-06 12:31:44.336119,3273778383
2026-03-06 12:31:45.337245,3273779384
2026-03-06 12:31:46.339656,3273780386
2026-03-06 12:31:47.343603,3273781390
2026-03-06 12:31:48.345349,3273782392
2026-03-06 12:31:49.346412,3273783393
2026-03-06 12:31:50.348436,3273784395
2026-03-06 12:31:51.358611,3273785405
2026-03-06 12:31:52.358227,3273786405
2026-03-06 12:31:53.367802,3273787414
2026-03-06 12:31:54.376377,3273788423
2026-03-06 12:31:55.375894,3273789423
2026-03-06 12:31:56.379297,3273790426
2026-03-06 12:31:57.389122,3273791436
2026-03-06 12:31:58.389489,3273792437
2026-03-06 12:31:59.399148,3273793446
2026-03-06 12:32:00.399377,3273794447
2026-03-06 12:32:01.400247,3273795447
2026-03-06 12:32:02.401003,3273796448
2026-03-06 12:32:03.401903,3273797449
2026-03-06 12:32:04.403858,3273798451
2026-03-06 12:32:05.404226,3273799451
2026-03-06 12:32:06.406336,3273800453
2026-03-06 12:32:07.410744,3273801457
2026-03-06 12:32:08.411398,3273802458
2026-03-06 12:32:09.419483,3273803467
2026-03-06 12:32:10.420165,3273804467
2026-03-06 12:32:11.421241,3273805468
2026-03-06 12:32:12.422958,3273806470
2026-03-06 12:32:13.423088,3273807470
2026-03-06 12:32:14.42304,3273808470
2026-03-06 12:32:15.431953,3273809479
2026-03-06 12:32:16.43298,3273810480
2026-03-06 12:32:17.434106,3273811481
2026-03-06 12:32:18.435258,3273812482
2026-03-06 12:32:19.436115,3273813483
2026-03-06 12:32:20.445831,3273814493
2026-03-06 12:32:21.447043,3273815494
2026-03-06 12:32:22.448893,3273816496
2026-03-06 12:32:23.457587,3273817504
2026-03-06 12:32:24.467338,3273818514
2026-03-06 12:32:25.468433,3273819515
2026-03-06 12:32:26.476938,3273820524
2026-03-06 12:32:27.486172,3273821533
2026-03-06 12:32:28.486713,3273822533
2026-03-06 12:32:29.494049,3273823541
2026-03-06 12:32:30.502528,3273824550
2026-03-06 12:32:31.512396,3273825559
2026-03-06 12:32:32.51413,3273826561
2026-03-06 12:32:33.514347,3273827561
2026-03-06 12:32:34.515164,3273828562
2026-03-06 12:32:35.515996,3273829563
2026-03-06 12:32:36.525897,3273830573
2026-03-06 12:32:37.53522,3273831582
2026-03-06 12:32:38.536375,3273832584
2026-03-06 12:32:39.53769,3273833585
2026-03-06 12:32:40.537893,3273834585
2026-03-06 12:32:41.547332,3273835595
2026-03-06 12:32:42.547932,3273836595
2026-03-06 12:32:43.555925,3273837603
2026-03-06 12:32:44.564232,3273838611
2026-03-06 12:32:45.573711,3273839621
2026-03-06 12:32:46.583512,3273840631
2026-03-06 12:32:47.584488,3273841631
2026-03-06 12:32:48.585195,3273842632
2026-03-06 12:32:49.595366,3273843642
2026-03-06 12:32:50.604338,3273844651
2026-03-06 12:32:51.612819,3273845660
2026-03-06 12:32:52.622598,3273846670
2026-03-06 12:32:53.623591,3273847670
2026-03-06 12:32:54.632686,3273848679
2026-03-06 12:32:55.633795,3273849681
2026-03-06 12:32:56.635207,3273850682
2026-03-06 12:32:57.635073,3273851682
2026-03-06 12:32:58.636111,3273852683
2026-03-06 12:32:59.645696,3273853693
2026-03-06 12:33:00.655876,3273854703
2026-03-06 12:33:01.656803,3273855704
2026-03-06 12:33:02.65665,3273856704
2026-03-06 12:33:03.65756,3273857705
2026-03-06 12:33:04.658449,3273858706
2026-03-06 12:33:05.660666,3273859707
2026-03-06 12:33:06.668924,3273860716
2026-03-06 12:33:07.67713,3273861724
2026-03-06 12:33:08.68675,3273862734
2026-03-06 12:33:09.687643,3273863734
2026-03-06 12:33:10.695551,3273864743
2026-03-06 12:33:11.705608,3273865752
2026-03-06 12:33:12.705828,3273866753
2026-03-06 12:33:13.714987,3273867762
2026-03-06 12:33:14.717702,3273868765
2026-03-06 12:33:15.727099,3273869774
2026-03-06 12:33:16.727416,3273870775
2026-03-06 12:33:17.728128,3273871775
2026-03-06 12:33:18.730477,3273872778
2026-03-06 12:33:19.740516,3273873787
2026-03-06 12:33:20.750215,3273874797
2026-03-06 12:33:21.759691,3273875806
2026-03-06 12:33:22.76839,3273876815
2026-03-06 12:33:23.768549,3273877816
2026-03-06 12:33:24.777284,3273878824
2026-03-06 12:33:25.778746,3273879826
2026-03-06 12:33:26.779101,3273880826
2026-03-06 12:33:27.779403,3273881827
2026-03-06 12:33:28.788303,3273882835
2026-03-06 12:33:29.797787,3273883845
2026-03-06 12:33:30.80734,3273884855
2026-03-06 12:33:31.808074,3273885855
2026-03-06 12:33:32.807855,3273886855
2026-03-06 12:33:33.817814,3273887865
2026-03-06 12:33:34.819129,3273888866
2026-03-06 12:33:35.821435,3273889869
2026-03-06 12:33:36.824054,3273890871
2026-03-06 12:33:37.831918,3273891879
2026-03-06 12:33:38.832857,3273892880
2026-03-06 12:33:39.842261,3273893889
2026-03-06 12:33:40.851865,3273894899
2026-03-06 12:33:41.860671,3273895907
2026-03-06 12:33:42.869894,3273896917
2026-03-06 12:33:43.870378,3273897917
2026-03-06 12:33:44.872337,3273898919
2026-03-06 12:33:45.874016,3273899921
2026-03-06 12:33:46.87645,3273900923
2026-03-06 12:33:47.87839,3273901926
2026-03-06 12:33:48.879483,3273902927
2026-03-06 12:33:49.886636,3273903934
2026-03-06 12:33:50.894686,3273904942
2026-03-06 12:33:51.895365,3273905942
2026-03-06 12:33:52.895244,3273906942
2026-03-06 12:33:53.895902,3273907943
2026-03-06 12:33:54.905973,3273908953
2026-03-06 12:33:55.909775,3273909956
2026-03-06 12:33:56.919225,3273910966
2026-03-06 12:33:57.928608,3273911975
2026-03-06 12:33:58.937211,3273912984
2026-03-06 12:33:59.946284,3273913993
2026-03-06 12:34:00.955415,3273915003
2026-03-06 12:34:01.95713,3273916004
2026-03-06 12:34:02.966761,3273917014
2026-03-06 12:34:03.969226,3273918016
2026-03-06 12:34:04.971988,3273919019
2026-03-06 12:34:05.972721,3273920020
2026-03-06 12:34:06.98122,3273921028
2026-03-06 12:34:07.991224,3273922038
2026-03-06 12:34:08.993284,3273923040
2026-03-06 12:34:09.99346,3273924041
2026-03-06 12:34:11.002546,3273925050
2026-03-06 12:34:12.002575,3273926050
2026-03-06 12:34:13.002878,3273927050
2026-03-06 12:34:14.01132,3273928058
2026-03-06 12:34:15.02119,3273929068
2026-03-06 12:34:16.029665,3273930077
2026-03-06 12:34:17.030349,3273931077
2026-03-06 12:34:18.031374,3273932079
2026-03-06 12:34:19.034047,3273933081
2026-03-06 12:34:20.034309,3273934081
2026-03-06 12:34:21.042315,3273935090
2026-03-06 12:34:22.051694,3273936099
2026-03-06 12:34:23.060183,3273937107
2026-03-06 12:34:24.061632,3273938109
2026-03-06 12:34:25.064326,3273939112
2026-03-06 12:34:26.06602,3273940113
2026-03-06 12:34:27.076035,3273941123
2026-03-06 12:34:28.077171,3273942124
2026-03-06 12:34:29.078461,3273943125
2026-03-06 12:34:30.088042,3273944135
2026-03-06 12:34:31.097252,3273945144
2026-03-06 12:34:32.105714,3273946153
2026-03-06 12:34:33.114791,3273947162
2026-03-06 12:34:34.117185,3273948164
2026-03-06 12:34:35.119703,3273949167
2026-03-06 12:34:36.129502,3273950177
2026-03-06 12:34:37.130787,3273951177
2026-03-06 12:34:38.137906,3273952185
2026-03-06 12:34:39.148001,3273953195
2026-03-06 12:34:40.148522,3273954196
2026-03-06 12:34:41.151507,3273955198
2026-03-06 12:34:42.152491,3273956200
2026-03-06 12:34:43.153668,3273957200
2026-03-06 12:34:44.154807,3273958202
2026-03-06 12:34:45.156203,3273959203
2026-03-06 12:34:46.166594,3273960213
2026-03-06 12:34:47.176488,3273961223
2026-03-06 12:34:48.177765,3273962225
2026-03-06 12:34:49.178787,3273963226
2026-03-06 12:34:50.187257,3273964234
2026-03-06 12:34:51.189097,3273965236
2026-03-06 12:34:52.19007,3273966237
2026-03-06 12:34:53.191222,3273967238
2026-03-06 12:34:54.200852,3273968248
2026-03-06 12:34:55.201367,3273969248
2026-03-06 12:34:56.21156,3273970258
2026-03-06 12:34:57.21219,3273971259
2026-03-06 12:34:58.221178,3273972268
2026-03-06 12:34:59.22942,3273973277
2026-03-06 12:35:00.239066,3273974286
2026-03-06 12:35:01.248024,3273975295
2026-03-06 12:35:02.257604,3273976304
2026-03-06 12:35:03.259118,3273977306
2026-03-06 12:35:04.265826,3273978313
2026-03-06 12:35:05.27494,3273979322
2026-03-06 12:35:06.284354,3273980331
2026-03-06 12:35:07.284342,3273981331
2026-03-06 12:35:08.294164,3273982341
2026-03-06 12:35:09.303705,3273983351
2026-03-06 12:35:10.304456,3273984351
2026-03-06 12:35:11.312476,3273985360
2026-03-06 12:35:12.322603,3273986369
2026-03-06 12:35:13.323214,3273987370
2026-03-06 12:35:14.333428,3273988380
2026-03-06 12:35:15.342295,3273989389
2026-03-06 12:35:16.344816,3273990392
2026-03-06 12:35:17.347354,3273991394
2026-03-06 12:35:18.348915,3273992396
2026-03-06 12:35:19.349288,3273993396
2026-03-06 12:35:20.357101,3273994404
2026-03-06 12:35:21.357499,3273995405
2026-03-06 12:35:22.358667,3273996406
2026-03-06 12:35:23.362006,3273997409
2026-03-06 12:35:24.367583,3273998414
2026-03-06 12:35:25.371591,3273999418
2026-03-06 12:35:26.372483,3274000419
2026-03-06 12:35:27.374261,3274001421
2026-03-06 12:35:28.37723,3274002424
2026-03-06 12:35:29.37767,3274003425
2026-03-06 12:35:30.379883,3274004427
2026-03-06 12:35:31.388349,3274005435
2026-03-06 12:35:32.39796,3274006445
2026-03-06 12:35:33.406736,3274007454
2026-03-06 12:35:34.40764,3274008455
2026-03-06 12:35:35.408377,3274009456
2026-03-06 12:35:36.418015,3274010465
2026-03-06 12:35:37.427547,3274011475
2026-03-06 12:35:38.429655,3274012477
2026-03-06 12:35:39.430238,3274013477
2026-03-06 12:35:40.43931,3274014486
2026-03-06 12:35:41.448283,3274015495
2026-03-06 12:35:42.448063,3274016495
2026-03-06 12:35:43.448555,3274017496
2026-03-06 12:35:44.458583,3274018505
2026-03-06 12:35:45.461364,3274019508
2026-03-06 12:35:46.471125,3274020518
2026-03-06 12:35:47.479941,3274021527
2026-03-06 12:35:48.487967,3274022535
2026-03-06 12:35:49.48864,3274023535
2026-03-06 12:35:50.49805,3274024545
2026-03-06 12:35:51.506486,3274025554
2026-03-06 12:35:52.51619,3274026563
2026-03-06 12:35:53.518277,3274027565
2026-03-06 12:35:54.518187,3274028565
2026-03-06 12:35:55.527959,3274029575
2026-03-06 12:35:56.536885,3274030584
2026-03-06 12:35:57.53717,3274031584
2026-03-06 12:35:58.538998,3274032586
2026-03-06 12:35:59.539093,3274033586
2026-03-06 12:36:00.548206,3274034595
2026-03-06 12:36:01.556724,3274035604
2026-03-06 12:36:02.565641,3274036612
2026-03-06 12:36:03.574061,3274037621
