time,RTD_Cal.CH3.raw_resistance
2026-03-06 12:31:43.787106,3864541
2026-03-06 12:31:43.788594,3871930
2026-03-06 12:31:43.788912,3879194
2026-03-06 12:31:43.789314,3886632
2026-03-06 12:31:43.789733,3893961
2026-03-06 12:31:43.790167,3901234
2026-03-06 12:31:43.790383,3908541
2026-03-06 12:31:43.790475,3915744
2026-03-06 12:31:43.790558,3923120
2026-03-06 12:31:43.79064,3930395
2026-03-06 12:31:43.794956,3937617
2026-03-06 12:31:43.795465,3944993
2026-03-06 12:31:43.79585,3952146
2026-03-06 12:31:43.796204,3959400
2026-03-06 12:31:43.796581,3966530
2026-03-06 12:31:43.856671,3973712
2026-03-06 12:31:43.957951,3980923
2026-03-06 12:31:44.05865,3988165
2026-03-06 12:31:44.159779,3995304
2026-03-06 12:31:44.261049,4002395
2026-03-06 12:31:44.361697,4009417
2026-03-06 12:31:44.462259,4016543
2026-03-06 12:31:44.564015,4023744
2026-03-06 12:31:44.665765,4030858
2026-03-06 12:31:44.766978,4037998
2026-03-06 12:31:44.867869,4045076
2026-03-06 12:31:44.969631,4052179
2026-03-06 12:31:45.070855,4059292
2026-03-06 12:31:45.172376,4066269
2026-03-06 12:31:45.273935,4073313
2026-03-06 12:31:45.375284,4080255
2026-03-06 12:31:45.476761,4087256
2026-03-06 12:31:45.577589,4094219
2026-03-06 12:31:45.678848,4101277
2026-03-06 12:31:45.78043,4108101
2026-03-06 12:31:45.881324,4115111
2026-03-06 12:31:45.98254,4122095
2026-03-06 12:31:46.084862,4129035
2026-03-06 12:31:46.185898,4135807
2026-03-06 12:31:46.28735,4142819
2026-03-06 12:31:46.38933,4149713
2026-03-06 12:31:46.490338,4156569
2026-03-06 12:31:46.592152,4163434
2026-03-06 12:31:46.69379,4170122
2026-03-06 12:31:46.795074,4176882
2026-03-06 12:31:46.89585,4183725
2026-03-06 12:31:46.997735,4190458
2026-03-06 12:31:47.098749,4197097
2026-03-06 12:31:47.199956,4203805
2026-03-06 12:31:47.30129,4210532
2026-03-06 12:31:47.403171,4217301
2026-03-06 12:31:47.503948,4223897
2026-03-06 12:31:47.605162,4230691
2026-03-06 12:31:47.706359,4237256
2026-03-06 12:31:47.807601,4243778
2026-03-06 12:31:47.909628,4250430
2026-03-06 12:31:48.010888,4257012
2026-03-06 12:31:48.112288,4263540
2026-03-06 12:31:48.213872,4270025
2026-03-06 12:31:48.314783,4276681
2026-03-06 12:31:48.417158,4283170
2026-03-06 12:31:48.518372,4289622
2026-03-06 12:31:48.61975,4296032
2026-03-06 12:31:48.721372,4302479
2026-03-06 12:31:48.82176,4308896
2026-03-06 12:31:48.923655,4315264
2026-03-06 12:31:49.024329,4321625
2026-03-06 12:31:49.124977,4328072
2026-03-06 12:31:49.225577,4334350
2026-03-06 12:31:49.326512,4340493
2026-03-06 12:31:49.427511,4346851
2026-03-06 12:31:49.528569,4353144
2026-03-06 12:31:49.630038,4359327
2026-03-06 12:31:49.731258,4365612
2026-03-06 12:31:49.832347,4371640
2026-03-06 12:31:49.933482,4377777
2026-03-06 12:31:50.034232,4384044
2026-03-06 12:31:50.135456,4389996
2026-03-06 12:31:50.236514,4396131
2026-03-06 12:31:50.337141,4402290
2026-03-06 12:31:50.438394,4408335
2026-03-06 12:31:50.53922,4414188
2026-03-06 12:31:50.63993,4420154
2026-03-06 12:31:50.741147,4426147
2026-03-06 12:31:50.842728,4432103
2026-03-06 12:31:50.943512,4438155
2026-03-06 12:31:51.044189,4443928
2026-03-06 12:31:51.146004,4449940
2026-03-06 12:31:51.246954,4455799
2026-03-06 12:31:51.348173,4461592
2026-03-06 12:31:51.44921,4467361
2026-03-06 12:31:51.550314,4473169
2026-03-06 12:31:51.65181,4478902
2026-03-06 12:31:51.752442,4484752
2026-03-06 12:31:51.853678,4490439
2026-03-06 12:31:51.955362,4496019
2026-03-06 12:31:52.056355,4501796
2026-03-06 12:31:52.158713,4507527
2026-03-06 12:31:52.259266,4513128
2026-03-06 12:31:52.361965,4518660
2026-03-06 12:31:52.462818,4524225
2026-03-06 12:31:52.564654,4529702
2026-03-06 12:31:52.666206,4535308
2026-03-06 12:31:52.767632,4540814
2026-03-06 12:31:52.869439,4546346
2026-03-06 12:31:52.970222,4551801
2026-03-06 12:31:53.071414,4557009
2026-03-06 12:31:53.172502,4562467
2026-03-06 12:31:53.272964,4567735
2026-03-06 12:31:53.374053,4573039
2026-03-06 12:31:53.474528,4578345
2026-03-06 12:31:53.575209,4583652
2026-03-06 12:31:53.675945,4588797
2026-03-06 12:31:53.777146,4593951
2026-03-06 12:31:53.878467,4599107
2026-03-06 12:31:53.980595,4604280
2026-03-06 12:31:54.081565,4609499
2026-03-06 12:31:54.182234,4614534
2026-03-06 12:31:54.283676,4619585
2026-03-06 12:31:54.384664,4624661
2026-03-06 12:31:54.48604,4629730
2026-03-06 12:31:54.586869,4634579
2026-03-06 12:31:54.688273,4639618
2026-03-06 12:31:54.788535,4644568
2026-03-06 12:31:54.889529,4649279
2026-03-06 12:31:54.990744,4654289
2026-03-06 12:31:55.091107,4659105
2026-03-06 12:31:55.191951,4663866
2026-03-06 12:31:55.292744,4668624
2026-03-06 12:31:55.39358,4673243
2026-03-06 12:31:55.494286,4677888
2026-03-06 12:31:55.595073,4682542
2026-03-06 12:31:55.696629,4687374
2026-03-06 12:31:55.796799,4691902
2026-03-06 12:31:55.898457,4696541
2026-03-06 12:31:55.999713,4700975
2026-03-06 12:31:56.101353,4705605
2026-03-06 12:31:56.202922,4710183
2026-03-06 12:31:56.305024,4714583
2026-03-06 12:31:56.407345,4719044
2026-03-06 12:31:56.507948,4723569
2026-03-06 12:31:56.609185,4727861
2026-03-06 12:31:56.710339,4732292
2026-03-06 12:31:56.812301,4736531
2026-03-06 12:31:56.912744,4740727
2026-03-06 12:31:57.013889,4745075
2026-03-06 12:31:57.114913,4749245
2026-03-06 12:31:57.215663,4753336
2026-03-06 12:31:57.316639,4757650
2026-03-06 12:31:57.418062,4761646
2026-03-06 12:31:57.518785,4765816
2026-03-06 12:31:57.620031,4769918
2026-03-06 12:31:57.720959,4773801
2026-03-06 12:31:57.821213,4777805
2026-03-06 12:31:57.922268,4781668
2026-03-06 12:31:58.023239,4785753
2026-03-06 12:31:58.124026,4789517
2026-03-06 12:31:58.225317,4793430
2026-03-06 12:31:58.326224,4797226
2026-03-06 12:31:58.427223,4800990
2026-03-06 12:31:58.528983,4804795
2026-03-06 12:31:58.630355,4808550
2026-03-06 12:31:58.732418,4812259
2026-03-06 12:31:58.833596,4816000
2026-03-06 12:31:58.935636,4819610
2026-03-06 12:31:59.037113,4823172
2026-03-06 12:31:59.138511,4826704
2026-03-06 12:31:59.239738,4830345
2026-03-06 12:31:59.341836,4833831
2026-03-06 12:31:59.44381,4837182
2026-03-06 12:31:59.544682,4840643
2026-03-06 12:31:59.646299,4843989
2026-03-06 12:31:59.747848,4847357
2026-03-06 12:31:59.848988,4850728
2026-03-06 12:31:59.950267,4853991
2026-03-06 12:32:00.05155,4857322
2026-03-06 12:32:00.152681,4860462
2026-03-06 12:32:00.254036,4863656
2026-03-06 12:32:00.354704,4866908
2026-03-06 12:32:00.456042,4869889
2026-03-06 12:32:00.556587,4873031
2026-03-06 12:32:00.657605,4875964
2026-03-06 12:32:00.757963,4878945
2026-03-06 12:32:00.8592,4881926
2026-03-06 12:32:00.960489,4884881
2026-03-06 12:32:01.061997,4887766
2026-03-06 12:32:01.163187,4890756
2026-03-06 12:32:01.264324,4893578
2026-03-06 12:32:01.365393,4896333
2026-03-06 12:32:01.466947,4899045
2026-03-06 12:32:01.568988,4901761
2026-03-06 12:32:01.669698,4904390
2026-03-06 12:32:01.77068,4907107
2026-03-06 12:32:01.871866,4909778
2026-03-06 12:32:01.972552,4912237
2026-03-06 12:32:02.073574,4914854
2026-03-06 12:32:02.174431,4917246
2026-03-06 12:32:02.275186,4919743
2026-03-06 12:32:02.376016,4922109
2026-03-06 12:32:02.47682,4924658
2026-03-06 12:32:02.577477,4926865
2026-03-06 12:32:02.678242,4929315
2026-03-06 12:32:02.779733,4931505
2026-03-06 12:32:02.881504,4933814
2026-03-06 12:32:02.98278,4936010
2026-03-06 12:32:03.083908,4938259
2026-03-06 12:32:03.185358,4940383
2026-03-06 12:32:03.287102,4942443
2026-03-06 12:32:03.388685,4944442
2026-03-06 12:32:03.489682,4946603
2026-03-06 12:32:03.590954,4948443
2026-03-06 12:32:03.692708,4950396
2026-03-06 12:32:03.794545,4952377
2026-03-06 12:32:03.896473,4954257
2026-03-06 12:32:03.997662,4956191
2026-03-06 12:32:04.099485,4958045
2026-03-06 12:32:04.200074,4959748
2026-03-06 12:32:04.301828,4961513
2026-03-06 12:32:04.403839,4963123
2026-03-06 12:32:04.504333,4964711
2026-03-06 12:32:04.605429,4966398
2026-03-06 12:32:04.706479,4967999
2026-03-06 12:32:04.807185,4969570
2026-03-06 12:32:04.908092,4970923
2026-03-06 12:32:05.008885,4972563
2026-03-06 12:32:05.110111,4973907
2026-03-06 12:32:05.210919,4975257
2026-03-06 12:32:05.312058,4976618
2026-03-06 12:32:05.413213,4977901
2026-03-06 12:32:05.513497,4979277
2026-03-06 12:32:05.614669,4980492
2026-03-06 12:32:05.716105,4981607
2026-03-06 12:32:05.816924,4982768
2026-03-06 12:32:05.918213,4983966
2026-03-06 12:32:06.019316,4984981
2026-03-06 12:32:06.120284,4986112
2026-03-06 12:32:06.221513,4987175
2026-03-06 12:32:06.323155,4988004
2026-03-06 12:32:06.424957,4989036
2026-03-06 12:32:06.525598,4989917
2026-03-06 12:32:06.626827,4990747
2026-03-06 12:32:06.727584,4991535
