time,RTD_Cal.CH2.channel_id
2026-03-06 12:31:43.787058,2
2026-03-06 12:31:43.788586,2
2026-03-06 12:31:43.788906,2
2026-03-06 12:31:43.789308,2
2026-03-06 12:31:43.789728,2
2026-03-06 12:31:43.790162,2
2026-03-06 12:31:43.790381,2
2026-03-06 12:31:43.790473,2
2026-03-06 12:31:43.790557,2
2026-03-06 12:31:43.790639,2
2026-03-06 12:31:43.794946,2
2026-03-06 12:31:43.79546,2
2026-03-06 12:31:43.795845,2
2026-03-06 12:31:43.796199,2
2026-03-06 12:31:43.796576,2
2026-03-06 12:31:43.856665,2
2026-03-06 12:31:43.957937,2
2026-03-06 12:31:44.058636,2
2026-03-06 12:31:44.159763,2
2026-03-06 12:31:44.261032,2
2026-03-06 12:31:44.361681,2
2026-03-06 12:31:44.462255,2
2026-03-06 12:31:44.563997,2
2026-03-06 12:31:44.665743,2
2026-03-06 12:31:44.766947,2
2026-03-06 12:31:44.867849,2
2026-03-06 12:31:44.969616,2
2026-03-06 12:31:45.070833,2
2026-03-06 12:31:45.172349,2
2026-03-06 12:31:45.273912,2
2026-03-06 12:31:45.375249,2
2026-03-06 12:31:45.476727,2
2026-03-06 12:31:45.577546,2
2026-03-06 12:31:45.678817,2
2026-03-06 12:31:45.780388,2
2026-03-06 12:31:45.881299,2
2026-03-06 12:31:45.982531,2
2026-03-06 12:31:46.084831,2
2026-03-06 12:31:46.185862,2
2026-03-06 12:31:46.287334,2
2026-03-06 12:31:46.389309,2
2026-03-06 12:31:46.490318,2
2026-03-06 12:31:46.592121,2
2026-03-06 12:31:46.693768,2
2026-03-06 12:31:46.79505,2
2026-03-06 12:31:46.89583,2
2026-03-06 12:31:46.997702,2
2026-03-06 12:31:47.098732,2
2026-03-06 12:31:47.199919,2
2026-03-06 12:31:47.301272,2
2026-03-06 12:31:47.403117,2
2026-03-06 12:31:47.50392,2
2026-03-06 12:31:47.605126,2
2026-03-06 12:31:47.706334,2
2026-03-06 12:31:47.807567,2
2026-03-06 12:31:47.909598,2
2026-03-06 12:31:48.010856,2
2026-03-06 12:31:48.11227,2
2026-03-06 12:31:48.213843,2
2026-03-06 12:31:48.314749,2
2026-03-06 12:31:48.417129,2
2026-03-06 12:31:48.518343,2
2026-03-06 12:31:48.619728,2
2026-03-06 12:31:48.721328,2
2026-03-06 12:31:48.821729,2
2026-03-06 12:31:48.923624,2
2026-03-06 12:31:49.024315,2
2026-03-06 12:31:49.124964,2
2026-03-06 12:31:49.225566,2
2026-03-06 12:31:49.3265,2
2026-03-06 12:31:49.4275,2
2026-03-06 12:31:49.528557,2
2026-03-06 12:31:49.630019,2
2026-03-06 12:31:49.731236,2
2026-03-06 12:31:49.83234,2
2026-03-06 12:31:49.933468,2
2026-03-06 12:31:50.034219,2
2026-03-06 12:31:50.135448,2
2026-03-06 12:31:50.236499,2
2026-03-06 12:31:50.337119,2
2026-03-06 12:31:50.438357,2
2026-03-06 12:31:50.539203,2
2026-03-06 12:31:50.639914,2
2026-03-06 12:31:50.741133,2
2026-03-06 12:31:50.842642,2
2026-03-06 12:31:50.943458,2
2026-03-06 12:31:51.044175,2
2026-03-06 12:31:51.145976,2
2026-03-06 12:31:51.246924,2
2026-03-06 12:31:51.348162,2
2026-03-06 12:31:51.449205,2
2026-03-06 12:31:51.550303,2
2026-03-06 12:31:51.651784,2
2026-03-06 12:31:51.752421,2
2026-03-06 12:31:51.853658,2
2026-03-06 12:31:51.955355,2
2026-03-06 12:31:52.056349,2
2026-03-06 12:31:52.158706,2
2026-03-06 12:31:52.259259,2
2026-03-06 12:31:52.361947,2
2026-03-06 12:31:52.46281,2
2026-03-06 12:31:52.564608,2
2026-03-06 12:31:52.66617,2
2026-03-06 12:31:52.767605,2
2026-03-06 12:31:52.869405,2
2026-03-06 12:31:52.970209,2
2026-03-06 12:31:53.071385,2
2026-03-06 12:31:53.172491,2
2026-03-06 12:31:53.272952,2
2026-03-06 12:31:53.374041,2
2026-03-06 12:31:53.474517,2
2026-03-06 12:31:53.575197,2
2026-03-06 12:31:53.675934,2
2026-03-06 12:31:53.777139,2
2026-03-06 12:31:53.878454,2
2026-03-06 12:31:53.980581,2
2026-03-06 12:31:54.081551,2
2026-03-06 12:31:54.182221,2
2026-03-06 12:31:54.283665,2
2026-03-06 12:31:54.38465,2
2026-03-06 12:31:54.486025,2
2026-03-06 12:31:54.586857,2
2026-03-06 12:31:54.688259,2
2026-03-06 12:31:54.788523,2
2026-03-06 12:31:54.889514,2
2026-03-06 12:31:54.99073,2
2026-03-06 12:31:55.091095,2
2026-03-06 12:31:55.191938,2
2026-03-06 12:31:55.292738,2
2026-03-06 12:31:55.393568,2
2026-03-06 12:31:55.494253,2
2026-03-06 12:31:55.595046,2
2026-03-06 12:31:55.696599,2
2026-03-06 12:31:55.796792,2
2026-03-06 12:31:55.898438,2
2026-03-06 12:31:55.999684,2
2026-03-06 12:31:56.10133,2
2026-03-06 12:31:56.202901,2
2026-03-06 12:31:56.304997,2
2026-03-06 12:31:56.40731,2
2026-03-06 12:31:56.50793,2
2026-03-06 12:31:56.609162,2
2026-03-06 12:31:56.710322,2
2026-03-06 12:31:56.81227,2
2026-03-06 12:31:56.912715,2
2026-03-06 12:31:57.013864,2
2026-03-06 12:31:57.114881,2
2026-03-06 12:31:57.215629,2
2026-03-06 12:31:57.316617,2
2026-03-06 12:31:57.418027,2
2026-03-06 12:31:57.518769,2
2026-03-06 12:31:57.620008,2
2026-03-06 12:31:57.72094,2
2026-03-06 12:31:57.821201,2
2026-03-06 12:31:57.922256,2
2026-03-06 12:31:58.02323,2
2026-03-06 12:31:58.124011,2
2026-03-06 12:31:58.225303,2
2026-03-06 12:31:58.326217,2
2026-03-06 12:31:58.427216,2
2026-03-06 12:31:58.528975,2
2026-03-06 12:31:58.630344,2
2026-03-06 12:31:58.73241,2
2026-03-06 12:31:58.833585,2
2026-03-06 12:31:58.935626,2
