time,PT.Ox_Downstream.raw_adc_counts
2026-03-06 12:31:43.780646,323409948
2026-03-06 12:31:43.788291,323915201
2026-03-06 12:31:43.788847,324458469
2026-03-06 12:31:43.789276,325028270
2026-03-06 12:31:43.789694,325632970
2026-03-06 12:31:43.790068,326278561
2026-03-06 12:31:43.790366,326938956
2026-03-06 12:31:43.790454,327640948
2026-03-06 12:31:43.790546,328378953
2026-03-06 12:31:43.790632,329141601
2026-03-06 12:31:43.790706,329934498
2026-03-06 12:31:43.795369,330757150
2026-03-06 12:31:43.795808,331618596
2026-03-06 12:31:43.79615,332487792
2026-03-06 12:31:43.796528,333380114
2026-03-06 12:31:43.796815,334294483
2026-03-06 12:31:43.871039,335238507
2026-03-06 12:31:43.973114,336199308
2026-03-06 12:31:44.074504,337187851
2026-03-06 12:31:44.175961,338199644
2026-03-06 12:31:44.277152,339226605
2026-03-06 12:31:44.378761,340284742
2026-03-06 12:31:44.479119,341344553
2026-03-06 12:31:44.580445,342418347
2026-03-06 12:31:44.68159,343523953
2026-03-06 12:31:44.78326,344637786
2026-03-06 12:31:44.883752,345766286
2026-03-06 12:31:44.984694,346904430
2026-03-06 12:31:45.085827,348048211
2026-03-06 12:31:45.186849,349208770
2026-03-06 12:31:45.287841,350387677
2026-03-06 12:31:45.388328,351559601
2026-03-06 12:31:45.489084,352744500
2026-03-06 12:31:45.590384,353943982
2026-03-06 12:31:45.691314,355144408
2026-03-06 12:31:45.792652,356352622
2026-03-06 12:31:45.893545,357563981
2026-03-06 12:31:45.994728,358774714
2026-03-06 12:31:46.09689,359992633
2026-03-06 12:31:46.197786,361212149
2026-03-06 12:31:46.299058,362420968
2026-03-06 12:31:46.400075,363629422
2026-03-06 12:31:46.50122,364844580
2026-03-06 12:31:46.602248,366043130
2026-03-06 12:31:46.703775,367239806
2026-03-06 12:31:46.804498,368424490
2026-03-06 12:31:46.906066,369609802
2026-03-06 12:31:47.007431,370788103
2026-03-06 12:31:47.108176,371957409
2026-03-06 12:31:47.209994,373104319
2026-03-06 12:31:47.311121,374246110
2026-03-06 12:31:47.413195,375384168
2026-03-06 12:31:47.514145,376497450
2026-03-06 12:31:47.615444,377592560
2026-03-06 12:31:47.716852,378680145
2026-03-06 12:31:47.817779,379746610
2026-03-06 12:31:47.920131,380802705
2026-03-06 12:31:48.021417,381827779
2026-03-06 12:31:48.122752,382832725
2026-03-06 12:31:48.223931,383822456
2026-03-06 12:31:48.325121,384784340
2026-03-06 12:31:48.426163,385731479
2026-03-06 12:31:48.526948,386646517
2026-03-06 12:31:48.628611,387542514
2026-03-06 12:31:48.730031,388410721
2026-03-06 12:31:48.831337,389254214
2026-03-06 12:31:48.932279,390070505
2026-03-06 12:31:49.033523,390853459
2026-03-06 12:31:49.134288,391608436
2026-03-06 12:31:49.234569,392339992
2026-03-06 12:31:49.335615,393035429
2026-03-06 12:31:49.436134,393696845
2026-03-06 12:31:49.536896,394333963
2026-03-06 12:31:49.638258,394935164
2026-03-06 12:31:49.739244,395511177
2026-03-06 12:31:49.840418,396057974
2026-03-06 12:31:49.941797,396562736
2026-03-06 12:31:50.042945,397038799
2026-03-06 12:31:50.144717,397486335
2026-03-06 12:31:50.246696,397894338
2026-03-06 12:31:50.348396,398269045
2026-03-06 12:31:50.449333,398604639
2026-03-06 12:31:50.550503,398898789
2026-03-06 12:31:50.651058,399165451
2026-03-06 12:31:50.752611,399391009
2026-03-06 12:31:50.853384,399587971
2026-03-06 12:31:50.955226,399746567
2026-03-06 12:31:51.056206,399865968
2026-03-06 12:31:51.157941,399949849
2026-03-06 12:31:51.25898,399989463
2026-03-06 12:31:51.361154,399994623
2026-03-06 12:31:51.461461,399968890
2026-03-06 12:31:51.563127,399905413
2026-03-06 12:31:51.664418,399801855
2026-03-06 12:31:51.76568,399662440
2026-03-06 12:31:51.867283,399483433
2026-03-06 12:31:51.968668,399279466
2026-03-06 12:31:52.070003,399022879
2026-03-06 12:31:52.172161,398742618
2026-03-06 12:31:52.273028,398416080
2026-03-06 12:31:52.37372,398065396
2026-03-06 12:31:52.47432,397679467
2026-03-06 12:31:52.575627,397247729
2026-03-06 12:31:52.676583,396791804
2026-03-06 12:31:52.777985,396297833
2026-03-06 12:31:52.87886,395770896
2026-03-06 12:31:52.979563,395218173
2026-03-06 12:31:53.080672,394628708
2026-03-06 12:31:53.181699,394000804
2026-03-06 12:31:53.282581,393348440
2026-03-06 12:31:53.383426,392663699
2026-03-06 12:31:53.484407,391949117
2026-03-06 12:31:53.585226,391215076
2026-03-06 12:31:53.686307,390438604
2026-03-06 12:31:53.787057,389638905
2026-03-06 12:31:53.888427,388811585
2026-03-06 12:31:53.989476,387955986
2026-03-06 12:31:54.090105,387075213
2026-03-06 12:31:54.191117,386178467
2026-03-06 12:31:54.291788,385249932
2026-03-06 12:31:54.392861,384292581
2026-03-06 12:31:54.493627,383319544
2026-03-06 12:31:54.594622,382329361
2026-03-06 12:31:54.695434,381317274
2026-03-06 12:31:54.796759,380276865
2026-03-06 12:31:54.897092,379222919
2026-03-06 12:31:54.998379,378152543
2026-03-06 12:31:55.099224,377073162
2026-03-06 12:31:55.200075,375964139
2026-03-06 12:31:55.301572,374845329
2026-03-06 12:31:55.403155,373699898
2026-03-06 12:31:55.504724,372554475
2026-03-06 12:31:55.606648,371391830
2026-03-06 12:31:55.708363,370209293
2026-03-06 12:31:55.809347,369039056
2026-03-06 12:31:55.910576,367850255
2026-03-06 12:31:56.011789,366651957
2026-03-06 12:31:56.113292,365458891
2026-03-06 12:31:56.214793,364239585
2026-03-06 12:31:56.316355,363025277
2026-03-06 12:31:56.418234,361811385
2026-03-06 12:31:56.519156,360595958
2026-03-06 12:31:56.620375,359386571
2026-03-06 12:31:56.721882,358166327
2026-03-06 12:31:56.823138,356950361
2026-03-06 12:31:56.924536,355747726
2026-03-06 12:31:57.025016,354539830
2026-03-06 12:31:57.12625,353350150
2026-03-06 12:31:57.226768,352156464
2026-03-06 12:31:57.327831,350974916
2026-03-06 12:31:57.428337,349799375
2026-03-06 12:31:57.529387,348635420
2026-03-06 12:31:57.629804,347476844
2026-03-06 12:31:57.730793,346337954
2026-03-06 12:31:57.831976,345202122
2026-03-06 12:31:57.932391,344081749
2026-03-06 12:31:58.033801,342986013
2026-03-06 12:31:58.13508,341888510
2026-03-06 12:31:58.235732,340826015
2026-03-06 12:31:58.336135,339765324
2026-03-06 12:31:58.437036,338737976
2026-03-06 12:31:58.537862,337721638
2026-03-06 12:31:58.638916,336716928
2026-03-06 12:31:58.740551,335742662
2026-03-06 12:31:58.841385,334788877
2026-03-06 12:31:58.942193,333859842
2026-03-06 12:31:59.043617,332960135
2026-03-06 12:31:59.145438,332066371
2026-03-06 12:31:59.246779,331214258
2026-03-06 12:31:59.347726,330390681
