time,BOARD.HB_41.board_state
2026-03-06 12:31:43.784342,2
2026-03-06 12:31:43.794184,2
2026-03-06 12:31:44.345811,2
2026-03-06 12:31:45.346979,2
2026-03-06 12:31:46.356323,2
2026-03-06 12:31:47.359432,2
2026-03-06 12:31:48.369217,2
2026-03-06 12:31:49.370167,2
2026-03-06 12:31:50.371898,2
2026-03-06 12:31:51.372552,2
2026-03-06 12:31:52.374357,2
2026-03-06 12:31:53.376873,2
2026-03-06 12:31:54.378275,2
2026-03-06 12:31:55.386653,2
2026-03-06 12:31:56.388244,2
2026-03-06 12:31:57.390396,2
2026-03-06 12:31:58.392044,2
2026-03-06 12:31:59.401621,2
2026-03-06 12:32:00.402242,2
2026-03-06 12:32:01.406029,2
2026-03-06 12:32:02.407412,2
2026-03-06 12:32:03.416266,2
2026-03-06 12:32:04.416453,2
2026-03-06 12:32:05.417404,2
2026-03-06 12:32:06.426034,2
2026-03-06 12:32:07.426716,2
2026-03-06 12:32:08.427851,2
2026-03-06 12:32:09.437177,2
2026-03-06 12:32:10.437025,2
2026-03-06 12:32:11.446893,2
2026-03-06 12:32:12.455072,2
2026-03-06 12:32:13.463424,2
2026-03-06 12:32:14.473397,2
2026-03-06 12:32:15.474784,2
2026-03-06 12:32:16.475867,2
2026-03-06 12:32:17.475716,2
2026-03-06 12:32:18.485803,2
2026-03-06 12:32:19.486475,2
2026-03-06 12:32:20.49689,2
2026-03-06 12:32:21.506105,2
2026-03-06 12:32:22.506897,2
2026-03-06 12:32:23.516181,2
2026-03-06 12:32:24.517865,2
2026-03-06 12:32:25.526521,2
2026-03-06 12:32:26.536593,2
2026-03-06 12:32:27.545409,2
2026-03-06 12:32:28.55484,2
2026-03-06 12:32:29.555382,2
2026-03-06 12:32:30.563408,2
2026-03-06 12:32:31.57254,2
2026-03-06 12:32:32.575397,2
2026-03-06 12:32:33.574965,2
2026-03-06 12:32:34.575552,2
2026-03-06 12:32:35.585503,2
2026-03-06 12:32:36.586073,2
2026-03-06 12:32:37.594745,2
2026-03-06 12:32:38.594856,2
2026-03-06 12:32:39.604796,2
2026-03-06 12:32:40.604922,2
2026-03-06 12:32:41.606416,2
2026-03-06 12:32:42.616112,2
2026-03-06 12:32:43.61681,2
2026-03-06 12:32:44.626218,2
2026-03-06 12:32:45.635464,2
2026-03-06 12:32:46.638812,2
2026-03-06 12:32:47.640784,2
2026-03-06 12:32:48.641301,2
