time,PT.GSE_High.sample_ts_ms
2026-03-06 12:31:43.787906,3273776387
2026-03-06 12:31:43.78861,3273776488
2026-03-06 12:31:43.788923,3273776589
2026-03-06 12:31:43.789336,3273776690
2026-03-06 12:31:43.789744,3273776791
2026-03-06 12:31:43.790096,3273776893
2026-03-06 12:31:43.790385,3273776994
2026-03-06 12:31:43.790527,3273777096
2026-03-06 12:31:43.79061,3273777198
2026-03-06 12:31:43.790689,3273777300
2026-03-06 12:31:43.795288,3273777402
2026-03-06 12:31:43.795714,3273777504
2026-03-06 12:31:43.796075,3273777606
2026-03-06 12:31:43.796442,3273777708
2026-03-06 12:31:43.796774,3273777809
2026-03-06 12:31:43.862447,3273777910
2026-03-06 12:31:43.963878,3273778011
2026-03-06 12:31:44.065385,3273778112
2026-03-06 12:31:44.166457,3273778213
2026-03-06 12:31:44.267749,3273778315
2026-03-06 12:31:44.369293,3273778416
2026-03-06 12:31:44.470273,3273778517
2026-03-06 12:31:44.571215,3273778618
2026-03-06 12:31:44.673328,3273778720
2026-03-06 12:31:44.774706,3273778821
2026-03-06 12:31:44.876228,3273778923
2026-03-06 12:31:44.977044,3273779024
2026-03-06 12:31:45.078567,3273779125
2026-03-06 12:31:45.180931,3273779228
2026-03-06 12:31:45.282185,3273779329
2026-03-06 12:31:45.384132,3273779431
2026-03-06 12:31:45.484741,3273779532
2026-03-06 12:31:45.58605,3273779633
2026-03-06 12:31:45.68755,3273779734
2026-03-06 12:31:45.790057,3273779836
2026-03-06 12:31:45.890867,3273779937
2026-03-06 12:31:45.992098,3273780039
2026-03-06 12:31:46.093683,3273780141
2026-03-06 12:31:46.194627,3273780242
2026-03-06 12:31:46.296351,3273780343
2026-03-06 12:31:46.397341,3273780444
2026-03-06 12:31:46.498504,3273780546
2026-03-06 12:31:46.600137,3273780647
2026-03-06 12:31:46.701436,3273780749
2026-03-06 12:31:46.803044,3273780850
2026-03-06 12:31:46.904389,3273780951
2026-03-06 12:31:47.00644,3273781053
2026-03-06 12:31:47.107373,3273781154
2026-03-06 12:31:47.209077,3273781256
2026-03-06 12:31:47.309781,3273781357
2026-03-06 12:31:47.411142,3273781458
