time,RTD.CH2.sample_ts_ms
2026-03-06 12:31:43.786866,3273776387
2026-03-06 12:31:43.788554,3273776488
2026-03-06 12:31:43.788883,3273776589
2026-03-06 12:31:43.789287,3273776690
2026-03-06 12:31:43.789705,3273776791
2026-03-06 12:31:43.790139,3273776893
2026-03-06 12:31:43.790377,3273776994
2026-03-06 12:31:43.790465,3273777095
2026-03-06 12:31:43.790552,3273777196
2026-03-06 12:31:43.790634,3273777297
2026-03-06 12:31:43.794909,3273777399
2026-03-06 12:31:43.795438,3273777500
2026-03-06 12:31:43.795824,3273777601
2026-03-06 12:31:43.796179,3273777702
2026-03-06 12:31:43.796557,3273777803
2026-03-06 12:31:43.85664,3273777904
2026-03-06 12:31:43.957891,3273778005
2026-03-06 12:31:44.058577,3273778106
2026-03-06 12:31:44.159695,3273778206
2026-03-06 12:31:44.260964,3273778307
2026-03-06 12:31:44.361619,3273778408
2026-03-06 12:31:44.46224,3273778509
2026-03-06 12:31:44.563883,3273778611
2026-03-06 12:31:44.665616,3273778712
2026-03-06 12:31:44.766779,3273778813
2026-03-06 12:31:44.867787,3273778915
2026-03-06 12:31:44.969555,3273779016
2026-03-06 12:31:45.070695,3273779117
2026-03-06 12:31:45.172212,3273779219
2026-03-06 12:31:45.273784,3273779320
2026-03-06 12:31:45.375044,3273779422
2026-03-06 12:31:45.476512,3273779523
2026-03-06 12:31:45.577339,3273779624
2026-03-06 12:31:45.678643,3273779725
2026-03-06 12:31:45.780221,3273779827
2026-03-06 12:31:45.881149,3273779928
2026-03-06 12:31:45.982422,3273780029
2026-03-06 12:31:46.084636,3273780131
2026-03-06 12:31:46.185659,3273780232
2026-03-06 12:31:46.287223,3273780334
2026-03-06 12:31:46.389163,3273780436
2026-03-06 12:31:46.490204,3273780537
2026-03-06 12:31:46.591998,3273780639
2026-03-06 12:31:46.693636,3273780740
2026-03-06 12:31:46.794915,3273780842
2026-03-06 12:31:46.895695,3273780943
2026-03-06 12:31:46.997556,3273781044
2026-03-06 12:31:47.098634,3273781145
2026-03-06 12:31:47.199699,3273781246
2026-03-06 12:31:47.301172,3273781348
2026-03-06 12:31:47.402899,3273781449
2026-03-06 12:31:47.503801,3273781551
2026-03-06 12:31:47.604929,3273781652
2026-03-06 12:31:47.706236,3273781753
2026-03-06 12:31:47.807348,3273781854
2026-03-06 12:31:47.909398,3273781956
2026-03-06 12:31:48.010703,3273782057
2026-03-06 12:31:48.112149,3273782159
2026-03-06 12:31:48.213633,3273782260
2026-03-06 12:31:48.314573,3273782361
2026-03-06 12:31:48.417002,3273782463
2026-03-06 12:31:48.518226,3273782565
2026-03-06 12:31:48.619633,3273782666
2026-03-06 12:31:48.7212,3273782767
2026-03-06 12:31:48.821547,3273782868
2026-03-06 12:31:48.923502,3273782970
2026-03-06 12:31:49.02424,3273783071
2026-03-06 12:31:49.124903,3273783172
2026-03-06 12:31:49.22552,3273783273
2026-03-06 12:31:49.326445,3273783374
2026-03-06 12:31:49.427409,3273783474
2026-03-06 12:31:49.528508,3273783576
2026-03-06 12:31:49.62994,3273783677
2026-03-06 12:31:49.731147,3273783778
2026-03-06 12:31:49.832284,3273783879
