time,LC.CH1.raw_adc_counts
2026-03-06 12:31:43.779988,174359
2026-03-06 12:31:43.788301,239565
2026-03-06 12:31:43.78879,314174
2026-03-06 12:31:43.789206,399010
2026-03-06 12:31:43.789644,494334
2026-03-06 12:31:43.790017,599517
2026-03-06 12:31:43.790367,714589
2026-03-06 12:31:43.790461,840108
2026-03-06 12:31:43.790547,976985
2026-03-06 12:31:43.790621,1123448
2026-03-06 12:31:43.790695,1279508
2026-03-06 12:31:43.795375,1445527
2026-03-06 12:31:43.795743,1621668
2026-03-06 12:31:43.796105,1805769
2026-03-06 12:31:43.796483,1999225
2026-03-06 12:31:43.796819,2203407
2026-03-06 12:31:43.871596,2414974
2026-03-06 12:31:43.973155,2635850
2026-03-06 12:31:44.073567,2865970
2026-03-06 12:31:44.174594,3105698
2026-03-06 12:31:44.275694,3353508
2026-03-06 12:31:44.376446,3610499
2026-03-06 12:31:44.47762,3875971
2026-03-06 12:31:44.578371,4150581
2026-03-06 12:31:44.679657,4433047
2026-03-06 12:31:44.78021,4724767
2026-03-06 12:31:44.881837,5024353
2026-03-06 12:31:44.982655,5332836
2026-03-06 12:31:45.08439,5649462
2026-03-06 12:31:45.185301,5973813
2026-03-06 12:31:45.286256,6306475
2026-03-06 12:31:45.388003,6646505
2026-03-06 12:31:45.488744,6993755
2026-03-06 12:31:45.59,7346830
2026-03-06 12:31:45.690863,7707972
2026-03-06 12:31:45.791693,8076248
2026-03-06 12:31:45.892759,8451610
2026-03-06 12:31:45.993333,8833071
2026-03-06 12:31:46.094571,9219910
2026-03-06 12:31:46.195266,9614356
2026-03-06 12:31:46.295711,10014883
2026-03-06 12:31:46.39721,10422488
2026-03-06 12:31:46.498349,10835703
2026-03-06 12:31:46.599276,11253718
2026-03-06 12:31:46.700822,11680578
2026-03-06 12:31:46.802063,12112544
2026-03-06 12:31:46.902777,12547669
2026-03-06 12:31:47.00412,12989787
2026-03-06 12:31:47.105749,13437935
2026-03-06 12:31:47.207247,13889142
2026-03-06 12:31:47.308308,14344852
2026-03-06 12:31:47.410071,14804651
2026-03-06 12:31:47.510652,15267362
2026-03-06 12:31:47.611723,15733539
2026-03-06 12:31:47.712454,16204350
2026-03-06 12:31:47.81329,16678309
2026-03-06 12:31:47.913924,17155633
2026-03-06 12:31:48.015755,17638947
2026-03-06 12:31:48.116487,18123464
2026-03-06 12:31:48.217362,18610111
2026-03-06 12:31:48.318228,19098634
2026-03-06 12:31:48.41997,19593101
2026-03-06 12:31:48.521121,20089197
2026-03-06 12:31:48.622535,20587366
2026-03-06 12:31:48.724458,21087758
2026-03-06 12:31:48.825229,21587069
2026-03-06 12:31:48.925817,22087014
2026-03-06 12:31:49.027071,22590877
2026-03-06 12:31:49.127799,23094034
2026-03-06 12:31:49.228661,23596565
2026-03-06 12:31:49.329699,24101965
2026-03-06 12:31:49.430876,24605609
2026-03-06 12:31:49.531635,25110162
2026-03-06 12:31:49.633389,25617788
2026-03-06 12:31:49.734254,26122331
2026-03-06 12:31:49.835152,26626012
2026-03-06 12:31:49.936034,27129527
2026-03-06 12:31:50.037359,27634207
2026-03-06 12:31:50.138495,28135809
2026-03-06 12:31:50.240441,28639602
2026-03-06 12:31:50.342037,29141058
2026-03-06 12:31:50.442936,29637632
2026-03-06 12:31:50.543526,30132400
2026-03-06 12:31:50.644514,30624929
2026-03-06 12:31:50.746141,31118707
2026-03-06 12:31:50.846872,31607477
2026-03-06 12:31:50.948164,32094443
2026-03-06 12:31:51.049243,32575808
2026-03-06 12:31:51.150034,33056618
2026-03-06 12:31:51.251,33533396
2026-03-06 12:31:51.352006,34005264
2026-03-06 12:31:51.453181,34474905
2026-03-06 12:31:51.553942,34939835
2026-03-06 12:31:51.655678,35401434
2026-03-06 12:31:51.756468,35859038
2026-03-06 12:31:51.857475,36312449
