time,PT.Fuel_Downstream.sample_ts_ms
2026-03-06 12:31:43.780408,3273776294
2026-03-06 12:31:43.788253,3273776395
2026-03-06 12:31:43.788822,3273776497
2026-03-06 12:31:43.789254,3273776598
2026-03-06 12:31:43.789672,3273776699
2026-03-06 12:31:43.790045,3273776800
2026-03-06 12:31:43.790361,3273776901
2026-03-06 12:31:43.790449,3273777003
2026-03-06 12:31:43.790541,3273777105
2026-03-06 12:31:43.790627,3273777207
2026-03-06 12:31:43.790701,3273777309
2026-03-06 12:31:43.795339,3273777411
2026-03-06 12:31:43.795788,3273777514
2026-03-06 12:31:43.79613,3273777615
2026-03-06 12:31:43.796509,3273777716
2026-03-06 12:31:43.796802,3273777817
2026-03-06 12:31:43.870997,3273777918
2026-03-06 12:31:43.97305,3273778019
2026-03-06 12:31:44.074416,3273778121
2026-03-06 12:31:44.175895,3273778223
2026-03-06 12:31:44.277118,3273778324
2026-03-06 12:31:44.378699,3273778425
2026-03-06 12:31:44.47906,3273778526
2026-03-06 12:31:44.580393,3273778627
2026-03-06 12:31:44.681541,3273778728
2026-03-06 12:31:44.783189,3273778830
2026-03-06 12:31:44.883707,3273778931
2026-03-06 12:31:44.984617,3273779032
2026-03-06 12:31:45.08577,3273779133
2026-03-06 12:31:45.186756,3273779234
2026-03-06 12:31:45.287714,3273779334
2026-03-06 12:31:45.388215,3273779435
2026-03-06 12:31:45.488964,3273779536
2026-03-06 12:31:45.590249,3273779637
2026-03-06 12:31:45.691186,3273779738
2026-03-06 12:31:45.792446,3273779839
2026-03-06 12:31:45.89344,3273779941
2026-03-06 12:31:45.994621,3273780042
2026-03-06 12:31:46.096766,3273780143
2026-03-06 12:31:46.197715,3273780244
2026-03-06 12:31:46.298992,3273780346
2026-03-06 12:31:46.399993,3273780447
2026-03-06 12:31:46.501124,3273780548
2026-03-06 12:31:46.602137,3273780649
2026-03-06 12:31:46.703651,3273780750
2026-03-06 12:31:46.804401,3273780851
2026-03-06 12:31:46.90593,3273780952
2026-03-06 12:31:47.007317,3273781054
2026-03-06 12:31:47.108118,3273781155
2026-03-06 12:31:47.209859,3273781257
2026-03-06 12:31:47.311079,3273781358
2026-03-06 12:31:47.413111,3273781460
2026-03-06 12:31:47.514045,3273781561
2026-03-06 12:31:47.615302,3273781662
2026-03-06 12:31:47.716708,3273781764
2026-03-06 12:31:47.817648,3273781865
2026-03-06 12:31:47.920013,3273781967
2026-03-06 12:31:48.021301,3273782068
2026-03-06 12:31:48.1226,3273782169
2026-03-06 12:31:48.223806,3273782270
2026-03-06 12:31:48.324988,3273782372
2026-03-06 12:31:48.426039,3273782473
2026-03-06 12:31:48.526867,3273782574
2026-03-06 12:31:48.628547,3273782676
2026-03-06 12:31:48.729925,3273782777
2026-03-06 12:31:48.831247,3273782878
2026-03-06 12:31:48.93221,3273782979
2026-03-06 12:31:49.033479,3273783080
2026-03-06 12:31:49.134229,3273783181
2026-03-06 12:31:49.234524,3273783282
2026-03-06 12:31:49.335565,3273783382
2026-03-06 12:31:49.436083,3273783483
2026-03-06 12:31:49.53683,3273783584
2026-03-06 12:31:49.638147,3273783685
2026-03-06 12:31:49.739172,3273783786
2026-03-06 12:31:49.840376,3273783887
2026-03-06 12:31:49.941752,3273783989
2026-03-06 12:31:50.042907,3273784090
2026-03-06 12:31:50.144687,3273784192
2026-03-06 12:31:50.246615,3273784293
2026-03-06 12:31:50.348306,3273784395
2026-03-06 12:31:50.449265,3273784496
2026-03-06 12:31:50.55042,3273784597
2026-03-06 12:31:50.651009,3273784698
2026-03-06 12:31:50.752573,3273784799
2026-03-06 12:31:50.853284,3273784900
2026-03-06 12:31:50.955094,3273785002
2026-03-06 12:31:51.056128,3273785103
2026-03-06 12:31:51.157835,3273785205
2026-03-06 12:31:51.258913,3273785306
2026-03-06 12:31:51.361008,3273785407
2026-03-06 12:31:51.461409,3273785508
2026-03-06 12:31:51.563086,3273785610
2026-03-06 12:31:51.664356,3273785711
2026-03-06 12:31:51.765615,3273785813
2026-03-06 12:31:51.867155,3273785914
2026-03-06 12:31:51.968618,3273786016
2026-03-06 12:31:52.069978,3273786117
2026-03-06 12:31:52.172129,3273786219
2026-03-06 12:31:52.272996,3273786320
2026-03-06 12:31:52.373653,3273786421
2026-03-06 12:31:52.474288,3273786521
2026-03-06 12:31:52.5755,3273786623
2026-03-06 12:31:52.676499,3273786723
2026-03-06 12:31:52.777894,3273786825
2026-03-06 12:31:52.878746,3273786926
2026-03-06 12:31:52.979497,3273787027
2026-03-06 12:31:53.080557,3273787127
2026-03-06 12:31:53.181645,3273787229
2026-03-06 12:31:53.28253,3273787329
2026-03-06 12:31:53.383361,3273787430
2026-03-06 12:31:53.484342,3273787531
2026-03-06 12:31:53.585166,3273787632
2026-03-06 12:31:53.686254,3273787733
2026-03-06 12:31:53.787028,3273787834
2026-03-06 12:31:53.888352,3273787935
2026-03-06 12:31:53.989411,3273788036
2026-03-06 12:31:54.090038,3273788137
2026-03-06 12:31:54.191052,3273788238
2026-03-06 12:31:54.29173,3273788339
2026-03-06 12:31:54.392792,3273788440
2026-03-06 12:31:54.493581,3273788541
2026-03-06 12:31:54.594569,3273788641
2026-03-06 12:31:54.695349,3273788742
2026-03-06 12:31:54.796682,3273788843
2026-03-06 12:31:54.89704,3273788944
2026-03-06 12:31:54.998332,3273789045
2026-03-06 12:31:55.099174,3273789146
2026-03-06 12:31:55.20003,3273789247
2026-03-06 12:31:55.301516,3273789348
2026-03-06 12:31:55.403086,3273789450
2026-03-06 12:31:55.504643,3273789551
2026-03-06 12:31:55.606542,3273789653
2026-03-06 12:31:55.708242,3273789755
2026-03-06 12:31:55.8093,3273789856
2026-03-06 12:31:55.910485,3273789957
2026-03-06 12:31:56.011717,3273790059
2026-03-06 12:31:56.113215,3273790160
2026-03-06 12:31:56.214732,3273790261
2026-03-06 12:31:56.316303,3273790363
2026-03-06 12:31:56.418187,3273790465
2026-03-06 12:31:56.519066,3273790566
2026-03-06 12:31:56.62031,3273790667
2026-03-06 12:31:56.721821,3273790768
2026-03-06 12:31:56.823012,3273790870
2026-03-06 12:31:56.924404,3273790971
2026-03-06 12:31:57.024957,3273791072
2026-03-06 12:31:57.126108,3273791173
2026-03-06 12:31:57.226651,3273791273
2026-03-06 12:31:57.327714,3273791374
2026-03-06 12:31:57.42825,3273791475
2026-03-06 12:31:57.529309,3273791576
2026-03-06 12:31:57.629757,3273791677
2026-03-06 12:31:57.730721,3273791778
2026-03-06 12:31:57.831928,3273791879
2026-03-06 12:31:57.932304,3273791980
2026-03-06 12:31:58.033762,3273792081
