time,PT.Ox_Upstream.status
2026-03-06 12:31:43.780543,0
2026-03-06 12:31:43.788272,0
2026-03-06 12:31:43.788835,0
2026-03-06 12:31:43.789265,0
2026-03-06 12:31:43.789683,0
2026-03-06 12:31:43.790056,0
2026-03-06 12:31:43.790364,0
2026-03-06 12:31:43.790452,0
2026-03-06 12:31:43.790544,0
2026-03-06 12:31:43.790629,0
2026-03-06 12:31:43.790703,0
2026-03-06 12:31:43.795354,0
2026-03-06 12:31:43.795799,0
2026-03-06 12:31:43.796139,0
2026-03-06 12:31:43.796519,0
2026-03-06 12:31:43.796809,0
2026-03-06 12:31:43.871019,0
2026-03-06 12:31:43.973082,0
2026-03-06 12:31:44.074448,0
2026-03-06 12:31:44.175925,0
2026-03-06 12:31:44.277135,0
2026-03-06 12:31:44.378729,0
2026-03-06 12:31:44.479089,0
2026-03-06 12:31:44.580419,0
2026-03-06 12:31:44.681563,0
2026-03-06 12:31:44.783227,0
2026-03-06 12:31:44.88373,0
2026-03-06 12:31:44.984655,0
2026-03-06 12:31:45.085798,0
2026-03-06 12:31:45.186816,0
2026-03-06 12:31:45.287775,0
2026-03-06 12:31:45.388274,0
2026-03-06 12:31:45.489023,0
2026-03-06 12:31:45.590315,0
2026-03-06 12:31:45.691241,0
2026-03-06 12:31:45.792555,0
2026-03-06 12:31:45.893499,0
2026-03-06 12:31:45.994677,0
2026-03-06 12:31:46.09683,0
2026-03-06 12:31:46.197745,0
2026-03-06 12:31:46.299024,0
2026-03-06 12:31:46.400046,0
2026-03-06 12:31:46.501178,0
2026-03-06 12:31:46.602193,0
2026-03-06 12:31:46.703717,0
2026-03-06 12:31:46.804445,0
2026-03-06 12:31:46.906018,0
2026-03-06 12:31:47.007378,0
2026-03-06 12:31:47.108151,0
2026-03-06 12:31:47.209927,0
2026-03-06 12:31:47.3111,0
2026-03-06 12:31:47.41316,0
2026-03-06 12:31:47.5141,0
2026-03-06 12:31:47.615398,0
2026-03-06 12:31:47.716788,0
2026-03-06 12:31:47.817715,0
2026-03-06 12:31:47.920074,0
2026-03-06 12:31:48.021364,0
2026-03-06 12:31:48.122676,0
2026-03-06 12:31:48.223867,0
2026-03-06 12:31:48.32505,0
2026-03-06 12:31:48.426098,0
2026-03-06 12:31:48.526905,0
2026-03-06 12:31:48.62858,0
2026-03-06 12:31:48.729981,0
2026-03-06 12:31:48.831295,0
2026-03-06 12:31:48.932243,0
2026-03-06 12:31:49.033502,0
2026-03-06 12:31:49.134258,0
2026-03-06 12:31:49.234545,0
2026-03-06 12:31:49.335592,0
2026-03-06 12:31:49.436111,0
2026-03-06 12:31:49.536863,0
2026-03-06 12:31:49.638204,0
2026-03-06 12:31:49.739211,0
2026-03-06 12:31:49.8404,0
2026-03-06 12:31:49.941774,0
