time,PT.Ox_Upstream.raw_adc_counts
2026-03-06 12:31:43.780543,337853935
2026-03-06 12:31:43.788272,336858090
2026-03-06 12:31:43.788835,335876504
2026-03-06 12:31:43.789265,334915485
2026-03-06 12:31:43.789683,333987198
2026-03-06 12:31:43.790056,333075138
2026-03-06 12:31:43.790364,332187913
2026-03-06 12:31:43.790452,331322758
2026-03-06 12:31:43.790544,330483831
2026-03-06 12:31:43.790629,329668294
2026-03-06 12:31:43.790703,328886224
2026-03-06 12:31:43.795354,328128762
2026-03-06 12:31:43.795799,327403453
2026-03-06 12:31:43.796139,326717704
2026-03-06 12:31:43.796519,326056488
2026-03-06 12:31:43.796809,325433958
2026-03-06 12:31:43.871019,324834054
2026-03-06 12:31:43.973082,324275891
2026-03-06 12:31:44.074448,323740081
2026-03-06 12:31:44.175925,323243248
2026-03-06 12:31:44.277135,322784329
2026-03-06 12:31:44.378729,322354667
2026-03-06 12:31:44.479089,321959760
2026-03-06 12:31:44.580419,321605590
2026-03-06 12:31:44.681563,321284150
2026-03-06 12:31:44.783227,320988399
2026-03-06 12:31:44.88373,320745920
2026-03-06 12:31:44.984655,320526930
2026-03-06 12:31:45.085798,320351193
2026-03-06 12:31:45.186816,320210726
2026-03-06 12:31:45.287775,320108091
2026-03-06 12:31:45.388274,320037826
2026-03-06 12:31:45.489023,320004623
2026-03-06 12:31:45.590315,320011777
2026-03-06 12:31:45.691241,320050658
2026-03-06 12:31:45.792555,320127855
2026-03-06 12:31:45.893499,320239470
2026-03-06 12:31:45.994677,320396070
2026-03-06 12:31:46.09683,320578700
2026-03-06 12:31:46.197745,320808694
2026-03-06 12:31:46.299024,321068932
2026-03-06 12:31:46.400046,321363296
2026-03-06 12:31:46.501178,321690903
2026-03-06 12:31:46.602193,322064851
2026-03-06 12:31:46.703717,322459588
2026-03-06 12:31:46.804445,322901735
2026-03-06 12:31:46.906018,323367954
2026-03-06 12:31:47.007378,323874420
2026-03-06 12:31:47.108151,324415435
2026-03-06 12:31:47.209927,324981714
2026-03-06 12:31:47.3111,325586661
2026-03-06 12:31:47.41316,326229289
2026-03-06 12:31:47.5141,326895909
2026-03-06 12:31:47.615398,327594117
2026-03-06 12:31:47.716788,328324956
2026-03-06 12:31:47.817715,329076100
2026-03-06 12:31:47.920074,329863975
2026-03-06 12:31:48.021364,330679368
2026-03-06 12:31:48.122676,331522893
2026-03-06 12:31:48.223867,332388271
2026-03-06 12:31:48.32505,333279269
2026-03-06 12:31:48.426098,334193728
2026-03-06 12:31:48.526905,335135039
2026-03-06 12:31:48.62858,336097826
2026-03-06 12:31:48.729981,337086410
2026-03-06 12:31:48.831295,338091398
2026-03-06 12:31:48.932243,339120968
2026-03-06 12:31:49.033502,340157747
2026-03-06 12:31:49.134258,341216488
2026-03-06 12:31:49.234545,342291807
2026-03-06 12:31:49.335592,343386895
2026-03-06 12:31:49.436111,344491417
2026-03-06 12:31:49.536863,345608617
2026-03-06 12:31:49.638204,346747112
2026-03-06 12:31:49.739211,347901058
2026-03-06 12:31:49.8404,349061347
2026-03-06 12:31:49.941774,350239808
2026-03-06 12:31:50.04293,351419865
2026-03-06 12:31:50.144702,352619631
2026-03-06 12:31:50.246663,353822602
2026-03-06 12:31:50.348355,355029870
2026-03-06 12:31:50.449302,356232202
2026-03-06 12:31:50.550465,357443842
2026-03-06 12:31:50.651033,358655560
2026-03-06 12:31:50.752588,359864100
2026-03-06 12:31:50.853337,361079486
2026-03-06 12:31:50.955151,362298251
2026-03-06 12:31:51.056164,363512985
2026-03-06 12:31:51.157889,364717927
2026-03-06 12:31:51.25895,365929241
2026-03-06 12:31:51.361083,367124390
2026-03-06 12:31:51.461445,368313351
2026-03-06 12:31:51.563106,369504080
2026-03-06 12:31:51.664392,370674874
2026-03-06 12:31:51.765648,371844251
2026-03-06 12:31:51.867212,373001754
2026-03-06 12:31:51.968652,374148556
