time,PT.Fuel_Fill_Press.status
2026-03-06 12:31:43.78046,0
2026-03-06 12:31:43.788263,0
2026-03-06 12:31:43.788829,0
2026-03-06 12:31:43.789259,0
2026-03-06 12:31:43.789677,0
2026-03-06 12:31:43.790051,0
2026-03-06 12:31:43.790363,0
2026-03-06 12:31:43.790451,0
2026-03-06 12:31:43.790543,0
2026-03-06 12:31:43.790628,0
2026-03-06 12:31:43.790702,0
2026-03-06 12:31:43.795347,0
2026-03-06 12:31:43.795793,0
2026-03-06 12:31:43.796134,0
2026-03-06 12:31:43.796514,0
2026-03-06 12:31:43.796805,0
2026-03-06 12:31:43.871007,0
2026-03-06 12:31:43.973066,0
2026-03-06 12:31:44.074432,0
2026-03-06 12:31:44.17591,0
2026-03-06 12:31:44.277127,0
2026-03-06 12:31:44.378714,0
2026-03-06 12:31:44.479074,0
2026-03-06 12:31:44.580406,0
2026-03-06 12:31:44.681552,0
2026-03-06 12:31:44.783205,0
2026-03-06 12:31:44.883719,0
2026-03-06 12:31:44.984636,0
2026-03-06 12:31:45.085784,0
2026-03-06 12:31:45.1868,0
2026-03-06 12:31:45.287747,0
2026-03-06 12:31:45.388247,0
2026-03-06 12:31:45.488995,0
2026-03-06 12:31:45.590278,0
2026-03-06 12:31:45.691212,0
2026-03-06 12:31:45.792507,0
2026-03-06 12:31:45.893467,0
2026-03-06 12:31:45.994648,0
2026-03-06 12:31:46.096801,0
2026-03-06 12:31:46.19773,0
2026-03-06 12:31:46.299008,0
2026-03-06 12:31:46.40003,0
2026-03-06 12:31:46.50115,0
2026-03-06 12:31:46.602168,0
2026-03-06 12:31:46.703692,0
2026-03-06 12:31:46.804422,0
2026-03-06 12:31:46.905996,0
2026-03-06 12:31:47.007348,0
2026-03-06 12:31:47.108135,0
2026-03-06 12:31:47.209899,0
2026-03-06 12:31:47.31109,0
2026-03-06 12:31:47.413144,0
2026-03-06 12:31:47.514075,0
2026-03-06 12:31:47.615369,0
2026-03-06 12:31:47.716753,0
2026-03-06 12:31:47.817677,0
2026-03-06 12:31:47.920044,0
2026-03-06 12:31:48.021328,0
2026-03-06 12:31:48.122637,0
2026-03-06 12:31:48.223838,0
2026-03-06 12:31:48.325018,0
2026-03-06 12:31:48.426068,0
2026-03-06 12:31:48.526887,0
2026-03-06 12:31:48.628564,0
2026-03-06 12:31:48.729949,0
2026-03-06 12:31:48.831273,0
2026-03-06 12:31:48.932226,0
2026-03-06 12:31:49.033492,0
2026-03-06 12:31:49.134243,0
2026-03-06 12:31:49.234535,0
2026-03-06 12:31:49.335581,0
2026-03-06 12:31:49.436094,0
2026-03-06 12:31:49.536844,0
2026-03-06 12:31:49.638178,0
2026-03-06 12:31:49.739195,0
2026-03-06 12:31:49.840385,0
2026-03-06 12:31:49.941764,0
2026-03-06 12:31:50.042922,0
2026-03-06 12:31:50.144694,0
2026-03-06 12:31:50.246633,0
2026-03-06 12:31:50.348335,0
2026-03-06 12:31:50.449284,0
2026-03-06 12:31:50.550453,0
2026-03-06 12:31:50.651021,0
2026-03-06 12:31:50.752581,0
2026-03-06 12:31:50.853306,0
2026-03-06 12:31:50.955123,0
2026-03-06 12:31:51.056145,0
2026-03-06 12:31:51.157864,0
2026-03-06 12:31:51.258934,0
2026-03-06 12:31:51.361049,0
2026-03-06 12:31:51.461437,0
2026-03-06 12:31:51.563097,0
2026-03-06 12:31:51.664377,0
2026-03-06 12:31:51.765633,0
2026-03-06 12:31:51.867183,0
2026-03-06 12:31:51.968641,0
2026-03-06 12:31:52.069985,0
2026-03-06 12:31:52.172138,0
2026-03-06 12:31:52.273003,0
2026-03-06 12:31:52.373671,0
2026-03-06 12:31:52.474296,0
