time,PT.Ox_Upstream.sample_ts_ms
2026-03-06 12:31:43.780543,3273776294
2026-03-06 12:31:43.788272,3273776395
2026-03-06 12:31:43.788835,3273776497
2026-03-06 12:31:43.789265,3273776598
2026-03-06 12:31:43.789683,3273776699
2026-03-06 12:31:43.790056,3273776800
2026-03-06 12:31:43.790364,3273776901
2026-03-06 12:31:43.790452,3273777003
2026-03-06 12:31:43.790544,3273777105
2026-03-06 12:31:43.790629,3273777207
2026-03-06 12:31:43.790703,3273777309
2026-03-06 12:31:43.795354,3273777411
2026-03-06 12:31:43.795799,3273777514
2026-03-06 12:31:43.796139,3273777615
2026-03-06 12:31:43.796519,3273777716
2026-03-06 12:31:43.796809,3273777817
2026-03-06 12:31:43.871019,3273777918
2026-03-06 12:31:43.973082,3273778019
2026-03-06 12:31:44.074448,3273778121
2026-03-06 12:31:44.175925,3273778223
2026-03-06 12:31:44.277135,3273778324
2026-03-06 12:31:44.378729,3273778425
2026-03-06 12:31:44.479089,3273778526
2026-03-06 12:31:44.580419,3273778627
2026-03-06 12:31:44.681563,3273778728
2026-03-06 12:31:44.783227,3273778830
2026-03-06 12:31:44.88373,3273778931
2026-03-06 12:31:44.984655,3273779032
2026-03-06 12:31:45.085798,3273779133
2026-03-06 12:31:45.186816,3273779234
2026-03-06 12:31:45.287775,3273779334
2026-03-06 12:31:45.388274,3273779435
2026-03-06 12:31:45.489023,3273779536
2026-03-06 12:31:45.590315,3273779637
2026-03-06 12:31:45.691241,3273779738
2026-03-06 12:31:45.792555,3273779839
2026-03-06 12:31:45.893499,3273779941
2026-03-06 12:31:45.994677,3273780042
2026-03-06 12:31:46.09683,3273780143
2026-03-06 12:31:46.197745,3273780244
2026-03-06 12:31:46.299024,3273780346
2026-03-06 12:31:46.400046,3273780447
2026-03-06 12:31:46.501178,3273780548
2026-03-06 12:31:46.602193,3273780649
2026-03-06 12:31:46.703717,3273780750
2026-03-06 12:31:46.804445,3273780851
2026-03-06 12:31:46.906018,3273780952
2026-03-06 12:31:47.007378,3273781054
2026-03-06 12:31:47.108151,3273781155
2026-03-06 12:31:47.209927,3273781257
2026-03-06 12:31:47.3111,3273781358
2026-03-06 12:31:47.41316,3273781460
2026-03-06 12:31:47.5141,3273781561
2026-03-06 12:31:47.615398,3273781662
2026-03-06 12:31:47.716788,3273781764
2026-03-06 12:31:47.817715,3273781865
2026-03-06 12:31:47.920074,3273781967
2026-03-06 12:31:48.021364,3273782068
2026-03-06 12:31:48.122676,3273782169
2026-03-06 12:31:48.223867,3273782270
2026-03-06 12:31:48.32505,3273782372
2026-03-06 12:31:48.426098,3273782473
2026-03-06 12:31:48.526905,3273782574
2026-03-06 12:31:48.62858,3273782676
2026-03-06 12:31:48.729981,3273782777
2026-03-06 12:31:48.831295,3273782878
2026-03-06 12:31:48.932243,3273782979
2026-03-06 12:31:49.033502,3273783080
2026-03-06 12:31:49.134258,3273783181
2026-03-06 12:31:49.234545,3273783282
2026-03-06 12:31:49.335592,3273783382
2026-03-06 12:31:49.436111,3273783483
2026-03-06 12:31:49.536863,3273783584
2026-03-06 12:31:49.638204,3273783685
2026-03-06 12:31:49.739211,3273783786
2026-03-06 12:31:49.8404,3273783887
2026-03-06 12:31:49.941774,3273783989
2026-03-06 12:31:50.04293,3273784090
2026-03-06 12:31:50.144702,3273784192
2026-03-06 12:31:50.246663,3273784293
2026-03-06 12:31:50.348355,3273784395
2026-03-06 12:31:50.449302,3273784496
2026-03-06 12:31:50.550465,3273784597
2026-03-06 12:31:50.651033,3273784698
2026-03-06 12:31:50.752588,3273784799
2026-03-06 12:31:50.853337,3273784900
2026-03-06 12:31:50.955151,3273785002
2026-03-06 12:31:51.056164,3273785103
2026-03-06 12:31:51.157889,3273785205
2026-03-06 12:31:51.25895,3273785306
2026-03-06 12:31:51.361083,3273785407
2026-03-06 12:31:51.461445,3273785508
2026-03-06 12:31:51.563106,3273785610
2026-03-06 12:31:51.664392,3273785711
2026-03-06 12:31:51.765648,3273785813
2026-03-06 12:31:51.867212,3273785914
2026-03-06 12:31:51.968652,3273786016
2026-03-06 12:31:52.069991,3273786117
2026-03-06 12:31:52.172146,3273786219
2026-03-06 12:31:52.27301,3273786320
2026-03-06 12:31:52.373687,3273786421
2026-03-06 12:31:52.474304,3273786521
2026-03-06 12:31:52.575568,3273786623
2026-03-06 12:31:52.676541,3273786723
2026-03-06 12:31:52.77794,3273786825
2026-03-06 12:31:52.878805,3273786926
2026-03-06 12:31:52.979529,3273787027
2026-03-06 12:31:53.080612,3273787127
2026-03-06 12:31:53.181672,3273787229
2026-03-06 12:31:53.282555,3273787329
2026-03-06 12:31:53.383394,3273787430
2026-03-06 12:31:53.484377,3273787531
2026-03-06 12:31:53.585198,3273787632
2026-03-06 12:31:53.68628,3273787733
2026-03-06 12:31:53.787045,3273787834
2026-03-06 12:31:53.888387,3273787935
2026-03-06 12:31:53.989442,3273788036
2026-03-06 12:31:54.090076,3273788137
2026-03-06 12:31:54.191078,3273788238
2026-03-06 12:31:54.291763,3273788339
2026-03-06 12:31:54.392829,3273788440
2026-03-06 12:31:54.493603,3273788541
2026-03-06 12:31:54.594597,3273788641
2026-03-06 12:31:54.695405,3273788742
2026-03-06 12:31:54.796717,3273788843
2026-03-06 12:31:54.897067,3273788944
2026-03-06 12:31:54.998356,3273789045
2026-03-06 12:31:55.099197,3273789146
2026-03-06 12:31:55.200053,3273789247
2026-03-06 12:31:55.301545,3273789348
2026-03-06 12:31:55.403123,3273789450
2026-03-06 12:31:55.504687,3273789551
2026-03-06 12:31:55.606596,3273789653
2026-03-06 12:31:55.708293,3273789755
2026-03-06 12:31:55.809323,3273789856
2026-03-06 12:31:55.91054,3273789957
2026-03-06 12:31:56.011756,3273790059
2026-03-06 12:31:56.113254,3273790160
2026-03-06 12:31:56.21476,3273790261
2026-03-06 12:31:56.316329,3273790363
2026-03-06 12:31:56.418209,3273790465
2026-03-06 12:31:56.519111,3273790566
2026-03-06 12:31:56.620346,3273790667
2026-03-06 12:31:56.721853,3273790768
2026-03-06 12:31:56.823075,3273790870
2026-03-06 12:31:56.924483,3273790971
2026-03-06 12:31:57.024986,3273791072
2026-03-06 12:31:57.126169,3273791173
2026-03-06 12:31:57.226709,3273791273
2026-03-06 12:31:57.327772,3273791374
2026-03-06 12:31:57.428295,3273791475
2026-03-06 12:31:57.529346,3273791576
2026-03-06 12:31:57.629784,3273791677
2026-03-06 12:31:57.730761,3273791778
2026-03-06 12:31:57.831953,3273791879
2026-03-06 12:31:57.932338,3273791980
2026-03-06 12:31:58.033783,3273792081
2026-03-06 12:31:58.135056,3273792182
2026-03-06 12:31:58.235713,3273792282
2026-03-06 12:31:58.336116,3273792383
2026-03-06 12:31:58.437023,3273792484
2026-03-06 12:31:58.537843,3273792585
2026-03-06 12:31:58.6389,3273792686
2026-03-06 12:31:58.740532,3273792787
2026-03-06 12:31:58.841365,3273792888
2026-03-06 12:31:58.942171,3273792989
2026-03-06 12:31:59.0436,3273793090
2026-03-06 12:31:59.145415,3273793192
2026-03-06 12:31:59.246752,3273793293
2026-03-06 12:31:59.347693,3273793394
2026-03-06 12:31:59.448431,3273793495
2026-03-06 12:31:59.549267,3273793596
2026-03-06 12:31:59.650559,3273793697
2026-03-06 12:31:59.751502,3273793798
2026-03-06 12:31:59.852933,3273793900
2026-03-06 12:31:59.95434,3273794001
2026-03-06 12:32:00.055209,3273794102
2026-03-06 12:32:00.156448,3273794204
2026-03-06 12:32:00.257725,3273794304
2026-03-06 12:32:00.358345,3273794405
2026-03-06 12:32:00.459468,3273794507
2026-03-06 12:32:00.560662,3273794608
2026-03-06 12:32:00.661949,3273794709
2026-03-06 12:32:00.763233,3273794810
2026-03-06 12:32:00.864234,3273794911
2026-03-06 12:32:00.965567,3273795012
2026-03-06 12:32:01.066423,3273795113
2026-03-06 12:32:01.167504,3273795215
2026-03-06 12:32:01.268666,3273795316
2026-03-06 12:32:01.369763,3273795417
2026-03-06 12:32:01.471097,3273795518
2026-03-06 12:32:01.572159,3273795619
2026-03-06 12:32:01.672838,3273795720
2026-03-06 12:32:01.773377,3273795820
2026-03-06 12:32:01.874802,3273795921
2026-03-06 12:32:01.975491,3273796023
2026-03-06 12:32:02.076484,3273796124
2026-03-06 12:32:02.177395,3273796225
2026-03-06 12:32:02.27886,3273796326
2026-03-06 12:32:02.37979,3273796427
2026-03-06 12:32:02.481096,3273796528
2026-03-06 12:32:02.582223,3273796629
2026-03-06 12:32:02.683052,3273796730
2026-03-06 12:32:02.784603,3273796831
2026-03-06 12:32:02.885564,3273796932
2026-03-06 12:32:02.986381,3273797033
2026-03-06 12:32:03.087685,3273797135
2026-03-06 12:32:03.189413,3273797236
2026-03-06 12:32:03.290664,3273797337
2026-03-06 12:32:03.391587,3273797438
2026-03-06 12:32:03.493202,3273797540
2026-03-06 12:32:03.593851,3273797641
2026-03-06 12:32:03.695059,3273797742
2026-03-06 12:32:03.795654,3273797843
2026-03-06 12:32:03.89711,3273797944
2026-03-06 12:32:03.997731,3273798045
2026-03-06 12:32:04.0988,3273798146
2026-03-06 12:32:04.199952,3273798247
2026-03-06 12:32:04.301018,3273798348
2026-03-06 12:32:04.402303,3273798449
2026-03-06 12:32:04.5031,3273798550
2026-03-06 12:32:04.604097,3273798651
2026-03-06 12:32:04.705239,3273798752
2026-03-06 12:32:04.806628,3273798854
2026-03-06 12:32:04.908166,3273798955
2026-03-06 12:32:05.009426,3273799056
2026-03-06 12:32:05.110174,3273799157
2026-03-06 12:32:05.211688,3273799259
2026-03-06 12:32:05.313268,3273799360
2026-03-06 12:32:05.415104,3273799461
2026-03-06 12:32:05.515273,3273799562
2026-03-06 12:32:05.615866,3273799663
2026-03-06 12:32:05.71716,3273799764
2026-03-06 12:32:05.818186,3273799865
2026-03-06 12:32:05.918892,3273799966
2026-03-06 12:32:06.019377,3273800067
2026-03-06 12:32:06.12094,3273800168
2026-03-06 12:32:06.221602,3273800269
2026-03-06 12:32:06.323263,3273800370
2026-03-06 12:32:06.424826,3273800471
2026-03-06 12:32:06.52568,3273800572
2026-03-06 12:32:06.626907,3273800674
2026-03-06 12:32:06.728211,3273800775
2026-03-06 12:32:06.82959,3273800876
2026-03-06 12:32:06.930365,3273800977
2026-03-06 12:32:07.031474,3273801079
2026-03-06 12:32:07.132684,3273801180
2026-03-06 12:32:07.233806,3273801281
2026-03-06 12:32:07.334987,3273801382
2026-03-06 12:32:07.436155,3273801483
2026-03-06 12:32:07.536682,3273801584
2026-03-06 12:32:07.637592,3273801684
2026-03-06 12:32:07.738629,3273801786
2026-03-06 12:32:07.839944,3273801887
2026-03-06 12:32:07.940637,3273801988
2026-03-06 12:32:08.042112,3273802089
2026-03-06 12:32:08.143572,3273802190
2026-03-06 12:32:08.244747,3273802292
2026-03-06 12:32:08.345886,3273802393
2026-03-06 12:32:08.446924,3273802494
2026-03-06 12:32:08.547943,3273802595
2026-03-06 12:32:08.649075,3273802696
2026-03-06 12:32:08.749852,3273802797
2026-03-06 12:32:08.850944,3273802898
2026-03-06 12:32:08.951862,3273802999
2026-03-06 12:32:09.05344,3273803100
2026-03-06 12:32:09.154413,3273803201
2026-03-06 12:32:09.255078,3273803302
2026-03-06 12:32:09.356178,3273803403
2026-03-06 12:32:09.457202,3273803504
2026-03-06 12:32:09.55806,3273803605
2026-03-06 12:32:09.659345,3273803706
2026-03-06 12:32:09.760696,3273803807
2026-03-06 12:32:09.861516,3273803908
2026-03-06 12:32:09.963021,3273804010
2026-03-06 12:32:10.064329,3273804111
2026-03-06 12:32:10.164974,3273804212
2026-03-06 12:32:10.265825,3273804313
2026-03-06 12:32:10.366742,3273804414
2026-03-06 12:32:10.468007,3273804515
2026-03-06 12:32:10.5694,3273804616
2026-03-06 12:32:10.669771,3273804717
2026-03-06 12:32:10.771252,3273804818
2026-03-06 12:32:10.871902,3273804919
2026-03-06 12:32:10.972884,3273805020
2026-03-06 12:32:11.073688,3273805121
2026-03-06 12:32:11.175039,3273805222
2026-03-06 12:32:11.276763,3273805324
2026-03-06 12:32:11.377756,3273805425
2026-03-06 12:32:11.478862,3273805526
2026-03-06 12:32:11.580098,3273805627
2026-03-06 12:32:11.680822,3273805728
2026-03-06 12:32:11.78167,3273805829
2026-03-06 12:32:11.882582,3273805930
2026-03-06 12:32:11.983496,3273806030
2026-03-06 12:32:12.084147,3273806131
2026-03-06 12:32:12.185019,3273806232
2026-03-06 12:32:12.286398,3273806333
2026-03-06 12:32:12.386892,3273806434
2026-03-06 12:32:12.48776,3273806535
2026-03-06 12:32:12.58852,3273806636
2026-03-06 12:32:12.689377,3273806737
2026-03-06 12:32:12.791981,3273806839
2026-03-06 12:32:12.892775,3273806940
2026-03-06 12:32:12.994097,3273807041
2026-03-06 12:32:13.094756,3273807142
2026-03-06 12:32:13.19583,3273807243
2026-03-06 12:32:13.296989,3273807344
2026-03-06 12:32:13.398222,3273807445
2026-03-06 12:32:13.499167,3273807546
2026-03-06 12:32:13.601463,3273807648
2026-03-06 12:32:13.702189,3273807749
2026-03-06 12:32:13.803584,3273807850
2026-03-06 12:32:13.904196,3273807951
2026-03-06 12:32:14.005613,3273808052
2026-03-06 12:32:14.106056,3273808153
2026-03-06 12:32:14.207389,3273808254
2026-03-06 12:32:14.308521,3273808355
2026-03-06 12:32:14.408832,3273808456
2026-03-06 12:32:14.510345,3273808557
2026-03-06 12:32:14.610867,3273808658
2026-03-06 12:32:14.711398,3273808759
2026-03-06 12:32:14.812579,3273808859
2026-03-06 12:32:14.913276,3273808960
2026-03-06 12:32:15.014091,3273809061
2026-03-06 12:32:15.11501,3273809162
2026-03-06 12:32:15.216706,3273809263
2026-03-06 12:32:15.317481,3273809364
2026-03-06 12:32:15.418465,3273809465
2026-03-06 12:32:15.519453,3273809566
2026-03-06 12:32:15.620437,3273809668
2026-03-06 12:32:15.721149,3273809768
2026-03-06 12:32:15.822341,3273809869
2026-03-06 12:32:15.922959,3273809970
2026-03-06 12:32:16.02435,3273810071
2026-03-06 12:32:16.125911,3273810173
2026-03-06 12:32:16.226766,3273810274
2026-03-06 12:32:16.327832,3273810374
2026-03-06 12:32:16.428366,3273810476
2026-03-06 12:32:16.529268,3273810576
2026-03-06 12:32:16.630638,3273810677
2026-03-06 12:32:16.73139,3273810778
2026-03-06 12:32:16.832367,3273810879
2026-03-06 12:32:16.933318,3273810980
2026-03-06 12:32:17.034076,3273811081
2026-03-06 12:32:17.135508,3273811182
2026-03-06 12:32:17.236456,3273811283
2026-03-06 12:32:17.337658,3273811384
2026-03-06 12:32:17.438342,3273811485
2026-03-06 12:32:17.539753,3273811587
2026-03-06 12:32:17.640753,3273811688
2026-03-06 12:32:17.741486,3273811789
2026-03-06 12:32:17.842663,3273811889
2026-03-06 12:32:17.94341,3273811990
2026-03-06 12:32:18.044202,3273812091
2026-03-06 12:32:18.144941,3273812192
2026-03-06 12:32:18.245999,3273812293
2026-03-06 12:32:18.346984,3273812394
2026-03-06 12:32:18.448064,3273812495
2026-03-06 12:32:18.549167,3273812596
2026-03-06 12:32:18.650612,3273812698
2026-03-06 12:32:18.751877,3273812799
2026-03-06 12:32:18.852647,3273812900
2026-03-06 12:32:18.953863,3273813001
2026-03-06 12:32:19.055015,3273813102
2026-03-06 12:32:19.156552,3273813204
2026-03-06 12:32:19.257855,3273813305
2026-03-06 12:32:19.359045,3273813406
2026-03-06 12:32:19.45989,3273813507
2026-03-06 12:32:19.560975,3273813608
2026-03-06 12:32:19.661673,3273813709
2026-03-06 12:32:19.762379,3273813810
2026-03-06 12:32:19.863907,3273813911
2026-03-06 12:32:19.964313,3273814011
2026-03-06 12:32:20.065889,3273814113
2026-03-06 12:32:20.166392,3273814213
2026-03-06 12:32:20.267252,3273814314
2026-03-06 12:32:20.368468,3273814415
2026-03-06 12:32:20.469003,3273814516
2026-03-06 12:32:20.570251,3273814617
2026-03-06 12:32:20.671546,3273814719
2026-03-06 12:32:20.772944,3273814820
2026-03-06 12:32:20.874013,3273814921
2026-03-06 12:32:20.974935,3273815022
2026-03-06 12:32:21.07635,3273815123
2026-03-06 12:32:21.177795,3273815225
2026-03-06 12:32:21.278404,3273815326
2026-03-06 12:32:21.379911,3273815427
2026-03-06 12:32:21.481768,3273815528
2026-03-06 12:32:21.582884,3273815630
2026-03-06 12:32:21.68395,3273815731
2026-03-06 12:32:21.78498,3273815832
2026-03-06 12:32:21.886015,3273815933
2026-03-06 12:32:21.987604,3273816034
2026-03-06 12:32:22.088493,3273816135
2026-03-06 12:32:22.189329,3273816236
2026-03-06 12:32:22.29018,3273816337
2026-03-06 12:32:22.391543,3273816438
2026-03-06 12:32:22.492618,3273816540
2026-03-06 12:32:22.593828,3273816641
2026-03-06 12:32:22.694798,3273816742
2026-03-06 12:32:22.795684,3273816843
2026-03-06 12:32:22.897106,3273816944
2026-03-06 12:32:22.998257,3273817045
2026-03-06 12:32:23.099051,3273817146
2026-03-06 12:32:23.200565,3273817247
2026-03-06 12:32:23.301375,3273817348
2026-03-06 12:32:23.402196,3273817449
2026-03-06 12:32:23.503373,3273817550
2026-03-06 12:32:23.60435,3273817651
2026-03-06 12:32:23.705613,3273817752
2026-03-06 12:32:23.806562,3273817853
2026-03-06 12:32:23.907586,3273817954
2026-03-06 12:32:24.008679,3273818055
2026-03-06 12:32:24.110119,3273818157
2026-03-06 12:32:24.210878,3273818258
2026-03-06 12:32:24.311766,3273818359
