time,LC.CH2.raw_adc_counts
2026-03-06 12:31:43.780129,175067
2026-03-06 12:31:43.788316,239374
2026-03-06 12:31:43.788798,314149
2026-03-06 12:31:43.789211,398751
2026-03-06 12:31:43.789649,494188
2026-03-06 12:31:43.790023,599806
2026-03-06 12:31:43.790368,714443
2026-03-06 12:31:43.790462,840161
2026-03-06 12:31:43.790548,976979
2026-03-06 12:31:43.790622,1123099
2026-03-06 12:31:43.790696,1279234
2026-03-06 12:31:43.795383,1445916
2026-03-06 12:31:43.795748,1621514
2026-03-06 12:31:43.796109,1806081
2026-03-06 12:31:43.796489,1999763
2026-03-06 12:31:43.796822,2202748
2026-03-06 12:31:43.871605,2415267
2026-03-06 12:31:43.973173,2635939
2026-03-06 12:31:44.073601,2865859
2026-03-06 12:31:44.174617,3105944
2026-03-06 12:31:44.275707,3353432
2026-03-06 12:31:44.376457,3611298
2026-03-06 12:31:44.477643,3875895
2026-03-06 12:31:44.578401,4150384
2026-03-06 12:31:44.679712,4433950
2026-03-06 12:31:44.780234,4724722
2026-03-06 12:31:44.881864,5024710
2026-03-06 12:31:44.982694,5332275
2026-03-06 12:31:45.084417,5649989
2026-03-06 12:31:45.185332,5974608
2026-03-06 12:31:45.286295,6305925
2026-03-06 12:31:45.388038,6646924
2026-03-06 12:31:45.488784,6993234
2026-03-06 12:31:45.590043,7347135
2026-03-06 12:31:45.690896,7707911
2026-03-06 12:31:45.79174,8076766
2026-03-06 12:31:45.892787,8452024
2026-03-06 12:31:45.993367,8833027
2026-03-06 12:31:46.094614,9220954
2026-03-06 12:31:46.195295,9614691
2026-03-06 12:31:46.295728,10014790
2026-03-06 12:31:46.397247,10422529
2026-03-06 12:31:46.498375,10835205
2026-03-06 12:31:46.599306,11253623
2026-03-06 12:31:46.700848,11679994
2026-03-06 12:31:46.80209,12112562
2026-03-06 12:31:46.902815,12547279
2026-03-06 12:31:47.004157,12989955
2026-03-06 12:31:47.105777,13438666
2026-03-06 12:31:47.207285,13889035
2026-03-06 12:31:47.308327,14345104
2026-03-06 12:31:47.410097,14804592
2026-03-06 12:31:47.510681,15267883
2026-03-06 12:31:47.611756,15733488
2026-03-06 12:31:47.712519,16203908
2026-03-06 12:31:47.81334,16678408
2026-03-06 12:31:47.913957,17155326
2026-03-06 12:31:48.015801,17638709
2026-03-06 12:31:48.11651,18123927
2026-03-06 12:31:48.217394,18609522
2026-03-06 12:31:48.318278,19099030
2026-03-06 12:31:48.420012,19593116
2026-03-06 12:31:48.521148,20089318
2026-03-06 12:31:48.622555,20587341
2026-03-06 12:31:48.724506,21087937
2026-03-06 12:31:48.825262,21587795
2026-03-06 12:31:48.92585,22087434
2026-03-06 12:31:49.027084,22591187
2026-03-06 12:31:49.127813,23094088
2026-03-06 12:31:49.228698,23596611
2026-03-06 12:31:49.329712,24101551
2026-03-06 12:31:49.430896,24605372
2026-03-06 12:31:49.531652,25110308
2026-03-06 12:31:49.633426,25618143
2026-03-06 12:31:49.734286,26122301
2026-03-06 12:31:49.835161,26626044
2026-03-06 12:31:49.936046,27128987
2026-03-06 12:31:50.037368,27633782
2026-03-06 12:31:50.138505,28136438
