time,LC.CH3.raw_adc_counts
2026-03-06 12:31:43.780182,174970
2026-03-06 12:31:43.788325,239063
2026-03-06 12:31:43.788804,313991
2026-03-06 12:31:43.789216,399687
2026-03-06 12:31:43.789655,494563
2026-03-06 12:31:43.790029,599910
2026-03-06 12:31:43.79037,715182
2026-03-06 12:31:43.790463,840314
2026-03-06 12:31:43.79055,977023
2026-03-06 12:31:43.790623,1122948
2026-03-06 12:31:43.790698,1279550
2026-03-06 12:31:43.79539,1445371
2026-03-06 12:31:43.795753,1621425
2026-03-06 12:31:43.796114,1805322
2026-03-06 12:31:43.796494,1999817
2026-03-06 12:31:43.796826,2202793
2026-03-06 12:31:43.871615,2414552
2026-03-06 12:31:43.973187,2636034
2026-03-06 12:31:44.073617,2866731
2026-03-06 12:31:44.174634,3105998
2026-03-06 12:31:44.275714,3353453
2026-03-06 12:31:44.376463,3610456
2026-03-06 12:31:44.477657,3876544
2026-03-06 12:31:44.578415,4150596
2026-03-06 12:31:44.679795,4434006
2026-03-06 12:31:44.780265,4725252
2026-03-06 12:31:44.881877,5024841
2026-03-06 12:31:44.982731,5333123
2026-03-06 12:31:45.08443,5649706
2026-03-06 12:31:45.185377,5974121
2026-03-06 12:31:45.286332,6306492
2026-03-06 12:31:45.388076,6646655
2026-03-06 12:31:45.488841,6994125
2026-03-06 12:31:45.590068,7347142
2026-03-06 12:31:45.690954,7708186
2026-03-06 12:31:45.791773,8076496
2026-03-06 12:31:45.892835,8451696
2026-03-06 12:31:45.993408,8833448
2026-03-06 12:31:46.094701,9220151
2026-03-06 12:31:46.195333,9614758
2026-03-06 12:31:46.295744,10015717
2026-03-06 12:31:46.397287,10422570
2026-03-06 12:31:46.498404,10835491
2026-03-06 12:31:46.599329,11254396
2026-03-06 12:31:46.700865,11680157
2026-03-06 12:31:46.802108,12112703
2026-03-06 12:31:46.902855,12547832
2026-03-06 12:31:47.004176,12990481
2026-03-06 12:31:47.105792,13438133
2026-03-06 12:31:47.207361,13888841
2026-03-06 12:31:47.308339,14345127
2026-03-06 12:31:47.410115,14805015
2026-03-06 12:31:47.51071,15267192
2026-03-06 12:31:47.611787,15733762
2026-03-06 12:31:47.712567,16203897
2026-03-06 12:31:47.813397,16678518
2026-03-06 12:31:47.914004,17155309
2026-03-06 12:31:48.015843,17639345
2026-03-06 12:31:48.116531,18124074
2026-03-06 12:31:48.217416,18610337
2026-03-06 12:31:48.31832,19099300
2026-03-06 12:31:48.420074,19593079
2026-03-06 12:31:48.521194,20089856
2026-03-06 12:31:48.622585,20586870
2026-03-06 12:31:48.724532,21088703
2026-03-06 12:31:48.825294,21587733
2026-03-06 12:31:48.925876,22087200
2026-03-06 12:31:49.027097,22590802
2026-03-06 12:31:49.127827,23093464
2026-03-06 12:31:49.228732,23596858
2026-03-06 12:31:49.329727,24101591
2026-03-06 12:31:49.430913,24605859
2026-03-06 12:31:49.531674,25110675
2026-03-06 12:31:49.633468,25618106
2026-03-06 12:31:49.734342,26122896
2026-03-06 12:31:49.835175,26625824
2026-03-06 12:31:49.936058,27129415
2026-03-06 12:31:50.037375,27633361
2026-03-06 12:31:50.138515,28136427
2026-03-06 12:31:50.240484,28640434
2026-03-06 12:31:50.342077,29140527
2026-03-06 12:31:50.442996,29638058
