time,PT.Ox_Downstream.channel_id
2026-03-06 12:31:43.780646,7
2026-03-06 12:31:43.788291,7
2026-03-06 12:31:43.788847,7
2026-03-06 12:31:43.789276,7
2026-03-06 12:31:43.789694,7
2026-03-06 12:31:43.790068,7
2026-03-06 12:31:43.790366,7
2026-03-06 12:31:43.790454,7
2026-03-06 12:31:43.790546,7
2026-03-06 12:31:43.790632,7
2026-03-06 12:31:43.790706,7
2026-03-06 12:31:43.795369,7
2026-03-06 12:31:43.795808,7
2026-03-06 12:31:43.79615,7
2026-03-06 12:31:43.796528,7
2026-03-06 12:31:43.796815,7
2026-03-06 12:31:43.871039,7
2026-03-06 12:31:43.973114,7
2026-03-06 12:31:44.074504,7
2026-03-06 12:31:44.175961,7
2026-03-06 12:31:44.277152,7
2026-03-06 12:31:44.378761,7
2026-03-06 12:31:44.479119,7
2026-03-06 12:31:44.580445,7
2026-03-06 12:31:44.68159,7
2026-03-06 12:31:44.78326,7
2026-03-06 12:31:44.883752,7
2026-03-06 12:31:44.984694,7
2026-03-06 12:31:45.085827,7
2026-03-06 12:31:45.186849,7
2026-03-06 12:31:45.287841,7
2026-03-06 12:31:45.388328,7
2026-03-06 12:31:45.489084,7
2026-03-06 12:31:45.590384,7
2026-03-06 12:31:45.691314,7
2026-03-06 12:31:45.792652,7
2026-03-06 12:31:45.893545,7
2026-03-06 12:31:45.994728,7
2026-03-06 12:31:46.09689,7
2026-03-06 12:31:46.197786,7
2026-03-06 12:31:46.299058,7
2026-03-06 12:31:46.400075,7
2026-03-06 12:31:46.50122,7
2026-03-06 12:31:46.602248,7
2026-03-06 12:31:46.703775,7
2026-03-06 12:31:46.804498,7
2026-03-06 12:31:46.906066,7
2026-03-06 12:31:47.007431,7
2026-03-06 12:31:47.108176,7
2026-03-06 12:31:47.209994,7
2026-03-06 12:31:47.311121,7
2026-03-06 12:31:47.413195,7
2026-03-06 12:31:47.514145,7
2026-03-06 12:31:47.615444,7
2026-03-06 12:31:47.716852,7
2026-03-06 12:31:47.817779,7
2026-03-06 12:31:47.920131,7
2026-03-06 12:31:48.021417,7
2026-03-06 12:31:48.122752,7
2026-03-06 12:31:48.223931,7
2026-03-06 12:31:48.325121,7
2026-03-06 12:31:48.426163,7
2026-03-06 12:31:48.526948,7
2026-03-06 12:31:48.628611,7
2026-03-06 12:31:48.730031,7
2026-03-06 12:31:48.831337,7
2026-03-06 12:31:48.932279,7
2026-03-06 12:31:49.033523,7
2026-03-06 12:31:49.134288,7
2026-03-06 12:31:49.234569,7
2026-03-06 12:31:49.335615,7
2026-03-06 12:31:49.436134,7
2026-03-06 12:31:49.536896,7
2026-03-06 12:31:49.638258,7
2026-03-06 12:31:49.739244,7
2026-03-06 12:31:49.840418,7
2026-03-06 12:31:49.941797,7
2026-03-06 12:31:50.042945,7
2026-03-06 12:31:50.144717,7
2026-03-06 12:31:50.246696,7
2026-03-06 12:31:50.348396,7
2026-03-06 12:31:50.449333,7
2026-03-06 12:31:50.550503,7
2026-03-06 12:31:50.651058,7
2026-03-06 12:31:50.752611,7
2026-03-06 12:31:50.853384,7
2026-03-06 12:31:50.955226,7
2026-03-06 12:31:51.056206,7
2026-03-06 12:31:51.157941,7
2026-03-06 12:31:51.25898,7
2026-03-06 12:31:51.361154,7
2026-03-06 12:31:51.461461,7
2026-03-06 12:31:51.563127,7
2026-03-06 12:31:51.664418,7
2026-03-06 12:31:51.76568,7
2026-03-06 12:31:51.867283,7
2026-03-06 12:31:51.968668,7
2026-03-06 12:31:52.070003,7
2026-03-06 12:31:52.172161,7
2026-03-06 12:31:52.273028,7
2026-03-06 12:31:52.37372,7
2026-03-06 12:31:52.47432,7
2026-03-06 12:31:52.575627,7
2026-03-06 12:31:52.676583,7
2026-03-06 12:31:52.777985,7
2026-03-06 12:31:52.87886,7
2026-03-06 12:31:52.979563,7
2026-03-06 12:31:53.080672,7
2026-03-06 12:31:53.181699,7
2026-03-06 12:31:53.282581,7
2026-03-06 12:31:53.383426,7
2026-03-06 12:31:53.484407,7
2026-03-06 12:31:53.585226,7
2026-03-06 12:31:53.686307,7
2026-03-06 12:31:53.787057,7
2026-03-06 12:31:53.888427,7
2026-03-06 12:31:53.989476,7
2026-03-06 12:31:54.090105,7
2026-03-06 12:31:54.191117,7
2026-03-06 12:31:54.291788,7
2026-03-06 12:31:54.392861,7
2026-03-06 12:31:54.493627,7
2026-03-06 12:31:54.594622,7
2026-03-06 12:31:54.695434,7
2026-03-06 12:31:54.796759,7
2026-03-06 12:31:54.897092,7
2026-03-06 12:31:54.998379,7
2026-03-06 12:31:55.099224,7
2026-03-06 12:31:55.200075,7
2026-03-06 12:31:55.301572,7
2026-03-06 12:31:55.403155,7
2026-03-06 12:31:55.504724,7
2026-03-06 12:31:55.606648,7
