time,PT.Ox_Upstream.channel_id
2026-03-06 12:31:43.780543,5
2026-03-06 12:31:43.788272,5
2026-03-06 12:31:43.788835,5
2026-03-06 12:31:43.789265,5
2026-03-06 12:31:43.789683,5
2026-03-06 12:31:43.790056,5
2026-03-06 12:31:43.790364,5
2026-03-06 12:31:43.790452,5
2026-03-06 12:31:43.790544,5
2026-03-06 12:31:43.790629,5
2026-03-06 12:31:43.790703,5
2026-03-06 12:31:43.795354,5
2026-03-06 12:31:43.795799,5
2026-03-06 12:31:43.796139,5
2026-03-06 12:31:43.796519,5
2026-03-06 12:31:43.796809,5
2026-03-06 12:31:43.871019,5
2026-03-06 12:31:43.973082,5
2026-03-06 12:31:44.074448,5
2026-03-06 12:31:44.175925,5
2026-03-06 12:31:44.277135,5
2026-03-06 12:31:44.378729,5
2026-03-06 12:31:44.479089,5
2026-03-06 12:31:44.580419,5
2026-03-06 12:31:44.681563,5
2026-03-06 12:31:44.783227,5
2026-03-06 12:31:44.88373,5
2026-03-06 12:31:44.984655,5
2026-03-06 12:31:45.085798,5
2026-03-06 12:31:45.186816,5
2026-03-06 12:31:45.287775,5
2026-03-06 12:31:45.388274,5
2026-03-06 12:31:45.489023,5
2026-03-06 12:31:45.590315,5
2026-03-06 12:31:45.691241,5
2026-03-06 12:31:45.792555,5
2026-03-06 12:31:45.893499,5
2026-03-06 12:31:45.994677,5
2026-03-06 12:31:46.09683,5
2026-03-06 12:31:46.197745,5
2026-03-06 12:31:46.299024,5
2026-03-06 12:31:46.400046,5
2026-03-06 12:31:46.501178,5
2026-03-06 12:31:46.602193,5
2026-03-06 12:31:46.703717,5
2026-03-06 12:31:46.804445,5
2026-03-06 12:31:46.906018,5
2026-03-06 12:31:47.007378,5
2026-03-06 12:31:47.108151,5
2026-03-06 12:31:47.209927,5
2026-03-06 12:31:47.3111,5
2026-03-06 12:31:47.41316,5
2026-03-06 12:31:47.5141,5
2026-03-06 12:31:47.615398,5
2026-03-06 12:31:47.716788,5
2026-03-06 12:31:47.817715,5
2026-03-06 12:31:47.920074,5
2026-03-06 12:31:48.021364,5
2026-03-06 12:31:48.122676,5
2026-03-06 12:31:48.223867,5
2026-03-06 12:31:48.32505,5
2026-03-06 12:31:48.426098,5
2026-03-06 12:31:48.526905,5
2026-03-06 12:31:48.62858,5
2026-03-06 12:31:48.729981,5
2026-03-06 12:31:48.831295,5
2026-03-06 12:31:48.932243,5
2026-03-06 12:31:49.033502,5
2026-03-06 12:31:49.134258,5
2026-03-06 12:31:49.234545,5
2026-03-06 12:31:49.335592,5
2026-03-06 12:31:49.436111,5
2026-03-06 12:31:49.536863,5
2026-03-06 12:31:49.638204,5
2026-03-06 12:31:49.739211,5
2026-03-06 12:31:49.8404,5
2026-03-06 12:31:49.941774,5
2026-03-06 12:31:50.04293,5
2026-03-06 12:31:50.144702,5
2026-03-06 12:31:50.246663,5
2026-03-06 12:31:50.348355,5
2026-03-06 12:31:50.449302,5
2026-03-06 12:31:50.550465,5
