time,PT.GSE_High.raw_adc_counts
2026-03-06 12:31:43.787906,639533996
2026-03-06 12:31:43.78861,657094797
2026-03-06 12:31:43.788923,675098099
2026-03-06 12:31:43.789336,693587476
2026-03-06 12:31:43.789744,712705535
2026-03-06 12:31:43.790096,732315947
2026-03-06 12:31:43.790385,752435678
2026-03-06 12:31:43.790527,773095198
2026-03-06 12:31:43.79061,794115091
2026-03-06 12:31:43.790689,815618149
2026-03-06 12:31:43.795288,837545087
2026-03-06 12:31:43.795714,859844596
2026-03-06 12:31:43.796075,882424581
2026-03-06 12:31:43.796442,905208304
2026-03-06 12:31:43.796774,928230759
2026-03-06 12:31:43.862447,951561348
2026-03-06 12:31:43.963878,975175374
2026-03-06 12:31:44.065385,999028824
2026-03-06 12:31:44.166457,1023117758
2026-03-06 12:31:44.267749,1047468591
2026-03-06 12:31:44.369293,1071954610
2026-03-06 12:31:44.470273,1096466158
2026-03-06 12:31:44.571215,1121176266
2026-03-06 12:31:44.673328,1146077561
2026-03-06 12:31:44.774706,1171096161
2026-03-06 12:31:44.876228,1196152317
2026-03-06 12:31:44.977044,1221135725
2026-03-06 12:31:45.078567,1246293645
2026-03-06 12:31:45.180931,1271561910
2026-03-06 12:31:45.282185,1296662204
2026-03-06 12:31:45.384132,1321686265
2026-03-06 12:31:45.484741,1346491051
2026-03-06 12:31:45.58605,1371198240
2026-03-06 12:31:45.68755,1395952044
2026-03-06 12:31:45.790057,1420565756
2026-03-06 12:31:45.890867,1444849358
2026-03-06 12:31:45.992098,1469013884
2026-03-06 12:31:46.093683,1493113799
2026-03-06 12:31:46.194627,1516787031
2026-03-06 12:31:46.296351,1540248337
2026-03-06 12:31:46.397341,1563403059
2026-03-06 12:31:46.498504,1586231790
2026-03-06 12:31:46.600137,1608811522
2026-03-06 12:31:46.701436,1631031116
2026-03-06 12:31:46.803044,1652853472
2026-03-06 12:31:46.904389,1674310384
2026-03-06 12:31:47.00644,1695479939
2026-03-06 12:31:47.107373,1716119541
2026-03-06 12:31:47.209077,1736351098
2026-03-06 12:31:47.309781,1755982066
2026-03-06 12:31:47.411142,1775173440
2026-03-06 12:31:47.512106,1793841371
2026-03-06 12:31:47.613445,1812077816
2026-03-06 12:31:47.715252,1829859582
2026-03-06 12:31:47.81695,1847004116
2026-03-06 12:31:47.917966,1863595937
2026-03-06 12:31:48.019132,1879560027
2026-03-06 12:31:48.120625,1894975866
2026-03-06 12:31:48.221547,1909740425
2026-03-06 12:31:48.322421,1923900226
2026-03-06 12:31:48.424183,1937484564
2026-03-06 12:31:48.525642,1950360849
2026-03-06 12:31:48.626145,1962558198
2026-03-06 12:31:48.727512,1974102679
2026-03-06 12:31:48.828217,1984975817
2026-03-06 12:31:48.929251,1995135050
2026-03-06 12:31:49.03059,2004650244
2026-03-06 12:31:49.131238,2013396448
2026-03-06 12:31:49.232125,2021449658
2026-03-06 12:31:49.333678,2028797501
2026-03-06 12:31:49.43431,2035407400
2026-03-06 12:31:49.535692,2041281989
2026-03-06 12:31:49.636802,2046428254
2026-03-06 12:31:49.738376,2050845325
2026-03-06 12:31:49.839176,2054500587
2026-03-06 12:31:49.940434,2057387731
2026-03-06 12:31:50.041106,2059530808
2026-03-06 12:31:50.142404,2060917751
2026-03-06 12:31:50.244224,2061545457
2026-03-06 12:31:50.345605,2061409215
2026-03-06 12:31:50.446802,2060515751
2026-03-06 12:31:50.547368,2058868277
2026-03-06 12:31:50.648611,2056462980
2026-03-06 12:31:50.749578,2053301414
2026-03-06 12:31:50.850321,2049398674
2026-03-06 12:31:50.951358,2044750583
2026-03-06 12:31:51.052061,2039373629
2026-03-06 12:31:51.153012,2033246870
2026-03-06 12:31:51.25403,2026395065
2026-03-06 12:31:51.355019,2018806188
2026-03-06 12:31:51.456186,2010490438
2026-03-06 12:31:51.557321,2001481142
2026-03-06 12:31:51.658145,1991770361
2026-03-06 12:31:51.759155,1981382112
2026-03-06 12:31:51.860742,1970245454
2026-03-06 12:31:51.961774,1958421536
2026-03-06 12:31:52.062599,1945985079
2026-03-06 12:31:52.16458,1932855880
2026-03-06 12:31:52.264955,1919167286
2026-03-06 12:31:52.36654,1904794442
2026-03-06 12:31:52.467663,1889757493
2026-03-06 12:31:52.569579,1874087401
2026-03-06 12:31:52.670465,1857921778
2026-03-06 12:31:52.771896,1841134492
2026-03-06 12:31:52.872725,1823861574
2026-03-06 12:31:52.973655,1806038669
2026-03-06 12:31:53.074544,1787751578
2026-03-06 12:31:53.175642,1768868338
2026-03-06 12:31:53.276289,1749548098
2026-03-06 12:31:53.377682,1729779691
2026-03-06 12:31:53.477973,1709578950
2026-03-06 12:31:53.578786,1688909234
2026-03-06 12:31:53.679809,1667830494
2026-03-06 12:31:53.780682,1646387373
2026-03-06 12:31:53.881828,1624511000
2026-03-06 12:31:53.983419,1602183698
2026-03-06 12:31:54.084313,1579508020
2026-03-06 12:31:54.185162,1556699014
2026-03-06 12:31:54.285926,1533553484
