time,LC.CH2.status
2026-03-06 12:31:43.780129,0
2026-03-06 12:31:43.788316,0
2026-03-06 12:31:43.788798,0
2026-03-06 12:31:43.789211,0
2026-03-06 12:31:43.789649,0
2026-03-06 12:31:43.790023,0
2026-03-06 12:31:43.790368,0
2026-03-06 12:31:43.790462,0
2026-03-06 12:31:43.790548,0
2026-03-06 12:31:43.790622,0
2026-03-06 12:31:43.790696,0
2026-03-06 12:31:43.795383,0
2026-03-06 12:31:43.795748,0
2026-03-06 12:31:43.796109,0
2026-03-06 12:31:43.796489,0
2026-03-06 12:31:43.796822,0
2026-03-06 12:31:43.871605,0
2026-03-06 12:31:43.973173,0
2026-03-06 12:31:44.073601,0
2026-03-06 12:31:44.174617,0
2026-03-06 12:31:44.275707,0
2026-03-06 12:31:44.376457,0
2026-03-06 12:31:44.477643,0
2026-03-06 12:31:44.578401,0
2026-03-06 12:31:44.679712,0
2026-03-06 12:31:44.780234,0
2026-03-06 12:31:44.881864,0
2026-03-06 12:31:44.982694,0
2026-03-06 12:31:45.084417,0
2026-03-06 12:31:45.185332,0
2026-03-06 12:31:45.286295,0
2026-03-06 12:31:45.388038,0
2026-03-06 12:31:45.488784,0
2026-03-06 12:31:45.590043,0
2026-03-06 12:31:45.690896,0
2026-03-06 12:31:45.79174,0
2026-03-06 12:31:45.892787,0
2026-03-06 12:31:45.993367,0
2026-03-06 12:31:46.094614,0
2026-03-06 12:31:46.195295,0
2026-03-06 12:31:46.295728,0
2026-03-06 12:31:46.397247,0
2026-03-06 12:31:46.498375,0
2026-03-06 12:31:46.599306,0
2026-03-06 12:31:46.700848,0
2026-03-06 12:31:46.80209,0
2026-03-06 12:31:46.902815,0
2026-03-06 12:31:47.004157,0
2026-03-06 12:31:47.105777,0
2026-03-06 12:31:47.207285,0
2026-03-06 12:31:47.308327,0
2026-03-06 12:31:47.410097,0
2026-03-06 12:31:47.510681,0
2026-03-06 12:31:47.611756,0
2026-03-06 12:31:47.712519,0
2026-03-06 12:31:47.81334,0
2026-03-06 12:31:47.913957,0
2026-03-06 12:31:48.015801,0
2026-03-06 12:31:48.11651,0
2026-03-06 12:31:48.217394,0
2026-03-06 12:31:48.318278,0
2026-03-06 12:31:48.420012,0
2026-03-06 12:31:48.521148,0
2026-03-06 12:31:48.622555,0
2026-03-06 12:31:48.724506,0
2026-03-06 12:31:48.825262,0
2026-03-06 12:31:48.92585,0
2026-03-06 12:31:49.027084,0
2026-03-06 12:31:49.127813,0
2026-03-06 12:31:49.228698,0
2026-03-06 12:31:49.329712,0
2026-03-06 12:31:49.430896,0
2026-03-06 12:31:49.531652,0
2026-03-06 12:31:49.633426,0
2026-03-06 12:31:49.734286,0
2026-03-06 12:31:49.835161,0
2026-03-06 12:31:49.936046,0
2026-03-06 12:31:50.037368,0
2026-03-06 12:31:50.138505,0
2026-03-06 12:31:50.240459,0
2026-03-06 12:31:50.342058,0
2026-03-06 12:31:50.442965,0
2026-03-06 12:31:50.543543,0
2026-03-06 12:31:50.644536,0
2026-03-06 12:31:50.746155,0
2026-03-06 12:31:50.846906,0
2026-03-06 12:31:50.948199,0
2026-03-06 12:31:51.049261,0
2026-03-06 12:31:51.15007,0
2026-03-06 12:31:51.251018,0
2026-03-06 12:31:51.352041,0
2026-03-06 12:31:51.453199,0
2026-03-06 12:31:51.553954,0
2026-03-06 12:31:51.655722,0
2026-03-06 12:31:51.756493,0
2026-03-06 12:31:51.857494,0
2026-03-06 12:31:51.958974,0
2026-03-06 12:31:52.060293,0
2026-03-06 12:31:52.161569,0
2026-03-06 12:31:52.262668,0
2026-03-06 12:31:52.364143,0
2026-03-06 12:31:52.465017,0
2026-03-06 12:31:52.566062,0
2026-03-06 12:31:52.668016,0
2026-03-06 12:31:52.769262,0
2026-03-06 12:31:52.871309,0
2026-03-06 12:31:52.971947,0
2026-03-06 12:31:53.073884,0
2026-03-06 12:31:53.175058,0
2026-03-06 12:31:53.275761,0
2026-03-06 12:31:53.377637,0
2026-03-06 12:31:53.477933,0
2026-03-06 12:31:53.578744,0
2026-03-06 12:31:53.679308,0
2026-03-06 12:31:53.780737,0
2026-03-06 12:31:53.881939,0
2026-03-06 12:31:53.983526,0
2026-03-06 12:31:54.084282,0
2026-03-06 12:31:54.185255,0
2026-03-06 12:31:54.286551,0
2026-03-06 12:31:54.38808,0
2026-03-06 12:31:54.489512,0
2026-03-06 12:31:54.589915,0
2026-03-06 12:31:54.690704,0
2026-03-06 12:31:54.791513,0
2026-03-06 12:31:54.892534,0
2026-03-06 12:31:54.993094,0
2026-03-06 12:31:55.094036,0
2026-03-06 12:31:55.194923,0
2026-03-06 12:31:55.295973,0
2026-03-06 12:31:55.396409,0
2026-03-06 12:31:55.497972,0
2026-03-06 12:31:55.599288,0
2026-03-06 12:31:55.700266,0
2026-03-06 12:31:55.801354,0
2026-03-06 12:31:55.902385,0
2026-03-06 12:31:56.003661,0
2026-03-06 12:31:56.10507,0
2026-03-06 12:31:56.206382,0
2026-03-06 12:31:56.307334,0
2026-03-06 12:31:56.408803,0
2026-03-06 12:31:56.510342,0
2026-03-06 12:31:56.611971,0
2026-03-06 12:31:56.713146,0
2026-03-06 12:31:56.814109,0
2026-03-06 12:31:56.915042,0
2026-03-06 12:31:57.016194,0
2026-03-06 12:31:57.116953,0
2026-03-06 12:31:57.218032,0
2026-03-06 12:31:57.319052,0
2026-03-06 12:31:57.421428,0
2026-03-06 12:31:57.521908,0
2026-03-06 12:31:57.62394,0
2026-03-06 12:31:57.725231,0
2026-03-06 12:31:57.826233,0
2026-03-06 12:31:57.926986,0
2026-03-06 12:31:58.027956,0
2026-03-06 12:31:58.129304,0
2026-03-06 12:31:58.230464,0
2026-03-06 12:31:58.33137,0
2026-03-06 12:31:58.432906,0
2026-03-06 12:31:58.533764,0
2026-03-06 12:31:58.634439,0
2026-03-06 12:31:58.735504,0
2026-03-06 12:31:58.836088,0
2026-03-06 12:31:58.936712,0
2026-03-06 12:31:59.037693,0
2026-03-06 12:31:59.138571,0
2026-03-06 12:31:59.239848,0
2026-03-06 12:31:59.341145,0
2026-03-06 12:31:59.441711,0
2026-03-06 12:31:59.543379,0
2026-03-06 12:31:59.644292,0
2026-03-06 12:31:59.744987,0
2026-03-06 12:31:59.846543,0
2026-03-06 12:31:59.947206,0
2026-03-06 12:32:00.048429,0
2026-03-06 12:32:00.150065,0
2026-03-06 12:32:00.250943,0
2026-03-06 12:32:00.352189,0
2026-03-06 12:32:00.45323,0
2026-03-06 12:32:00.554808,0
2026-03-06 12:32:00.656133,0
2026-03-06 12:32:00.757295,0
2026-03-06 12:32:00.858544,0
2026-03-06 12:32:00.960167,0
2026-03-06 12:32:01.061114,0
2026-03-06 12:32:01.162896,0
2026-03-06 12:32:01.26439,0
2026-03-06 12:32:01.365445,0
2026-03-06 12:32:01.467005,0
2026-03-06 12:32:01.568758,0
2026-03-06 12:32:01.670453,0
2026-03-06 12:32:01.771489,0
2026-03-06 12:32:01.872399,0
2026-03-06 12:32:01.973037,0
2026-03-06 12:32:02.074074,0
2026-03-06 12:32:02.174946,0
2026-03-06 12:32:02.276491,0
2026-03-06 12:32:02.377252,0
2026-03-06 12:32:02.47808,0
2026-03-06 12:32:02.578613,0
2026-03-06 12:32:02.679956,0
2026-03-06 12:32:02.780394,0
2026-03-06 12:32:02.881541,0
2026-03-06 12:32:02.98283,0
2026-03-06 12:32:03.08356,0
2026-03-06 12:32:03.184559,0
2026-03-06 12:32:03.285249,0
2026-03-06 12:32:03.386144,0
2026-03-06 12:32:03.487261,0
2026-03-06 12:32:03.587956,0
2026-03-06 12:32:03.68872,0
2026-03-06 12:32:03.789826,0
2026-03-06 12:32:03.890568,0
2026-03-06 12:32:03.991717,0
2026-03-06 12:32:04.092882,0
2026-03-06 12:32:04.193574,0
2026-03-06 12:32:04.29496,0
2026-03-06 12:32:04.396489,0
2026-03-06 12:32:04.497515,0
2026-03-06 12:32:04.598434,0
2026-03-06 12:32:04.699296,0
2026-03-06 12:32:04.800094,0
2026-03-06 12:32:04.901294,0
2026-03-06 12:32:05.002453,0
2026-03-06 12:32:05.103702,0
2026-03-06 12:32:05.205013,0
2026-03-06 12:32:05.306486,0
2026-03-06 12:32:05.407354,0
2026-03-06 12:32:05.50869,0
2026-03-06 12:32:05.609302,0
2026-03-06 12:32:05.710235,0
2026-03-06 12:32:05.811136,0
2026-03-06 12:32:05.911986,0
2026-03-06 12:32:06.012286,0
2026-03-06 12:32:06.113594,0
2026-03-06 12:32:06.21437,0
2026-03-06 12:32:06.314881,0
2026-03-06 12:32:06.415842,0
2026-03-06 12:32:06.516659,0
2026-03-06 12:32:06.617898,0
2026-03-06 12:32:06.719155,0
2026-03-06 12:32:06.820158,0
2026-03-06 12:32:06.921094,0
2026-03-06 12:32:07.022212,0
2026-03-06 12:32:07.123342,0
2026-03-06 12:32:07.224617,0
2026-03-06 12:32:07.325646,0
2026-03-06 12:32:07.427474,0
2026-03-06 12:32:07.527816,0
2026-03-06 12:32:07.628586,0
2026-03-06 12:32:07.729575,0
2026-03-06 12:32:07.831155,0
2026-03-06 12:32:07.932524,0
2026-03-06 12:32:08.033303,0
2026-03-06 12:32:08.134711,0
2026-03-06 12:32:08.236012,0
2026-03-06 12:32:08.336958,0
2026-03-06 12:32:08.438751,0
2026-03-06 12:32:08.539165,0
2026-03-06 12:32:08.639775,0
2026-03-06 12:32:08.740181,0
2026-03-06 12:32:08.841576,0
2026-03-06 12:32:08.941995,0
2026-03-06 12:32:09.0434,0
2026-03-06 12:32:09.14418,0
2026-03-06 12:32:09.244789,0
2026-03-06 12:32:09.346418,0
2026-03-06 12:32:09.447718,0
2026-03-06 12:32:09.548632,0
2026-03-06 12:32:09.649047,0
2026-03-06 12:32:09.75067,0
2026-03-06 12:32:09.85181,0
2026-03-06 12:32:09.953139,0
2026-03-06 12:32:10.054257,0
2026-03-06 12:32:10.154976,0
2026-03-06 12:32:10.255785,0
2026-03-06 12:32:10.356262,0
2026-03-06 12:32:10.457602,0
2026-03-06 12:32:10.558042,0
2026-03-06 12:32:10.659326,0
2026-03-06 12:32:10.760621,0
2026-03-06 12:32:10.861633,0
2026-03-06 12:32:10.961954,0
2026-03-06 12:32:11.063391,0
2026-03-06 12:32:11.164147,0
2026-03-06 12:32:11.265231,0
2026-03-06 12:32:11.366593,0
2026-03-06 12:32:11.467096,0
2026-03-06 12:32:11.567853,0
2026-03-06 12:32:11.668594,0
2026-03-06 12:32:11.769357,0
2026-03-06 12:32:11.87039,0
2026-03-06 12:32:11.970688,0
2026-03-06 12:32:12.071862,0
2026-03-06 12:32:12.172774,0
2026-03-06 12:32:12.273327,0
2026-03-06 12:32:12.374455,0
2026-03-06 12:32:12.474963,0
2026-03-06 12:32:12.575821,0
2026-03-06 12:32:12.676513,0
2026-03-06 12:32:12.778133,0
2026-03-06 12:32:12.878808,0
2026-03-06 12:32:12.979434,0
2026-03-06 12:32:13.080183,0
2026-03-06 12:32:13.181528,0
2026-03-06 12:32:13.28218,0
2026-03-06 12:32:13.383324,0
2026-03-06 12:32:13.483957,0
2026-03-06 12:32:13.585108,0
2026-03-06 12:32:13.686006,0
2026-03-06 12:32:13.787142,0
2026-03-06 12:32:13.887691,0
2026-03-06 12:32:13.98855,0
2026-03-06 12:32:14.089277,0
2026-03-06 12:32:14.19037,0
2026-03-06 12:32:14.291758,0
2026-03-06 12:32:14.39284,0
2026-03-06 12:32:14.494068,0
2026-03-06 12:32:14.595606,0
2026-03-06 12:32:14.696196,0
2026-03-06 12:32:14.797301,0
2026-03-06 12:32:14.897866,0
2026-03-06 12:32:14.998824,0
2026-03-06 12:32:15.099892,0
2026-03-06 12:32:15.201267,0
2026-03-06 12:32:15.302238,0
2026-03-06 12:32:15.403632,0
2026-03-06 12:32:15.505508,0
2026-03-06 12:32:15.606707,0
2026-03-06 12:32:15.707441,0
2026-03-06 12:32:15.808006,0
2026-03-06 12:32:15.90975,0
2026-03-06 12:32:16.010199,0
2026-03-06 12:32:16.1119,0
2026-03-06 12:32:16.212808,0
2026-03-06 12:32:16.313911,0
2026-03-06 12:32:16.414841,0
2026-03-06 12:32:16.515983,0
2026-03-06 12:32:16.617543,0
2026-03-06 12:32:16.718403,0
2026-03-06 12:32:16.820123,0
2026-03-06 12:32:16.921169,0
2026-03-06 12:32:17.022569,0
2026-03-06 12:32:17.123301,0
2026-03-06 12:32:17.224346,0
2026-03-06 12:32:17.324966,0
2026-03-06 12:32:17.425582,0
2026-03-06 12:32:17.526088,0
2026-03-06 12:32:17.627784,0
2026-03-06 12:32:17.728716,0
2026-03-06 12:32:17.829261,0
2026-03-06 12:32:17.930034,0
2026-03-06 12:32:18.031037,0
2026-03-06 12:32:18.131889,0
2026-03-06 12:32:18.233065,0
2026-03-06 12:32:18.33399,0
2026-03-06 12:32:18.436318,0
2026-03-06 12:32:18.536629,0
2026-03-06 12:32:18.637842,0
2026-03-06 12:32:18.739041,0
2026-03-06 12:32:18.839931,0
