time,TC.CH2.raw_adc_counts
2026-03-06 12:31:43.780695,9621825
2026-03-06 12:31:43.788335,9638761
2026-03-06 12:31:43.788854,9655115
2026-03-06 12:31:43.789222,9671473
2026-03-06 12:31:43.789621,9686843
2026-03-06 12:31:43.790073,9702259
2026-03-06 12:31:43.790371,9717441
2026-03-06 12:31:43.790456,9732291
2026-03-06 12:31:43.790534,9747007
2026-03-06 12:31:43.790616,9761233
2026-03-06 12:31:43.790707,9775054
2026-03-06 12:31:43.795403,9788456
2026-03-06 12:31:43.795758,9800838
2026-03-06 12:31:43.796155,9813164
2026-03-06 12:31:43.796533,9825364
2026-03-06 12:31:43.79683,9837776
2026-03-06 12:31:43.873374,9848817
2026-03-06 12:31:43.974775,9859116
2026-03-06 12:31:44.075663,9869698
2026-03-06 12:31:44.176561,9879689
2026-03-06 12:31:44.277753,9889984
2026-03-06 12:31:44.379407,9898988
2026-03-06 12:31:44.479787,9907763
2026-03-06 12:31:44.581684,9916298
2026-03-06 12:31:44.682805,9924355
2026-03-06 12:31:44.784343,9931726
2026-03-06 12:31:44.885558,9939541
2026-03-06 12:31:44.9877,9945677
2026-03-06 12:31:45.088706,9952447
2026-03-06 12:31:45.190281,9958761
2026-03-06 12:31:45.291305,9964456
2026-03-06 12:31:45.3925,9968985
2026-03-06 12:31:45.49383,9973957
2026-03-06 12:31:45.594637,9978872
2026-03-06 12:31:45.695769,9982886
2026-03-06 12:31:45.796116,9985755
2026-03-06 12:31:45.897416,9988962
2026-03-06 12:31:45.998586,9991858
2026-03-06 12:31:46.100164,9994036
2026-03-06 12:31:46.201164,9996544
2026-03-06 12:31:46.302754,9997359
2026-03-06 12:31:46.403841,9999321
2026-03-06 12:31:46.505298,10000005
2026-03-06 12:31:46.606712,10000446
2026-03-06 12:31:46.708464,10000118
2026-03-06 12:31:46.809618,9999408
2026-03-06 12:31:46.911688,9998119
2026-03-06 12:31:47.012656,9997124
2026-03-06 12:31:47.114416,9995150
2026-03-06 12:31:47.215351,9993463
2026-03-06 12:31:47.317049,9990495
2026-03-06 12:31:47.41845,9987799
2026-03-06 12:31:47.519893,9983927
2026-03-06 12:31:47.62086,9980607
2026-03-06 12:31:47.721923,9975994
2026-03-06 12:31:47.822767,9971468
2026-03-06 12:31:47.923577,9966862
2026-03-06 12:31:48.024816,9961197
2026-03-06 12:31:48.125329,9955243
2026-03-06 12:31:48.226868,9949590
2026-03-06 12:31:48.327254,9943086
2026-03-06 12:31:48.428285,9935898
2026-03-06 12:31:48.529171,9928628
2026-03-06 12:31:48.629662,9920865
2026-03-06 12:31:48.731072,9912178
2026-03-06 12:31:48.83237,9903993
2026-03-06 12:31:48.93329,9894444
2026-03-06 12:31:49.034144,9885572
2026-03-06 12:31:49.135414,9875739
2026-03-06 12:31:49.23628,9865431
2026-03-06 12:31:49.337302,9854906
2026-03-06 12:31:49.438344,9843945
2026-03-06 12:31:49.5397,9832376
2026-03-06 12:31:49.640962,9820636
2026-03-06 12:31:49.74196,9808374
2026-03-06 12:31:49.843245,9795579
2026-03-06 12:31:49.944899,9782720
2026-03-06 12:31:50.046211,9769825
2026-03-06 12:31:50.147566,9755861
2026-03-06 12:31:50.248551,9741094
2026-03-06 12:31:50.349133,9726769
2026-03-06 12:31:50.449843,9712125
2026-03-06 12:31:50.551069,9696560
2026-03-06 12:31:50.652161,9681173
2026-03-06 12:31:50.753153,9665064
2026-03-06 12:31:50.853861,9649314
2026-03-06 12:31:50.955292,9632070
2026-03-06 12:31:51.055984,9614874
2026-03-06 12:31:51.15703,9598152
2026-03-06 12:31:51.257573,9579495
2026-03-06 12:31:51.359346,9561368
2026-03-06 12:31:51.459625,9542746
2026-03-06 12:31:51.56068,9524297
2026-03-06 12:31:51.661282,9505483
2026-03-06 12:31:51.762452,9485463
2026-03-06 12:31:51.86384,9465599
2026-03-06 12:31:51.964594,9444662
2026-03-06 12:31:52.065683,9424653
2026-03-06 12:31:52.166331,9403753
2026-03-06 12:31:52.266661,9382073
2026-03-06 12:31:52.367331,9360571
2026-03-06 12:31:52.468308,9338215
2026-03-06 12:31:52.568942,9315593
2026-03-06 12:31:52.67034,9292979
2026-03-06 12:31:52.771164,9270240
2026-03-06 12:31:52.872033,9246551
2026-03-06 12:31:52.972511,9223206
2026-03-06 12:31:53.073673,9198724
2026-03-06 12:31:53.174392,9174218
2026-03-06 12:31:53.275144,9150011
2026-03-06 12:31:53.376257,9124618
2026-03-06 12:31:53.477317,9099475
2026-03-06 12:31:53.578128,9073704
2026-03-06 12:31:53.679189,9047126
2026-03-06 12:31:53.780548,9020817
2026-03-06 12:31:53.881506,8994818
2026-03-06 12:31:53.982167,8967823
2026-03-06 12:31:54.082533,8940354
2026-03-06 12:31:54.183955,8912849
2026-03-06 12:31:54.284773,8885213
2026-03-06 12:31:54.38575,8857493
2026-03-06 12:31:54.48652,8828601
2026-03-06 12:31:54.58802,8800027
2026-03-06 12:31:54.688304,8771501
2026-03-06 12:31:54.789595,8741293
2026-03-06 12:31:54.890024,8711795
2026-03-06 12:31:54.991344,8682411
2026-03-06 12:31:55.092223,8652524
2026-03-06 12:31:55.193081,8622376
2026-03-06 12:31:55.293518,8591647
2026-03-06 12:31:55.394637,8560178
2026-03-06 12:31:55.49601,8528989
2026-03-06 12:31:55.597224,8497753
2026-03-06 12:31:55.698696,8466086
2026-03-06 12:31:55.799043,8434501
2026-03-06 12:31:55.90049,8402261
2026-03-06 12:31:56.002292,8369086
2026-03-06 12:31:56.103194,8336512
2026-03-06 12:31:56.204848,8303981
2026-03-06 12:31:56.306338,8270737
2026-03-06 12:31:56.408078,8236310
2026-03-06 12:31:56.508673,8202981
2026-03-06 12:31:56.609956,8169427
2026-03-06 12:31:56.710781,8135130
2026-03-06 12:31:56.813012,8101119
2026-03-06 12:31:56.913106,8066674
2026-03-06 12:31:57.014329,8031683
2026-03-06 12:31:57.11543,7996324
2026-03-06 12:31:57.216767,7961627
2026-03-06 12:31:57.317724,7926614
2026-03-06 12:31:57.418638,7890498
2026-03-06 12:31:57.519422,7854676
2026-03-06 12:31:57.620102,7819395
2026-03-06 12:31:57.720746,7783411
2026-03-06 12:31:57.821703,7746842
2026-03-06 12:31:57.922867,7710746
2026-03-06 12:31:58.023266,7674222
2026-03-06 12:31:58.124606,7637188
2026-03-06 12:31:58.225345,7600393
2026-03-06 12:31:58.326134,7563446
2026-03-06 12:31:58.427107,7525949
2026-03-06 12:31:58.527682,7488558
2026-03-06 12:31:58.629163,7450653
2026-03-06 12:31:58.729947,7413543
2026-03-06 12:31:58.831106,7375063
2026-03-06 12:31:58.932555,7337753
2026-03-06 12:31:59.033533,7299657
2026-03-06 12:31:59.134811,7261001
2026-03-06 12:31:59.235906,7222340
2026-03-06 12:31:59.337028,7183670
2026-03-06 12:31:59.43832,7144941
2026-03-06 12:31:59.539891,7106381
2026-03-06 12:31:59.640787,7067731
2026-03-06 12:31:59.742235,7028522
2026-03-06 12:31:59.842856,6988850
2026-03-06 12:31:59.944747,6949047
2026-03-06 12:32:00.04648,6909836
2026-03-06 12:32:00.148056,6870185
2026-03-06 12:32:00.250373,6830783
2026-03-06 12:32:00.351696,6791248
2026-03-06 12:32:00.452767,6751128
2026-03-06 12:32:00.554832,6710696
2026-03-06 12:32:00.655636,6670917
2026-03-06 12:32:00.756111,6631937
2026-03-06 12:32:00.857305,6591277
2026-03-06 12:32:00.957893,6551922
2026-03-06 12:32:01.05959,6511343
2026-03-06 12:32:01.160831,6470994
2026-03-06 12:32:01.261811,6430662
2026-03-06 12:32:01.362784,6391003
2026-03-06 12:32:01.464405,6350142
2026-03-06 12:32:01.565651,6310219
2026-03-06 12:32:01.667201,6269923
2026-03-06 12:32:01.768039,6229010
2026-03-06 12:32:01.86928,6188969
2026-03-06 12:32:01.970585,6148177
2026-03-06 12:32:02.071113,6107794
2026-03-06 12:32:02.172558,6067851
2026-03-06 12:32:02.273537,6027009
2026-03-06 12:32:02.374635,5987056
2026-03-06 12:32:02.476138,5945993
2026-03-06 12:32:02.577295,5905880
2026-03-06 12:32:02.678259,5865183
2026-03-06 12:32:02.779046,5824940
2026-03-06 12:32:02.88024,5784494
2026-03-06 12:32:02.981431,5743885
2026-03-06 12:32:03.08227,5703694
2026-03-06 12:32:03.183295,5663849
2026-03-06 12:32:03.284016,5623369
2026-03-06 12:32:03.384991,5583239
2026-03-06 12:32:03.486051,5543041
2026-03-06 12:32:03.587352,5503348
2026-03-06 12:32:03.68859,5462917
2026-03-06 12:32:03.78973,5422501
2026-03-06 12:32:03.890512,5382941
2026-03-06 12:32:03.99146,5342701
2026-03-06 12:32:04.093001,5302796
2026-03-06 12:32:04.194194,5263049
2026-03-06 12:32:04.295629,5223738
2026-03-06 12:32:04.396522,5183503
2026-03-06 12:32:04.497554,5144205
2026-03-06 12:32:04.598547,5105038
2026-03-06 12:32:04.699415,5065755
2026-03-06 12:32:04.80066,5026437
2026-03-06 12:32:04.901906,4986840
2026-03-06 12:32:05.003058,4948190
2026-03-06 12:32:05.104281,4908826
2026-03-06 12:32:05.205825,4869533
2026-03-06 12:32:05.306559,4830884
2026-03-06 12:32:05.407412,4792275
2026-03-06 12:32:05.508577,4754281
2026-03-06 12:32:05.609182,4715713
2026-03-06 12:32:05.710138,4677929
2026-03-06 12:32:05.810501,4639812
2026-03-06 12:32:05.911922,4602547
2026-03-06 12:32:06.012933,4564538
2026-03-06 12:32:06.114207,4526553
