time,RTD_Cal.CH1.cal_status
2026-03-06 12:31:43.787011,0
2026-03-06 12:31:43.788579,0
2026-03-06 12:31:43.7889,0
2026-03-06 12:31:43.789303,0
2026-03-06 12:31:43.789722,0
2026-03-06 12:31:43.790156,0
2026-03-06 12:31:43.79038,0
2026-03-06 12:31:43.790472,0
2026-03-06 12:31:43.790556,0
2026-03-06 12:31:43.790637,0
2026-03-06 12:31:43.794937,0
2026-03-06 12:31:43.795455,0
2026-03-06 12:31:43.79584,0
2026-03-06 12:31:43.796194,0
2026-03-06 12:31:43.796571,0
2026-03-06 12:31:43.856659,0
2026-03-06 12:31:43.957926,0
2026-03-06 12:31:44.058621,0
2026-03-06 12:31:44.159747,0
2026-03-06 12:31:44.261014,0
2026-03-06 12:31:44.361666,0
2026-03-06 12:31:44.462251,0
2026-03-06 12:31:44.563977,0
2026-03-06 12:31:44.665724,0
2026-03-06 12:31:44.766921,0
2026-03-06 12:31:44.867834,0
2026-03-06 12:31:44.969601,0
2026-03-06 12:31:45.070813,0
2026-03-06 12:31:45.172327,0
2026-03-06 12:31:45.27389,0
2026-03-06 12:31:45.375219,0
2026-03-06 12:31:45.476692,0
2026-03-06 12:31:45.57751,0
2026-03-06 12:31:45.678786,0
2026-03-06 12:31:45.780361,0
2026-03-06 12:31:45.881271,0
2026-03-06 12:31:45.98252,0
2026-03-06 12:31:46.084799,0
2026-03-06 12:31:46.185831,0
2026-03-06 12:31:46.287318,0
2026-03-06 12:31:46.389289,0
2026-03-06 12:31:46.490299,0
2026-03-06 12:31:46.592099,0
2026-03-06 12:31:46.693741,0
2026-03-06 12:31:46.795014,0
2026-03-06 12:31:46.895799,0
2026-03-06 12:31:46.997675,0
2026-03-06 12:31:47.098714,0
2026-03-06 12:31:47.199865,0
2026-03-06 12:31:47.301255,0
2026-03-06 12:31:47.40308,0
2026-03-06 12:31:47.503897,0
2026-03-06 12:31:47.605094,0
2026-03-06 12:31:47.706312,0
2026-03-06 12:31:47.807484,0
2026-03-06 12:31:47.909559,0
2026-03-06 12:31:48.010823,0
2026-03-06 12:31:48.112249,0
2026-03-06 12:31:48.213807,0
2026-03-06 12:31:48.314709,0
2026-03-06 12:31:48.417094,0
2026-03-06 12:31:48.518314,0
2026-03-06 12:31:48.619705,0
2026-03-06 12:31:48.721294,0
2026-03-06 12:31:48.821694,0
2026-03-06 12:31:48.923596,0
2026-03-06 12:31:49.024301,0
2026-03-06 12:31:49.12495,0
2026-03-06 12:31:49.225554,0
2026-03-06 12:31:49.326487,0
2026-03-06 12:31:49.427487,0
2026-03-06 12:31:49.528546,0
2026-03-06 12:31:49.63,0
2026-03-06 12:31:49.731212,0
2026-03-06 12:31:49.832333,0
2026-03-06 12:31:49.933457,0
2026-03-06 12:31:50.034208,0
2026-03-06 12:31:50.135424,0
2026-03-06 12:31:50.236466,0
2026-03-06 12:31:50.337096,0
2026-03-06 12:31:50.43832,0
2026-03-06 12:31:50.539187,0
2026-03-06 12:31:50.639898,0
2026-03-06 12:31:50.741118,0
2026-03-06 12:31:50.842608,0
2026-03-06 12:31:50.943426,0
2026-03-06 12:31:51.044158,0
2026-03-06 12:31:51.145939,0
2026-03-06 12:31:51.246887,0
2026-03-06 12:31:51.348152,0
2026-03-06 12:31:51.449199,0
2026-03-06 12:31:51.550292,0
2026-03-06 12:31:51.651764,0
2026-03-06 12:31:51.752399,0
2026-03-06 12:31:51.85364,0
2026-03-06 12:31:51.955347,0
2026-03-06 12:31:52.056341,0
2026-03-06 12:31:52.158699,0
2026-03-06 12:31:52.259251,0
2026-03-06 12:31:52.361932,0
2026-03-06 12:31:52.462803,0
2026-03-06 12:31:52.564558,0
2026-03-06 12:31:52.666139,0
2026-03-06 12:31:52.767574,0
2026-03-06 12:31:52.869376,0
2026-03-06 12:31:52.970195,0
2026-03-06 12:31:53.071355,0
2026-03-06 12:31:53.17248,0
2026-03-06 12:31:53.272941,0
2026-03-06 12:31:53.374024,0
2026-03-06 12:31:53.474504,0
2026-03-06 12:31:53.575183,0
2026-03-06 12:31:53.675922,0
2026-03-06 12:31:53.777132,0
2026-03-06 12:31:53.87844,0
2026-03-06 12:31:53.980568,0
2026-03-06 12:31:54.081539,0
2026-03-06 12:31:54.182209,0
2026-03-06 12:31:54.28365,0
2026-03-06 12:31:54.384637,0
2026-03-06 12:31:54.486012,0
2026-03-06 12:31:54.586844,0
2026-03-06 12:31:54.688242,0
2026-03-06 12:31:54.78851,0
2026-03-06 12:31:54.889497,0
2026-03-06 12:31:54.990713,0
2026-03-06 12:31:55.091083,0
2026-03-06 12:31:55.191919,0
2026-03-06 12:31:55.292731,0
2026-03-06 12:31:55.393552,0
2026-03-06 12:31:55.494227,0
2026-03-06 12:31:55.595013,0
2026-03-06 12:31:55.696569,0
2026-03-06 12:31:55.796786,0
2026-03-06 12:31:55.898417,0
2026-03-06 12:31:55.99965,0
2026-03-06 12:31:56.101303,0
2026-03-06 12:31:56.202878,0
2026-03-06 12:31:56.304972,0
2026-03-06 12:31:56.407278,0
2026-03-06 12:31:56.507911,0
2026-03-06 12:31:56.609144,0
2026-03-06 12:31:56.710305,0
2026-03-06 12:31:56.812232,0
2026-03-06 12:31:56.912687,0
2026-03-06 12:31:57.013844,0
2026-03-06 12:31:57.114837,0
2026-03-06 12:31:57.215586,0
2026-03-06 12:31:57.316582,0
2026-03-06 12:31:57.417998,0
2026-03-06 12:31:57.518749,0
2026-03-06 12:31:57.619987,0
2026-03-06 12:31:57.720921,0
2026-03-06 12:31:57.821188,0
2026-03-06 12:31:57.922245,0
2026-03-06 12:31:58.023222,0
2026-03-06 12:31:58.123995,0
