time,PT.GN2_High.status
2026-03-06 12:31:43.788031,0
2026-03-06 12:31:43.788649,0
2026-03-06 12:31:43.788955,0
2026-03-06 12:31:43.789367,0
2026-03-06 12:31:43.789774,0
2026-03-06 12:31:43.790128,0
2026-03-06 12:31:43.790392,0
2026-03-06 12:31:43.790533,0
2026-03-06 12:31:43.790615,0
2026-03-06 12:31:43.790694,0
2026-03-06 12:31:43.795317,0
2026-03-06 12:31:43.795737,0
2026-03-06 12:31:43.7961,0
2026-03-06 12:31:43.796465,0
2026-03-06 12:31:43.796791,0
2026-03-06 12:31:43.862496,0
2026-03-06 12:31:43.963968,0
2026-03-06 12:31:44.065553,0
2026-03-06 12:31:44.166586,0
2026-03-06 12:31:44.267774,0
2026-03-06 12:31:44.369406,0
2026-03-06 12:31:44.470316,0
2026-03-06 12:31:44.571278,0
2026-03-06 12:31:44.673393,0
2026-03-06 12:31:44.774766,0
2026-03-06 12:31:44.87629,0
2026-03-06 12:31:44.97717,0
2026-03-06 12:31:45.078677,0
2026-03-06 12:31:45.181006,0
2026-03-06 12:31:45.282277,0
2026-03-06 12:31:45.38434,0
2026-03-06 12:31:45.484928,0
2026-03-06 12:31:45.586214,0
2026-03-06 12:31:45.687674,0
2026-03-06 12:31:45.790154,0
2026-03-06 12:31:45.890917,0
2026-03-06 12:31:45.992211,0
2026-03-06 12:31:46.093822,0
2026-03-06 12:31:46.194766,0
2026-03-06 12:31:46.296565,0
2026-03-06 12:31:46.397489,0
2026-03-06 12:31:46.498617,0
2026-03-06 12:31:46.600228,0
2026-03-06 12:31:46.701523,0
2026-03-06 12:31:46.803127,0
2026-03-06 12:31:46.90455,0
2026-03-06 12:31:47.006558,0
2026-03-06 12:31:47.107434,0
2026-03-06 12:31:47.209245,0
2026-03-06 12:31:47.309862,0
2026-03-06 12:31:47.411231,0
2026-03-06 12:31:47.512214,0
2026-03-06 12:31:47.613627,0
2026-03-06 12:31:47.715375,0
2026-03-06 12:31:47.81711,0
2026-03-06 12:31:47.918093,0
2026-03-06 12:31:48.019301,0
2026-03-06 12:31:48.120781,0
2026-03-06 12:31:48.221632,0
2026-03-06 12:31:48.322573,0
2026-03-06 12:31:48.424317,0
2026-03-06 12:31:48.525716,0
2026-03-06 12:31:48.626233,0
2026-03-06 12:31:48.727607,0
2026-03-06 12:31:48.828327,0
2026-03-06 12:31:48.929335,0
2026-03-06 12:31:49.030645,0
2026-03-06 12:31:49.131308,0
2026-03-06 12:31:49.232199,0
2026-03-06 12:31:49.333748,0
2026-03-06 12:31:49.434376,0
2026-03-06 12:31:49.535764,0
2026-03-06 12:31:49.636945,0
2026-03-06 12:31:49.738538,0
2026-03-06 12:31:49.839243,0
2026-03-06 12:31:49.940529,0
2026-03-06 12:31:50.041178,0
2026-03-06 12:31:50.142443,0
2026-03-06 12:31:50.244307,0
2026-03-06 12:31:50.345725,0
2026-03-06 12:31:50.446883,0
2026-03-06 12:31:50.547492,0
2026-03-06 12:31:50.648701,0
2026-03-06 12:31:50.749665,0
2026-03-06 12:31:50.850454,0
2026-03-06 12:31:50.951571,0
2026-03-06 12:31:51.052193,0
2026-03-06 12:31:51.153203,0
2026-03-06 12:31:51.254125,0
2026-03-06 12:31:51.35521,0
2026-03-06 12:31:51.456253,0
2026-03-06 12:31:51.557377,0
2026-03-06 12:31:51.65827,0
2026-03-06 12:31:51.75925,0
2026-03-06 12:31:51.860962,0
2026-03-06 12:31:51.9618,0
2026-03-06 12:31:52.062695,0
2026-03-06 12:31:52.164629,0
2026-03-06 12:31:52.26499,0
2026-03-06 12:31:52.36659,0
2026-03-06 12:31:52.467701,0
2026-03-06 12:31:52.569722,0
2026-03-06 12:31:52.670599,0
2026-03-06 12:31:52.772078,0
2026-03-06 12:31:52.872898,0
2026-03-06 12:31:52.97373,0
2026-03-06 12:31:53.074681,0
2026-03-06 12:31:53.175695,0
2026-03-06 12:31:53.276394,0
2026-03-06 12:31:53.377747,0
2026-03-06 12:31:53.478037,0
2026-03-06 12:31:53.578849,0
2026-03-06 12:31:53.679886,0
2026-03-06 12:31:53.780721,0
2026-03-06 12:31:53.881906,0
2026-03-06 12:31:53.983491,0
2026-03-06 12:31:54.084366,0
2026-03-06 12:31:54.185231,0
2026-03-06 12:31:54.285985,0
2026-03-06 12:31:54.386963,0
2026-03-06 12:31:54.4885,0
2026-03-06 12:31:54.589256,0
2026-03-06 12:31:54.690673,0
2026-03-06 12:31:54.791468,0
2026-03-06 12:31:54.892516,0
2026-03-06 12:31:54.993195,0
2026-03-06 12:31:55.094005,0
2026-03-06 12:31:55.194889,0
2026-03-06 12:31:55.29595,0
2026-03-06 12:31:55.396379,0
2026-03-06 12:31:55.498197,0
2026-03-06 12:31:55.599213,0
2026-03-06 12:31:55.700208,0
2026-03-06 12:31:55.80078,0
2026-03-06 12:31:55.901892,0
2026-03-06 12:31:56.003074,0
2026-03-06 12:31:56.104562,0
2026-03-06 12:31:56.205831,0
2026-03-06 12:31:56.307268,0
2026-03-06 12:31:56.408758,0
2026-03-06 12:31:56.51028,0
2026-03-06 12:31:56.61191,0
2026-03-06 12:31:56.713109,0
2026-03-06 12:31:56.814032,0
2026-03-06 12:31:56.915291,0
2026-03-06 12:31:57.016328,0
2026-03-06 12:31:57.118336,0
2026-03-06 12:31:57.220187,0
2026-03-06 12:31:57.321197,0
2026-03-06 12:31:57.422548,0
2026-03-06 12:31:57.52337,0
2026-03-06 12:31:57.624049,0
2026-03-06 12:31:57.725198,0
2026-03-06 12:31:57.825676,0
2026-03-06 12:31:57.926452,0
2026-03-06 12:31:58.027409,0
2026-03-06 12:31:58.129276,0
2026-03-06 12:31:58.23222,0
2026-03-06 12:31:58.333202,0
2026-03-06 12:31:58.434129,0
2026-03-06 12:31:58.535089,0
2026-03-06 12:31:58.63665,0
2026-03-06 12:31:58.738116,0
2026-03-06 12:31:58.83943,0
2026-03-06 12:31:58.940221,0
2026-03-06 12:31:59.041307,0
2026-03-06 12:31:59.142482,0
2026-03-06 12:31:59.243852,0
2026-03-06 12:31:59.345857,0
2026-03-06 12:31:59.447297,0
2026-03-06 12:31:59.548695,0
2026-03-06 12:31:59.649851,0
2026-03-06 12:31:59.751408,0
2026-03-06 12:31:59.852327,0
2026-03-06 12:31:59.953698,0
2026-03-06 12:32:00.055115,0
2026-03-06 12:32:00.156345,0
2026-03-06 12:32:00.257057,0
2026-03-06 12:32:00.358251,0
2026-03-06 12:32:00.459364,0
2026-03-06 12:32:00.560062,0
2026-03-06 12:32:00.661211,0
2026-03-06 12:32:00.761452,0
2026-03-06 12:32:00.862574,0
2026-03-06 12:32:00.963519,0
2026-03-06 12:32:01.063877,0
2026-03-06 12:32:01.165072,0
2026-03-06 12:32:01.26569,0
2026-03-06 12:32:01.366685,0
