time,PT.GSE_Low.sample_ts_ms
2026-03-06 12:31:43.780355,3273776294
2026-03-06 12:31:43.788243,3273776395
2026-03-06 12:31:43.788816,3273776497
2026-03-06 12:31:43.789249,3273776598
2026-03-06 12:31:43.789666,3273776699
2026-03-06 12:31:43.79004,3273776800
2026-03-06 12:31:43.79036,3273776901
2026-03-06 12:31:43.790448,3273777003
2026-03-06 12:31:43.79054,3273777105
2026-03-06 12:31:43.790626,3273777207
2026-03-06 12:31:43.7907,3273777309
2026-03-06 12:31:43.795332,3273777411
2026-03-06 12:31:43.795783,3273777514
2026-03-06 12:31:43.796125,3273777615
2026-03-06 12:31:43.796504,3273777716
2026-03-06 12:31:43.796798,3273777817
2026-03-06 12:31:43.870986,3273777918
2026-03-06 12:31:43.973033,3273778019
2026-03-06 12:31:44.0744,3273778121
2026-03-06 12:31:44.175879,3273778223
2026-03-06 12:31:44.277109,3273778324
2026-03-06 12:31:44.378683,3273778425
2026-03-06 12:31:44.479046,3273778526
2026-03-06 12:31:44.580379,3273778627
2026-03-06 12:31:44.68153,3273778728
2026-03-06 12:31:44.783164,3273778830
2026-03-06 12:31:44.88369,3273778931
2026-03-06 12:31:44.98459,3273779032
2026-03-06 12:31:45.085734,3273779133
2026-03-06 12:31:45.186741,3273779234
2026-03-06 12:31:45.28768,3273779334
2026-03-06 12:31:45.388187,3273779435
2026-03-06 12:31:45.488924,3273779536
2026-03-06 12:31:45.590212,3273779637
2026-03-06 12:31:45.691162,3273779738
2026-03-06 12:31:45.792397,3273779839
2026-03-06 12:31:45.893404,3273779941
2026-03-06 12:31:45.994587,3273780042
2026-03-06 12:31:46.096722,3273780143
2026-03-06 12:31:46.197682,3273780244
2026-03-06 12:31:46.298941,3273780346
2026-03-06 12:31:46.399977,3273780447
2026-03-06 12:31:46.501086,3273780548
2026-03-06 12:31:46.602098,3273780649
2026-03-06 12:31:46.703596,3273780750
2026-03-06 12:31:46.804365,3273780851
2026-03-06 12:31:46.905898,3273780952
2026-03-06 12:31:47.007287,3273781054
2026-03-06 12:31:47.108101,3273781155
2026-03-06 12:31:47.209823,3273781257
2026-03-06 12:31:47.311068,3273781358
2026-03-06 12:31:47.413095,3273781460
2026-03-06 12:31:47.514002,3273781561
2026-03-06 12:31:47.615265,3273781662
2026-03-06 12:31:47.716672,3273781764
2026-03-06 12:31:47.817614,3273781865
2026-03-06 12:31:47.919973,3273781967
2026-03-06 12:31:48.021263,3273782068
2026-03-06 12:31:48.122551,3273782169
2026-03-06 12:31:48.22375,3273782270
2026-03-06 12:31:48.324931,3273782372
2026-03-06 12:31:48.425996,3273782473
2026-03-06 12:31:48.526831,3273782574
2026-03-06 12:31:48.628508,3273782676
2026-03-06 12:31:48.729899,3273782777
2026-03-06 12:31:48.831195,3273782878
2026-03-06 12:31:48.932187,3273782979
2026-03-06 12:31:49.033461,3273783080
2026-03-06 12:31:49.134195,3273783181
2026-03-06 12:31:49.234506,3273783282
2026-03-06 12:31:49.335533,3273783382
2026-03-06 12:31:49.436056,3273783483
2026-03-06 12:31:49.536804,3273783584
2026-03-06 12:31:49.638115,3273783685
2026-03-06 12:31:49.73913,3273783786
2026-03-06 12:31:49.840367,3273783887
2026-03-06 12:31:49.941733,3273783989
2026-03-06 12:31:50.042885,3273784090
2026-03-06 12:31:50.144673,3273784192
2026-03-06 12:31:50.246588,3273784293
2026-03-06 12:31:50.348276,3273784395
2026-03-06 12:31:50.449223,3273784496
2026-03-06 12:31:50.550403,3273784597
2026-03-06 12:31:50.650978,3273784698
2026-03-06 12:31:50.752562,3273784799
2026-03-06 12:31:50.853256,3273784900
2026-03-06 12:31:50.955053,3273785002
2026-03-06 12:31:51.056105,3273785103
2026-03-06 12:31:51.157804,3273785205
2026-03-06 12:31:51.258883,3273785306
2026-03-06 12:31:51.360956,3273785407
2026-03-06 12:31:51.461402,3273785508
2026-03-06 12:31:51.563073,3273785610
2026-03-06 12:31:51.664333,3273785711
2026-03-06 12:31:51.765593,3273785813
2026-03-06 12:31:51.867102,3273785914
2026-03-06 12:31:51.968594,3273786016
2026-03-06 12:31:52.069959,3273786117
2026-03-06 12:31:52.172107,3273786219
2026-03-06 12:31:52.272983,3273786320
2026-03-06 12:31:52.373624,3273786421
2026-03-06 12:31:52.474273,3273786521
2026-03-06 12:31:52.575445,3273786623
2026-03-06 12:31:52.676457,3273786723
2026-03-06 12:31:52.777861,3273786825
2026-03-06 12:31:52.878702,3273786926
2026-03-06 12:31:52.979468,3273787027
2026-03-06 12:31:53.080517,3273787127
2026-03-06 12:31:53.181615,3273787229
2026-03-06 12:31:53.282508,3273787329
2026-03-06 12:31:53.383327,3273787430
2026-03-06 12:31:53.484299,3273787531
2026-03-06 12:31:53.585129,3273787632
2026-03-06 12:31:53.686226,3273787733
2026-03-06 12:31:53.787009,3273787834
2026-03-06 12:31:53.888312,3273787935
2026-03-06 12:31:53.989372,3273788036
2026-03-06 12:31:54.089999,3273788137
2026-03-06 12:31:54.191025,3273788238
2026-03-06 12:31:54.29171,3273788339
2026-03-06 12:31:54.392762,3273788440
2026-03-06 12:31:54.493552,3273788541
2026-03-06 12:31:54.594549,3273788641
2026-03-06 12:31:54.695303,3273788742
2026-03-06 12:31:54.796654,3273788843
2026-03-06 12:31:54.897006,3273788944
2026-03-06 12:31:54.998305,3273789045
2026-03-06 12:31:55.099154,3273789146
2026-03-06 12:31:55.200009,3273789247
2026-03-06 12:31:55.301483,3273789348
2026-03-06 12:31:55.403065,3273789450
2026-03-06 12:31:55.504604,3273789551
2026-03-06 12:31:55.606505,3273789653
2026-03-06 12:31:55.708179,3273789755
2026-03-06 12:31:55.809282,3273789856
2026-03-06 12:31:55.910443,3273789957
2026-03-06 12:31:56.011689,3273790059
2026-03-06 12:31:56.113171,3273790160
2026-03-06 12:31:56.214694,3273790261
2026-03-06 12:31:56.316287,3273790363
2026-03-06 12:31:56.418164,3273790465
2026-03-06 12:31:56.519014,3273790566
2026-03-06 12:31:56.620287,3273790667
2026-03-06 12:31:56.721793,3273790768
2026-03-06 12:31:56.822961,3273790870
2026-03-06 12:31:56.924341,3273790971
2026-03-06 12:31:57.024914,3273791072
2026-03-06 12:31:57.126045,3273791173
2026-03-06 12:31:57.226601,3273791273
2026-03-06 12:31:57.327655,3273791374
2026-03-06 12:31:57.428218,3273791475
2026-03-06 12:31:57.529267,3273791576
2026-03-06 12:31:57.629722,3273791677
2026-03-06 12:31:57.730683,3273791778
2026-03-06 12:31:57.831899,3273791879
2026-03-06 12:31:57.932283,3273791980
2026-03-06 12:31:58.03374,3273792081
2026-03-06 12:31:58.135005,3273792182
2026-03-06 12:31:58.235664,3273792282
2026-03-06 12:31:58.336088,3273792383
2026-03-06 12:31:58.43699,3273792484
2026-03-06 12:31:58.537812,3273792585
2026-03-06 12:31:58.638873,3273792686
2026-03-06 12:31:58.740461,3273792787
2026-03-06 12:31:58.841316,3273792888
2026-03-06 12:31:58.942121,3273792989
2026-03-06 12:31:59.043563,3273793090
2026-03-06 12:31:59.145366,3273793192
2026-03-06 12:31:59.246697,3273793293
2026-03-06 12:31:59.347629,3273793394
2026-03-06 12:31:59.448357,3273793495
2026-03-06 12:31:59.549203,3273793596
2026-03-06 12:31:59.650505,3273793697
2026-03-06 12:31:59.751447,3273793798
2026-03-06 12:31:59.852873,3273793900
2026-03-06 12:31:59.954257,3273794001
2026-03-06 12:32:00.055159,3273794102
2026-03-06 12:32:00.1564,3273794204
2026-03-06 12:32:00.257651,3273794304
2026-03-06 12:32:00.358295,3273794405
2026-03-06 12:32:00.459411,3273794507
2026-03-06 12:32:00.56063,3273794608
2026-03-06 12:32:00.66189,3273794709
2026-03-06 12:32:00.763161,3273794810
2026-03-06 12:32:00.864177,3273794911
2026-03-06 12:32:00.96549,3273795012
2026-03-06 12:32:01.066351,3273795113
2026-03-06 12:32:01.16741,3273795215
2026-03-06 12:32:01.26861,3273795316
2026-03-06 12:32:01.369676,3273795417
2026-03-06 12:32:01.471036,3273795518
2026-03-06 12:32:01.572071,3273795619
2026-03-06 12:32:01.672769,3273795720
2026-03-06 12:32:01.773303,3273795820
2026-03-06 12:32:01.874722,3273795921
2026-03-06 12:32:01.97541,3273796023
2026-03-06 12:32:02.076411,3273796124
2026-03-06 12:32:02.177349,3273796225
2026-03-06 12:32:02.278799,3273796326
2026-03-06 12:32:02.379749,3273796427
2026-03-06 12:32:02.481056,3273796528
2026-03-06 12:32:02.582161,3273796629
2026-03-06 12:32:02.683019,3273796730
2026-03-06 12:32:02.784562,3273796831
2026-03-06 12:32:02.885524,3273796932
2026-03-06 12:32:02.986332,3273797033
2026-03-06 12:32:03.087632,3273797135
2026-03-06 12:32:03.18938,3273797236
2026-03-06 12:32:03.290618,3273797337
2026-03-06 12:32:03.391556,3273797438
2026-03-06 12:32:03.493159,3273797540
2026-03-06 12:32:03.593812,3273797641
2026-03-06 12:32:03.695021,3273797742
2026-03-06 12:32:03.79562,3273797843
2026-03-06 12:32:03.897045,3273797944
2026-03-06 12:32:03.9977,3273798045
2026-03-06 12:32:04.098727,3273798146
2026-03-06 12:32:04.199901,3273798247
2026-03-06 12:32:04.300966,3273798348
2026-03-06 12:32:04.402265,3273798449
2026-03-06 12:32:04.503053,3273798550
2026-03-06 12:32:04.604037,3273798651
2026-03-06 12:32:04.705193,3273798752
2026-03-06 12:32:04.806585,3273798854
2026-03-06 12:32:04.908135,3273798955
2026-03-06 12:32:05.0094,3273799056
2026-03-06 12:32:05.110145,3273799157
2026-03-06 12:32:05.211621,3273799259
2026-03-06 12:32:05.313219,3273799360
2026-03-06 12:32:05.415054,3273799461
2026-03-06 12:32:05.515205,3273799562
2026-03-06 12:32:05.615826,3273799663
2026-03-06 12:32:05.717127,3273799764
2026-03-06 12:32:05.818154,3273799865
2026-03-06 12:32:05.918842,3273799966
2026-03-06 12:32:06.01935,3273800067
2026-03-06 12:32:06.12089,3273800168
2026-03-06 12:32:06.221569,3273800269
2026-03-06 12:32:06.323213,3273800370
2026-03-06 12:32:06.424772,3273800471
2026-03-06 12:32:06.525644,3273800572
2026-03-06 12:32:06.626872,3273800674
2026-03-06 12:32:06.728169,3273800775
2026-03-06 12:32:06.829545,3273800876
2026-03-06 12:32:06.930329,3273800977
2026-03-06 12:32:07.031423,3273801079
2026-03-06 12:32:07.132641,3273801180
2026-03-06 12:32:07.233726,3273801281
2026-03-06 12:32:07.334941,3273801382
2026-03-06 12:32:07.4361,3273801483
2026-03-06 12:32:07.536644,3273801584
2026-03-06 12:32:07.637544,3273801684
2026-03-06 12:32:07.738596,3273801786
2026-03-06 12:32:07.839887,3273801887
2026-03-06 12:32:07.940581,3273801988
2026-03-06 12:32:08.042062,3273802089
2026-03-06 12:32:08.143533,3273802190
2026-03-06 12:32:08.244696,3273802292
2026-03-06 12:32:08.345858,3273802393
2026-03-06 12:32:08.446873,3273802494
2026-03-06 12:32:08.547909,3273802595
2026-03-06 12:32:08.649041,3273802696
2026-03-06 12:32:08.749813,3273802797
2026-03-06 12:32:08.850858,3273802898
2026-03-06 12:32:08.95184,3273802999
2026-03-06 12:32:09.053412,3273803100
2026-03-06 12:32:09.154391,3273803201
