time,PT.Ox_Downstream.sample_ts_ms
2026-03-06 12:31:43.780646,3273776294
2026-03-06 12:31:43.788291,3273776395
2026-03-06 12:31:43.788847,3273776497
2026-03-06 12:31:43.789276,3273776598
2026-03-06 12:31:43.789694,3273776699
2026-03-06 12:31:43.790068,3273776800
2026-03-06 12:31:43.790366,3273776901
2026-03-06 12:31:43.790454,3273777003
2026-03-06 12:31:43.790546,3273777105
2026-03-06 12:31:43.790632,3273777207
2026-03-06 12:31:43.790706,3273777309
2026-03-06 12:31:43.795369,3273777411
2026-03-06 12:31:43.795808,3273777514
2026-03-06 12:31:43.79615,3273777615
2026-03-06 12:31:43.796528,3273777716
2026-03-06 12:31:43.796815,3273777817
2026-03-06 12:31:43.871039,3273777918
2026-03-06 12:31:43.973114,3273778019
2026-03-06 12:31:44.074504,3273778121
2026-03-06 12:31:44.175961,3273778223
2026-03-06 12:31:44.277152,3273778324
2026-03-06 12:31:44.378761,3273778425
2026-03-06 12:31:44.479119,3273778526
2026-03-06 12:31:44.580445,3273778627
2026-03-06 12:31:44.68159,3273778728
2026-03-06 12:31:44.78326,3273778830
2026-03-06 12:31:44.883752,3273778931
2026-03-06 12:31:44.984694,3273779032
2026-03-06 12:31:45.085827,3273779133
2026-03-06 12:31:45.186849,3273779234
2026-03-06 12:31:45.287841,3273779334
2026-03-06 12:31:45.388328,3273779435
2026-03-06 12:31:45.489084,3273779536
2026-03-06 12:31:45.590384,3273779637
2026-03-06 12:31:45.691314,3273779738
2026-03-06 12:31:45.792652,3273779839
2026-03-06 12:31:45.893545,3273779941
2026-03-06 12:31:45.994728,3273780042
2026-03-06 12:31:46.09689,3273780143
2026-03-06 12:31:46.197786,3273780244
2026-03-06 12:31:46.299058,3273780346
2026-03-06 12:31:46.400075,3273780447
2026-03-06 12:31:46.50122,3273780548
2026-03-06 12:31:46.602248,3273780649
2026-03-06 12:31:46.703775,3273780750
2026-03-06 12:31:46.804498,3273780851
2026-03-06 12:31:46.906066,3273780952
2026-03-06 12:31:47.007431,3273781054
2026-03-06 12:31:47.108176,3273781155
2026-03-06 12:31:47.209994,3273781257
2026-03-06 12:31:47.311121,3273781358
2026-03-06 12:31:47.413195,3273781460
2026-03-06 12:31:47.514145,3273781561
2026-03-06 12:31:47.615444,3273781662
2026-03-06 12:31:47.716852,3273781764
2026-03-06 12:31:47.817779,3273781865
2026-03-06 12:31:47.920131,3273781967
2026-03-06 12:31:48.021417,3273782068
2026-03-06 12:31:48.122752,3273782169
2026-03-06 12:31:48.223931,3273782270
2026-03-06 12:31:48.325121,3273782372
2026-03-06 12:31:48.426163,3273782473
2026-03-06 12:31:48.526948,3273782574
2026-03-06 12:31:48.628611,3273782676
2026-03-06 12:31:48.730031,3273782777
2026-03-06 12:31:48.831337,3273782878
2026-03-06 12:31:48.932279,3273782979
2026-03-06 12:31:49.033523,3273783080
2026-03-06 12:31:49.134288,3273783181
2026-03-06 12:31:49.234569,3273783282
2026-03-06 12:31:49.335615,3273783382
2026-03-06 12:31:49.436134,3273783483
2026-03-06 12:31:49.536896,3273783584
2026-03-06 12:31:49.638258,3273783685
2026-03-06 12:31:49.739244,3273783786
2026-03-06 12:31:49.840418,3273783887
2026-03-06 12:31:49.941797,3273783989
2026-03-06 12:31:50.042945,3273784090
2026-03-06 12:31:50.144717,3273784192
2026-03-06 12:31:50.246696,3273784293
2026-03-06 12:31:50.348396,3273784395
2026-03-06 12:31:50.449333,3273784496
2026-03-06 12:31:50.550503,3273784597
2026-03-06 12:31:50.651058,3273784698
2026-03-06 12:31:50.752611,3273784799
2026-03-06 12:31:50.853384,3273784900
