time,LC.CH2.sample_ts_ms
2026-03-06 12:31:43.780129,3273776294
2026-03-06 12:31:43.788316,3273776395
2026-03-06 12:31:43.788798,3273776496
2026-03-06 12:31:43.789211,3273776597
2026-03-06 12:31:43.789649,3273776699
2026-03-06 12:31:43.790023,3273776800
2026-03-06 12:31:43.790368,3273776901
2026-03-06 12:31:43.790462,3273777003
2026-03-06 12:31:43.790548,3273777105
2026-03-06 12:31:43.790622,3273777207
2026-03-06 12:31:43.790696,3273777309
2026-03-06 12:31:43.795383,3273777411
2026-03-06 12:31:43.795748,3273777513
2026-03-06 12:31:43.796109,3273777615
2026-03-06 12:31:43.796489,3273777716
2026-03-06 12:31:43.796822,3273777818
2026-03-06 12:31:43.871605,3273777918
2026-03-06 12:31:43.973173,3273778020
2026-03-06 12:31:44.073601,3273778120
2026-03-06 12:31:44.174617,3273778222
2026-03-06 12:31:44.275707,3273778322
2026-03-06 12:31:44.376457,3273778423
2026-03-06 12:31:44.477643,3273778524
2026-03-06 12:31:44.578401,3273778625
2026-03-06 12:31:44.679712,3273778726
2026-03-06 12:31:44.780234,3273778827
2026-03-06 12:31:44.881864,3273778928
2026-03-06 12:31:44.982694,3273779029
2026-03-06 12:31:45.084417,3273779131
2026-03-06 12:31:45.185332,3273779232
2026-03-06 12:31:45.286295,3273779333
2026-03-06 12:31:45.388038,3273779435
2026-03-06 12:31:45.488784,3273779536
2026-03-06 12:31:45.590043,3273779637
2026-03-06 12:31:45.690896,3273779738
2026-03-06 12:31:45.79174,3273779839
2026-03-06 12:31:45.892787,3273779940
2026-03-06 12:31:45.993367,3273780041
2026-03-06 12:31:46.094614,3273780141
2026-03-06 12:31:46.195295,3273780242
2026-03-06 12:31:46.295728,3273780343
2026-03-06 12:31:46.397247,3273780444
2026-03-06 12:31:46.498375,3273780545
2026-03-06 12:31:46.599306,3273780646
2026-03-06 12:31:46.700848,3273780747
2026-03-06 12:31:46.80209,3273780849
2026-03-06 12:31:46.902815,3273780950
2026-03-06 12:31:47.004157,3273781051
2026-03-06 12:31:47.105777,3273781153
2026-03-06 12:31:47.207285,3273781254
2026-03-06 12:31:47.308327,3273781355
2026-03-06 12:31:47.410097,3273781456
2026-03-06 12:31:47.510681,3273781557
2026-03-06 12:31:47.611756,3273781658
2026-03-06 12:31:47.712519,3273781759
2026-03-06 12:31:47.81334,3273781860
2026-03-06 12:31:47.913957,3273781961
2026-03-06 12:31:48.015801,3273782062
2026-03-06 12:31:48.11651,3273782163
2026-03-06 12:31:48.217394,3273782264
2026-03-06 12:31:48.318278,3273782365
2026-03-06 12:31:48.420012,3273782467
2026-03-06 12:31:48.521148,3273782568
2026-03-06 12:31:48.622555,3273782669
2026-03-06 12:31:48.724506,3273782771
2026-03-06 12:31:48.825262,3273782872
2026-03-06 12:31:48.92585,3273782973
2026-03-06 12:31:49.027084,3273783074
2026-03-06 12:31:49.127813,3273783175
2026-03-06 12:31:49.228698,3273783276
2026-03-06 12:31:49.329712,3273783377
2026-03-06 12:31:49.430896,3273783478
2026-03-06 12:31:49.531652,3273783579
2026-03-06 12:31:49.633426,3273783680
2026-03-06 12:31:49.734286,3273783781
2026-03-06 12:31:49.835161,3273783882
2026-03-06 12:31:49.936046,3273783983
2026-03-06 12:31:50.037368,3273784084
2026-03-06 12:31:50.138505,3273784186
2026-03-06 12:31:50.240459,3273784287
2026-03-06 12:31:50.342058,3273784389
2026-03-06 12:31:50.442965,3273784490
2026-03-06 12:31:50.543543,3273784590
2026-03-06 12:31:50.644536,3273784691
2026-03-06 12:31:50.746155,3273784793
2026-03-06 12:31:50.846906,3273784894
2026-03-06 12:31:50.948199,3273784995
2026-03-06 12:31:51.049261,3273785096
2026-03-06 12:31:51.15007,3273785197
2026-03-06 12:31:51.251018,3273785298
2026-03-06 12:31:51.352041,3273785399
2026-03-06 12:31:51.453199,3273785500
2026-03-06 12:31:51.553954,3273785601
2026-03-06 12:31:51.655722,3273785702
2026-03-06 12:31:51.756493,3273785803
2026-03-06 12:31:51.857494,3273785905
2026-03-06 12:31:51.958974,3273786006
2026-03-06 12:31:52.060293,3273786107
2026-03-06 12:31:52.161569,3273786209
2026-03-06 12:31:52.262668,3273786310
2026-03-06 12:31:52.364143,3273786411
2026-03-06 12:31:52.465017,3273786512
2026-03-06 12:31:52.566062,3273786613
2026-03-06 12:31:52.668016,3273786715
2026-03-06 12:31:52.769262,3273786816
2026-03-06 12:31:52.871309,3273786918
2026-03-06 12:31:52.971947,3273787019
2026-03-06 12:31:53.073884,3273787121
2026-03-06 12:31:53.175058,3273787222
2026-03-06 12:31:53.275761,3273787323
2026-03-06 12:31:53.377637,3273787424
2026-03-06 12:31:53.477933,3273787525
2026-03-06 12:31:53.578744,3273787626
2026-03-06 12:31:53.679308,3273787727
2026-03-06 12:31:53.780737,3273787828
2026-03-06 12:31:53.881939,3273787929
2026-03-06 12:31:53.983526,3273788030
2026-03-06 12:31:54.084282,3273788131
2026-03-06 12:31:54.185255,3273788232
2026-03-06 12:31:54.286551,3273788333
2026-03-06 12:31:54.38808,3273788435
2026-03-06 12:31:54.489512,3273788536
2026-03-06 12:31:54.589915,3273788637
2026-03-06 12:31:54.690704,3273788738
2026-03-06 12:31:54.791513,3273788839
2026-03-06 12:31:54.892534,3273788939
2026-03-06 12:31:54.993094,3273789040
2026-03-06 12:31:55.094036,3273789141
2026-03-06 12:31:55.194923,3273789242
2026-03-06 12:31:55.295973,3273789343
2026-03-06 12:31:55.396409,3273789444
2026-03-06 12:31:55.497972,3273789545
2026-03-06 12:31:55.599288,3273789646
