sku,api_id,model,trim,style,canopy_style,diameter_in,diameter_spill_in,gores,rating_20fps_lb,rating_15fps_lb,weight_oz,weight_g,packing_volume_in3,area_projected_sqft,area_canopy_sqft,area_spill_sqft,cd_projected,cd_area_canopy,equivalent_flat_diameter_in,performance_ratio_20fps,performance_ratio_15fps,manufacturer,description,url,source,scraped_at
SP-96,610,SP,,Spherical (Spherachute),spherical,61.15,7.17,12,14.3617,8.0785,13,368.55,72.22,20.1144,40.5093,0.2804,1.5,0.7448,86.1814,17.6759,9.9427,Spherachute,SP-96 - 61.15 in diameter Spherical (Spherachute),,api,2026-07-30T21:01:00+00:00
TAC-1-24,930,TAC,1,"Panel Cruciform, standard 1.1oz (Giant Leap)",panel cruciform,24,0,4,1.4356,0.8075,5.4,153.09,30,3.1416,6.2832,0,0.96,0.48,33.9411,4.2536,2.3926,Giant Leap,"TAC-1-24 - 24 in diameter Panel Cruciform, standard 1.1oz (Giant Leap)",,api,2026-07-30T21:01:00+00:00
TAC-1-36,940,TAC,1,"Panel Cruciform, standard 1.1oz (Giant Leap)",panel cruciform,36,0,4,3.5665,2.0062,8.1,229.635,45,7.0686,14.1372,0,1.06,0.53,50.9117,7.045,3.9628,Giant Leap,"TAC-1-36 - 36 in diameter Panel Cruciform, standard 1.1oz (Giant Leap)",,api,2026-07-30T21:01:00+00:00
TAC-1-48,950,TAC,1,"Panel Cruciform, standard 1.1oz (Giant Leap)",panel cruciform,48,0,4,7.1779,4.0376,10.8,306.18,60,12.5664,25.1327,0,1.2,0.6,67.8823,10.6339,5.9816,Giant Leap,"TAC-1-48 - 48 in diameter Panel Cruciform, standard 1.1oz (Giant Leap)",,api,2026-07-30T21:01:00+00:00
TAC-1-60,960,TAC,1,"Panel Cruciform, standard 1.1oz (Giant Leap)",panel cruciform,60,0,4,14.2997,8.0436,14.3,405.405,79.44,19.6349,39.2699,0,1.53,0.765,84.8528,15.9997,8.9998,Giant Leap,"TAC-1-60 - 60 in diameter Panel Cruciform, standard 1.1oz (Giant Leap)",,api,2026-07-30T21:01:00+00:00
TAC-1-72,970,TAC,1,"Panel Cruciform, standard 1.1oz (Giant Leap)",panel cruciform,72,0,4,21.3991,12.037,18,510.3,100,28.2743,56.5486,0,1.59,0.795,101.8234,19.0214,10.6996,Giant Leap,"TAC-1-72 - 72 in diameter Panel Cruciform, standard 1.1oz (Giant Leap)",,api,2026-07-30T21:01:00+00:00
TAC-1-84,980,TAC,1,"Panel Cruciform, standard 1.1oz (Giant Leap)",panel cruciform,84,0,4,29.1266,16.3837,22.1,626.535,122.78,38.4845,76.969,0,1.59,0.795,118.7939,21.0871,11.8615,Giant Leap,"TAC-1-84 - 84 in diameter Panel Cruciform, standard 1.1oz (Giant Leap)",,api,2026-07-30T21:01:00+00:00
TARC-16,430,TARC,,Elliptical light weight with Spectra lines,elliptical,16,3.2,6,0.9571,0.5383,0.75,21.2625,4.17,1.3404,2.3859,0.0559,1.5,0.8427,20.9154,20.4172,11.4846,Fruity Chutes,TARC-16 - 16 in diameter Elliptical light weight with Spectra lines,,api,2026-07-30T21:01:00+00:00
TARC-18,440,TARC,,Elliptical light weight with Spectra lines,elliptical,18,3.6,6,1.2113,0.6813,0.8,22.68,4.44,1.6965,3.0197,0.0707,1.5,0.8427,23.5298,24.2254,13.6268,Fruity Chutes,TARC-18 - 18 in diameter Elliptical light weight with Spectra lines,,api,2026-07-30T21:01:00+00:00
TARC-20,450,TARC,,Elliptical light weight with Spectra lines,elliptical,20,4,6,1.4954,0.8412,0.8,22.68,4.44,2.0944,3.728,0.0873,1.5,0.8427,26.1442,29.9079,16.8232,Fruity Chutes,TARC-20 - 20 in diameter Elliptical light weight with Spectra lines,,api,2026-07-30T21:01:00+00:00
TARC-24,460,TARC,,Elliptical light weight with Spectra lines,elliptical,24,4.8,6,2.1534,1.2113,1.2,34.02,6.67,3.0159,5.3683,0.1257,1.5,0.8427,31.3731,28.7116,16.1503,Fruity Chutes,TARC-24 - 24 in diameter Elliptical light weight with Spectra lines,,api,2026-07-30T21:01:00+00:00
