T_K,P_Pa,Z
90,200000,0.9447458724661743
90,240703.51758793968,0.93264562
90,281407.03517587937,0.9201972800983285
90,322110.5527638191,0.9073655021544408
90,362814.0703517588,0.018230417
90,403517.5879396985,0.020271165
90,444221.1055276382,0.022311018798690463
90,484924.6231155779,0.024349981798642006
90,525628.1407035176,0.026388057133200915
90,566331.6582914572,0.028425248027099337
90,607035.1759,0.030461558
90,647738.6934673367,0.032496989
90,688442.2110552764,0.034531546
90,729145.7286432161,0.036565231
90,769849.2462311558,0.038598047162669236
90,810552.7638190954,0.040629998
90,851256.2814070352,0.042661086
90,891959.7989949749,0.044691315
90,932663.3165829146,0.046720687
90,973366.8341708543,0.048749206
90,1014070.3517587939,0.050776874600588995
90,1054773.8693467337,0.052803696
90,1095477.3869346734,0.054829672152375886
90,1136180.9045226132,0.056854807076017866
90,1176884.422110553,0.058879103311748504
90,1217587.9396984926,0.060902564
90,1258291.4572864322,0.062925191
90,1298994.974874372,0.064946989
90,1339698.4924623116,0.066967959
90,1380402.0100502514,0.068988104
90,1421105.527638191,0.071007429
90,1461809.0452261306,0.073025934
90,1502512.5628140704,0.075043623
90,1543216.0804020101,0.077060498
90,1583919.5979899499,0.079076563
90,1624623.1155778894,0.08109182
90,1665326.6331658291,0.083106272
90,1706030.1507537689,0.085119921
90,1746733.6683417086,0.08713277
90,1787437.1859296483,0.089144822
90,1828140.7035175879,0.091156078
90,1868844.2211055276,0.093166543
90,1909547.7386934673,0.095176219
90,1950251.256281407,0.097185107
90,1990954.7738693468,0.099193211
90,2031658.2914572866,0.10120053240207272
90,2072361.809045226,0.10320707486836567
90,2113065.3266331656,0.10521284043359835
90,2153768.844221106,0.10721783158247955
90,2194472.361809045,0.10922205078413594
90,2235175.8793969853,0.11122550049237578
90,2275879.3969849246,0.11322818314580274
90,2316582.9145728643,0.11523010116793053
90,2357286.432160804,0.11723125696735792
90,2397989.949748744,0.11923165293788496
90,2438693.4673366835,0.12123129145861555
90,2479396.9849246233,0.12323017489420762
90,2520100.502512563,0.12522830559487352
90,2560804.0201005028,0.12722568589651417
90,2601507.537688442,0.1292223181210107
90,2642211.055276382,0.1312182045761433
90,2682914.5728643215,0.13321334755589198
90,2723618.0904522613,0.1352077493403977
90,2764321.608040201,0.13720141219625992
90,2805025.1256281408,0.13919433837647166
90,2845728.6432160805,0.1411865301207269
90,2886432.1608040202,0.14317798965540784
90,2927135.678,0.14516871919373509
90,2967839.1959798997,0.14715872093592464
90,3008542.7135678395,0.14914799706924486
90,3049246.2311557787,0.15113654976811575
90,3089949.7487437185,0.15312438119440897
90,3130653.2663316582,0.15511149349721032
90,3171356.783919598,0.1570978888132426
90,3212060.3015075377,0.1590835692668442
90,3252763.8190954775,0.16106853697013157
90,3293467.336683417,0.16305279402297856
90,3334170.854271357,0.1650363425132808
90,3374874.3718592967,0.16701918451692832
90,3415577.8894472364,0.16900132211679364
90,3456281.4070351757,0.17098275732979085
90,3496984.9246231155,0.1729634922134219
90,3537688.442211055,0.17494352879685937
90,3578391.959798995,0.1769228690977711
90,3619095.4773869347,0.1789015151225457
90,3659798.9949748744,0.18087946886626083
90,3700502.512562814,0.18285673231280397
90,3741206.030150754,0.18483330743507553
90,3781909.5477386937,0.18680919619494696
90,3822613.0653266334,0.18878440054341783
90,3863316.582914573,0.19075892242071002
90,3904020.1005025124,0.19273276375623738
90,3944723.618090452,0.1947059264689428
90,3985427.135678392,0.19667841246715523
90,4026130.6532663316,0.19865022364872276
90,4066834.1708542714,0.20062136190124769
90,4107537.688442211,0.2025918291019716
90,4148241.206030151,0.20456162711793502
90,4188944.7236180906,0.20653075780610108
90,4229648.241,0.20849922301342005
90,4270351.758793971,0.2104670245768644
90,4311055.276,0.21243416432354412
90,4351758.793969849,0.2144006440708105
90,4392462.311557788,0.21636646562623618
90,4433165.829145729,0.21833163078784423
90,4473869.346733669,0.22029614134404785
90,4514572.864321608,0.22225999907380778
90,4555276.381909547,0.22422320574667132
90,4595979.899497488,0.22618576312280203
90,4636683.417085427,0.2281476729532219
90,4677386.934673367,0.23010893697963974
90,4718090.452261306,0.23206955693476183
90,4758793.969849247,0.23402953454217246
90,4799497.487437186,0.2359888715165387
90,4840201.005025126,0.23794756956354868
90,4880904.522613065,0.2399056303801652
90,4921608.0402010055,0.2418630556545167
90,4962311.557788945,0.2438198470660139
90,5003015.075376884,0.24577600628549912
90,5043718.592964824,0.2477315349752287
90,5084422.110552764,0.24968643478893116
90,5125125.628140704,0.2516407073719298
90,5165829.145728643,0.25359435436118083
90,5206532.663316583,0.25554737738529365
90,5247236.180904523,0.2574997780647045
90,5287939.698492463,0.2594515580115869
90,5328643.216080402,0.26140271883004007
90,5369346.733668342,0.26335326211610444
90,5410050.2512562815,0.2653031894578499
90,5450753.768844221,0.26725250243531185
90,5491457.286432161,0.2692012026207311
90,5532160.804,0.27114929157854095
90,5572864.3216080405,0.27309677086528716
90,5613567.839,0.2750436420299799
90,5654271.357,0.27698990661384226
90,5694974.874371859,0.278935566
90,5735678.391959799,0.2808806221663358
90,5776381.909547739,0.28282507617975716
90,5817085.427135679,0.28476892970210255
90,5857788.944723618,0.28671218423724654
90,5898492.4623115575,0.28865484128173824
90,5939195.979899498,0.2905969023248025
90,5979899.497487437,0.29253836884854023
90,6020603.015075377,0.29447924232785583
90,6061306.5326633165,0.2964195242305526
90,6102010.050251257,0.29835921601734383
90,6142713.567839196,0.3002983191419566
90,6183417.085427136,0.30223683505118715
90,6224120.603015075,0.3041747651848553
90,6264824.120603016,0.30611211097596946
90,6305527.638190955,0.30804887385073254
90,6346231.155778894,0.3099850552285308
90,6386934.673366834,0.31192065652213885
90,6427638.190954774,0.3138556791417406
90,6468341.708542714,0.3157901244784106
90,6509045.226130653,0.3177239939292378
90,6549748.743718593,0.3196572888806357
90,6590452.261306533,0.3215900107122919
90,6631155.778894473,0.3235221607975747
90,6671859.296482412,0.3254537405035566
90,6712562.814070351,0.32738475119080834
90,6753266.331658292,0.3293151942137664
90,6793969.849246231,0.33124507092045996
90,6834673.366834171,0.3331743826527904
90,6875376.884,0.3351031307464498
90,6916080.402010051,0.33703131653099716
90,6956783.92,0.33895894132994775
90,6997487.437,0.3408860064606527
90,7038190.954773869,0.34281251323459794
90,7078894.472,0.34473846295715305
90,7119597.989949749,0.34666385692791357
90,7160301.507537688,0.34858869644051393
90,7201005.025125628,0.3505129827826975
90,7241708.542713568,0.35243671723641556
90,7282412.060301508,0.35435990107795856
90,7323115.577889447,0.35628253557777445
90,7363819.095477387,0.35820462200065994
90,7404522.613065327,0.3601261616057091
90,7445226.130653267,0.36204715564644485
90,7485929.648241206,0.36396760537086836
90,7526633.165829146,0.3658875120213092
90,7567336.683417086,0.36780687683466873
90,7608040.201005025,0.36972570104241254
90,7648743.718592965,0.3716439858704562
90,7689447.236180904,0.37356173253943714
90,7730150.7537688445,0.37547894226456846
90,7770854.271356784,0.37739561625574003
90,7811557.788944724,0.37931175571761055
90,7852261.306532663,0.3812273618494657
90,7892964.8241206035,0.3831424358454467
90,7933668.341708543,0.3850569788945145
90,7974371.859296483,0.38697099218046027
90,8015075.376884422,0.38888447688186456
90,8055778.894472362,0.39079743417236756
90,8096482.412060302,0.3927098652204465
90,8137185.929648241,0.3946217711896093
90,8177889.447236181,0.39653315323832894
90,8218592.9648241205,0.3984440125201407
90,8259296.482412061,0.40035435018364873
90,8300000,0.4022641673725258
91.05527638190955,200000,0.9467118677777808
91.05527638190955,240703.51758793968,0.935084614
91.05527638190955,281407.03517587937,0.9231423599074301
91.05527638190955,322110.5527638191,0.9108554135497674
91.05527638190955,362814.0703517588,0.8981884124959478
91.05527638190955,403517.5879396985,0.020188804920063363
91.05527638190955,444221.1055276382,0.022220108964460028
91.05527638190955,484924.6231155779,0.024250479104049982
91.05527638190955,525628.1407035176,0.026279919004790764
91.05527638190955,566331.6582914572,0.028308432239248726
91.05527638190955,607035.1759,0.030336022
91.05527638190955,647738.6934673367,0.032362693
91.05527638190955,688442.2110552764,0.034388447
91.05527638190955,729145.7286432161,0.036413289
91.05527638190955,769849.2462311558,0.038437222
91.05527638190955,810552.7638190954,0.040460248370660756
91.05527638190955,851256.2814070352,0.042482373
91.05527638190955,891959.7989949749,0.044503598
91.05527638190955,932663.3165829146,0.046523928
91.05527638190955,973366.8341708543,0.048543365
91.05527638190955,1014070.3517587939,0.050561913
91.05527638190955,1054773.8693467337,0.052579576
91.05527638190955,1095477.3869346734,0.054596356
91.05527638190955,1136180.9045226132,0.056612256
91.05527638190955,1176884.422110553,0.05862728
91.05527638190955,1217587.9396984926,0.060641432
91.05527638190955,1258291.4572864322,0.062654713
91.05527638190955,1298994.974874372,0.064667128
91.05527638190955,1339698.4924623116,0.06667868
91.05527638190955,1380402.0100502514,0.068689371
91.05527638190955,1421105.527638191,0.070699204
91.05527638190955,1461809.0452261306,0.072708183
91.05527638190955,1502512.5628140704,0.074716311
91.05527638190955,1543216.0804020101,0.07672359
91.05527638190955,1583919.5979899499,0.078730025
91.05527638190955,1624623.1155778894,0.080735616
91.05527638190955,1665326.6331658291,0.082740368
91.05527638190955,1706030.1507537689,0.084744284
91.05527638190955,1746733.6683417086,0.086747366
91.05527638190955,1787437.1859296483,0.088749618
91.05527638190955,1828140.7035175879,0.090751041
91.05527638190955,1868844.2211055276,0.092751639
91.05527638190955,1909547.7386934673,0.094751416
91.05527638190955,1950251.256281407,0.096750372
91.05527638190955,1990954.7738693468,0.098748512
91.05527638190955,2031658.2914572866,0.10074583869281406
91.05527638190955,2072361.809045226,0.10274235386531738
91.05527638190955,2113065.3266331656,0.10473806066251135
91.05527638190955,2153768.844221106,0.10673296179821701
91.05527638190955,2194472.361809045,0.10872705996836407
91.05527638190955,2235175.8793969853,0.11072035785136758
91.05527638190955,2275879.3969849246,0.11271285810817178
91.05527638190955,2316582.9145728643,0.11470456338242341
91.05527638190955,2357286.432160804,0.1166954763007072
91.05527638190955,2397989.949748744,0.11868559947263702
91.05527638190955,2438693.4673366835,0.12067493549107322
91.05527638190955,2479396.9849246233,0.12266348693221807
91.05527638190955,2520100.502512563,0.12465125635592911
91.05527638190955,2560804.0201005028,0.12663824630565634
91.05527638190955,2601507.537688442,0.12862445930875177
91.05527638190955,2642211.055276382,0.13060989787658017
91.05527638190955,2682914.5728643215,0.13259456450461848
91.05527638190955,2723618.0904522613,0.13457846167275955
91.05527638190955,2764321.608040201,0.1365615918452452
91.05527638190955,2805025.1256281408,0.1385439574709968
91.05527638190955,2845728.6432160805,0.1405255609836329
91.05527638190955,2886432.1608040202,0.1425064048016792
91.05527638190955,2927135.678,0.14448649132873337
91.05527638190955,2967839.1959798997,0.14646582295350086
91.05527638190955,3008542.7135678395,0.14844440204997622
91.05527638190955,3049246.2311557787,0.15042223097766838
91.05527638190955,3089949.7487437185,0.15239931208162005
91.05527638190955,3130653.2663316582,0.15437564769256673
91.05527638190955,3171356.783919598,0.15635124
91.05527638190955,3212060.3015075377,0.1583260916877125
91.05527638190955,3252763.8190954775,0.16030020466313843
91.05527638190955,3293467.336683417,0.16227358132813263
91.05527638190955,3334170.854271357,0.16424622394391164
91.05527638190955,3374874.3718592967,0.16621813475813274
91.05527638190955,3415577.8894472364,0.16818931603059262
91.05527638190955,3456281.4070351757,0.17015976993404036
91.05527638190955,3496984.9246231155,0.1721294986991363
91.05527638190955,3537688.442211055,0.17409850452058317
91.05527638190955,3578391.959798995,0.17606678958015975
91.05527638190955,3619095.4773869347,0.1780343560467864
91.05527638190955,3659798.9949748744,0.18000120607674164
91.05527638190955,3700502.512562814,0.18196734181353724
91.05527638190955,3741206.030150754,0.1839327653883448
91.05527638190955,3781909.5477386937,0.18589747891982855
91.05527638190955,3822613.0653266334,0.1878614845144827
91.05527638190955,3863316.582914573,0.18982478426653315
91.05527638190955,3904020.1005025124,0.19178738
91.05527638190955,3944723.618090452,0.19374927455963364
91.05527638190955,3985427.135678392,0.1957104692292646
91.05527638190955,4026130.6532663316,0.1976709663136832
91.05527638190955,4066834.1708542714,0.19963076784779554
91.05527638190955,4107537.688442211,0.20158987585497135
91.05527638190955,4148241.206030151,0.20354829234712635
91.05527638190955,4188944.7236180906,0.2055060193247782
91.05527638190955,4229648.241,0.20746305877720883
91.05527638190955,4270351.758793971,0.2094194126824952
91.05527638190955,4311055.276,0.2113750830076473
91.05527638190955,4351758.793969849,0.2133300717086446
91.05527638190955,4392462.311557788,0.21528438073062606
91.05527638190955,4433165.829145729,0.21723801200788673
91.05527638190955,4473869.346733669,0.2191909674639847
91.05527638190955,4514572.864321608,0.2211432490119114
91.05527638190955,4555276.381909547,0.223094859
91.05527638190955,4595979.899497488,0.22504579798230817
91.05527638190955,4636683.417085427,0.2269960691783076
91.05527638190955,4677386.934673367,0.22894567401336652
91.05527638190955,4718090.452261306,0.23089461434853764
91.05527638190955,4758793.969849247,0.23284289203479536
91.05527638190955,4799497.487437186,0.2347905089130946
91.05527638190955,4840201.005025126,0.23673746681439456
91.05527638190955,4880904.522613065,0.23868376755977982
91.05527638190955,4921608.0402010055,0.24062941296057172
91.05527638190955,4962311.557788945,0.24257440481841008
91.05527638190955,5003015.075376884,0.24451874492515668
91.05527638190955,5043718.592964824,0.24646243506322318
91.05527638190955,5084422.110552764,0.24840547700554128
91.05527638190955,5125125.628140704,0.25034787251559565
91.05527638190955,5165829.145728643,0.2522896233474844
91.05527638190955,5206532.663316583,0.2542307312461374
91.05527638190955,5247236.180904523,0.2561711979472584
91.05527638190955,5287939.698492463,0.25811102517736606
91.05527638190955,5328643.216080402,0.2600502146540782
91.05527638190955,5369346.733668342,0.26198876808584737
91.05527638190955,5410050.2512562815,0.2639266871724023
91.05527638190955,5450753.768844221,0.2658639736045152
91.05527638190955,5491457.286432161,0.26780062906425595
91.05527638190955,5532160.804,0.2697366552249274
91.05527638190955,5572864.3216080405,0.2716720537512587
91.05527638190955,5613567.839,0.27360682629941613
91.05527638190955,5654271.357,0.27554097451696036
91.05527638190955,5694974.874371859,0.2774745000431674
91.05527638190955,5735678.391959799,0.2794074045088393
91.05527638190955,5776381.909547739,0.28133968953652544
91.05527638190955,5817085.427135679,0.28327135674046466
91.05527638190955,5857788.944723618,0.2852024077267653
91.05527638190955,5898492.4623115575,0.28713284409338746
91.05527638190955,5939195.979899498,0.2890626674302653
91.05527638190955,5979899.497487437,0.2909918793193025
91.05527638190955,6020603.015075377,0.2929204813344911
91.05527638190955,6061306.5326633165,0.29484847504591083
91.05527638190955,6102010.050251257,0.29677586200380546
91.05527638190955,6142713.567839196,0.2987026437627194
91.05527638190955,6183417.085427136,0.30062882186565254
91.05527638190955,6224120.603015075,0.3025543978476297
91.05527638190955,6264824.120603016,0.30447937323614627
91.05527638190955,6305527.638190955,0.30640374955125194
