Time (s),Thrust (N)
0.000000,10811.74
0.050251,10667.06
0.100503,10530.37
0.150754,10396.44
0.201005,10265.23
0.251256,10136.59
0.301508,10010.87
0.351759,9887.76
0.402010,9767.20
0.452261,9649.32
0.502513,9533.97
0.552764,9421.09
0.603015,9310.64
0.653266,9202.75
0.703518,9097.32
0.753769,8994.23
0.804020,8893.43
0.854271,8795.01
0.904523,8698.91
0.954774,8605.02
1.005025,8513.30
1.055276,8423.80
1.105528,8336.52
1.155779,8251.30
1.206030,8168.10
1.256281,8086.89
1.306533,8008.05
1.356784,7931.34
1.407035,7856.61
1.457286,7783.77
1.507538,7712.83
1.557789,7644.09
1.608040,7577.14
1.658291,7511.95
1.708543,7448.47
1.758794,7386.67
1.809045,7327.07
1.859296,7269.16
1.909548,7212.85
1.959799,7158.09
2.010050,7104.85
2.060302,7053.09
2.110553,7003.41
2.160804,6955.16
2.211055,6908.30
2.261307,6862.97
2.311558,6819.10
2.361809,6776.53
2.412060,6735.21
2.462312,6695.75
2.512563,6657.57
2.562814,6620.53
2.613065,5404.80
2.663317,5384.88
2.713568,5365.31
2.763819,5346.07
2.814070,5327.17
2.864322,5309.08
2.914573,5291.43
2.964824,5274.09
3.015075,5257.05
3.065327,5240.32
3.115578,5223.88
3.165829,5207.75
3.216080,5191.91
3.266332,5176.35
3.316583,5161.09
3.366834,5146.11
3.417085,5131.41
3.467337,5116.99
3.517588,5102.85
3.567839,5088.98
3.618090,5075.38
3.668342,5062.04
3.718593,5048.97
3.768844,5036.17
3.819095,5023.62
3.869347,5011.33
3.919598,4999.51
3.969849,4988.23
4.020101,4977.18
4.070352,4966.37
4.120603,4955.79
4.170854,4945.44
4.221106,4935.32
4.271357,4925.42
4.321608,4915.75
4.371859,4906.30
4.422111,4897.07
4.472362,4888.05
4.522613,4879.26
4.572864,4870.67
4.623116,4862.30
4.673367,4574.96
4.723618,4573.95
4.773869,4572.94
4.824121,4571.95
4.874372,4570.96
4.924623,4569.98
4.974874,4569.00
5.025126,4568.03
5.075377,4567.07
5.125628,4566.12
5.175879,4565.17
5.226131,4564.24
5.276382,4563.30
5.326633,4562.38
5.376884,4561.46
5.427136,4560.55
5.477387,4559.65
5.527638,4558.75
5.577889,4557.86
5.628141,4556.98
5.678392,4556.10
5.728643,4555.23
5.778894,4554.37
5.829146,4553.52
5.879397,4552.67
5.929648,4551.82
5.979899,4550.99
6.030151,4550.16
6.080402,4549.34
6.130653,4548.52
6.180905,4547.71
6.231156,4546.91
6.281407,4546.11
6.331658,4545.32
6.381910,4544.54
6.432161,4543.76
6.482412,4542.99
6.532663,4542.22
6.582915,4541.47
6.633166,4540.71
6.683417,4539.97
6.733668,4539.23
6.783920,4538.49
6.834171,4537.76
6.884422,4537.04
6.934673,4536.33
6.984925,4535.62
7.035176,4534.91
7.085427,4534.21
7.135678,4533.52
7.185930,4532.83
7.236181,4532.15
7.286432,4531.48
7.336683,4530.81
7.386935,4530.15
7.437186,4529.49
7.487437,4528.84
7.537688,4528.19
7.587940,4527.55
7.638191,4526.91
7.688442,4526.29
7.738693,4525.66
7.788945,4525.04
7.839196,4524.43
7.889447,4523.82
7.939698,4523.23
7.989950,4522.64
8.040201,4522.06
8.090452,4521.48
8.140704,4520.91
8.190955,4520.34
8.241206,4519.77
8.291457,4519.22
8.341709,4518.66
8.391960,4518.12
8.442211,4517.57
8.492462,4517.03
8.542714,4516.50
8.592965,4515.97
8.643216,4515.45
8.693467,4514.93
8.743719,4514.42
8.793970,4513.91
8.844221,4513.40
8.894472,4512.90
8.944724,4512.41
8.994975,4511.92
9.045226,4511.43
9.095477,4510.95
9.145729,4510.48
9.195980,4510.00
9.246231,4509.54
9.296482,4509.08
9.346734,4508.62
9.396985,4508.16
9.447236,4507.72
9.497487,4507.27
9.547739,4506.83
9.597990,4506.40
9.648241,4505.97
9.698492,4505.54
9.748744,4505.12
9.798995,4504.70
9.849246,4504.29
9.899497,4503.88
9.949749,4503.47
10.000000,4503.07
