Time (s),Thrust (N)
0.000000,9476.70
0.050251,9340.91
0.100503,9210.95
0.150754,9084.21
0.201005,8961.28
0.251256,8842.50
0.301508,8728.12
0.351759,8619.30
0.402010,8516.28
0.452261,8420.14
0.502513,8331.25
0.552764,8250.62
0.603015,8178.03
0.653266,8113.04
0.703518,8057.35
0.753769,8008.25
0.804020,7964.76
0.854271,7925.24
0.904523,7893.15
0.954774,7864.45
1.005025,7839.92
1.055276,7820.71
1.105528,7803.75
1.155779,7788.74
1.206030,7775.67
1.256281,7766.76
1.306533,7759.03
1.356784,7752.26
1.407035,7744.34
1.457286,7735.39
1.507538,4892.06
1.557789,4872.52
1.608040,4853.21
1.658291,4834.14
1.708543,4815.31
1.758794,4796.71
1.809045,4778.34
1.859296,4760.20
1.909548,4742.29
1.959799,4724.62
2.010050,4707.17
2.060302,4689.95
2.110553,4672.96
2.160804,4656.41
2.211055,4640.49
2.261307,4624.79
2.311558,4609.31
2.361809,4594.05
2.412060,4579.00
2.462312,4564.18
2.512563,4549.57
2.562814,4535.19
2.613065,4521.02
2.663317,4507.07
2.713568,4493.33
2.763819,4479.82
2.814070,4466.52
2.864322,4453.44
2.914573,4440.58
2.964824,4427.94
3.015075,4415.52
3.065327,4403.49
3.115578,4392.15
3.165829,4381.00
3.216080,4369.96
3.266332,4359.05
3.316583,4348.25
3.366834,4337.57
3.417085,4327.00
3.467337,4316.56
3.517588,4306.22
3.567839,4296.00
3.618090,4285.89
3.668342,4275.89
3.718593,4266.00
3.768844,4256.22
3.819095,4246.55
3.869347,4237.08
3.919598,4228.19
3.969849,4219.40
4.020101,4210.70
4.070352,4202.10
4.120603,4193.59
4.170854,4185.17
4.221106,4176.84
4.271357,4168.60
4.321608,3846.74
4.371859,3843.93
4.422111,3841.15
4.472362,3838.38
4.522613,3835.62
4.572864,3832.88
4.623116,3830.16
4.673367,3827.45
4.723618,3824.76
4.773869,3822.08
4.824121,3819.42
4.874372,3816.77
4.924623,3814.13
4.974874,3811.52
5.025126,3808.91
5.075377,3806.32
5.125628,3803.75
5.175879,3801.19
5.226131,3798.65
5.276382,3796.11
5.326633,3793.63
5.376884,3791.18
5.427136,3788.74
5.477387,3786.32
5.527638,3783.90
5.577889,3781.50
5.628141,3779.12
5.678392,3776.75
5.728643,3774.39
5.778894,3772.04
5.829146,3769.71
5.879397,3767.39
5.929648,3765.09
5.979899,3762.79
6.030151,3760.51
6.080402,3758.25
6.130653,3755.99
6.180905,3753.75
6.231156,3751.52
6.281407,3749.31
6.331658,3747.10
6.381910,3744.91
6.432161,3742.73
6.482412,3736.02
6.532663,3729.84
6.582915,3724.00
6.633166,3718.23
6.683417,3712.52
6.733668,3707.24
6.783920,3702.24
6.834171,3697.30
6.884422,3692.41
6.934673,3687.77
6.984925,3683.48
7.035176,3679.24
7.085427,3675.04
7.135678,3670.89
7.185930,3667.11
7.236181,3663.41
7.286432,3659.74
7.336683,3656.11
7.386935,3652.53
7.437186,3649.30
7.487437,3646.10
7.537688,3642.93
7.587940,3639.79
7.638191,3636.67
7.688442,3633.74
7.738693,3630.90
7.788945,nan
7.839196,3588.28
7.889447,3585.54
7.939698,3582.82
7.989950,3580.13
8.040201,3577.50
8.090452,3575.03
8.140704,3572.58
8.190955,3570.15
8.241206,3567.74
8.291457,3565.35
8.341709,3562.98
8.391960,3560.65
8.442211,3558.42
8.492462,3556.22
8.542714,3554.02
8.592965,3551.85
8.643216,3549.69
8.693467,3547.54
8.743719,3545.42
8.793970,3543.31
8.844221,3541.28
8.894472,3539.27
8.944724,3537.28
8.994975,3535.30
9.045226,3533.34
9.095477,3531.39
9.145729,3529.45
9.195980,3527.53
9.246231,3525.62
9.296482,3523.72
9.346734,3521.86
9.396985,3520.04
9.447236,3518.22
9.497487,3516.42
9.547739,3514.64
9.597990,3512.86
9.648241,3511.10
9.698492,3509.34
9.748744,3507.60
9.798995,3505.88
9.849246,3504.16
9.899497,3502.45
9.949749,3500.76
10.000000,3499.07
