Time (s),Thrust (N)
0.000000,12785.06
0.050251,12636.13
0.100503,12495.83
0.150754,12359.19
0.201005,12226.13
0.251256,12096.56
0.301508,11970.56
0.351759,11847.90
0.402010,11728.49
0.452261,11612.29
0.502513,11499.24
0.552764,11389.25
0.603015,11282.37
0.653266,11178.53
0.703518,11077.53
0.753769,10979.31
0.804020,10883.78
0.854271,10790.90
0.904523,10700.61
0.954774,10612.97
1.005025,10527.84
1.055276,10445.13
1.105528,10364.80
1.155779,10286.83
1.206030,10211.08
1.256281,10138.18
1.306533,10066.87
1.356784,9997.57
1.407035,9930.56
1.457286,9865.53
1.507538,7802.17
1.557789,7802.93
1.608040,7803.70
1.658291,7804.47
1.708543,7805.24
1.758794,7806.02
1.809045,7806.79
1.859296,7807.57
1.909548,7808.35
1.959799,7809.14
2.010050,7809.92
2.060302,7810.71
2.110553,7811.50
2.160804,7812.29
2.211055,7813.09
2.261307,7813.88
2.311558,7814.68
2.361809,7815.48
2.412060,7816.29
2.462312,7817.09
2.512563,7817.90
2.562814,7818.70
2.613065,7819.51
2.663317,7820.33
2.713568,7821.14
2.763819,7821.96
2.814070,7822.77
2.864322,7823.59
2.914573,7824.42
2.964824,7825.24
3.015075,7826.06
3.065327,7826.89
3.115578,7827.71
3.165829,7828.54
3.216080,7829.37
3.266332,7830.20
3.316583,7831.04
3.366834,7831.88
3.417085,7832.71
3.467337,7833.55
3.517588,7834.39
3.567839,7835.24
3.618090,7836.08
3.668342,7836.92
3.718593,7837.77
3.768844,7838.62
3.819095,7839.47
3.869347,7840.32
3.919598,7841.17
3.969849,7842.03
4.020101,7842.88
4.070352,7843.74
4.120603,7844.59
4.170854,7845.45
4.221106,7846.31
4.271357,7847.17
4.321608,7848.04
4.371859,7848.90
4.422111,7849.76
4.472362,7850.63
4.522613,7851.50
4.572864,7852.36
4.623116,7853.23
4.673367,7854.10
4.723618,7854.98
4.773869,7855.85
4.824121,7856.72
4.874372,7857.60
4.924623,7858.47
4.974874,7859.36
5.025126,7860.25
5.075377,7861.15
5.125628,7862.05
5.175879,7862.94
5.226131,7863.84
5.276382,7864.74
5.326633,7865.64
5.376884,7866.54
5.427136,7867.45
5.477387,7868.35
5.527638,7869.26
5.577889,7870.16
5.628141,7871.07
5.678392,7871.98
5.728643,7872.88
5.778894,7873.79
5.829146,7874.70
5.879397,7875.61
5.929648,7876.52
5.979899,7877.44
6.030151,7878.35
6.080402,7879.26
6.130653,7880.18
6.180905,7881.09
6.231156,7882.01
6.281407,7882.92
6.331658,7883.84
6.381910,7884.76
6.432161,7885.68
6.482412,7886.60
6.532663,7887.52
6.582915,7888.44
6.633166,7889.36
6.683417,7890.28
6.733668,7891.20
6.783920,7892.12
6.834171,7893.05
6.884422,7893.97
6.934673,7894.89
6.984925,7895.82
7.035176,7896.74
7.085427,7897.67
7.135678,7881.64
7.185930,7856.57
7.236181,7835.35
7.286432,7818.22
7.336683,7803.69
7.386935,7791.48
7.437186,7781.55
7.487437,7773.17
7.537688,7766.10
7.587940,7760.15
7.638191,7708.81
7.688442,7699.11
7.738693,7689.54
7.788945,7680.12
7.839196,7671.27
7.889447,7662.61
7.939698,7654.07
7.989950,7645.70
8.040201,7637.77
8.090452,7629.96
8.140704,7622.28
8.190955,7614.77
8.241206,7607.66
8.291457,7600.67
8.341709,7593.80
8.391960,7587.04
8.442211,7580.64
8.492462,7574.36
8.542714,7568.20
8.592965,7562.14
8.643216,7556.32
8.693467,7550.72
8.743719,7545.22
8.793970,7539.83
8.844221,7534.54
8.894472,7529.48
8.944724,nan
8.994975,7503.16
9.045226,7498.34
9.095477,7493.61
9.145729,7489.04
9.195980,7484.67
9.246231,7480.40
9.296482,7476.21
9.346734,7472.11
9.396985,7468.10
9.447236,7464.28
9.497487,7460.56
9.547739,7456.93
9.597990,7453.38
9.648241,7449.91
9.698492,7446.51
9.748744,7443.25
9.798995,7440.11
9.849246,7437.04
9.899497,7434.04
9.949749,7431.11
10.000000,7428.26
