time,ACT.LOX_Dump.channel_id
2026-03-06 21:14:18.309572,8
2026-03-06 21:14:18.309596,8
2026-03-06 21:14:18.309709,8
2026-03-06 21:14:18.309711,8
2026-03-06 21:14:18.310543,8
2026-03-06 21:14:18.310546,8
2026-03-06 21:14:18.310605,8
2026-03-06 21:14:18.310607,8
2026-03-06 21:14:18.310654,8
2026-03-06 21:14:18.310656,8
2026-03-06 21:14:18.311418,8
2026-03-06 21:14:18.31142,8
2026-03-06 21:14:18.312096,8
2026-03-06 21:14:18.312098,8
2026-03-06 21:14:18.312163,8
2026-03-06 21:14:18.312165,8
2026-03-06 21:14:18.312215,8
2026-03-06 21:14:18.312217,8
2026-03-06 21:14:18.312261,8
2026-03-06 21:14:18.312263,8
2026-03-06 21:14:18.312309,8
2026-03-06 21:14:18.312311,8
2026-03-06 21:14:18.312967,8
2026-03-06 21:14:18.312969,8
2026-03-06 21:14:18.313031,8
2026-03-06 21:14:18.313033,8
2026-03-06 21:14:18.313081,8
2026-03-06 21:14:18.313083,8
2026-03-06 21:14:18.313129,8
2026-03-06 21:14:18.313131,8
2026-03-06 21:14:18.313826,8
2026-03-06 21:14:18.313828,8
2026-03-06 21:14:18.313893,8
2026-03-06 21:14:18.313895,8
2026-03-06 21:14:18.314531,8
2026-03-06 21:14:18.314533,8
2026-03-06 21:14:18.314595,8
2026-03-06 21:14:18.314597,8
2026-03-06 21:14:18.31645,8
2026-03-06 21:14:18.316452,8
2026-03-06 21:14:18.316638,8
2026-03-06 21:14:18.316639,8
2026-03-06 21:14:18.316823,8
2026-03-06 21:14:18.316824,8
2026-03-06 21:14:18.31697,8
2026-03-06 21:14:18.316971,8
2026-03-06 21:14:18.317185,8
2026-03-06 21:14:18.317186,8
2026-03-06 21:14:18.317242,8
2026-03-06 21:14:18.317243,8
2026-03-06 21:14:18.318445,8
2026-03-06 21:14:18.31845,8
2026-03-06 21:14:18.31926,8
2026-03-06 21:14:18.319262,8
2026-03-06 21:14:18.319467,8
2026-03-06 21:14:18.319468,8
2026-03-06 21:14:18.319649,8
2026-03-06 21:14:18.31965,8
2026-03-06 21:14:18.319744,8
2026-03-06 21:14:18.319745,8
2026-03-06 21:14:18.360195,8
2026-03-06 21:14:18.3602,8
2026-03-06 21:14:18.415514,8
2026-03-06 21:14:18.415519,8
2026-03-06 21:14:18.462221,8
2026-03-06 21:14:18.462226,8
2026-03-06 21:14:18.517441,8
2026-03-06 21:14:18.517446,8
2026-03-06 21:14:18.56456,8
2026-03-06 21:14:18.564564,8
2026-03-06 21:14:18.619195,8
2026-03-06 21:14:18.619199,8
2026-03-06 21:14:18.665965,8
2026-03-06 21:14:18.665969,8
2026-03-06 21:14:18.721255,8
2026-03-06 21:14:18.721258,8
2026-03-06 21:14:18.768319,8
2026-03-06 21:14:18.768323,8
2026-03-06 21:14:18.823583,8
2026-03-06 21:14:18.823587,8
