time,ACT.GN2_Vent.status
2026-03-06 21:14:18.309507,0
2026-03-06 21:14:18.309702,0
2026-03-06 21:14:18.310536,0
2026-03-06 21:14:18.310598,0
2026-03-06 21:14:18.310647,0
2026-03-06 21:14:18.311411,0
2026-03-06 21:14:18.312089,0
2026-03-06 21:14:18.312151,0
2026-03-06 21:14:18.312208,0
2026-03-06 21:14:18.312254,0
2026-03-06 21:14:18.312302,0
2026-03-06 21:14:18.31296,0
2026-03-06 21:14:18.313024,0
2026-03-06 21:14:18.313074,0
2026-03-06 21:14:18.313122,0
2026-03-06 21:14:18.31382,0
2026-03-06 21:14:18.313886,0
2026-03-06 21:14:18.314524,0
2026-03-06 21:14:18.314588,0
2026-03-06 21:14:18.316444,0
2026-03-06 21:14:18.316634,0
2026-03-06 21:14:18.316819,0
2026-03-06 21:14:18.316966,0
2026-03-06 21:14:18.317181,0
2026-03-06 21:14:18.317238,0
2026-03-06 21:14:18.318438,0
2026-03-06 21:14:18.319254,0
2026-03-06 21:14:18.319463,0
2026-03-06 21:14:18.319645,0
2026-03-06 21:14:18.31974,0
2026-03-06 21:14:18.360182,0
2026-03-06 21:14:18.415501,0
2026-03-06 21:14:18.462207,0
2026-03-06 21:14:18.517428,0
2026-03-06 21:14:18.56455,0
2026-03-06 21:14:18.619185,0
2026-03-06 21:14:18.665955,0
2026-03-06 21:14:18.721246,0
2026-03-06 21:14:18.768309,0
2026-03-06 21:14:18.823573,0
2026-03-06 21:14:18.870337,0
2026-03-06 21:14:18.925387,0
2026-03-06 21:14:18.972198,0
2026-03-06 21:14:19.027647,0
2026-03-06 21:14:19.074182,0
2026-03-06 21:14:19.129253,0
2026-03-06 21:14:19.176506,0
2026-03-06 21:14:19.231475,0
2026-03-06 21:14:19.278344,0
2026-03-06 21:14:19.333788,0
2026-03-06 21:14:19.380088,0
2026-03-06 21:14:19.435247,0
2026-03-06 21:14:19.482183,0
2026-03-06 21:14:19.537341,0
2026-03-06 21:14:19.584721,0
2026-03-06 21:14:19.639868,0
2026-03-06 21:14:19.686525,0
2026-03-06 21:14:19.741511,0
2026-03-06 21:14:19.788776,0
2026-03-06 21:14:19.843786,0
2026-03-06 21:14:19.890102,0
2026-03-06 21:14:19.945754,0
2026-03-06 21:14:19.993025,0
2026-03-06 21:14:20.047646,0
2026-03-06 21:14:20.094077,0
2026-03-06 21:14:20.149544,0
2026-03-06 21:14:20.196484,0
2026-03-06 21:14:20.251283,0
2026-03-06 21:14:20.298503,0
2026-03-06 21:14:20.353517,0
2026-03-06 21:14:20.400476,0
2026-03-06 21:14:20.455831,0
2026-03-06 21:14:20.502273,0
2026-03-06 21:14:20.557524,0
2026-03-06 21:14:20.604571,0
2026-03-06 21:14:20.6592,0
2026-03-06 21:14:20.706321,0
2026-03-06 21:14:20.761765,0
2026-03-06 21:14:20.808818,0
2026-03-06 21:14:20.86337,0
2026-03-06 21:14:20.910264,0
2026-03-06 21:14:20.965751,0
2026-03-06 21:14:21.012469,0
2026-03-06 21:14:21.067323,0
2026-03-06 21:14:21.114639,0
2026-03-06 21:14:21.169931,0
2026-03-06 21:14:21.216294,0
2026-03-06 21:14:21.271729,0
2026-03-06 21:14:21.318407,0
2026-03-06 21:14:21.373578,0
2026-03-06 21:14:21.4204,0
2026-03-06 21:14:21.475654,0
2026-03-06 21:14:21.522667,0
2026-03-06 21:14:21.577436,0
2026-03-06 21:14:21.624474,0
2026-03-06 21:14:21.679626,0
2026-03-06 21:14:21.726204,0
2026-03-06 21:14:21.781921,0
2026-03-06 21:14:21.828272,0
2026-03-06 21:14:21.883343,0
2026-03-06 21:14:21.930453,0
2026-03-06 21:14:21.985966,0
2026-03-06 21:14:22.032722,0
2026-03-06 21:14:22.088039,0
2026-03-06 21:14:22.134563,0
2026-03-06 21:14:22.189789,0
2026-03-06 21:14:22.236528,0
2026-03-06 21:14:22.291604,0
2026-03-06 21:14:22.338288,0
2026-03-06 21:14:22.393705,0
2026-03-06 21:14:22.440492,0
2026-03-06 21:14:22.495693,0
2026-03-06 21:14:22.542577,0
2026-03-06 21:14:22.597878,0
2026-03-06 21:14:22.644669,0
2026-03-06 21:14:22.699688,0
2026-03-06 21:14:22.746394,0
2026-03-06 21:14:22.801555,0
2026-03-06 21:14:22.848352,0
2026-03-06 21:14:22.903734,0
2026-03-06 21:14:22.950466,0
2026-03-06 21:14:23.00535,0
2026-03-06 21:14:23.052356,0
2026-03-06 21:14:23.10777,0
2026-03-06 21:14:23.154407,0
2026-03-06 21:14:23.209454,0
2026-03-06 21:14:23.256304,0
2026-03-06 21:14:23.311685,0
2026-03-06 21:14:23.358171,0
2026-03-06 21:14:23.413425,0
2026-03-06 21:14:23.460395,0
2026-03-06 21:14:23.515468,0
2026-03-06 21:14:23.562613,0
2026-03-06 21:14:23.617913,0
2026-03-06 21:14:23.664654,0
2026-03-06 21:14:23.719565,0
2026-03-06 21:14:23.766558,0
2026-03-06 21:14:23.821674,0
2026-03-06 21:14:23.868299,0
2026-03-06 21:14:23.923908,0
2026-03-06 21:14:23.970595,0
2026-03-06 21:14:24.026518,0
2026-03-06 21:14:24.072228,0
2026-03-06 21:14:24.127951,0
2026-03-06 21:14:24.174259,0
2026-03-06 21:14:24.229551,0
2026-03-06 21:14:24.276233,0
2026-03-06 21:14:24.331435,0
2026-03-06 21:14:24.378601,0
2026-03-06 21:14:24.433703,0
2026-03-06 21:14:24.480638,0
2026-03-06 21:14:24.535527,0
2026-03-06 21:14:24.582137,0
2026-03-06 21:14:24.637841,0
2026-03-06 21:14:24.68459,0
2026-03-06 21:14:24.73978,0
2026-03-06 21:14:24.786518,0
2026-03-06 21:14:24.841318,0
2026-03-06 21:14:24.888449,0
2026-03-06 21:14:24.943664,0
2026-03-06 21:14:24.990506,0
2026-03-06 21:14:25.045934,0
2026-03-06 21:14:25.092599,0
2026-03-06 21:14:25.147407,0
2026-03-06 21:14:25.194549,0
2026-03-06 21:14:25.249577,0
2026-03-06 21:14:25.296454,0
2026-03-06 21:14:25.351503,0
2026-03-06 21:14:25.398821,0
2026-03-06 21:14:25.453391,0
2026-03-06 21:14:25.50047,0
2026-03-06 21:14:25.555806,0
2026-03-06 21:14:25.602713,0
2026-03-06 21:14:25.657842,0
2026-03-06 21:14:25.704489,0
2026-03-06 21:14:25.759426,0
2026-03-06 21:14:25.806475,0
