time,RTD_Cal.CH18.timestamp_ns
2026-03-06 21:14:19.149019,1772831659148992632
2026-03-06 21:14:19.283184,1772831659283169625
2026-03-06 21:14:19.419268,1772831659419215017
2026-03-06 21:14:19.555701,1772831659555635649
2026-03-06 21:14:19.690336,1772831659690310981
2026-03-06 21:14:19.828409,1772831659828322157
2026-03-06 21:14:19.962258,1772831659962207640
2026-03-06 21:14:20.098386,1772831660098357849
2026-03-06 21:14:20.233515,1772831660233499005
2026-03-06 21:14:20.369014,1772831660368997792
2026-03-06 21:14:20.504504,1772831660504488230
2026-03-06 21:14:20.64029,1772831660640273621
2026-03-06 21:14:20.773976,1772831660773813468
2026-03-06 21:14:20.909206,1772831660909191547
2026-03-06 21:14:21.043891,1772831661043878055
2026-03-06 21:14:21.185816,1772831661185739681
2026-03-06 21:14:21.318377,1772831661318351072
2026-03-06 21:14:21.454702,1772831661454683299
2026-03-06 21:14:21.589003,1772831661588974672
2026-03-06 21:14:21.724314,1772831661724288397
2026-03-06 21:14:21.859831,1772831661859796004
2026-03-06 21:14:21.994146,1772831661994117483
2026-03-06 21:14:22.129723,1772831662129679637
2026-03-06 21:14:22.268061,1772831662268036625
2026-03-06 21:14:22.403727,1772831662403671514
2026-03-06 21:14:22.539344,1772831662539287526
2026-03-06 21:14:22.672204,1772831662672196290
2026-03-06 21:14:22.807618,1772831662807605610
2026-03-06 21:14:22.942666,1772831662942565018
2026-03-06 21:14:23.077847,1772831663077738688
2026-03-06 21:14:23.211529,1772831663211513594
2026-03-06 21:14:23.35155,1772831663351520934
2026-03-06 21:14:23.485955,1772831663485928908
2026-03-06 21:14:23.621491,1772831663621463647
2026-03-06 21:14:23.757073,1772831663757041009
2026-03-06 21:14:23.893842,1772831663893800152
2026-03-06 21:14:24.027633,1772831664027611526
2026-03-06 21:14:24.161197,1772831664161156571
2026-03-06 21:14:24.296275,1772831664296256600
2026-03-06 21:14:24.435869,1772831664435846159
2026-03-06 21:14:24.570274,1772831664570251660
2026-03-06 21:14:24.706153,1772831664706140325
2026-03-06 21:14:24.842124,1772831664842095108
2026-03-06 21:14:24.976528,1772831664976486509
2026-03-06 21:14:25.11103,1772831665111016644
2026-03-06 21:14:25.244606,1772831665244589334
2026-03-06 21:14:25.382796,1772831665382763193
2026-03-06 21:14:25.517328,1772831665517306358
2026-03-06 21:14:25.65273,1772831665652706612
2026-03-06 21:14:25.786988,1772831665786967095
2026-03-06 21:14:25.922723,1772831665922689106
2026-03-06 21:14:26.058463,1772831666058437647
2026-03-06 21:14:26.192792,1772831666192753700
2026-03-06 21:14:26.327921,1772831666327904680
2026-03-06 21:14:26.463046,1772831666463015186
2026-03-06 21:14:26.605092,1772831666605045513
2026-03-06 21:14:26.73732,1772831666737296161
2026-03-06 21:14:26.872111,1772831666872092488
2026-03-06 21:14:27.007913,1772831667007881743
2026-03-06 21:14:27.142279,1772831667142243680
2026-03-06 21:14:27.276235,1772831667276218931
2026-03-06 21:14:27.411823,1772831667411808766
2026-03-06 21:14:27.547631,1772831667547579275
2026-03-06 21:14:27.686421,1772831667686400297
2026-03-06 21:14:27.821762,1772831667821741084
2026-03-06 21:14:27.956305,1772831667956271651
2026-03-06 21:14:28.091274,1772831668091244548
2026-03-06 21:14:28.226293,1772831668226272689
2026-03-06 21:14:28.361071,1772831668361040239
2026-03-06 21:14:28.495968,1772831668495949891
2026-03-06 21:14:28.632086,1772831668632062163
2026-03-06 21:14:28.770666,1772831668770590104
2026-03-06 21:14:28.905199,1772831668905177192
2026-03-06 21:14:29.040745,1772831669040719176
2026-03-06 21:14:29.173984,1772831669173965672
2026-03-06 21:14:29.310618,1772831669310510705
2026-03-06 21:14:29.445804,1772831669445758776
2026-03-06 21:14:29.580467,1772831669580449839
2026-03-06 21:14:29.715463,1772831669715428320
2026-03-06 21:14:29.854411,1772831669854377357
2026-03-06 21:14:29.99,1772831669989973523
2026-03-06 21:14:30.124101,1772831670124089824
2026-03-06 21:14:30.259832,1772831670259803720
2026-03-06 21:14:30.394846,1772831670394823040
2026-03-06 21:14:30.532386,1772831670532354093
2026-03-06 21:14:30.665167,1772831670665148892
2026-03-06 21:14:30.801288,1772831670801224023
2026-03-06 21:14:30.93768,1772831670937663010
2026-03-06 21:14:31.074893,1772831671074845233
2026-03-06 21:14:31.209331,1772831671209279486
2026-03-06 21:14:31.342847,1772831671342841760
2026-03-06 21:14:31.478894,1772831671478878035
2026-03-06 21:14:31.6135,1772831671613494171
2026-03-06 21:14:31.748342,1772831671748325572
2026-03-06 21:14:31.884804,1772831671884782134
2026-03-06 21:14:32.022747,1772831672022731690
2026-03-06 21:14:32.158667,1772831672158641218
2026-03-06 21:14:32.292665,1772831672292618627
2026-03-06 21:14:32.428027,1772831672428015568
2026-03-06 21:14:32.563164,1772831672563149462
2026-03-06 21:14:32.699211,1772831672699176814
2026-03-06 21:14:32.832096,1772831672832073581
2026-03-06 21:14:32.969951,1772831672969932069
2026-03-06 21:14:33.106659,1772831673106644517
2026-03-06 21:14:33.242196,1772831673242149501
2026-03-06 21:14:33.387272,1772831673387198135
2026-03-06 21:14:33.511755,1772831673511748959
2026-03-06 21:14:33.646408,1772831673646380800
2026-03-06 21:14:33.781719,1772831673781678319
2026-03-06 21:14:33.918361,1772831673918328865
2026-03-06 21:14:34.053279,1772831674053246457
2026-03-06 21:14:34.192352,1772831674192305729
2026-03-06 21:14:34.32644,1772831674326426540
2026-03-06 21:14:34.461525,1772831674461510453
2026-03-06 21:14:34.596624,1772831674596605868
2026-03-06 21:14:34.730808,1772831674730785877
2026-03-06 21:14:34.865226,1772831674865214213
2026-03-06 21:14:35.000939,1772831675000922199
2026-03-06 21:14:35.136972,1772831675136950864
2026-03-06 21:14:35.275613,1772831675275596516
2026-03-06 21:14:35.411255,1772831675411237918
2026-03-06 21:14:35.547057,1772831675547041515
2026-03-06 21:14:35.681834,1772831675681820477
2026-03-06 21:14:35.816564,1772831675816547726
2026-03-06 21:14:35.952189,1772831675952151022
2026-03-06 21:14:36.086359,1772831676086341400
2026-03-06 21:14:36.222719,1772831676222678800
2026-03-06 21:14:36.360103,1772831676360091173
2026-03-06 21:14:36.495547,1772831676495523073
2026-03-06 21:14:36.630181,1772831676630151276
2026-03-06 21:14:36.767137,1772831676767106083
2026-03-06 21:14:36.901795,1772831676901768203
2026-03-06 21:14:37.035258,1772831677035238243
2026-03-06 21:14:37.170917,1772831677170902448
2026-03-06 21:14:37.307248,1772831677307222854
2026-03-06 21:14:37.445657,1772831677445644224
2026-03-06 21:14:37.579184,1772831677579146574
2026-03-06 21:14:37.715307,1772831677715274467
2026-03-06 21:14:37.848998,1772831677848985013
2026-03-06 21:14:37.98465,1772831677984629070
2026-03-06 21:14:38.120042,1772831678120022780
2026-03-06 21:14:38.254662,1772831678254637662
2026-03-06 21:14:38.388926,1772831678388914422
2026-03-06 21:14:38.529798,1772831678529775053
2026-03-06 21:14:38.665534,1772831678665513108
2026-03-06 21:14:38.80071,1772831678800669378
2026-03-06 21:14:38.934295,1772831678934285137
2026-03-06 21:14:39.069452,1772831679069441105
2026-03-06 21:14:39.204628,1772831679204621079
2026-03-06 21:14:39.34043,1772831679340417876
2026-03-06 21:14:39.475504,1772831679475455085
2026-03-06 21:14:39.613927,1772831679613900494
2026-03-06 21:14:39.74869,1772831679748682990
2026-03-06 21:14:39.885186,1772831679885154715
2026-03-06 21:14:40.018622,1772831680018600989
2026-03-06 21:14:40.153805,1772831680153784525
2026-03-06 21:14:40.288448,1772831680288439810
2026-03-06 21:14:40.424658,1772831680424631333
2026-03-06 21:14:40.562727,1772831680562686002
2026-03-06 21:14:40.69927,1772831680699251933
2026-03-06 21:14:40.832887,1772831680832875638
2026-03-06 21:14:40.9688,1772831680968782020
2026-03-06 21:14:41.105033,1772831681105007748
2026-03-06 21:14:41.240447,1772831681240411767
2026-03-06 21:14:41.373486,1772831681373463466
2026-03-06 21:14:41.508473,1772831681508459930
2026-03-06 21:14:41.643522,1772831681643509390
2026-03-06 21:14:41.781883,1772831681781872386
2026-03-06 21:14:41.920276,1772831681920241533
2026-03-06 21:14:42.052445,1772831682052428954
2026-03-06 21:14:42.190009,1772831682189984634
2026-03-06 21:14:42.322632,1772831682322618893
2026-03-06 21:14:42.45768,1772831682457665546
2026-03-06 21:14:42.59312,1772831682593099995
2026-03-06 21:14:42.727431,1772831682727416888
2026-03-06 21:14:42.867019,1772831682867001060
2026-03-06 21:14:43.001261,1772831683001240391
2026-03-06 21:14:43.137026,1772831683137000799
2026-03-06 21:14:43.271549,1772831683271535850
