time,ACT.LOX_Fill.actuator_state
2026-03-06 21:14:18.309565,0
2026-03-06 21:14:18.309708,0
2026-03-06 21:14:18.310542,0
2026-03-06 21:14:18.310604,0
2026-03-06 21:14:18.310652,0
2026-03-06 21:14:18.311417,0
2026-03-06 21:14:18.312094,0
2026-03-06 21:14:18.312157,0
2026-03-06 21:14:18.312213,0
2026-03-06 21:14:18.31226,0
2026-03-06 21:14:18.312307,0
2026-03-06 21:14:18.312966,0
2026-03-06 21:14:18.31303,0
2026-03-06 21:14:18.31308,0
2026-03-06 21:14:18.313127,0
2026-03-06 21:14:18.313825,0
2026-03-06 21:14:18.313892,0
2026-03-06 21:14:18.314529,0
2026-03-06 21:14:18.314593,0
2026-03-06 21:14:18.316449,0
2026-03-06 21:14:18.316637,0
2026-03-06 21:14:18.316822,0
2026-03-06 21:14:18.316969,0
2026-03-06 21:14:18.317184,0
2026-03-06 21:14:18.317241,0
2026-03-06 21:14:18.318444,0
2026-03-06 21:14:18.319259,0
2026-03-06 21:14:18.319466,0
2026-03-06 21:14:18.319648,0
2026-03-06 21:14:18.319743,0
2026-03-06 21:14:18.360193,0
2026-03-06 21:14:18.415512,0
2026-03-06 21:14:18.462219,0
2026-03-06 21:14:18.517439,0
2026-03-06 21:14:18.564559,0
2026-03-06 21:14:18.619193,0
2026-03-06 21:14:18.665963,0
2026-03-06 21:14:18.721254,0
2026-03-06 21:14:18.768318,0
2026-03-06 21:14:18.823582,0
2026-03-06 21:14:18.870352,0
2026-03-06 21:14:18.925399,0
2026-03-06 21:14:18.972207,0
2026-03-06 21:14:19.02766,0
2026-03-06 21:14:19.074199,0
2026-03-06 21:14:19.129282,0
2026-03-06 21:14:19.176529,0
2026-03-06 21:14:19.231505,0
2026-03-06 21:14:19.27836,0
2026-03-06 21:14:19.333802,0
2026-03-06 21:14:19.380104,0
2026-03-06 21:14:19.435285,0
2026-03-06 21:14:19.482222,0
2026-03-06 21:14:19.537364,0
2026-03-06 21:14:19.584773,0
2026-03-06 21:14:19.639935,0
2026-03-06 21:14:19.686593,0
2026-03-06 21:14:19.741554,0
2026-03-06 21:14:19.788833,0
2026-03-06 21:14:19.843826,0
2026-03-06 21:14:19.890133,0
2026-03-06 21:14:19.94582,0
2026-03-06 21:14:19.993127,0
2026-03-06 21:14:20.047684,0
2026-03-06 21:14:20.094107,0
2026-03-06 21:14:20.149581,0
2026-03-06 21:14:20.196526,0
2026-03-06 21:14:20.251318,0
2026-03-06 21:14:20.298544,0
2026-03-06 21:14:20.353556,0
2026-03-06 21:14:20.4005,0
2026-03-06 21:14:20.455865,0
2026-03-06 21:14:20.502305,0
2026-03-06 21:14:20.557559,0
2026-03-06 21:14:20.604609,0
2026-03-06 21:14:20.659232,0
2026-03-06 21:14:20.706353,0
2026-03-06 21:14:20.761794,0
2026-03-06 21:14:20.808849,0
2026-03-06 21:14:20.863405,0
2026-03-06 21:14:20.910293,0
2026-03-06 21:14:20.965781,0
2026-03-06 21:14:21.012505,0
2026-03-06 21:14:21.067382,0
2026-03-06 21:14:21.114695,0
2026-03-06 21:14:21.170001,0
2026-03-06 21:14:21.216337,0
2026-03-06 21:14:21.271763,0
2026-03-06 21:14:21.318469,0
2026-03-06 21:14:21.373634,0
2026-03-06 21:14:21.420456,0
2026-03-06 21:14:21.475717,0
2026-03-06 21:14:21.522732,0
2026-03-06 21:14:21.577483,0
2026-03-06 21:14:21.624536,0
2026-03-06 21:14:21.679698,0
2026-03-06 21:14:21.726263,0
2026-03-06 21:14:21.781985,0
2026-03-06 21:14:21.828327,0
2026-03-06 21:14:21.883378,0
2026-03-06 21:14:21.930507,0
2026-03-06 21:14:21.986031,0
2026-03-06 21:14:22.032787,0
2026-03-06 21:14:22.088119,0
2026-03-06 21:14:22.134634,0
2026-03-06 21:14:22.189854,0
2026-03-06 21:14:22.236582,0
2026-03-06 21:14:22.291673,0
2026-03-06 21:14:22.338333,0
2026-03-06 21:14:22.393776,0
2026-03-06 21:14:22.440547,0
2026-03-06 21:14:22.495769,0
2026-03-06 21:14:22.542623,0
2026-03-06 21:14:22.597934,0
2026-03-06 21:14:22.644716,0
2026-03-06 21:14:22.69972,0
2026-03-06 21:14:22.746427,0
2026-03-06 21:14:22.801588,0
2026-03-06 21:14:22.848373,0
2026-03-06 21:14:22.903779,0
2026-03-06 21:14:22.950498,0
2026-03-06 21:14:23.005369,0
2026-03-06 21:14:23.05239,0
2026-03-06 21:14:23.107818,0
2026-03-06 21:14:23.154454,0
2026-03-06 21:14:23.209494,0
2026-03-06 21:14:23.256343,0
2026-03-06 21:14:23.311737,0
2026-03-06 21:14:23.35826,0
2026-03-06 21:14:23.413463,0
2026-03-06 21:14:23.460426,0
2026-03-06 21:14:23.515492,0
2026-03-06 21:14:23.562649,0
2026-03-06 21:14:23.617962,0
2026-03-06 21:14:23.664708,0
2026-03-06 21:14:23.719636,0
2026-03-06 21:14:23.76659,0
2026-03-06 21:14:23.821722,0
2026-03-06 21:14:23.868327,0
2026-03-06 21:14:23.923938,0
2026-03-06 21:14:23.97066,0
2026-03-06 21:14:24.026581,0
2026-03-06 21:14:24.072284,0
2026-03-06 21:14:24.127982,0
2026-03-06 21:14:24.174293,0
2026-03-06 21:14:24.229582,0
2026-03-06 21:14:24.276265,0
2026-03-06 21:14:24.331479,0
2026-03-06 21:14:24.378678,0
2026-03-06 21:14:24.433767,0
2026-03-06 21:14:24.480692,0
2026-03-06 21:14:24.535594,0
2026-03-06 21:14:24.582167,0
2026-03-06 21:14:24.637899,0
2026-03-06 21:14:24.684636,0
2026-03-06 21:14:24.739851,0
2026-03-06 21:14:24.786565,0
2026-03-06 21:14:24.841357,0
2026-03-06 21:14:24.888492,0
2026-03-06 21:14:24.943712,0
2026-03-06 21:14:24.990602,0
2026-03-06 21:14:25.045985,0
2026-03-06 21:14:25.092651,0
2026-03-06 21:14:25.147461,0
2026-03-06 21:14:25.19461,0
2026-03-06 21:14:25.249607,0
2026-03-06 21:14:25.29652,0
2026-03-06 21:14:25.351555,0
2026-03-06 21:14:25.398882,0
2026-03-06 21:14:25.453436,0
2026-03-06 21:14:25.500538,0
2026-03-06 21:14:25.555861,0
2026-03-06 21:14:25.602773,0
2026-03-06 21:14:25.657887,0
2026-03-06 21:14:25.704556,0
2026-03-06 21:14:25.759467,0
2026-03-06 21:14:25.806521,0
2026-03-06 21:14:25.861465,0
2026-03-06 21:14:25.908454,0
2026-03-06 21:14:25.963447,0
2026-03-06 21:14:26.010238,0
2026-03-06 21:14:26.065863,0
2026-03-06 21:14:26.112787,0
2026-03-06 21:14:26.167574,0
2026-03-06 21:14:26.214407,0
2026-03-06 21:14:26.269819,0
2026-03-06 21:14:26.316718,0
2026-03-06 21:14:26.372032,0
2026-03-06 21:14:26.418735,0
2026-03-06 21:14:26.473436,0
2026-03-06 21:14:26.520288,0
2026-03-06 21:14:26.575906,0
2026-03-06 21:14:26.622747,0
2026-03-06 21:14:26.677364,0
2026-03-06 21:14:26.724786,0
2026-03-06 21:14:26.779943,0
2026-03-06 21:14:26.826698,0
2026-03-06 21:14:26.881488,0
2026-03-06 21:14:26.928438,0
2026-03-06 21:14:26.983869,0
2026-03-06 21:14:27.030945,0
2026-03-06 21:14:27.085746,0
2026-03-06 21:14:27.132634,0
2026-03-06 21:14:27.187941,0
2026-03-06 21:14:27.23446,0
2026-03-06 21:14:27.289582,0
2026-03-06 21:14:27.33653,0
2026-03-06 21:14:27.39147,0
2026-03-06 21:14:27.438671,0
2026-03-06 21:14:27.49373,0
2026-03-06 21:14:27.540397,0
2026-03-06 21:14:27.596811,0
2026-03-06 21:14:27.642848,0
2026-03-06 21:14:27.697668,0
2026-03-06 21:14:27.744732,0
2026-03-06 21:14:27.799416,0
2026-03-06 21:14:27.846815,0
2026-03-06 21:14:27.901945,0
2026-03-06 21:14:27.948604,0
2026-03-06 21:14:28.004189,0
2026-03-06 21:14:28.050439,0
2026-03-06 21:14:28.106141,0
2026-03-06 21:14:28.152629,0
2026-03-06 21:14:28.207935,0
2026-03-06 21:14:28.254559,0
2026-03-06 21:14:28.309555,0
2026-03-06 21:14:28.356636,0
2026-03-06 21:14:28.411808,0
2026-03-06 21:14:28.458242,0
2026-03-06 21:14:28.513831,0
2026-03-06 21:14:28.560578,0
2026-03-06 21:14:28.615767,0
2026-03-06 21:14:28.662561,0
2026-03-06 21:14:28.717575,0
2026-03-06 21:14:28.764436,0
2026-03-06 21:14:28.819845,0
2026-03-06 21:14:28.866772,0
2026-03-06 21:14:28.921745,0
2026-03-06 21:14:28.968803,0
2026-03-06 21:14:29.023572,0
2026-03-06 21:14:29.070533,0
2026-03-06 21:14:29.125748,0
2026-03-06 21:14:29.172409,0
2026-03-06 21:14:29.227471,0
2026-03-06 21:14:29.274604,0
2026-03-06 21:14:29.329543,0
2026-03-06 21:14:29.377037,0
2026-03-06 21:14:29.431826,0
2026-03-06 21:14:29.478449,0
2026-03-06 21:14:29.533734,0
2026-03-06 21:14:29.580499,0
2026-03-06 21:14:29.635924,0
2026-03-06 21:14:29.682415,0
2026-03-06 21:14:29.737539,0
2026-03-06 21:14:29.784583,0
2026-03-06 21:14:29.839492,0
2026-03-06 21:14:29.886442,0
2026-03-06 21:14:29.941755,0
2026-03-06 21:14:29.98895,0
2026-03-06 21:14:30.043634,0
2026-03-06 21:14:30.090696,0
2026-03-06 21:14:30.145791,0
2026-03-06 21:14:30.192691,0
2026-03-06 21:14:30.247772,0
2026-03-06 21:14:30.294538,0
2026-03-06 21:14:30.350052,0
2026-03-06 21:14:30.396285,0
2026-03-06 21:14:30.451971,0
2026-03-06 21:14:30.49878,0
2026-03-06 21:14:30.553907,0
2026-03-06 21:14:30.600821,0
2026-03-06 21:14:30.655665,0
2026-03-06 21:14:30.702703,0
2026-03-06 21:14:30.759319,0
2026-03-06 21:14:30.804601,0
2026-03-06 21:14:30.859569,0
2026-03-06 21:14:30.906812,0
2026-03-06 21:14:30.96187,0
2026-03-06 21:14:31.008663,0
2026-03-06 21:14:31.064053,0
2026-03-06 21:14:31.110503,0
2026-03-06 21:14:31.165916,0
2026-03-06 21:14:31.212493,0
2026-03-06 21:14:31.267983,0
2026-03-06 21:14:31.314397,0
2026-03-06 21:14:31.369868,0
2026-03-06 21:14:31.416414,0
2026-03-06 21:14:31.471637,0
2026-03-06 21:14:31.518374,0
2026-03-06 21:14:31.573956,0
2026-03-06 21:14:31.620531,0
2026-03-06 21:14:31.675728,0
2026-03-06 21:14:31.722815,0
2026-03-06 21:14:31.777911,0
2026-03-06 21:14:31.824933,0
2026-03-06 21:14:31.879914,0
2026-03-06 21:14:31.926432,0
2026-03-06 21:14:31.981751,0
2026-03-06 21:14:32.028331,0
2026-03-06 21:14:32.083853,0
2026-03-06 21:14:32.130713,0
2026-03-06 21:14:32.185823,0
2026-03-06 21:14:32.232467,0
2026-03-06 21:14:32.287451,0
2026-03-06 21:14:32.334922,0
2026-03-06 21:14:32.389655,0
2026-03-06 21:14:32.436201,0
2026-03-06 21:14:32.491924,0
2026-03-06 21:14:32.538357,0
2026-03-06 21:14:32.593857,0
2026-03-06 21:14:32.640554,0
2026-03-06 21:14:32.69564,0
2026-03-06 21:14:32.742963,0
2026-03-06 21:14:32.798088,0
2026-03-06 21:14:32.844662,0
2026-03-06 21:14:32.899819,0
2026-03-06 21:14:32.946476,0
2026-03-06 21:14:33.002111,0
2026-03-06 21:14:33.048955,0
2026-03-06 21:14:33.104066,0
2026-03-06 21:14:33.1507,0
2026-03-06 21:14:33.205549,0
2026-03-06 21:14:33.2527,0
2026-03-06 21:14:33.307726,0
2026-03-06 21:14:33.354907,0
2026-03-06 21:14:33.410539,0
2026-03-06 21:14:33.456406,0
2026-03-06 21:14:33.511425,0
2026-03-06 21:14:33.558539,0
2026-03-06 21:14:33.61353,0
2026-03-06 21:14:33.660745,0
2026-03-06 21:14:33.71581,0
2026-03-06 21:14:33.76245,0
2026-03-06 21:14:33.817785,0
2026-03-06 21:14:33.864855,0
2026-03-06 21:14:33.920002,0
2026-03-06 21:14:33.966562,0
2026-03-06 21:14:34.021778,0
2026-03-06 21:14:34.06852,0
2026-03-06 21:14:34.124016,0
2026-03-06 21:14:34.171078,0
2026-03-06 21:14:34.226196,0
2026-03-06 21:14:34.272397,0
2026-03-06 21:14:34.32776,0
2026-03-06 21:14:34.37442,0
2026-03-06 21:14:34.430186,0
2026-03-06 21:14:34.47694,0
2026-03-06 21:14:34.531892,0
2026-03-06 21:14:34.578406,0
2026-03-06 21:14:34.633916,0
2026-03-06 21:14:34.680248,0
2026-03-06 21:14:34.735855,0
2026-03-06 21:14:34.782599,0
2026-03-06 21:14:34.837549,0
2026-03-06 21:14:34.884653,0
2026-03-06 21:14:34.939671,0
2026-03-06 21:14:34.986318,0
2026-03-06 21:14:35.041961,0
2026-03-06 21:14:35.088844,0
2026-03-06 21:14:35.143575,0
2026-03-06 21:14:35.190971,0
2026-03-06 21:14:35.246126,0
2026-03-06 21:14:35.292483,0
2026-03-06 21:14:35.348086,0
2026-03-06 21:14:35.394404,0
2026-03-06 21:14:35.449498,0
2026-03-06 21:14:35.496705,0
2026-03-06 21:14:35.551586,0
2026-03-06 21:14:35.598467,0
2026-03-06 21:14:35.653769,0
2026-03-06 21:14:35.70023,0
2026-03-06 21:14:35.756437,0
2026-03-06 21:14:35.802737,0
2026-03-06 21:14:35.858134,0
2026-03-06 21:14:35.904796,0
2026-03-06 21:14:35.959762,0
2026-03-06 21:14:36.006699,0
2026-03-06 21:14:36.062265,0
2026-03-06 21:14:36.108593,0
2026-03-06 21:14:36.164082,0
2026-03-06 21:14:36.210978,0
2026-03-06 21:14:36.266039,0
2026-03-06 21:14:36.312948,0
2026-03-06 21:14:36.368292,0
2026-03-06 21:14:36.414729,0
2026-03-06 21:14:36.469696,0
2026-03-06 21:14:36.516993,0
2026-03-06 21:14:36.571813,0
2026-03-06 21:14:36.61845,0
2026-03-06 21:14:36.673949,0
2026-03-06 21:14:36.720405,0
2026-03-06 21:14:36.776292,0
2026-03-06 21:14:36.823062,0
2026-03-06 21:14:36.877826,0
2026-03-06 21:14:36.924974,0
2026-03-06 21:14:36.979523,0
2026-03-06 21:14:37.026908,0
2026-03-06 21:14:37.081705,0
2026-03-06 21:14:37.128799,0
2026-03-06 21:14:37.184199,0
2026-03-06 21:14:37.231145,0
2026-03-06 21:14:37.285686,0
2026-03-06 21:14:37.332565,0
2026-03-06 21:14:37.387913,0
2026-03-06 21:14:37.434767,0
2026-03-06 21:14:37.489834,0
2026-03-06 21:14:37.536841,0
2026-03-06 21:14:37.592005,0
2026-03-06 21:14:37.638894,0
2026-03-06 21:14:37.693956,0
2026-03-06 21:14:37.740634,0
2026-03-06 21:14:37.795892,0
2026-03-06 21:14:37.842844,0
2026-03-06 21:14:37.897824,0
2026-03-06 21:14:37.944882,0
2026-03-06 21:14:38.000182,0
2026-03-06 21:14:38.046712,0
2026-03-06 21:14:38.101858,0
2026-03-06 21:14:38.148984,0
2026-03-06 21:14:38.203905,0
2026-03-06 21:14:38.250687,0
2026-03-06 21:14:38.305968,0
2026-03-06 21:14:38.352793,0
2026-03-06 21:14:38.408176,0
2026-03-06 21:14:38.454824,0
2026-03-06 21:14:38.509798,0
2026-03-06 21:14:38.556597,0
2026-03-06 21:14:38.61239,0
2026-03-06 21:14:38.658737,0
2026-03-06 21:14:38.71534,0
2026-03-06 21:14:38.7607,0
2026-03-06 21:14:38.815871,0
2026-03-06 21:14:38.862654,0
2026-03-06 21:14:38.917786,0
2026-03-06 21:14:38.96437,0
2026-03-06 21:14:39.020206,0
2026-03-06 21:14:39.06651,0
2026-03-06 21:14:39.122006,0
2026-03-06 21:14:39.168587,0
2026-03-06 21:14:39.223976,0
2026-03-06 21:14:39.270732,0
2026-03-06 21:14:39.325676,0
2026-03-06 21:14:39.372255,0
2026-03-06 21:14:39.427618,0
2026-03-06 21:14:39.474347,0
2026-03-06 21:14:39.529772,0
2026-03-06 21:14:39.576499,0
2026-03-06 21:14:39.631794,0
2026-03-06 21:14:39.678526,0
2026-03-06 21:14:39.73423,0
2026-03-06 21:14:39.780862,0
2026-03-06 21:14:39.83612,0
2026-03-06 21:14:39.883884,0
2026-03-06 21:14:39.938043,0
2026-03-06 21:14:39.984361,0
2026-03-06 21:14:40.040134,0
2026-03-06 21:14:40.086441,0
2026-03-06 21:14:40.141685,0
2026-03-06 21:14:40.188513,0
2026-03-06 21:14:40.24391,0
2026-03-06 21:14:40.290751,0
2026-03-06 21:14:40.345967,0
2026-03-06 21:14:40.392722,0
2026-03-06 21:14:40.447979,0
