time,ACT.GN2_Vent.raw_adc_counts
2026-03-06 21:14:18.309507,0
2026-03-06 21:14:18.309702,1050949392
2026-03-06 21:14:18.310536,0
2026-03-06 21:14:18.310598,1050922352
2026-03-06 21:14:18.310647,0
2026-03-06 21:14:18.311411,1050976432
2026-03-06 21:14:18.312089,0
2026-03-06 21:14:18.312151,1050895312
2026-03-06 21:14:18.312208,0
2026-03-06 21:14:18.312254,1050922352
2026-03-06 21:14:18.312302,0
2026-03-06 21:14:18.31296,1050895312
2026-03-06 21:14:18.313024,0
2026-03-06 21:14:18.313074,1050922352
2026-03-06 21:14:18.313122,0
2026-03-06 21:14:18.31382,1050922352
2026-03-06 21:14:18.313886,0
2026-03-06 21:14:18.314524,1050976432
2026-03-06 21:14:18.314588,0
2026-03-06 21:14:18.316444,1050976432
2026-03-06 21:14:18.316634,0
2026-03-06 21:14:18.316819,1050922352
2026-03-06 21:14:18.316966,0
2026-03-06 21:14:18.317181,1050922352
2026-03-06 21:14:18.317238,0
2026-03-06 21:14:18.318438,1050895312
2026-03-06 21:14:18.319254,0
2026-03-06 21:14:18.319463,1050868272
2026-03-06 21:14:18.319645,0
2026-03-06 21:14:18.31974,1050922352
2026-03-06 21:14:18.360182,0
2026-03-06 21:14:18.415501,1051273875
2026-03-06 21:14:18.462207,0
2026-03-06 21:14:18.517428,1050976432
2026-03-06 21:14:18.56455,0
2026-03-06 21:14:18.619185,1050922352
2026-03-06 21:14:18.665955,0
2026-03-06 21:14:18.721246,1050922352
2026-03-06 21:14:18.768309,0
2026-03-06 21:14:18.823573,1050922352
2026-03-06 21:14:18.870337,0
2026-03-06 21:14:18.925387,1051138674
2026-03-06 21:14:18.972198,0
2026-03-06 21:14:19.027647,1050895312
2026-03-06 21:14:19.074182,0
2026-03-06 21:14:19.129253,1050922352
2026-03-06 21:14:19.176506,0
2026-03-06 21:14:19.231475,1050922352
2026-03-06 21:14:19.278344,0
2026-03-06 21:14:19.333788,1050922352
2026-03-06 21:14:19.380088,0
2026-03-06 21:14:19.435247,1050949392
2026-03-06 21:14:19.482183,0
2026-03-06 21:14:19.537341,1050922352
2026-03-06 21:14:19.584721,0
2026-03-06 21:14:19.639868,1050868272
2026-03-06 21:14:19.686525,0
2026-03-06 21:14:19.741511,1050922352
2026-03-06 21:14:19.788776,0
2026-03-06 21:14:19.843786,1050922352
2026-03-06 21:14:19.890102,0
2026-03-06 21:14:19.945754,1050868272
2026-03-06 21:14:19.993025,0
2026-03-06 21:14:20.047646,1050922352
2026-03-06 21:14:20.094077,0
2026-03-06 21:14:20.149544,1050976432
2026-03-06 21:14:20.196484,0
2026-03-06 21:14:20.251283,1050949392
2026-03-06 21:14:20.298503,0
2026-03-06 21:14:20.353517,1050976432
2026-03-06 21:14:20.400476,0
2026-03-06 21:14:20.455831,1050949392
2026-03-06 21:14:20.502273,0
2026-03-06 21:14:20.557524,1050868272
2026-03-06 21:14:20.604571,0
2026-03-06 21:14:20.6592,1050868272
2026-03-06 21:14:20.706321,0
2026-03-06 21:14:20.761765,1050922352
2026-03-06 21:14:20.808818,0
2026-03-06 21:14:20.86337,1050922352
2026-03-06 21:14:20.910264,0
2026-03-06 21:14:20.965751,1050922352
2026-03-06 21:14:21.012469,0
2026-03-06 21:14:21.067323,1052166201
2026-03-06 21:14:21.114639,0
2026-03-06 21:14:21.169931,1051517236
2026-03-06 21:14:21.216294,0
2026-03-06 21:14:21.271729,1052220282
2026-03-06 21:14:21.318407,0
2026-03-06 21:14:21.373578,1051571317
2026-03-06 21:14:21.4204,0
2026-03-06 21:14:21.475654,1051057553
2026-03-06 21:14:21.522667,0
2026-03-06 21:14:21.577436,1051057553
2026-03-06 21:14:21.624474,0
2026-03-06 21:14:21.679626,1050922352
2026-03-06 21:14:21.726204,0
2026-03-06 21:14:21.781921,1050976432
2026-03-06 21:14:21.828272,0
2026-03-06 21:14:21.883343,1050949392
2026-03-06 21:14:21.930453,0
2026-03-06 21:14:21.985966,1050949392
2026-03-06 21:14:22.032722,0
2026-03-06 21:14:22.088039,1050976432
2026-03-06 21:14:22.134563,0
2026-03-06 21:14:22.189789,1050922352
2026-03-06 21:14:22.236528,0
2026-03-06 21:14:22.291604,1050895312
2026-03-06 21:14:22.338288,0
2026-03-06 21:14:22.393705,1050868272
2026-03-06 21:14:22.440492,0
2026-03-06 21:14:22.495693,1050868272
2026-03-06 21:14:22.542577,0
2026-03-06 21:14:22.597878,1050895312
2026-03-06 21:14:22.644669,0
2026-03-06 21:14:22.699688,1050922352
2026-03-06 21:14:22.746394,0
2026-03-06 21:14:22.801555,1050976432
2026-03-06 21:14:22.848352,0
2026-03-06 21:14:22.903734,1050922352
2026-03-06 21:14:22.950466,0
2026-03-06 21:14:23.00535,1050922352
2026-03-06 21:14:23.052356,0
2026-03-06 21:14:23.10777,1050868272
2026-03-06 21:14:23.154407,0
2026-03-06 21:14:23.209454,1050868272
2026-03-06 21:14:23.256304,0
2026-03-06 21:14:23.311685,1050868272
2026-03-06 21:14:23.358171,0
2026-03-06 21:14:23.413425,1050868272
2026-03-06 21:14:23.460395,0
2026-03-06 21:14:23.515468,1050922352
2026-03-06 21:14:23.562613,0
2026-03-06 21:14:23.617913,1050922352
2026-03-06 21:14:23.664654,0
2026-03-06 21:14:23.719565,1050922352
2026-03-06 21:14:23.766558,0
2026-03-06 21:14:23.821674,1050922352
2026-03-06 21:14:23.868299,0
