time,PT_Cal.Fuel_Fill_Press.pressure_psi
2026-03-06 21:14:19.092668,0.0
2026-03-06 21:14:19.09281,0.0
2026-03-06 21:14:19.092851,0.0
2026-03-06 21:14:19.093123,2.1430197
2026-03-06 21:14:19.202927,0.0
2026-03-06 21:14:19.203204,2.1431935
2026-03-06 21:14:19.312064,0.0
2026-03-06 21:14:19.312143,0.0
2026-03-06 21:14:19.312196,0.0
2026-03-06 21:14:19.312206,2.1431923
2026-03-06 21:14:19.420893,0.0
2026-03-06 21:14:19.421087,2.143182
2026-03-06 21:14:19.421378,0.0
2026-03-06 21:14:19.529585,0.0
2026-03-06 21:14:19.529666,0.0
2026-03-06 21:14:19.529743,0.0
2026-03-06 21:14:19.52984,0.0
2026-03-06 21:14:19.529951,2.1431146
2026-03-06 21:14:19.639485,0.0
2026-03-06 21:14:19.6399,0.0
2026-03-06 21:14:19.640328,0.0
2026-03-06 21:14:19.641097,0.0
2026-03-06 21:14:19.64265,2.1432362
2026-03-06 21:14:19.748,0.0
2026-03-06 21:14:19.748264,0.0
2026-03-06 21:14:19.748555,0.0
2026-03-06 21:14:19.748667,2.1432712
2026-03-06 21:14:19.748884,0.0
2026-03-06 21:14:19.857352,0.0
2026-03-06 21:14:19.857593,0.0
2026-03-06 21:14:19.857851,0.0
2026-03-06 21:14:19.857998,2.1430492
2026-03-06 21:14:19.858169,0.0
2026-03-06 21:14:19.966001,0.0
2026-03-06 21:14:19.966413,0.0
2026-03-06 21:14:19.966721,0.0
2026-03-06 21:14:19.967085,0.0
2026-03-06 21:14:19.967352,2.14304
2026-03-06 21:14:19.967593,0.0
2026-03-06 21:14:20.074838,0.0
2026-03-06 21:14:20.074883,0.0
2026-03-06 21:14:20.074949,0.0
2026-03-06 21:14:20.075028,0.0
2026-03-06 21:14:20.075104,0.0
2026-03-06 21:14:20.075194,0.0
2026-03-06 21:14:20.075268,0.0
2026-03-06 21:14:20.075349,0.0
2026-03-06 21:14:20.075652,2.1431699
2026-03-06 21:14:20.18359,0.0
2026-03-06 21:14:20.183651,0.0
2026-03-06 21:14:20.183738,0.0
2026-03-06 21:14:20.183816,0.0
2026-03-06 21:14:20.183876,2.143178
2026-03-06 21:14:20.183894,0.0
2026-03-06 21:14:20.292651,0.0
2026-03-06 21:14:20.292738,0.0
2026-03-06 21:14:20.292824,0.0
2026-03-06 21:14:20.292906,0.0
2026-03-06 21:14:20.292989,0.0
2026-03-06 21:14:20.29328,2.1432624
2026-03-06 21:14:20.401307,0.0
2026-03-06 21:14:20.401392,0.0
2026-03-06 21:14:20.401587,0.0
2026-03-06 21:14:20.40194,2.1431842
2026-03-06 21:14:20.51067,0.0
2026-03-06 21:14:20.510741,0.0
2026-03-06 21:14:20.51085,0.0
2026-03-06 21:14:20.510952,0.0
2026-03-06 21:14:20.511032,2.1431599
2026-03-06 21:14:20.511057,0.0
2026-03-06 21:14:20.619481,0.0
2026-03-06 21:14:20.619537,0.0
2026-03-06 21:14:20.619588,0.0
2026-03-06 21:14:20.619691,2.1431963
2026-03-06 21:14:20.6199,0.0
2026-03-06 21:14:20.619953,0.0
2026-03-06 21:14:20.619993,0.0
2026-03-06 21:14:20.728559,0.0
2026-03-06 21:14:20.728653,0.0
2026-03-06 21:14:20.72874,0.0
2026-03-06 21:14:20.728833,0.0
2026-03-06 21:14:20.729749,2.143172
2026-03-06 21:14:20.837778,0.0
2026-03-06 21:14:20.83784,0.0
2026-03-06 21:14:20.837881,0.0
2026-03-06 21:14:20.837926,0.0
2026-03-06 21:14:20.837985,0.0
2026-03-06 21:14:20.838063,0.0
2026-03-06 21:14:20.838074,2.143114
2026-03-06 21:14:20.838162,0.0
2026-03-06 21:14:20.83825,0.0
2026-03-06 21:14:20.83834,0.0
2026-03-06 21:14:20.946809,0.0
2026-03-06 21:14:20.946967,0.0
2026-03-06 21:14:20.947053,0.0
2026-03-06 21:14:20.947149,0.0
2026-03-06 21:14:20.947244,2.1430378
2026-03-06 21:14:20.947287,0.0
2026-03-06 21:14:20.94742,0.0
2026-03-06 21:14:21.055731,0.0
2026-03-06 21:14:21.055831,0.0
2026-03-06 21:14:21.055882,0.0
2026-03-06 21:14:21.056006,0.0
2026-03-06 21:14:21.056165,0.0
2026-03-06 21:14:21.056202,2.1430318
2026-03-06 21:14:21.056404,0.0
2026-03-06 21:14:21.16527,0.0
2026-03-06 21:14:21.165542,0.0
2026-03-06 21:14:21.165825,0.0
2026-03-06 21:14:21.166174,0.0
2026-03-06 21:14:21.166338,0.0
2026-03-06 21:14:21.167072,2.1431181
2026-03-06 21:14:21.275092,0.0
2026-03-06 21:14:21.275367,0.0
2026-03-06 21:14:21.275633,0.0
2026-03-06 21:14:21.275669,2.143147
2026-03-06 21:14:21.275948,0.0
2026-03-06 21:14:21.276207,0.0
2026-03-06 21:14:21.383073,0.0
2026-03-06 21:14:21.383325,0.0
2026-03-06 21:14:21.383547,0.0
2026-03-06 21:14:21.383792,0.0
2026-03-06 21:14:21.384232,2.1432462
2026-03-06 21:14:21.492738,0.0
2026-03-06 21:14:21.492862,0.0
2026-03-06 21:14:21.492896,2.143062
2026-03-06 21:14:21.493104,0.0
2026-03-06 21:14:21.49377,0.0
2026-03-06 21:14:21.494648,0.0
2026-03-06 21:14:21.494796,0.0
2026-03-06 21:14:21.495055,0.0
2026-03-06 21:14:21.495382,0.0
2026-03-06 21:14:21.601261,0.0
2026-03-06 21:14:21.601485,0.0
2026-03-06 21:14:21.601699,0.0
2026-03-06 21:14:21.601882,2.1433384
