time,ACT.GSE_Med_Press_Control.raw_adc_counts
2026-03-06 21:14:18.309441,0
2026-03-06 21:14:18.309695,0
2026-03-06 21:14:18.310529,0
2026-03-06 21:14:18.310592,0
2026-03-06 21:14:18.310641,0
2026-03-06 21:14:18.311405,0
2026-03-06 21:14:18.312082,0
2026-03-06 21:14:18.312145,0
2026-03-06 21:14:18.312201,0
2026-03-06 21:14:18.312248,0
2026-03-06 21:14:18.312295,0
2026-03-06 21:14:18.312954,0
2026-03-06 21:14:18.313018,0
2026-03-06 21:14:18.313068,0
2026-03-06 21:14:18.313116,0
2026-03-06 21:14:18.313813,0
2026-03-06 21:14:18.31388,0
2026-03-06 21:14:18.314517,0
2026-03-06 21:14:18.314581,0
2026-03-06 21:14:18.316438,0
2026-03-06 21:14:18.31663,0
2026-03-06 21:14:18.316815,0
2026-03-06 21:14:18.316962,0
2026-03-06 21:14:18.317177,0
2026-03-06 21:14:18.317235,0
2026-03-06 21:14:18.31843,0
2026-03-06 21:14:18.319248,0
2026-03-06 21:14:18.319459,0
2026-03-06 21:14:18.319641,0
2026-03-06 21:14:18.319737,0
2026-03-06 21:14:18.36017,0
2026-03-06 21:14:18.415487,0
2026-03-06 21:14:18.462194,0
2026-03-06 21:14:18.517415,0
2026-03-06 21:14:18.56454,0
2026-03-06 21:14:18.619175,0
2026-03-06 21:14:18.665945,0
2026-03-06 21:14:18.721237,0
2026-03-06 21:14:18.768299,0
2026-03-06 21:14:18.823563,0
2026-03-06 21:14:18.870318,0
2026-03-06 21:14:18.925371,0
2026-03-06 21:14:18.972186,0
2026-03-06 21:14:19.027635,0
2026-03-06 21:14:19.074164,0
2026-03-06 21:14:19.129217,0
2026-03-06 21:14:19.176462,0
2026-03-06 21:14:19.231438,0
2026-03-06 21:14:19.278321,0
2026-03-06 21:14:19.333766,0
2026-03-06 21:14:19.380071,0
2026-03-06 21:14:19.435196,0
2026-03-06 21:14:19.482127,0
2026-03-06 21:14:19.537313,0
2026-03-06 21:14:19.584661,0
2026-03-06 21:14:19.63976,0
2026-03-06 21:14:19.686447,0
2026-03-06 21:14:19.741463,0
2026-03-06 21:14:19.788715,0
2026-03-06 21:14:19.843743,0
2026-03-06 21:14:19.890066,0
2026-03-06 21:14:19.945677,0
2026-03-06 21:14:19.992912,0
2026-03-06 21:14:20.047601,0
2026-03-06 21:14:20.09404,0
2026-03-06 21:14:20.149496,0
2026-03-06 21:14:20.196446,0
2026-03-06 21:14:20.251246,0
2026-03-06 21:14:20.29846,0
2026-03-06 21:14:20.353477,0
2026-03-06 21:14:20.400446,0
2026-03-06 21:14:20.45579,0
2026-03-06 21:14:20.502234,0
2026-03-06 21:14:20.557483,0
2026-03-06 21:14:20.604526,0
2026-03-06 21:14:20.659151,0
2026-03-06 21:14:20.706285,0
2026-03-06 21:14:20.761728,0
2026-03-06 21:14:20.80878,0
2026-03-06 21:14:20.863334,0
2026-03-06 21:14:20.910231,0
2026-03-06 21:14:20.965705,0
2026-03-06 21:14:21.012434,0
2026-03-06 21:14:21.067267,0
2026-03-06 21:14:21.114582,0
2026-03-06 21:14:21.169837,0
2026-03-06 21:14:21.216242,0
2026-03-06 21:14:21.271686,0
2026-03-06 21:14:21.318342,0
2026-03-06 21:14:21.373516,0
2026-03-06 21:14:21.420334,0
2026-03-06 21:14:21.475578,0
2026-03-06 21:14:21.522591,0
2026-03-06 21:14:21.577381,0
2026-03-06 21:14:21.624409,0
2026-03-06 21:14:21.679516,0
2026-03-06 21:14:21.72613,0
2026-03-06 21:14:21.781846,0
2026-03-06 21:14:21.828207,0
2026-03-06 21:14:21.883302,0
2026-03-06 21:14:21.930394,0
2026-03-06 21:14:21.9859,0
2026-03-06 21:14:22.032641,0
2026-03-06 21:14:22.087933,0
2026-03-06 21:14:22.134486,0
2026-03-06 21:14:22.189709,0
2026-03-06 21:14:22.236478,0
2026-03-06 21:14:22.291526,0
2026-03-06 21:14:22.338237,0
2026-03-06 21:14:22.393622,0
2026-03-06 21:14:22.440421,0
2026-03-06 21:14:22.495606,0
2026-03-06 21:14:22.542521,0
2026-03-06 21:14:22.597816,0
2026-03-06 21:14:22.644631,0
2026-03-06 21:14:22.699649,0
2026-03-06 21:14:22.746356,0
2026-03-06 21:14:22.801514,0
2026-03-06 21:14:22.848319,0
2026-03-06 21:14:22.903686,0
2026-03-06 21:14:22.950434,0
2026-03-06 21:14:23.005322,0
2026-03-06 21:14:23.052318,0
2026-03-06 21:14:23.107718,0
2026-03-06 21:14:23.154366,0
2026-03-06 21:14:23.209408,0
2026-03-06 21:14:23.256265,0
2026-03-06 21:14:23.31161,0
2026-03-06 21:14:23.358129,0
2026-03-06 21:14:23.413378,0
2026-03-06 21:14:23.460359,0
2026-03-06 21:14:23.51544,0
2026-03-06 21:14:23.562578,0
2026-03-06 21:14:23.617868,0
2026-03-06 21:14:23.664595,0
2026-03-06 21:14:23.719487,0
2026-03-06 21:14:23.766522,0
2026-03-06 21:14:23.821628,0
2026-03-06 21:14:23.868267,0
2026-03-06 21:14:23.923858,0
2026-03-06 21:14:23.970523,0
2026-03-06 21:14:24.02645,0
2026-03-06 21:14:24.072156,0
2026-03-06 21:14:24.127916,0
2026-03-06 21:14:24.174216,0
2026-03-06 21:14:24.22951,0
2026-03-06 21:14:24.276194,0
2026-03-06 21:14:24.331386,0
2026-03-06 21:14:24.378519,0
2026-03-06 21:14:24.433659,0
2026-03-06 21:14:24.480578,0
2026-03-06 21:14:24.535443,0
2026-03-06 21:14:24.582108,0
2026-03-06 21:14:24.637763,0
2026-03-06 21:14:24.684539,0
