time,BOARD.HB_14.board_type
2026-03-06 21:14:18.31068,5
2026-03-06 21:14:18.317517,5
2026-03-06 21:14:19.085037,5
2026-03-06 21:14:20.094608,5
2026-03-06 21:14:21.103444,5
2026-03-06 21:14:22.103637,5
2026-03-06 21:14:23.103071,5
2026-03-06 21:14:24.103091,5
2026-03-06 21:14:25.103506,5
2026-03-06 21:14:26.112946,5
2026-03-06 21:14:27.12175,5
2026-03-06 21:14:28.121609,5
2026-03-06 21:14:29.12134,5
2026-03-06 21:14:30.121243,5
2026-03-06 21:14:31.12132,5
2026-03-06 21:14:32.130854,5
2026-03-06 21:14:33.139487,5
2026-03-06 21:14:34.139453,5
2026-03-06 21:14:35.139316,5
2026-03-06 21:14:36.139527,5
2026-03-06 21:14:37.139405,5
2026-03-06 21:14:38.149194,5
2026-03-06 21:14:39.157204,5
2026-03-06 21:14:40.157418,5
2026-03-06 21:14:41.157376,5
2026-03-06 21:14:42.157467,5
2026-03-06 21:14:43.15798,5
2026-03-06 21:14:44.167298,5
2026-03-06 21:14:45.175438,5
2026-03-06 21:14:46.175859,5
2026-03-06 21:14:47.17558,5
2026-03-06 21:14:48.175583,5
2026-03-06 21:14:49.175855,5
2026-03-06 21:14:50.185115,5
2026-03-06 21:14:51.193616,5
2026-03-06 21:14:52.193828,5
2026-03-06 21:14:53.193788,5
2026-03-06 21:14:54.193373,5
2026-03-06 21:14:55.193655,5
2026-03-06 21:14:56.203448,5
2026-03-06 21:14:57.211952,5
2026-03-06 21:14:58.211947,5
2026-03-06 21:14:59.211666,5
2026-03-06 21:15:00.211622,5
2026-03-06 21:15:01.211467,5
2026-03-06 21:15:02.221338,5
2026-03-06 21:15:03.229779,5
2026-03-06 21:15:04.229691,5
2026-03-06 21:15:05.229956,5
2026-03-06 21:15:06.229918,5
2026-03-06 21:15:07.229853,5
2026-03-06 21:15:08.239547,5
2026-03-06 21:15:09.248071,5
2026-03-06 21:15:10.24749,5
2026-03-06 21:15:11.24787,5
2026-03-06 21:15:12.247933,5
2026-03-06 21:15:13.247722,5
2026-03-06 21:15:14.257365,5
2026-03-06 21:15:15.265766,5
2026-03-06 21:15:16.265922,5
2026-03-06 21:15:17.266109,5
2026-03-06 21:15:18.265669,5
2026-03-06 21:15:19.265475,5
2026-03-06 21:15:20.27531,5
2026-03-06 21:15:21.283633,5
2026-03-06 21:15:22.28384,5
2026-03-06 21:15:23.284216,5
2026-03-06 21:15:24.283906,5
2026-03-06 21:15:25.284396,5
2026-03-06 21:15:26.293649,5
2026-03-06 21:15:27.301995,5
2026-03-06 21:15:28.301773,5
2026-03-06 21:15:29.301991,5
2026-03-06 21:15:30.302281,5
2026-03-06 21:15:31.302078,5
2026-03-06 21:15:32.311691,5
2026-03-06 21:15:33.320218,5
2026-03-06 21:15:34.320193,5
2026-03-06 21:15:35.320152,5
2026-03-06 21:15:36.31978,5
2026-03-06 21:15:37.319994,5
2026-03-06 21:15:38.329548,5
2026-03-06 21:15:39.33779,5
2026-03-06 21:15:40.338066,5
2026-03-06 21:15:41.338116,5
2026-03-06 21:15:42.338038,5
2026-03-06 21:15:43.338272,5
2026-03-06 21:15:44.347788,5
2026-03-06 21:15:45.356352,5
2026-03-06 21:15:46.356323,5
2026-03-06 21:15:47.355906,5
2026-03-06 21:15:48.356047,5
2026-03-06 21:15:49.356238,5
2026-03-06 21:15:50.365407,5
2026-03-06 21:15:51.37388,5
2026-03-06 21:15:52.374016,5
2026-03-06 21:15:53.374141,5
2026-03-06 21:15:54.373981,5
2026-03-06 21:15:55.37414,5
2026-03-06 21:15:56.383885,5
2026-03-06 21:15:57.392202,5
2026-03-06 21:15:58.39214,5
2026-03-06 21:15:59.392093,5
2026-03-06 21:16:00.392182,5
2026-03-06 21:16:01.392341,5
2026-03-06 21:16:02.401961,5
2026-03-06 21:16:03.410435,5
2026-03-06 21:16:04.410299,5
2026-03-06 21:16:05.410484,5
2026-03-06 21:16:06.41007,5
2026-03-06 21:16:07.410416,5
2026-03-06 21:16:08.419997,5
2026-03-06 21:16:09.428252,5
2026-03-06 21:16:10.427981,5
2026-03-06 21:16:11.428378,5
2026-03-06 21:16:12.428247,5
2026-03-06 21:16:13.428286,5
2026-03-06 21:16:14.438041,5
2026-03-06 21:16:15.44614,5
2026-03-06 21:16:16.446592,5
2026-03-06 21:16:17.446579,5
2026-03-06 21:16:18.446038,5
2026-03-06 21:16:19.4464,5
2026-03-06 21:16:20.455779,5
2026-03-06 21:16:21.46442,5
2026-03-06 21:16:22.464053,5
2026-03-06 21:16:23.465246,5
2026-03-06 21:16:24.464299,5
2026-03-06 21:16:25.464321,5
2026-03-06 21:16:26.474374,5
2026-03-06 21:16:27.482546,5
2026-03-06 21:16:28.482565,5
2026-03-06 21:16:29.482512,5
2026-03-06 21:16:30.48262,5
2026-03-06 21:16:31.482373,5
