time,PT_Cal.Fuel_Upstream.timestamp_ns
2026-03-06 21:14:19.092534,1772831659092082184
2026-03-06 21:14:19.092693,1772831659092663532
2026-03-06 21:14:19.092798,1772831659092082184
2026-03-06 21:14:19.092833,1772831659092082184
2026-03-06 21:14:19.202847,1772831659202824245
2026-03-06 21:14:19.202894,1772831659202114274
2026-03-06 21:14:19.311906,1772831659311069201
2026-03-06 21:14:19.311929,1772831659311881541
2026-03-06 21:14:19.312121,1772831659311069201
2026-03-06 21:14:19.312172,1772831659311069201
2026-03-06 21:14:19.420609,1772831659420101380
2026-03-06 21:14:19.420796,1772831659420699292
2026-03-06 21:14:19.421165,1772831659420101380
2026-03-06 21:14:19.421651,1772831659420101380
2026-03-06 21:14:19.529415,1772831659528952926
2026-03-06 21:14:19.529628,1772831659528952926
2026-03-06 21:14:19.529712,1772831659528952926
2026-03-06 21:14:19.529786,1772831659528952926
2026-03-06 21:14:19.529851,1772831659529828886
2026-03-06 21:14:19.639255,1772831659638296889
2026-03-06 21:14:19.639694,1772831659638296889
2026-03-06 21:14:19.639796,1772831659639598641
2026-03-06 21:14:19.640241,1772831659638296889
2026-03-06 21:14:19.640576,1772831659638296889
2026-03-06 21:14:19.747879,1772831659747021027
2026-03-06 21:14:19.748137,1772831659748000222
2026-03-06 21:14:19.748147,1772831659747021027
2026-03-06 21:14:19.748455,1772831659747021027
2026-03-06 21:14:19.748727,1772831659747021027
2026-03-06 21:14:19.85724,1772831659856300848
2026-03-06 21:14:19.857496,1772831659856300848
2026-03-06 21:14:19.857711,1772831659857642728
2026-03-06 21:14:19.857743,1772831659856300848
2026-03-06 21:14:19.858007,1772831659856300848
2026-03-06 21:14:19.965856,1772831659964943932
2026-03-06 21:14:19.966276,1772831659964943932
2026-03-06 21:14:19.966547,1772831659966370505
2026-03-06 21:14:19.966583,1772831659964943932
2026-03-06 21:14:19.966967,1772831659964943932
2026-03-06 21:14:19.967485,1772831659964943932
2026-03-06 21:14:20.0748,1772831660074229210
2026-03-06 21:14:20.074875,1772831660074229210
2026-03-06 21:14:20.074915,1772831660074229210
2026-03-06 21:14:20.074997,1772831660074229210
2026-03-06 21:14:20.075072,1772831660074229210
2026-03-06 21:14:20.075152,1772831660074229210
2026-03-06 21:14:20.075237,1772831660074229210
2026-03-06 21:14:20.075311,1772831660074229210
2026-03-06 21:14:20.075398,1772831660074229210
2026-03-06 21:14:20.075409,1772831660075371740
2026-03-06 21:14:20.183504,1772831660183138135
2026-03-06 21:14:20.183637,1772831660183138135
2026-03-06 21:14:20.183702,1772831660183138135
2026-03-06 21:14:20.183779,1772831660183138135
2026-03-06 21:14:20.183781,1772831660183754873
2026-03-06 21:14:20.183856,1772831660183138135
2026-03-06 21:14:20.183944,1772831660183138135
2026-03-06 21:14:20.292561,1772831660291965547
2026-03-06 21:14:20.292707,1772831660291965547
2026-03-06 21:14:20.292786,1772831660291965547
2026-03-06 21:14:20.292869,1772831660291965547
2026-03-06 21:14:20.292951,1772831660291965547
2026-03-06 21:14:20.293169,1772831660293127221
2026-03-06 21:14:20.401242,1772831660400907140
2026-03-06 21:14:20.401368,1772831660400907140
2026-03-06 21:14:20.40148,1772831660401453144
2026-03-06 21:14:20.401495,1772831660400907140
2026-03-06 21:14:20.510605,1772831660510416568
2026-03-06 21:14:20.510668,1772831660510640853
2026-03-06 21:14:20.510715,1772831660510416568
2026-03-06 21:14:20.510786,1772831660510416568
2026-03-06 21:14:20.510912,1772831660510416568
2026-03-06 21:14:20.511008,1772831660510416568
2026-03-06 21:14:20.619406,1772831660619086015
2026-03-06 21:14:20.61952,1772831660619086015
2026-03-06 21:14:20.619548,1772831660619086015
2026-03-06 21:14:20.619589,1772831660619568256
2026-03-06 21:14:20.619873,1772831660619086015
2026-03-06 21:14:20.619927,1772831660619086015
2026-03-06 21:14:20.619978,1772831660619086015
2026-03-06 21:14:20.620011,1772831660619086015
2026-03-06 21:14:20.728507,1772831660728201620
2026-03-06 21:14:20.728608,1772831660728201620
2026-03-06 21:14:20.728704,1772831660728201620
2026-03-06 21:14:20.728796,1772831660728201620
2026-03-06 21:14:20.728888,1772831660728201620
2026-03-06 21:14:20.729184,1772831660729125677
2026-03-06 21:14:20.837662,1772831660836906695
2026-03-06 21:14:20.837822,1772831660836906695
2026-03-06 21:14:20.837865,1772831660836906695
2026-03-06 21:14:20.837906,1772831660836906695
2026-03-06 21:14:20.83795,1772831660836906695
2026-03-06 21:14:20.837976,1772831660837951146
2026-03-06 21:14:20.838031,1772831660836906695
2026-03-06 21:14:20.838111,1772831660836906695
2026-03-06 21:14:20.838212,1772831660836906695
2026-03-06 21:14:20.838298,1772831660836906695
2026-03-06 21:14:20.946753,1772831660946168391
2026-03-06 21:14:20.946934,1772831660946168391
2026-03-06 21:14:20.947015,1772831660946168391
2026-03-06 21:14:20.947107,1772831660946168391
2026-03-06 21:14:20.9472,1772831660947000986
2026-03-06 21:14:20.947229,1772831660946168391
2026-03-06 21:14:20.947349,1772831660946168391
2026-03-06 21:14:21.05566,1772831661055116495
2026-03-06 21:14:21.055693,1772831661055647452
2026-03-06 21:14:21.055793,1772831661055116495
2026-03-06 21:14:21.05585,1772831661055116495
2026-03-06 21:14:21.055959,1772831661055116495
2026-03-06 21:14:21.056097,1772831661055116495
2026-03-06 21:14:21.056329,1772831661055116495
2026-03-06 21:14:21.165112,1772831661164202226
2026-03-06 21:14:21.165416,1772831661164202226
2026-03-06 21:14:21.165566,1772831661165319383
2026-03-06 21:14:21.165689,1772831661164202226
2026-03-06 21:14:21.165976,1772831661164202226
2026-03-06 21:14:21.166287,1772831661164202226
2026-03-06 21:14:21.166424,1772831661164202226
2026-03-06 21:14:21.274968,1772831661273479824
2026-03-06 21:14:21.274981,1772831661274886931
2026-03-06 21:14:21.275269,1772831661273479824
2026-03-06 21:14:21.275514,1772831661273479824
2026-03-06 21:14:21.275827,1772831661273479824
2026-03-06 21:14:21.276101,1772831661273479824
2026-03-06 21:14:21.276309,1772831661273479824
2026-03-06 21:14:21.382971,1772831661382267950
2026-03-06 21:14:21.383232,1772831661382267950
2026-03-06 21:14:21.383255,1772831661383179842
2026-03-06 21:14:21.383458,1772831661382267950
2026-03-06 21:14:21.383685,1772831661382267950
2026-03-06 21:14:21.383942,1772831661382267950
2026-03-06 21:14:21.492539,1772831661492452413
2026-03-06 21:14:21.492641,1772831661491497660
2026-03-06 21:14:21.492811,1772831661491497660
2026-03-06 21:14:21.492988,1772831661491497660
2026-03-06 21:14:21.493615,1772831661491497660
2026-03-06 21:14:21.494585,1772831661491497660
2026-03-06 21:14:21.494739,1772831661491497660
2026-03-06 21:14:21.49487,1772831661491497660
2026-03-06 21:14:21.495249,1772831661491497660
2026-03-06 21:14:21.60117,1772831661600491439
2026-03-06 21:14:21.601382,1772831661600491439
2026-03-06 21:14:21.601607,1772831661600491439
2026-03-06 21:14:21.601641,1772831661601587742
2026-03-06 21:14:21.601841,1772831661600491439
2026-03-06 21:14:21.602094,1772831661600491439
2026-03-06 21:14:21.602368,1772831661600491439
2026-03-06 21:14:21.710148,1772831661709246873
2026-03-06 21:14:21.71052,1772831661710452342
2026-03-06 21:14:21.710695,1772831661709246873
2026-03-06 21:14:21.711235,1772831661709246873
2026-03-06 21:14:21.711445,1772831661709246873
2026-03-06 21:14:21.71164,1772831661709246873
2026-03-06 21:14:21.711823,1772831661709246873
2026-03-06 21:14:21.712029,1772831661709246873
2026-03-06 21:14:21.818745,1772831661818058284
2026-03-06 21:14:21.818998,1772831661818058284
2026-03-06 21:14:21.819273,1772831661818058284
2026-03-06 21:14:21.819286,1772831661819224575
2026-03-06 21:14:21.819545,1772831661818058284
2026-03-06 21:14:21.819833,1772831661818058284
2026-03-06 21:14:21.9278,1772831661927126163
2026-03-06 21:14:21.927986,1772831661927126163
2026-03-06 21:14:21.928204,1772831661927126163
2026-03-06 21:14:21.928298,1772831661928239903
2026-03-06 21:14:21.928388,1772831661927126163
2026-03-06 21:14:21.928582,1772831661927126163
2026-03-06 21:14:22.036773,1772831662036090039
2026-03-06 21:14:22.037051,1772831662036090039
2026-03-06 21:14:22.037327,1772831662036090039
2026-03-06 21:14:22.037499,1772831662037434662
2026-03-06 21:14:22.037568,1772831662036090039
2026-03-06 21:14:22.037828,1772831662036090039
2026-03-06 21:14:22.038086,1772831662036090039
2026-03-06 21:14:22.145572,1772831662145022078
2026-03-06 21:14:22.145707,1772831662145022078
2026-03-06 21:14:22.14585,1772831662145022078
2026-03-06 21:14:22.146125,1772831662145022078
2026-03-06 21:14:22.146138,1772831662146066073
2026-03-06 21:14:22.146373,1772831662145022078
2026-03-06 21:14:22.254828,1772831662254193250
2026-03-06 21:14:22.25514,1772831662254193250
2026-03-06 21:14:22.255496,1772831662254193250
2026-03-06 21:14:22.255549,1772831662255480626
2026-03-06 21:14:22.255794,1772831662254193250
2026-03-06 21:14:22.256173,1772831662254193250
2026-03-06 21:14:22.256502,1772831662254193250
2026-03-06 21:14:22.256832,1772831662254193250
2026-03-06 21:14:22.363954,1772831662363250278
2026-03-06 21:14:22.364209,1772831662363250278
2026-03-06 21:14:22.364453,1772831662363250278
2026-03-06 21:14:22.364689,1772831662363250278
2026-03-06 21:14:22.364759,1772831662364577891
2026-03-06 21:14:22.364929,1772831662363250278
2026-03-06 21:14:22.473036,1772831662472228320
2026-03-06 21:14:22.473271,1772831662472228320
2026-03-06 21:14:22.473498,1772831662472228320
2026-03-06 21:14:22.473694,1772831662472228320
2026-03-06 21:14:22.473841,1772831662473718242
2026-03-06 21:14:22.473917,1772831662472228320
2026-03-06 21:14:22.474146,1772831662472228320
2026-03-06 21:14:22.582052,1772831662581416725
2026-03-06 21:14:22.582184,1772831662581416725
2026-03-06 21:14:22.582302,1772831662581416725
2026-03-06 21:14:22.58243,1772831662581416725
2026-03-06 21:14:22.582491,1772831662582440404
2026-03-06 21:14:22.582557,1772831662581416725
2026-03-06 21:14:22.582611,1772831662581416725
2026-03-06 21:14:22.582759,1772831662581416725
2026-03-06 21:14:22.69062,1772831662690198538
2026-03-06 21:14:22.690711,1772831662690198538
2026-03-06 21:14:22.690733,1772831662690198538
2026-03-06 21:14:22.690753,1772831662690198538
2026-03-06 21:14:22.690791,1772831662690198538
2026-03-06 21:14:22.69083,1772831662690198538
2026-03-06 21:14:22.690991,1772831662690958509
2026-03-06 21:14:22.799713,1772831662799126457
2026-03-06 21:14:22.799806,1772831662799126457
2026-03-06 21:14:22.799847,1772831662799126457
2026-03-06 21:14:22.799892,1772831662799126457
2026-03-06 21:14:22.799963,1772831662799126457
2026-03-06 21:14:22.800037,1772831662799126457
2026-03-06 21:14:22.800125,1772831662799126457
2026-03-06 21:14:22.800163,1772831662800122130
2026-03-06 21:14:22.800209,1772831662799126457
2026-03-06 21:14:22.80029,1772831662799126457
2026-03-06 21:14:22.909144,1772831662908456630
2026-03-06 21:14:22.909223,1772831662908456630
2026-03-06 21:14:22.909236,1772831662909145526
2026-03-06 21:14:22.909275,1772831662908456630
2026-03-06 21:14:22.909345,1772831662908456630
2026-03-06 21:14:22.909419,1772831662908456630
2026-03-06 21:14:22.909499,1772831662908456630
2026-03-06 21:14:22.909574,1772831662908456630
2026-03-06 21:14:23.017867,1772831663017411011
2026-03-06 21:14:23.017954,1772831663017411011
2026-03-06 21:14:23.018019,1772831663017411011
2026-03-06 21:14:23.01807,1772831663017411011
2026-03-06 21:14:23.018109,1772831663017411011
2026-03-06 21:14:23.018434,1772831663018299108
2026-03-06 21:14:23.126679,1772831663126410044
2026-03-06 21:14:23.126765,1772831663126410044
2026-03-06 21:14:23.126837,1772831663126410044
2026-03-06 21:14:23.126937,1772831663126410044
2026-03-06 21:14:23.127012,1772831663126972325
2026-03-06 21:14:23.127035,1772831663126410044
2026-03-06 21:14:23.127145,1772831663126410044
2026-03-06 21:14:23.235957,1772831663235275886
2026-03-06 21:14:23.23605,1772831663235275886
2026-03-06 21:14:23.236338,1772831663236309310
2026-03-06 21:14:23.236374,1772831663235275886
2026-03-06 21:14:23.236454,1772831663235275886
2026-03-06 21:14:23.236557,1772831663235275886
2026-03-06 21:14:23.236619,1772831663235275886
2026-03-06 21:14:23.236733,1772831663235275886
2026-03-06 21:14:23.237024,1772831663235275886
2026-03-06 21:14:23.2371,1772831663235275886
2026-03-06 21:14:23.344474,1772831663344004749
2026-03-06 21:14:23.344568,1772831663344004749
2026-03-06 21:14:23.344591,1772831663344004749
2026-03-06 21:14:23.344648,1772831663344004749
2026-03-06 21:14:23.34471,1772831663344004749
2026-03-06 21:14:23.344822,1772831663344786955
2026-03-06 21:14:23.34484,1772831663344004749
2026-03-06 21:14:23.344917,1772831663344004749
2026-03-06 21:14:23.453784,1772831663453243538
2026-03-06 21:14:23.453895,1772831663453243538
2026-03-06 21:14:23.453923,1772831663453243538
2026-03-06 21:14:23.453978,1772831663453944703
2026-03-06 21:14:23.453999,1772831663453243538
2026-03-06 21:14:23.454064,1772831663453243538
2026-03-06 21:14:23.454187,1772831663453243538
2026-03-06 21:14:23.563186,1772831663562482710
2026-03-06 21:14:23.563324,1772831663562482710
2026-03-06 21:14:23.56341,1772831663563347327
2026-03-06 21:14:23.56346,1772831663562482710
2026-03-06 21:14:23.563591,1772831663562482710
2026-03-06 21:14:23.563732,1772831663562482710
2026-03-06 21:14:23.563886,1772831663562482710
2026-03-06 21:14:23.671386,1772831663670986291
2026-03-06 21:14:23.671565,1772831663670986291
2026-03-06 21:14:23.671817,1772831663671760917
2026-03-06 21:14:23.671844,1772831663670986291
2026-03-06 21:14:23.672102,1772831663670986291
2026-03-06 21:14:23.781253,1772831663780460590
2026-03-06 21:14:23.781314,1772831663781233779
2026-03-06 21:14:23.781664,1772831663780460590
2026-03-06 21:14:23.781935,1772831663780460590
2026-03-06 21:14:23.782329,1772831663780460590
2026-03-06 21:14:23.78274,1772831663780460590
2026-03-06 21:14:23.890052,1772831663889344721
2026-03-06 21:14:23.890263,1772831663889344721
2026-03-06 21:14:23.890459,1772831663889344721
2026-03-06 21:14:23.890465,1772831663890398623
2026-03-06 21:14:23.890847,1772831663889344721
2026-03-06 21:14:23.891487,1772831663889344721
2026-03-06 21:14:23.891992,1772831663889344721
2026-03-06 21:14:23.999128,1772831663998567133
2026-03-06 21:14:23.999334,1772831663998567133
2026-03-06 21:14:23.999494,1772831663998567133
2026-03-06 21:14:23.999531,1772831663999476531
2026-03-06 21:14:23.999651,1772831663998567133
2026-03-06 21:14:24.107902,1772831664107218449
2026-03-06 21:14:24.107962,1772831664107878595
2026-03-06 21:14:24.108108,1772831664107218449
2026-03-06 21:14:24.108355,1772831664107218449
2026-03-06 21:14:24.108595,1772831664107218449
2026-03-06 21:14:24.108866,1772831664107218449
2026-03-06 21:14:24.216469,1772831664215987557
2026-03-06 21:14:24.216567,1772831664215987557
2026-03-06 21:14:24.216603,1772831664215987557
2026-03-06 21:14:24.21681,1772831664215987557
2026-03-06 21:14:24.216872,1772831664215987557
2026-03-06 21:14:24.216886,1772831664216845565
2026-03-06 21:14:24.325872,1772831664325251175
2026-03-06 21:14:24.325999,1772831664325251175
2026-03-06 21:14:24.326031,1772831664325251175
2026-03-06 21:14:24.326118,1772831664325251175
2026-03-06 21:14:24.326319,1772831664325251175
2026-03-06 21:14:24.326436,1772831664326381047
2026-03-06 21:14:24.326546,1772831664325251175
2026-03-06 21:14:24.435499,1772831664434381344
2026-03-06 21:14:24.435712,1772831664434381344
2026-03-06 21:14:24.436151,1772831664434381344
2026-03-06 21:14:24.436201,1772831664436186859
2026-03-06 21:14:24.436516,1772831664434381344
2026-03-06 21:14:24.436748,1772831664434381344
2026-03-06 21:14:24.436975,1772831664434381344
2026-03-06 21:14:24.43724,1772831664434381344
2026-03-06 21:14:24.54377,1772831664543325569
2026-03-06 21:14:24.54391,1772831664543325569
2026-03-06 21:14:24.544035,1772831664543325569
2026-03-06 21:14:24.544275,1772831664543325569
2026-03-06 21:14:24.54429,1772831664544255271
2026-03-06 21:14:24.544488,1772831664543325569
2026-03-06 21:14:24.652737,1772831664652245183
2026-03-06 21:14:24.652936,1772831664652245183
2026-03-06 21:14:24.653096,1772831664652245183
2026-03-06 21:14:24.653275,1772831664652245183
2026-03-06 21:14:24.653442,1772831664652245183
2026-03-06 21:14:24.653469,1772831664653425167
2026-03-06 21:14:24.653613,1772831664652245183
2026-03-06 21:14:24.762105,1772831664761380116
2026-03-06 21:14:24.762326,1772831664761380116
2026-03-06 21:14:24.762495,1772831664761380116
2026-03-06 21:14:24.762686,1772831664761380116
2026-03-06 21:14:24.762833,1772831664762757894
2026-03-06 21:14:24.762874,1772831664761380116
2026-03-06 21:14:24.763081,1772831664761380116
2026-03-06 21:14:24.871099,1772831664870417404
2026-03-06 21:14:24.871195,1772831664870417404
2026-03-06 21:14:24.871296,1772831664870417404
2026-03-06 21:14:24.87139,1772831664870417404
2026-03-06 21:14:24.871491,1772831664870417404
2026-03-06 21:14:24.871563,1772831664871494840
2026-03-06 21:14:24.871592,1772831664870417404
2026-03-06 21:14:24.871682,1772831664870417404
2026-03-06 21:14:24.871781,1772831664870417404
2026-03-06 21:14:24.979871,1772831664979436704
2026-03-06 21:14:24.980105,1772831664979436704
2026-03-06 21:14:24.980272,1772831664980143459
2026-03-06 21:14:24.980367,1772831664979436704
2026-03-06 21:14:24.980613,1772831664979436704
2026-03-06 21:14:24.980836,1772831664979436704
2026-03-06 21:14:25.0888,1772831665088100743
2026-03-06 21:14:25.088946,1772831665088100743
2026-03-06 21:14:25.089109,1772831665088100743
2026-03-06 21:14:25.089248,1772831665089202316
2026-03-06 21:14:25.08928,1772831665088100743
2026-03-06 21:14:25.089446,1772831665088100743
2026-03-06 21:14:25.089629,1772831665088100743
2026-03-06 21:14:25.197888,1772831665197313339
2026-03-06 21:14:25.198112,1772831665197313339
2026-03-06 21:14:25.198346,1772831665197313339
2026-03-06 21:14:25.198379,1772831665198322100
2026-03-06 21:14:25.198551,1772831665197313339
2026-03-06 21:14:25.198873,1772831665197313339
2026-03-06 21:14:25.307179,1772831665306492574
2026-03-06 21:14:25.307522,1772831665307456133
2026-03-06 21:14:25.307849,1772831665306492574
2026-03-06 21:14:25.307954,1772831665306492574
2026-03-06 21:14:25.308046,1772831665306492574
2026-03-06 21:14:25.416246,1772831665415449438
2026-03-06 21:14:25.416403,1772831665415449438
2026-03-06 21:14:25.416432,1772831665416377182
2026-03-06 21:14:25.416545,1772831665415449438
2026-03-06 21:14:25.416691,1772831665415449438
2026-03-06 21:14:25.416853,1772831665415449438
2026-03-06 21:14:25.417036,1772831665415449438
2026-03-06 21:14:25.417269,1772831665415449438
2026-03-06 21:14:25.525341,1772831665524523419
2026-03-06 21:14:25.525575,1772831665524523419
2026-03-06 21:14:25.525753,1772831665525690161
2026-03-06 21:14:25.525976,1772831665524523419
2026-03-06 21:14:25.526384,1772831665524523419
2026-03-06 21:14:25.526626,1772831665524523419
2026-03-06 21:14:25.526823,1772831665524523419
2026-03-06 21:14:25.527033,1772831665524523419
2026-03-06 21:14:25.63446,1772831665633372664
2026-03-06 21:14:25.634727,1772831665633372664
2026-03-06 21:14:25.634915,1772831665634837897
2026-03-06 21:14:25.634968,1772831665633372664
2026-03-06 21:14:25.635217,1772831665633372664
2026-03-06 21:14:25.635473,1772831665633372664
2026-03-06 21:14:25.743484,1772831665742190016
