time,ACT.Fuel_Fill_Vent.raw_adc_counts
2026-03-06 21:14:18.309306,0
2026-03-06 21:14:18.309684,1049894824
2026-03-06 21:14:18.310517,0
2026-03-06 21:14:18.310582,1049894824
2026-03-06 21:14:18.31063,0
2026-03-06 21:14:18.311393,1049867784
2026-03-06 21:14:18.312071,0
2026-03-06 21:14:18.312135,1049840744
2026-03-06 21:14:18.312191,978534504
2026-03-06 21:14:18.312238,1049840744
2026-03-06 21:14:18.312285,0
2026-03-06 21:14:18.312942,1049840744
2026-03-06 21:14:18.313008,0
2026-03-06 21:14:18.313057,1049867784
2026-03-06 21:14:18.313106,0
2026-03-06 21:14:18.313801,1049840744
2026-03-06 21:14:18.31387,978534504
2026-03-06 21:14:18.314506,1049894824
2026-03-06 21:14:18.314571,0
2026-03-06 21:14:18.316428,1049894824
2026-03-06 21:14:18.316624,0
2026-03-06 21:14:18.316809,1049867784
2026-03-06 21:14:18.316956,0
2026-03-06 21:14:18.317172,1049840744
2026-03-06 21:14:18.317229,0
2026-03-06 21:14:18.318419,1049840744
2026-03-06 21:14:18.319229,0
2026-03-06 21:14:18.319453,1049840744
2026-03-06 21:14:18.319635,978534504
2026-03-06 21:14:18.319731,1049840744
2026-03-06 21:14:18.360134,0
2026-03-06 21:14:18.415455,1049894824
2026-03-06 21:14:18.462167,0
2026-03-06 21:14:18.517387,1049894824
2026-03-06 21:14:18.564482,0
2026-03-06 21:14:18.619149,1049894824
2026-03-06 21:14:18.665925,0
2026-03-06 21:14:18.721196,1049840744
2026-03-06 21:14:18.768282,0
2026-03-06 21:14:18.823512,1049840744
2026-03-06 21:14:18.870266,0
2026-03-06 21:14:18.92534,1049867784
2026-03-06 21:14:18.972144,0
2026-03-06 21:14:19.027593,1049840744
2026-03-06 21:14:19.074111,0
2026-03-06 21:14:19.129141,1049867784
2026-03-06 21:14:19.176407,0
2026-03-06 21:14:19.231363,1049867784
2026-03-06 21:14:19.278265,978534504
2026-03-06 21:14:19.333705,1049894824
2026-03-06 21:14:19.380044,0
2026-03-06 21:14:19.435109,1049894824
2026-03-06 21:14:19.482018,0
2026-03-06 21:14:19.537244,1049894824
2026-03-06 21:14:19.584519,0
2026-03-06 21:14:19.639622,1049894824
2026-03-06 21:14:19.686269,0
2026-03-06 21:14:19.741326,1049840744
2026-03-06 21:14:19.788568,0
2026-03-06 21:14:19.843634,1049786664
2026-03-06 21:14:19.889987,0
2026-03-06 21:14:19.94553,1049840744
2026-03-06 21:14:19.992653,0
2026-03-06 21:14:20.04751,1049840744
2026-03-06 21:14:20.093962,978534504
2026-03-06 21:14:20.149363,1049840744
2026-03-06 21:14:20.196355,0
