time,TC.CH3.raw_adc_counts
2026-03-06 21:14:18.316555,2147483647
2026-03-06 21:14:18.316589,2147483647
2026-03-06 21:14:18.316594,2147483647
2026-03-06 21:14:18.316598,2147483647
2026-03-06 21:14:18.316603,2147483647
2026-03-06 21:14:18.316607,2147483647
2026-03-06 21:14:18.316611,2147483647
2026-03-06 21:14:18.316616,2147483647
2026-03-06 21:14:18.31662,2147483647
2026-03-06 21:14:18.316989,2147483647
2026-03-06 21:14:18.316996,2147483647
2026-03-06 21:14:18.317,2147483647
2026-03-06 21:14:18.317004,2147483647
2026-03-06 21:14:18.317009,2147483647
2026-03-06 21:14:18.317013,2147483647
2026-03-06 21:14:18.317018,2147483647
2026-03-06 21:14:18.317022,2147483647
2026-03-06 21:14:18.317026,2147483647
2026-03-06 21:14:18.318371,2147483647
2026-03-06 21:14:18.318382,2147483647
2026-03-06 21:14:18.318387,2147483647
2026-03-06 21:14:18.318391,2147483647
2026-03-06 21:14:18.318396,2147483647
2026-03-06 21:14:18.3184,2147483647
2026-03-06 21:14:18.318404,2147483647
2026-03-06 21:14:18.318408,2147483647
2026-03-06 21:14:18.318413,2147483647
2026-03-06 21:14:18.319594,2147483647
2026-03-06 21:14:18.319601,2147483647
2026-03-06 21:14:18.319606,2147483647
2026-03-06 21:14:18.31961,2147483647
2026-03-06 21:14:18.319615,2147483647
2026-03-06 21:14:18.319619,2147483647
2026-03-06 21:14:18.319623,2147483647
2026-03-06 21:14:18.319628,2147483647
2026-03-06 21:14:18.319632,2147483647
2026-03-06 21:14:18.355678,2147483647
2026-03-06 21:14:18.355706,2147483647
2026-03-06 21:14:18.35571,2147483647
2026-03-06 21:14:18.355714,2147483647
2026-03-06 21:14:18.355718,2147483647
2026-03-06 21:14:18.355722,2147483647
2026-03-06 21:14:18.355726,2147483647
2026-03-06 21:14:18.355731,2147483647
2026-03-06 21:14:18.355735,2147483647
2026-03-06 21:14:18.482342,2147483647
2026-03-06 21:14:18.482355,2147483647
2026-03-06 21:14:18.48236,2147483647
2026-03-06 21:14:18.482364,2147483647
2026-03-06 21:14:18.48237,2147483647
2026-03-06 21:14:18.482374,2147483647
2026-03-06 21:14:18.482378,2147483647
2026-03-06 21:14:18.482383,2147483647
2026-03-06 21:14:18.482387,2147483647
2026-03-06 21:14:18.609337,2147483647
2026-03-06 21:14:18.609353,2147483647
2026-03-06 21:14:18.609359,2147483647
2026-03-06 21:14:18.609366,2147483647
2026-03-06 21:14:18.609372,2147483647
2026-03-06 21:14:18.609378,2147483647
2026-03-06 21:14:18.609385,2147483647
2026-03-06 21:14:18.609391,2147483647
2026-03-06 21:14:18.609397,2147483647
2026-03-06 21:14:18.736461,2147483647
2026-03-06 21:14:18.736473,2147483647
2026-03-06 21:14:18.736477,2147483647
2026-03-06 21:14:18.736482,2147483647
2026-03-06 21:14:18.736486,2147483647
2026-03-06 21:14:18.736493,2147483647
2026-03-06 21:14:18.736508,2147483647
2026-03-06 21:14:18.736513,2147483647
2026-03-06 21:14:18.736517,2147483647
2026-03-06 21:14:18.864483,2147483647
2026-03-06 21:14:18.864502,2147483647
2026-03-06 21:14:18.864509,2147483647
2026-03-06 21:14:18.864515,2147483647
2026-03-06 21:14:18.864521,2147483647
2026-03-06 21:14:18.864528,2147483647
2026-03-06 21:14:18.864534,2147483647
2026-03-06 21:14:18.864541,2147483647
2026-03-06 21:14:18.864547,2147483647
2026-03-06 21:14:18.995372,2147483647
2026-03-06 21:14:18.995391,2147483647
2026-03-06 21:14:18.995396,2147483647
2026-03-06 21:14:18.9954,2147483647
2026-03-06 21:14:18.995405,2147483647
2026-03-06 21:14:18.995409,2147483647
2026-03-06 21:14:18.995413,2147483647
2026-03-06 21:14:18.995418,2147483647
2026-03-06 21:14:18.995422,2147483647
2026-03-06 21:14:19.122721,2147483647
2026-03-06 21:14:19.122738,2147483647
2026-03-06 21:14:19.122743,2147483647
2026-03-06 21:14:19.122749,2147483647
2026-03-06 21:14:19.122755,2147483647
2026-03-06 21:14:19.12276,2147483647
2026-03-06 21:14:19.122766,2147483647
2026-03-06 21:14:19.122771,2147483647
2026-03-06 21:14:19.122777,2147483647
2026-03-06 21:14:19.24976,2147483647
2026-03-06 21:14:19.249781,2147483647
2026-03-06 21:14:19.249786,2147483647
2026-03-06 21:14:19.24979,2147483647
2026-03-06 21:14:19.249795,2147483647
2026-03-06 21:14:19.249799,2147483647
2026-03-06 21:14:19.249804,2147483647
2026-03-06 21:14:19.249809,2147483647
2026-03-06 21:14:19.249813,2147483647
2026-03-06 21:14:19.376566,2147483647
2026-03-06 21:14:19.376606,2147483647
2026-03-06 21:14:19.376612,2147483647
2026-03-06 21:14:19.376617,2147483647
2026-03-06 21:14:19.376624,2147483647
2026-03-06 21:14:19.376628,2147483647
2026-03-06 21:14:19.376639,2147483647
2026-03-06 21:14:19.376644,2147483647
2026-03-06 21:14:19.376652,2147483647
2026-03-06 21:14:19.503519,2147483647
2026-03-06 21:14:19.503576,2147483647
2026-03-06 21:14:19.503601,2147483647
2026-03-06 21:14:19.503627,2147483647
2026-03-06 21:14:19.50365,2147483647
2026-03-06 21:14:19.503687,2147483647
2026-03-06 21:14:19.503728,2147483647
2026-03-06 21:14:19.503767,2147483647
2026-03-06 21:14:19.503803,2147483647
2026-03-06 21:14:19.630789,2147483647
2026-03-06 21:14:19.630927,2147483647
2026-03-06 21:14:19.630985,2147483647
2026-03-06 21:14:19.631043,2147483647
2026-03-06 21:14:19.631099,2147483647
2026-03-06 21:14:19.631174,2147483647
2026-03-06 21:14:19.631213,2147483647
2026-03-06 21:14:19.63127,2147483647
2026-03-06 21:14:19.631311,2147483647
2026-03-06 21:14:19.757555,2147483647
2026-03-06 21:14:19.757618,2147483647
2026-03-06 21:14:19.757631,2147483647
2026-03-06 21:14:19.757643,2147483647
2026-03-06 21:14:19.757661,2147483647
2026-03-06 21:14:19.75767,2147483647
2026-03-06 21:14:19.757689,2147483647
2026-03-06 21:14:19.757702,2147483647
2026-03-06 21:14:19.75772,2147483647
2026-03-06 21:14:19.88539,2147483647
2026-03-06 21:14:19.885445,2147483647
2026-03-06 21:14:19.885479,2147483647
2026-03-06 21:14:19.885508,2147483647
2026-03-06 21:14:19.885536,2147483647
2026-03-06 21:14:19.885568,2147483647
2026-03-06 21:14:19.885595,2147483647
2026-03-06 21:14:19.885623,2147483647
2026-03-06 21:14:19.88565,2147483647
2026-03-06 21:14:20.016726,2147483647
2026-03-06 21:14:20.016818,2147483647
2026-03-06 21:14:20.016881,2147483647
2026-03-06 21:14:20.016937,2147483647
2026-03-06 21:14:20.016997,2147483647
2026-03-06 21:14:20.017054,2147483647
2026-03-06 21:14:20.01709,2147483647
2026-03-06 21:14:20.017113,2147483647
2026-03-06 21:14:20.017137,2147483647
2026-03-06 21:14:20.143605,2147483647
2026-03-06 21:14:20.143652,2147483647
