time,PT_Cal.GN2_Regulated.timestamp_ns
2026-03-06 21:14:19.09273,1772831659092082184
2026-03-06 21:14:19.092817,1772831659092082184
2026-03-06 21:14:19.093236,1772831659093228323
2026-03-06 21:14:19.202987,1772831659202114274
2026-03-06 21:14:19.203411,1772831659203391749
2026-03-06 21:14:19.312094,1772831659311069201
2026-03-06 21:14:19.312156,1772831659311069201
2026-03-06 21:14:19.312221,1772831659312153917
2026-03-06 21:14:19.421023,1772831659420101380
2026-03-06 21:14:19.421156,1772831659421140517
2026-03-06 21:14:19.421513,1772831659420101380
2026-03-06 21:14:19.529606,1772831659528952926
2026-03-06 21:14:19.529691,1772831659528952926
2026-03-06 21:14:19.529765,1772831659528952926
2026-03-06 21:14:19.529851,1772831659528952926
2026-03-06 21:14:19.530008,1772831659529997574
2026-03-06 21:14:19.639594,1772831659638296889
2026-03-06 21:14:19.640009,1772831659638296889
2026-03-06 21:14:19.640423,1772831659638296889
2026-03-06 21:14:19.641222,1772831659638296889
2026-03-06 21:14:19.642907,1772831659642866475
2026-03-06 21:14:19.748075,1772831659747021027
2026-03-06 21:14:19.748345,1772831659747021027
2026-03-06 21:14:19.748628,1772831659747021027
2026-03-06 21:14:19.748763,1772831659748706241
2026-03-06 21:14:19.749022,1772831659747021027
2026-03-06 21:14:19.85743,1772831659856300848
2026-03-06 21:14:19.857673,1772831659856300848
2026-03-06 21:14:19.857937,1772831659856300848
2026-03-06 21:14:19.85817,1772831659858136876
2026-03-06 21:14:19.858245,1772831659856300848
2026-03-06 21:14:19.966121,1772831659964943932
2026-03-06 21:14:19.966503,1772831659964943932
2026-03-06 21:14:19.966895,1772831659964943932
2026-03-06 21:14:19.96722,1772831659964943932
2026-03-06 21:14:19.967743,1772831659964943932
2026-03-06 21:14:19.968119,1772831659968020880
2026-03-06 21:14:20.074852,1772831660074229210
2026-03-06 21:14:20.074892,1772831660074229210
2026-03-06 21:14:20.074971,1772831660074229210
2026-03-06 21:14:20.07505,1772831660074229210
2026-03-06 21:14:20.075131,1772831660074229210
2026-03-06 21:14:20.075215,1772831660074229210
2026-03-06 21:14:20.07529,1772831660074229210
2026-03-06 21:14:20.075375,1772831660074229210
2026-03-06 21:14:20.075793,1772831660075775492
2026-03-06 21:14:20.183614,1772831660183138135
2026-03-06 21:14:20.183657,1772831660183138135
2026-03-06 21:14:20.183758,1772831660183138135
2026-03-06 21:14:20.183836,1772831660183138135
2026-03-06 21:14:20.183916,1772831660183138135
2026-03-06 21:14:20.183931,1772831660183920488
2026-03-06 21:14:20.292678,1772831660291965547
2026-03-06 21:14:20.29276,1772831660291965547
2026-03-06 21:14:20.292842,1772831660291965547
2026-03-06 21:14:20.292929,1772831660291965547
2026-03-06 21:14:20.293022,1772831660291965547
2026-03-06 21:14:20.29335,1772831660293338062
2026-03-06 21:14:20.401336,1772831660400907140
2026-03-06 21:14:20.401442,1772831660400907140
2026-03-06 21:14:20.40223,1772831660402212489
2026-03-06 21:14:20.510692,1772831660510416568
2026-03-06 21:14:20.510765,1772831660510416568
2026-03-06 21:14:20.510889,1772831660510416568
2026-03-06 21:14:20.51098,1772831660510416568
2026-03-06 21:14:20.511082,1772831660510416568
2026-03-06 21:14:20.511174,1772831660511153199
2026-03-06 21:14:20.619504,1772831660619086015
2026-03-06 21:14:20.619542,1772831660619086015
2026-03-06 21:14:20.619606,1772831660619086015
2026-03-06 21:14:20.619768,1772831660619756926
2026-03-06 21:14:20.619915,1772831660619086015
2026-03-06 21:14:20.619965,1772831660619086015
2026-03-06 21:14:20.620002,1772831660619086015
2026-03-06 21:14:20.728582,1772831660728201620
2026-03-06 21:14:20.72868,1772831660728201620
2026-03-06 21:14:20.728764,1772831660728201620
2026-03-06 21:14:20.728861,1772831660728201620
2026-03-06 21:14:20.729896,1772831660729875906
2026-03-06 21:14:20.837803,1772831660836906695
2026-03-06 21:14:20.83785,1772831660836906695
2026-03-06 21:14:20.837891,1772831660836906695
2026-03-06 21:14:20.837935,1772831660836906695
2026-03-06 21:14:20.83801,1772831660836906695
2026-03-06 21:14:20.838089,1772831660836906695
2026-03-06 21:14:20.838129,1772831660838118564
2026-03-06 21:14:20.838185,1772831660836906695
2026-03-06 21:14:20.838272,1772831660836906695
2026-03-06 21:14:20.838361,1772831660836906695
2026-03-06 21:14:20.946835,1772831660946168391
2026-03-06 21:14:20.946992,1772831660946168391
2026-03-06 21:14:20.94708,1772831660946168391
2026-03-06 21:14:20.947204,1772831660946168391
2026-03-06 21:14:20.947292,1772831660947271240
2026-03-06 21:14:20.947313,1772831660946168391
2026-03-06 21:14:20.947458,1772831660946168391
2026-03-06 21:14:21.055763,1772831661055116495
2026-03-06 21:14:21.055839,1772831661055116495
2026-03-06 21:14:21.055929,1772831661055116495
2026-03-06 21:14:21.056035,1772831661055116495
2026-03-06 21:14:21.056237,1772831661055116495
2026-03-06 21:14:21.0563,1772831661056282076
2026-03-06 21:14:21.056475,1772831661055116495
2026-03-06 21:14:21.165347,1772831661164202226
2026-03-06 21:14:21.165614,1772831661164202226
2026-03-06 21:14:21.1659,1772831661164202226
2026-03-06 21:14:21.166231,1772831661164202226
2026-03-06 21:14:21.166378,1772831661164202226
2026-03-06 21:14:21.167212,1772831661167151690
2026-03-06 21:14:21.275177,1772831661273479824
2026-03-06 21:14:21.275435,1772831661273479824
2026-03-06 21:14:21.275712,1772831661273479824
2026-03-06 21:14:21.276025,1772831661273479824
2026-03-06 21:14:21.276262,1772831661273479824
2026-03-06 21:14:21.277104,1772831661277059239
2026-03-06 21:14:21.383135,1772831661382267950
2026-03-06 21:14:21.383398,1772831661382267950
2026-03-06 21:14:21.383605,1772831661382267950
2026-03-06 21:14:21.383861,1772831661382267950
2026-03-06 21:14:21.384407,1772831661384378398
2026-03-06 21:14:21.492771,1772831661491497660
2026-03-06 21:14:21.49292,1772831661491497660
2026-03-06 21:14:21.492994,1772831661492969032
2026-03-06 21:14:21.49328,1772831661491497660
2026-03-06 21:14:21.494529,1772831661491497660
2026-03-06 21:14:21.494692,1772831661491497660
2026-03-06 21:14:21.494827,1772831661491497660
2026-03-06 21:14:21.495134,1772831661491497660
2026-03-06 21:14:21.495459,1772831661491497660
2026-03-06 21:14:21.601322,1772831661600491439
2026-03-06 21:14:21.601547,1772831661600491439
2026-03-06 21:14:21.601778,1772831661600491439
2026-03-06 21:14:21.601999,1772831661601972634
2026-03-06 21:14:21.602023,1772831661600491439
2026-03-06 21:14:21.60229,1772831661600491439
2026-03-06 21:14:21.60254,1772831661600491439
2026-03-06 21:14:21.710558,1772831661709246873
2026-03-06 21:14:21.710948,1772831661709246873
2026-03-06 21:14:21.711381,1772831661709246873
2026-03-06 21:14:21.711577,1772831661709246873
2026-03-06 21:14:21.711768,1772831661709246873
2026-03-06 21:14:21.711767,1772831661711743242
2026-03-06 21:14:21.71197,1772831661709246873
2026-03-06 21:14:21.712191,1772831661709246873
2026-03-06 21:14:21.81893,1772831661818058284
2026-03-06 21:14:21.819209,1772831661818058284
2026-03-06 21:14:21.819481,1772831661818058284
2026-03-06 21:14:21.819702,1772831661819670851
2026-03-06 21:14:21.819745,1772831661818058284
2026-03-06 21:14:21.927936,1772831661927126163
2026-03-06 21:14:21.92813,1772831661927126163
2026-03-06 21:14:21.928336,1772831661927126163
2026-03-06 21:14:21.92853,1772831661927126163
2026-03-06 21:14:21.928624,1772831661928596851
2026-03-06 21:14:22.036983,1772831662036090039
2026-03-06 21:14:22.037261,1772831662036090039
2026-03-06 21:14:22.037501,1772831662036090039
2026-03-06 21:14:22.037746,1772831662036090039
2026-03-06 21:14:22.038014,1772831662036090039
2026-03-06 21:14:22.038325,1772831662036090039
2026-03-06 21:14:22.038486,1772831662038433468
2026-03-06 21:14:22.145665,1772831662145022078
2026-03-06 21:14:22.145809,1772831662145022078
2026-03-06 21:14:22.146047,1772831662145022078
2026-03-06 21:14:22.146306,1772831662145022078
2026-03-06 21:14:22.146545,1772831662145022078
2026-03-06 21:14:22.146645,1772831662146615137
2026-03-06 21:14:22.255054,1772831662254193250
2026-03-06 21:14:22.255424,1772831662254193250
2026-03-06 21:14:22.255723,1772831662254193250
2026-03-06 21:14:22.256032,1772831662254193250
2026-03-06 21:14:22.256423,1772831662254193250
2026-03-06 21:14:22.256756,1772831662254193250
2026-03-06 21:14:22.257043,1772831662254193250
2026-03-06 21:14:22.257644,1772831662257491293
2026-03-06 21:14:22.364138,1772831662363250278
2026-03-06 21:14:22.364388,1772831662363250278
2026-03-06 21:14:22.364612,1772831662363250278
2026-03-06 21:14:22.36485,1772831662363250278
2026-03-06 21:14:22.365102,1772831662363250278
2026-03-06 21:14:22.365211,1772831662365175378
2026-03-06 21:14:22.47321,1772831662472228320
2026-03-06 21:14:22.473425,1772831662472228320
2026-03-06 21:14:22.473643,1772831662472228320
2026-03-06 21:14:22.473852,1772831662472228320
2026-03-06 21:14:22.474085,1772831662472228320
2026-03-06 21:14:22.474328,1772831662472228320
2026-03-06 21:14:22.47484,1772831662474673792
2026-03-06 21:14:22.582146,1772831662581416725
2026-03-06 21:14:22.582267,1772831662581416725
2026-03-06 21:14:22.582395,1772831662581416725
2026-03-06 21:14:22.582538,1772831662581416725
2026-03-06 21:14:22.582591,1772831662581416725
2026-03-06 21:14:22.582649,1772831662581416725
2026-03-06 21:14:22.582717,1772831662582704200
2026-03-06 21:14:22.690692,1772831662690198538
2026-03-06 21:14:22.690728,1772831662690198538
2026-03-06 21:14:22.690749,1772831662690198538
2026-03-06 21:14:22.690784,1772831662690198538
2026-03-06 21:14:22.690812,1772831662690198538
2026-03-06 21:14:22.690967,1772831662690198538
2026-03-06 21:14:22.69114,1772831662691132633
2026-03-06 21:14:22.799784,1772831662799126457
2026-03-06 21:14:22.799833,1772831662799126457
2026-03-06 21:14:22.799879,1772831662799126457
2026-03-06 21:14:22.799936,1772831662799126457
2026-03-06 21:14:22.800015,1772831662799126457
2026-03-06 21:14:22.800103,1772831662799126457
2026-03-06 21:14:22.800187,1772831662799126457
2026-03-06 21:14:22.800268,1772831662799126457
2026-03-06 21:14:22.800502,1772831662800487557
2026-03-06 21:14:22.909204,1772831662908456630
2026-03-06 21:14:22.909258,1772831662908456630
2026-03-06 21:14:22.909323,1772831662908456630
2026-03-06 21:14:22.909397,1772831662908456630
2026-03-06 21:14:22.909477,1772831662908456630
2026-03-06 21:14:22.909553,1772831662908456630
2026-03-06 21:14:22.909629,1772831662908456630
2026-03-06 21:14:22.909854,1772831662909838400
2026-03-06 21:14:23.017935,1772831663017411011
2026-03-06 21:14:23.017999,1772831663017411011
2026-03-06 21:14:23.018053,1772831663017411011
2026-03-06 21:14:23.018097,1772831663017411011
2026-03-06 21:14:23.018752,1772831663018606783
2026-03-06 21:14:23.126743,1772831663126410044
2026-03-06 21:14:23.126812,1772831663126410044
2026-03-06 21:14:23.126904,1772831663126410044
2026-03-06 21:14:23.127008,1772831663126410044
2026-03-06 21:14:23.127115,1772831663126410044
2026-03-06 21:14:23.127418,1772831663127396753
2026-03-06 21:14:23.236031,1772831663235275886
2026-03-06 21:14:23.236353,1772831663235275886
2026-03-06 21:14:23.236432,1772831663235275886
2026-03-06 21:14:23.236499,1772831663236490467
2026-03-06 21:14:23.236513,1772831663235275886
2026-03-06 21:14:23.236592,1772831663235275886
2026-03-06 21:14:23.236692,1772831663235275886
2026-03-06 21:14:23.236991,1772831663235275886
2026-03-06 21:14:23.237079,1772831663235275886
2026-03-06 21:14:23.237161,1772831663235275886
2026-03-06 21:14:23.344541,1772831663344004749
2026-03-06 21:14:23.344587,1772831663344004749
2026-03-06 21:14:23.34463,1772831663344004749
2026-03-06 21:14:23.344692,1772831663344004749
2026-03-06 21:14:23.344812,1772831663344004749
2026-03-06 21:14:23.344897,1772831663344004749
2026-03-06 21:14:23.345116,1772831663344974980
2026-03-06 21:14:23.453868,1772831663453243538
2026-03-06 21:14:23.453916,1772831663453243538
2026-03-06 21:14:23.453983,1772831663453243538
2026-03-06 21:14:23.454044,1772831663453243538
2026-03-06 21:14:23.454127,1772831663453243538
2026-03-06 21:14:23.454228,1772831663454221117
2026-03-06 21:14:23.454396,1772831663453243538
2026-03-06 21:14:23.563291,1772831663562482710
2026-03-06 21:14:23.56342,1772831663562482710
2026-03-06 21:14:23.563552,1772831663562482710
2026-03-06 21:14:23.563693,1772831663562482710
2026-03-06 21:14:23.56375,1772831663563711445
2026-03-06 21:14:23.563835,1772831663562482710
2026-03-06 21:14:23.564,1772831663562482710
2026-03-06 21:14:23.671529,1772831663670986291
2026-03-06 21:14:23.671769,1772831663670986291
2026-03-06 21:14:23.672052,1772831663670986291
2026-03-06 21:14:23.672122,1772831663672098132
2026-03-06 21:14:23.781599,1772831663780460590
2026-03-06 21:14:23.781844,1772831663780460590
2026-03-06 21:14:23.781848,1772831663781834962
2026-03-06 21:14:23.782267,1772831663780460590
2026-03-06 21:14:23.782501,1772831663780460590
2026-03-06 21:14:23.782898,1772831663780460590
2026-03-06 21:14:23.890194,1772831663889344721
2026-03-06 21:14:23.890401,1772831663889344721
2026-03-06 21:14:23.891007,1772831663890979671
2026-03-06 21:14:23.891062,1772831663889344721
2026-03-06 21:14:23.89183,1772831663889344721
2026-03-06 21:14:23.999273,1772831663998567133
2026-03-06 21:14:23.999447,1772831663998567133
2026-03-06 21:14:23.999601,1772831663998567133
2026-03-06 21:14:23.999823,1772831663999809095
2026-03-06 21:14:24.108049,1772831664107218449
2026-03-06 21:14:24.108297,1772831664107218449
2026-03-06 21:14:24.108517,1772831664107218449
2026-03-06 21:14:24.108795,1772831664107218449
2026-03-06 21:14:24.109048,1772831664107218449
2026-03-06 21:14:24.109331,1772831664109304590
2026-03-06 21:14:24.216533,1772831664215987557
2026-03-06 21:14:24.216591,1772831664215987557
2026-03-06 21:14:24.216789,1772831664215987557
2026-03-06 21:14:24.216857,1772831664215987557
2026-03-06 21:14:24.217099,1772831664217082369
2026-03-06 21:14:24.325966,1772831664325251175
2026-03-06 21:14:24.326018,1772831664325251175
2026-03-06 21:14:24.326087,1772831664325251175
2026-03-06 21:14:24.326224,1772831664325251175
2026-03-06 21:14:24.326455,1772831664325251175
2026-03-06 21:14:24.326656,1772831664325251175
2026-03-06 21:14:24.326741,1772831664326684511
2026-03-06 21:14:24.435673,1772831664434381344
2026-03-06 21:14:24.436087,1772831664434381344
2026-03-06 21:14:24.436374,1772831664436358588
2026-03-06 21:14:24.436383,1772831664434381344
2026-03-06 21:14:24.436681,1772831664434381344
2026-03-06 21:14:24.436911,1772831664434381344
2026-03-06 21:14:24.437134,1772831664434381344
2026-03-06 21:14:24.43735,1772831664434381344
2026-03-06 21:14:24.543864,1772831664543325569
2026-03-06 21:14:24.543996,1772831664543325569
2026-03-06 21:14:24.544206,1772831664543325569
2026-03-06 21:14:24.544448,1772831664543325569
2026-03-06 21:14:24.544536,1772831664544516381
