time,PT.GSE_Low.status
2026-03-06 21:14:18.315449,0
2026-03-06 21:14:18.315601,0
2026-03-06 21:14:18.315616,0
2026-03-06 21:14:18.31563,0
2026-03-06 21:14:18.315645,0
2026-03-06 21:14:18.315659,0
2026-03-06 21:14:18.315673,0
2026-03-06 21:14:18.315687,0
2026-03-06 21:14:18.315701,0
2026-03-06 21:14:18.316661,0
2026-03-06 21:14:18.316675,0
2026-03-06 21:14:18.316683,0
2026-03-06 21:14:18.316691,0
2026-03-06 21:14:18.316699,0
2026-03-06 21:14:18.316707,0
2026-03-06 21:14:18.316715,0
2026-03-06 21:14:18.316722,0
2026-03-06 21:14:18.31673,0
2026-03-06 21:14:18.317097,0
2026-03-06 21:14:18.317106,0
2026-03-06 21:14:18.317114,0
2026-03-06 21:14:18.317122,0
2026-03-06 21:14:18.31713,0
2026-03-06 21:14:18.317138,0
2026-03-06 21:14:18.317146,0
2026-03-06 21:14:18.317153,0
2026-03-06 21:14:18.317165,0
2026-03-06 21:14:18.318468,0
2026-03-06 21:14:18.318488,0
2026-03-06 21:14:18.318496,0
2026-03-06 21:14:18.318504,0
2026-03-06 21:14:18.318512,0
2026-03-06 21:14:18.31852,0
2026-03-06 21:14:18.318527,0
2026-03-06 21:14:18.318535,0
2026-03-06 21:14:18.318543,0
2026-03-06 21:14:18.319515,0
2026-03-06 21:14:18.319526,0
2026-03-06 21:14:18.319534,0
2026-03-06 21:14:18.319542,0
2026-03-06 21:14:18.319549,0
2026-03-06 21:14:18.319557,0
2026-03-06 21:14:18.319565,0
2026-03-06 21:14:18.319573,0
2026-03-06 21:14:18.319581,0
2026-03-06 21:14:18.329412,0
2026-03-06 21:14:18.329436,0
2026-03-06 21:14:18.329445,0
2026-03-06 21:14:18.329453,0
2026-03-06 21:14:18.329461,0
2026-03-06 21:14:18.329468,0
2026-03-06 21:14:18.329476,0
2026-03-06 21:14:18.329484,0
2026-03-06 21:14:18.329491,0
2026-03-06 21:14:18.438156,0
2026-03-06 21:14:18.438199,0
2026-03-06 21:14:18.438207,0
2026-03-06 21:14:18.438215,0
2026-03-06 21:14:18.438223,0
2026-03-06 21:14:18.438231,0
2026-03-06 21:14:18.438239,0
2026-03-06 21:14:18.438246,0
2026-03-06 21:14:18.438254,0
2026-03-06 21:14:18.547364,0
2026-03-06 21:14:18.547398,0
2026-03-06 21:14:18.547406,0
2026-03-06 21:14:18.547414,0
2026-03-06 21:14:18.547422,0
2026-03-06 21:14:18.547429,0
2026-03-06 21:14:18.547437,0
2026-03-06 21:14:18.547445,0
2026-03-06 21:14:18.547453,0
2026-03-06 21:14:18.656324,0
2026-03-06 21:14:18.656358,0
2026-03-06 21:14:18.656367,0
2026-03-06 21:14:18.656375,0
2026-03-06 21:14:18.656382,0
2026-03-06 21:14:18.65639,0
2026-03-06 21:14:18.656398,0
2026-03-06 21:14:18.656406,0
2026-03-06 21:14:18.656413,0
2026-03-06 21:14:18.765458,0
2026-03-06 21:14:18.765494,0
2026-03-06 21:14:18.765502,0
2026-03-06 21:14:18.76551,0
2026-03-06 21:14:18.765518,0
2026-03-06 21:14:18.765526,0
2026-03-06 21:14:18.765534,0
2026-03-06 21:14:18.765542,0
2026-03-06 21:14:18.76555,0
2026-03-06 21:14:18.874584,0
2026-03-06 21:14:18.874623,0
2026-03-06 21:14:18.874632,0
2026-03-06 21:14:18.874642,0
2026-03-06 21:14:18.874652,0
2026-03-06 21:14:18.874661,0
2026-03-06 21:14:18.874668,0
2026-03-06 21:14:18.874676,0
2026-03-06 21:14:18.874684,0
2026-03-06 21:14:18.982993,0
2026-03-06 21:14:18.983056,0
2026-03-06 21:14:18.983064,0
2026-03-06 21:14:18.983072,0
2026-03-06 21:14:18.98308,0
2026-03-06 21:14:18.983088,0
2026-03-06 21:14:18.983096,0
2026-03-06 21:14:18.983103,0
2026-03-06 21:14:18.983111,0
2026-03-06 21:14:19.092223,0
2026-03-06 21:14:19.0923,0
2026-03-06 21:14:19.092322,0
2026-03-06 21:14:19.09233,0
2026-03-06 21:14:19.092343,0
2026-03-06 21:14:19.092356,0
2026-03-06 21:14:19.092369,0
2026-03-06 21:14:19.092381,0
2026-03-06 21:14:19.092392,0
2026-03-06 21:14:19.202198,0
2026-03-06 21:14:19.202241,0
