time,PT_Cal.GN2_Regulated.raw_adc
2026-03-06 21:14:19.09273,329959434
2026-03-06 21:14:19.092817,329816495
2026-03-06 21:14:19.093236,329959434
2026-03-06 21:14:19.202987,329838071
2026-03-06 21:14:19.203411,329838071
2026-03-06 21:14:19.312094,329232605
2026-03-06 21:14:19.312156,327354176
2026-03-06 21:14:19.312221,329232605
2026-03-06 21:14:19.421023,329962805
2026-03-06 21:14:19.421156,329962805
2026-03-06 21:14:19.421513,329703224
2026-03-06 21:14:19.529606,330341053
2026-03-06 21:14:19.529691,330368697
2026-03-06 21:14:19.529765,329754465
2026-03-06 21:14:19.529851,329828632
2026-03-06 21:14:19.530008,330341053
2026-03-06 21:14:19.639594,329935835
2026-03-06 21:14:19.640009,329799640
2026-03-06 21:14:19.640423,329745026
2026-03-06 21:14:19.641222,329779412
2026-03-06 21:14:19.642907,329935835
2026-03-06 21:14:19.748075,330492757
2026-03-06 21:14:19.748345,329793571
2026-03-06 21:14:19.748628,329904146
2026-03-06 21:14:19.748763,330492757
2026-03-06 21:14:19.749022,329869761
2026-03-06 21:14:19.85743,329887964
2026-03-06 21:14:19.857673,329774018
2026-03-06 21:14:19.857937,329867063
2026-03-06 21:14:19.85817,329887964
2026-03-06 21:14:19.858245,329657375
2026-03-06 21:14:19.966121,329920328
2026-03-06 21:14:19.966503,330140804
2026-03-06 21:14:19.966895,329824585
2026-03-06 21:14:19.96722,330440841
2026-03-06 21:14:19.967743,329749071
2026-03-06 21:14:19.968119,329920328
2026-03-06 21:14:20.074852,329903471
2026-03-06 21:14:20.074892,329690412
2026-03-06 21:14:20.074971,329885941
2026-03-06 21:14:20.07505,330016744
2026-03-06 21:14:20.075131,329955388
2026-03-06 21:14:20.075215,330477923
2026-03-06 21:14:20.07529,329921676
2026-03-06 21:14:20.075375,330068660
2026-03-06 21:14:20.075793,329903471
2026-03-06 21:14:20.183614,329842790
2026-03-06 21:14:20.183657,329288566
2026-03-06 21:14:20.183758,329832677
2026-03-06 21:14:20.183836,329177991
2026-03-06 21:14:20.183916,329744351
2026-03-06 21:14:20.183931,329842790
2026-03-06 21:14:20.292678,329748398
2026-03-06 21:14:20.29276,329910215
2026-03-06 21:14:20.292842,330399037
2026-03-06 21:14:20.292929,329647935
2026-03-06 21:14:20.293022,329865041
2026-03-06 21:14:20.29335,329748398
2026-03-06 21:14:20.401336,329827283
2026-03-06 21:14:20.401442,329631080
2026-03-06 21:14:20.40223,329827283
2026-03-06 21:14:20.510692,329772670
2026-03-06 21:14:20.510765,329812450
2026-03-06 21:14:20.510889,329937858
2026-03-06 21:14:20.51098,329918980
2026-03-06 21:14:20.511082,329781435
2026-03-06 21:14:20.511174,329772670
2026-03-06 21:14:20.619504,329835374
2026-03-06 21:14:20.619542,329886616
2026-03-06 21:14:20.619606,329604110
2026-03-06 21:14:20.619768,329835374
2026-03-06 21:14:20.619915,329925048
2026-03-06 21:14:20.619965,329786828
2026-03-06 21:14:20.620002,329900101
2026-03-06 21:14:20.728582,329995842
2026-03-06 21:14:20.72868,329819867
2026-03-06 21:14:20.728764,329834700
2026-03-06 21:14:20.728861,329830654
2026-03-06 21:14:20.729896,329995842
2026-03-06 21:14:20.837803,330320826
2026-03-06 21:14:20.83785,329774693
2026-03-06 21:14:20.837891,329716707
2026-03-06 21:14:20.837935,330382182
2026-03-06 21:14:20.83801,329983032
2026-03-06 21:14:20.838089,330491408
2026-03-06 21:14:20.838129,330320826
2026-03-06 21:14:20.838185,330471855
2026-03-06 21:14:20.838272,329759859
2026-03-06 21:14:20.838361,329882571
2026-03-06 21:14:20.946835,329697829
2026-03-06 21:14:20.946992,330331613
2026-03-06 21:14:20.94708,329848184
