time,ACT.GN2_Vent.channel_id
2026-03-06 21:14:18.309507,6
2026-03-06 21:14:18.309534,6
2026-03-06 21:14:18.309702,6
2026-03-06 21:14:18.309704,6
2026-03-06 21:14:18.310536,6
2026-03-06 21:14:18.310539,6
2026-03-06 21:14:18.310598,6
2026-03-06 21:14:18.3106,6
2026-03-06 21:14:18.310647,6
2026-03-06 21:14:18.310649,6
2026-03-06 21:14:18.311411,6
2026-03-06 21:14:18.311413,6
2026-03-06 21:14:18.312089,6
2026-03-06 21:14:18.312091,6
2026-03-06 21:14:18.312151,6
2026-03-06 21:14:18.312154,6
2026-03-06 21:14:18.312208,6
2026-03-06 21:14:18.31221,6
2026-03-06 21:14:18.312254,6
2026-03-06 21:14:18.312256,6
2026-03-06 21:14:18.312302,6
2026-03-06 21:14:18.312304,6
2026-03-06 21:14:18.31296,6
2026-03-06 21:14:18.312963,6
2026-03-06 21:14:18.313024,6
2026-03-06 21:14:18.313026,6
2026-03-06 21:14:18.313074,6
2026-03-06 21:14:18.313076,6
2026-03-06 21:14:18.313122,6
2026-03-06 21:14:18.313124,6
2026-03-06 21:14:18.31382,6
2026-03-06 21:14:18.313822,6
2026-03-06 21:14:18.313886,6
2026-03-06 21:14:18.313888,6
2026-03-06 21:14:18.314524,6
2026-03-06 21:14:18.314526,6
2026-03-06 21:14:18.314588,6
2026-03-06 21:14:18.31459,6
2026-03-06 21:14:18.316444,6
2026-03-06 21:14:18.316446,6
2026-03-06 21:14:18.316634,6
2026-03-06 21:14:18.316635,6
2026-03-06 21:14:18.316819,6
2026-03-06 21:14:18.31682,6
2026-03-06 21:14:18.316966,6
2026-03-06 21:14:18.316967,6
2026-03-06 21:14:18.317181,6
2026-03-06 21:14:18.317182,6
2026-03-06 21:14:18.317238,6
2026-03-06 21:14:18.31724,6
2026-03-06 21:14:18.318438,6
2026-03-06 21:14:18.31844,6
2026-03-06 21:14:18.319254,6
2026-03-06 21:14:18.319256,6
2026-03-06 21:14:18.319463,6
2026-03-06 21:14:18.319464,6
2026-03-06 21:14:18.319645,6
2026-03-06 21:14:18.319646,6
2026-03-06 21:14:18.31974,6
2026-03-06 21:14:18.319742,6
2026-03-06 21:14:18.360182,6
2026-03-06 21:14:18.360187,6
2026-03-06 21:14:18.415501,6
2026-03-06 21:14:18.415506,6
2026-03-06 21:14:18.462207,6
2026-03-06 21:14:18.462212,6
2026-03-06 21:14:18.517428,6
2026-03-06 21:14:18.517433,6
2026-03-06 21:14:18.56455,6
2026-03-06 21:14:18.564554,6
2026-03-06 21:14:18.619185,6
2026-03-06 21:14:18.619189,6
2026-03-06 21:14:18.665955,6
2026-03-06 21:14:18.665959,6
