time,PT_Cal.Fuel_Fill_Press.timestamp_ns
2026-03-06 21:14:19.092668,1772831659092082184
2026-03-06 21:14:19.09281,1772831659092082184
2026-03-06 21:14:19.092851,1772831659092082184
2026-03-06 21:14:19.093123,1772831659093114263
2026-03-06 21:14:19.202927,1772831659202114274
2026-03-06 21:14:19.203204,1772831659203185141
2026-03-06 21:14:19.312064,1772831659311069201
2026-03-06 21:14:19.312143,1772831659311069201
2026-03-06 21:14:19.312196,1772831659311069201
2026-03-06 21:14:19.312206,1772831659312103442
2026-03-06 21:14:19.420893,1772831659420101380
2026-03-06 21:14:19.421087,1772831659421070217
2026-03-06 21:14:19.421378,1772831659420101380
2026-03-06 21:14:19.529585,1772831659528952926
2026-03-06 21:14:19.529666,1772831659528952926
2026-03-06 21:14:19.529743,1772831659528952926
2026-03-06 21:14:19.52984,1772831659528952926
2026-03-06 21:14:19.529951,1772831659529939853
2026-03-06 21:14:19.639485,1772831659638296889
2026-03-06 21:14:19.6399,1772831659638296889
2026-03-06 21:14:19.640328,1772831659638296889
2026-03-06 21:14:19.641097,1772831659638296889
2026-03-06 21:14:19.64265,1772831659642601785
2026-03-06 21:14:19.748,1772831659747021027
2026-03-06 21:14:19.748264,1772831659747021027
2026-03-06 21:14:19.748555,1772831659747021027
2026-03-06 21:14:19.748667,1772831659748573562
2026-03-06 21:14:19.748884,1772831659747021027
2026-03-06 21:14:19.857352,1772831659856300848
2026-03-06 21:14:19.857593,1772831659856300848
2026-03-06 21:14:19.857851,1772831659856300848
2026-03-06 21:14:19.857998,1772831659857976855
2026-03-06 21:14:19.858169,1772831659856300848
2026-03-06 21:14:19.966001,1772831659964943932
2026-03-06 21:14:19.966413,1772831659964943932
2026-03-06 21:14:19.966721,1772831659964943932
2026-03-06 21:14:19.967085,1772831659964943932
2026-03-06 21:14:19.967352,1772831659966820011
2026-03-06 21:14:19.967593,1772831659964943932
2026-03-06 21:14:20.074838,1772831660074229210
2026-03-06 21:14:20.074883,1772831660074229210
2026-03-06 21:14:20.074949,1772831660074229210
2026-03-06 21:14:20.075028,1772831660074229210
2026-03-06 21:14:20.075104,1772831660074229210
2026-03-06 21:14:20.075194,1772831660074229210
2026-03-06 21:14:20.075268,1772831660074229210
2026-03-06 21:14:20.075349,1772831660074229210
2026-03-06 21:14:20.075652,1772831660075624946
2026-03-06 21:14:20.18359,1772831660183138135
2026-03-06 21:14:20.183651,1772831660183138135
2026-03-06 21:14:20.183738,1772831660183138135
2026-03-06 21:14:20.183816,1772831660183138135
2026-03-06 21:14:20.183876,1772831660183864499
2026-03-06 21:14:20.183894,1772831660183138135
2026-03-06 21:14:20.292651,1772831660291965547
2026-03-06 21:14:20.292738,1772831660291965547
2026-03-06 21:14:20.292824,1772831660291965547
2026-03-06 21:14:20.292906,1772831660291965547
2026-03-06 21:14:20.292989,1772831660291965547
2026-03-06 21:14:20.29328,1772831660293268630
2026-03-06 21:14:20.401307,1772831660400907140
2026-03-06 21:14:20.401392,1772831660400907140
2026-03-06 21:14:20.401587,1772831660400907140
2026-03-06 21:14:20.40194,1772831660401903769
2026-03-06 21:14:20.51067,1772831660510416568
2026-03-06 21:14:20.510741,1772831660510416568
2026-03-06 21:14:20.51085,1772831660510416568
2026-03-06 21:14:20.510952,1772831660510416568
2026-03-06 21:14:20.511032,1772831660511016544
2026-03-06 21:14:20.511057,1772831660510416568
2026-03-06 21:14:20.619481,1772831660619086015
2026-03-06 21:14:20.619537,1772831660619086015
2026-03-06 21:14:20.619588,1772831660619086015
2026-03-06 21:14:20.619691,1772831660619678207
2026-03-06 21:14:20.6199,1772831660619086015
2026-03-06 21:14:20.619953,1772831660619086015
2026-03-06 21:14:20.619993,1772831660619086015
2026-03-06 21:14:20.728559,1772831660728201620
2026-03-06 21:14:20.728653,1772831660728201620
2026-03-06 21:14:20.72874,1772831660728201620
2026-03-06 21:14:20.728833,1772831660728201620
2026-03-06 21:14:20.729749,1772831660729702488
2026-03-06 21:14:20.837778,1772831660836906695
2026-03-06 21:14:20.83784,1772831660836906695
2026-03-06 21:14:20.837881,1772831660836906695
