time,PT.GSE_High.status
2026-03-06 21:14:18.316065,0
2026-03-06 21:14:18.316156,0
2026-03-06 21:14:18.316177,0
2026-03-06 21:14:18.316193,0
2026-03-06 21:14:18.316207,0
2026-03-06 21:14:18.316221,0
2026-03-06 21:14:18.316235,0
2026-03-06 21:14:18.316251,0
2026-03-06 21:14:18.316266,0
2026-03-06 21:14:18.316744,0
2026-03-06 21:14:18.316753,0
2026-03-06 21:14:18.31676,0
2026-03-06 21:14:18.316767,0
2026-03-06 21:14:18.316774,0
2026-03-06 21:14:18.316781,0
2026-03-06 21:14:18.316788,0
2026-03-06 21:14:18.316794,0
2026-03-06 21:14:18.316802,0
2026-03-06 21:14:18.31703,0
2026-03-06 21:14:18.317037,0
2026-03-06 21:14:18.317046,0
2026-03-06 21:14:18.317053,0
2026-03-06 21:14:18.31706,0
2026-03-06 21:14:18.317067,0
2026-03-06 21:14:18.317073,0
2026-03-06 21:14:18.31708,0
2026-03-06 21:14:18.317087,0
2026-03-06 21:14:18.31827,0
2026-03-06 21:14:18.318306,0
2026-03-06 21:14:18.318315,0
2026-03-06 21:14:18.318323,0
2026-03-06 21:14:18.318331,0
2026-03-06 21:14:18.318338,0
2026-03-06 21:14:18.318347,0
2026-03-06 21:14:18.318354,0
2026-03-06 21:14:18.318361,0
2026-03-06 21:14:18.319293,0
2026-03-06 21:14:18.319302,0
2026-03-06 21:14:18.31931,0
2026-03-06 21:14:18.319317,0
2026-03-06 21:14:18.319323,0
2026-03-06 21:14:18.319332,0
2026-03-06 21:14:18.319339,0
2026-03-06 21:14:18.319346,0
2026-03-06 21:14:18.319352,0
2026-03-06 21:14:18.319664,0
2026-03-06 21:14:18.319672,0
2026-03-06 21:14:18.319679,0
2026-03-06 21:14:18.319687,0
2026-03-06 21:14:18.319694,0
2026-03-06 21:14:18.319701,0
2026-03-06 21:14:18.319708,0
2026-03-06 21:14:18.319715,0
2026-03-06 21:14:18.319723,0
2026-03-06 21:14:18.396602,0
2026-03-06 21:14:18.396709,0
2026-03-06 21:14:18.396724,0
2026-03-06 21:14:18.396741,0
2026-03-06 21:14:18.396756,0
2026-03-06 21:14:18.39677,0
2026-03-06 21:14:18.396783,0
2026-03-06 21:14:18.396797,0
2026-03-06 21:14:18.39681,0
2026-03-06 21:14:18.496294,0
2026-03-06 21:14:18.496349,0
2026-03-06 21:14:18.496357,0
2026-03-06 21:14:18.496364,0
2026-03-06 21:14:18.49637,0
2026-03-06 21:14:18.496377,0
2026-03-06 21:14:18.496384,0
2026-03-06 21:14:18.496391,0
2026-03-06 21:14:18.496398,0
2026-03-06 21:14:18.597117,0
2026-03-06 21:14:18.5972,0
2026-03-06 21:14:18.597212,0
2026-03-06 21:14:18.597221,0
2026-03-06 21:14:18.597229,0
2026-03-06 21:14:18.597238,0
2026-03-06 21:14:18.597247,0
2026-03-06 21:14:18.597255,0
2026-03-06 21:14:18.597263,0
2026-03-06 21:14:18.697389,0
2026-03-06 21:14:18.697441,0
2026-03-06 21:14:18.697448,0
2026-03-06 21:14:18.697454,0
2026-03-06 21:14:18.697461,0
2026-03-06 21:14:18.697468,0
2026-03-06 21:14:18.697474,0
2026-03-06 21:14:18.69748,0
2026-03-06 21:14:18.697486,0
2026-03-06 21:14:18.797283,0
2026-03-06 21:14:18.797347,0
2026-03-06 21:14:18.797355,0
2026-03-06 21:14:18.797362,0
2026-03-06 21:14:18.797369,0
2026-03-06 21:14:18.797376,0
2026-03-06 21:14:18.797383,0
2026-03-06 21:14:18.79739,0
2026-03-06 21:14:18.797397,0
2026-03-06 21:14:18.901202,0
