time,BOARD.HB_31.timestamp_ns
2026-03-06 21:14:18.312334,4398795067342
2026-03-06 21:14:18.347514,4398830235332
2026-03-06 21:14:19.356371,4399839163385
2026-03-06 21:14:20.367615,4400849955014
2026-03-06 21:14:21.376433,4401859210086
2026-03-06 21:14:22.385476,4402868229294
2026-03-06 21:14:23.394922,4403877714097
2026-03-06 21:14:24.403748,4404886453521
2026-03-06 21:14:25.411037,4405893769648
2026-03-06 21:14:26.416038,4406898747784
2026-03-06 21:14:27.424912,4407907666113
2026-03-06 21:14:28.433989,4408916687558
2026-03-06 21:14:29.444536,4409926750806
2026-03-06 21:14:30.453078,4410935856293
2026-03-06 21:14:31.461755,4411944563016
2026-03-06 21:14:32.471072,4412953836708
2026-03-06 21:14:33.479925,4413962707926
2026-03-06 21:14:34.488656,4414971416523
2026-03-06 21:14:35.498958,4415981743939
2026-03-06 21:14:36.507892,4416990633431
2026-03-06 21:14:37.517099,4417999825331
2026-03-06 21:14:38.52891,4419010575977
2026-03-06 21:14:39.537367,4420020057533
2026-03-06 21:14:40.542098,4421024826151
2026-03-06 21:14:41.551379,4422034120426
2026-03-06 21:14:42.560288,4423042946580
2026-03-06 21:14:43.569227,4424051957079
2026-03-06 21:14:44.578474,4425061224012
2026-03-06 21:14:45.587037,4426069834015
2026-03-06 21:14:46.595979,4427078724036
2026-03-06 21:14:47.607306,4428088627573
2026-03-06 21:14:48.615067,4429097754442
2026-03-06 21:14:49.624149,4430106831432
2026-03-06 21:14:50.63313,4431115812147
2026-03-06 21:14:51.642469,4432125241098
2026-03-06 21:14:52.651494,4433134149256
2026-03-06 21:14:53.660306,4434143068625
2026-03-06 21:14:54.669774,4435152414462
2026-03-06 21:14:55.6746,4436157358403
2026-03-06 21:14:56.685978,4437167071625
2026-03-06 21:14:57.693261,4438176010664
2026-03-06 21:14:58.702604,4439185361975
2026-03-06 21:14:59.711422,4440194191439
2026-03-06 21:15:00.720384,4441203140408
2026-03-06 21:15:01.729473,4442212240006
2026-03-06 21:15:02.738593,4443221360720
2026-03-06 21:15:03.747763,4444230441117
2026-03-06 21:15:04.757525,4445240263096
2026-03-06 21:15:05.767819,4446250202934
2026-03-06 21:15:06.776536,4447259267089
2026-03-06 21:15:07.786735,4448269519194
2026-03-06 21:15:08.7962,4449278801786
2026-03-06 21:15:09.800575,4450283331218
2026-03-06 21:15:10.809891,4451292658097
2026-03-06 21:15:11.818609,4452301398002
2026-03-06 21:15:12.827722,4453310404513
2026-03-06 21:15:13.836785,4454319436238
2026-03-06 21:15:14.847139,4455329040722
2026-03-06 21:15:15.855571,4456338330794
2026-03-06 21:15:16.865425,4457347633820
2026-03-06 21:15:17.873995,4458356649568
2026-03-06 21:15:18.883944,4459366731413
2026-03-06 21:15:19.892595,4460375377161
2026-03-06 21:15:20.902416,4461384965190
2026-03-06 21:15:21.911341,4462393809857
2026-03-06 21:15:22.921212,4463403773387
2026-03-06 21:15:23.92847,4464411179378
2026-03-06 21:15:24.93411,4465416872138
2026-03-06 21:15:25.942733,4466425530201
2026-03-06 21:15:26.952029,4467434780687
2026-03-06 21:15:27.961024,4468443742746
2026-03-06 21:15:28.970306,4469452960187
2026-03-06 21:15:29.97945,4470462173969
2026-03-06 21:15:30.988128,4471470900515
2026-03-06 21:15:31.997119,4472479736421
2026-03-06 21:15:33.008824,4473490190553
2026-03-06 21:15:34.017395,4474500132918
2026-03-06 21:15:35.026267,4475508983785
2026-03-06 21:15:36.036374,4476519138312
2026-03-06 21:15:37.046398,4477529083917
2026-03-06 21:15:38.055314,4478538042714
2026-03-06 21:15:39.060316,4479543088652
2026-03-06 21:15:40.069596,4480552350548
2026-03-06 21:15:41.078024,4481560792864
2026-03-06 21:15:42.089123,4482570830761
2026-03-06 21:15:43.097693,4483580448034
2026-03-06 21:15:44.106554,4484589331471
2026-03-06 21:15:45.115749,4485598452404
2026-03-06 21:15:46.12451,4486607299209
2026-03-06 21:15:47.133704,4487616446541
2026-03-06 21:15:48.14239,4488625128080
2026-03-06 21:15:49.151442,4489634209475
2026-03-06 21:15:50.16051,4490643287348
2026-03-06 21:15:51.170517,4491653223428
2026-03-06 21:15:52.180521,4492663289870
2026-03-06 21:15:53.185434,4493668214825
