time,RTD.CH1.sample_ts_ms
2026-03-06 21:14:18.315725,10878039
2026-03-06 21:14:18.315827,10878054
2026-03-06 21:14:18.315837,10878069
2026-03-06 21:14:18.315845,10878084
2026-03-06 21:14:18.315854,10878099
2026-03-06 21:14:18.315863,10878114
2026-03-06 21:14:18.315871,10878129
2026-03-06 21:14:18.31588,10879126
2026-03-06 21:14:18.315888,10879141
2026-03-06 21:14:18.316867,10879160
2026-03-06 21:14:18.316875,10879175
2026-03-06 21:14:18.31688,10879190
2026-03-06 21:14:18.316884,10879205
2026-03-06 21:14:18.316889,10879220
2026-03-06 21:14:18.316894,10879235
2026-03-06 21:14:18.316898,10879250
2026-03-06 21:14:18.316903,10879265
2026-03-06 21:14:18.316907,10879280
2026-03-06 21:14:18.317431,10879295
2026-03-06 21:14:18.31744,10879310
2026-03-06 21:14:18.317444,10879325
2026-03-06 21:14:18.317449,10879340
2026-03-06 21:14:18.317453,10879355
2026-03-06 21:14:18.317458,10879370
2026-03-06 21:14:18.317462,10879385
2026-03-06 21:14:18.317466,10879400
2026-03-06 21:14:18.317471,10879415
2026-03-06 21:14:18.319361,10879430
2026-03-06 21:14:18.319372,10879445
2026-03-06 21:14:18.319376,10879460
2026-03-06 21:14:18.319381,10879475
2026-03-06 21:14:18.319386,10879490
2026-03-06 21:14:18.31939,10879505
2026-03-06 21:14:18.319394,10879520
2026-03-06 21:14:18.319399,10879535
2026-03-06 21:14:18.319403,10879550
2026-03-06 21:14:18.332773,10879565
2026-03-06 21:14:18.3328,10879580
2026-03-06 21:14:18.332805,10879595
2026-03-06 21:14:18.33281,10879610
2026-03-06 21:14:18.332814,10879625
2026-03-06 21:14:18.332819,10879640
2026-03-06 21:14:18.332823,10879655
2026-03-06 21:14:18.332827,10879670
2026-03-06 21:14:18.332832,10879685
2026-03-06 21:14:18.467969,10879700
2026-03-06 21:14:18.467992,10879715
2026-03-06 21:14:18.467997,10879730
2026-03-06 21:14:18.468001,10879745
2026-03-06 21:14:18.468006,10879760
2026-03-06 21:14:18.46801,10879775
2026-03-06 21:14:18.468014,10879790
2026-03-06 21:14:18.468019,10879805
2026-03-06 21:14:18.468023,10879820
2026-03-06 21:14:18.603015,10879835
2026-03-06 21:14:18.603048,10879850
2026-03-06 21:14:18.603055,10879865
2026-03-06 21:14:18.603061,10879880
2026-03-06 21:14:18.603067,10879895
2026-03-06 21:14:18.603073,10879910
2026-03-06 21:14:18.603079,10879925
2026-03-06 21:14:18.603085,10879940
2026-03-06 21:14:18.603091,10879955
2026-03-06 21:14:18.737733,10879970
2026-03-06 21:14:18.737777,10879985
2026-03-06 21:14:18.73779,10880000
2026-03-06 21:14:18.737795,10880015
2026-03-06 21:14:18.737799,10880030
2026-03-06 21:14:18.737803,10880045
2026-03-06 21:14:18.737808,10880060
2026-03-06 21:14:18.737812,10880075
2026-03-06 21:14:18.737817,10880090
2026-03-06 21:14:18.872708,10880105
2026-03-06 21:14:18.872734,10880120
2026-03-06 21:14:18.872739,10880135
2026-03-06 21:14:18.872745,10880150
2026-03-06 21:14:18.872751,10880165
2026-03-06 21:14:18.872757,10880180
2026-03-06 21:14:18.872762,10880195
2026-03-06 21:14:18.872768,10880210
2026-03-06 21:14:18.872774,10880225
2026-03-06 21:14:19.012078,10880244
2026-03-06 21:14:19.012095,10880259
2026-03-06 21:14:19.0121,10880274
2026-03-06 21:14:19.012104,10880289
2026-03-06 21:14:19.012109,10880304
2026-03-06 21:14:19.012113,10880319
2026-03-06 21:14:19.012118,10880334
2026-03-06 21:14:19.012122,10880349
2026-03-06 21:14:19.012127,10880364
2026-03-06 21:14:19.146848,10880379
2026-03-06 21:14:19.146902,10880394
2026-03-06 21:14:19.146911,10880409
2026-03-06 21:14:19.146918,10880424
2026-03-06 21:14:19.146951,10880439
2026-03-06 21:14:19.146963,10880454
2026-03-06 21:14:19.146976,10880469
2026-03-06 21:14:19.146988,10880484
2026-03-06 21:14:19.146996,10880499
2026-03-06 21:14:19.28208,10880514
2026-03-06 21:14:19.282124,10880529
2026-03-06 21:14:19.28213,10880544
2026-03-06 21:14:19.282135,10880559
2026-03-06 21:14:19.282139,10880574
2026-03-06 21:14:19.282144,10880589
2026-03-06 21:14:19.282148,10880604
2026-03-06 21:14:19.282152,10880619
2026-03-06 21:14:19.282156,10880634
2026-03-06 21:14:19.417795,10880649
2026-03-06 21:14:19.41792,10880664
2026-03-06 21:14:19.417961,10880679
2026-03-06 21:14:19.417982,10880694
2026-03-06 21:14:19.418002,10880709
2026-03-06 21:14:19.418021,10880725
2026-03-06 21:14:19.418045,10880740
2026-03-06 21:14:19.418064,10880755
2026-03-06 21:14:19.418083,10880770
2026-03-06 21:14:19.553213,10880785
2026-03-06 21:14:19.553312,10880800
2026-03-06 21:14:19.553345,10880815
2026-03-06 21:14:19.553386,10880830
2026-03-06 21:14:19.553411,10880845
2026-03-06 21:14:19.553458,10880860
2026-03-06 21:14:19.55348,10880875
2026-03-06 21:14:19.553523,10880890
2026-03-06 21:14:19.553558,10880905
2026-03-06 21:14:19.687957,10880920
2026-03-06 21:14:19.688078,10880935
