time,ACT.GSE_High_Press_Control.channel_id
2026-03-06 21:14:18.309408,3
2026-03-06 21:14:18.309435,3
2026-03-06 21:14:18.309692,3
2026-03-06 21:14:18.309694,3
2026-03-06 21:14:18.310526,3
2026-03-06 21:14:18.310528,3
2026-03-06 21:14:18.310588,3
2026-03-06 21:14:18.31059,3
2026-03-06 21:14:18.310637,3
2026-03-06 21:14:18.310639,3
2026-03-06 21:14:18.311401,3
2026-03-06 21:14:18.311403,3
2026-03-06 21:14:18.312079,3
2026-03-06 21:14:18.312081,3
2026-03-06 21:14:18.312141,3
2026-03-06 21:14:18.312144,3
2026-03-06 21:14:18.312198,3
2026-03-06 21:14:18.3122,3
2026-03-06 21:14:18.312244,3
2026-03-06 21:14:18.312246,3
2026-03-06 21:14:18.312292,3
2026-03-06 21:14:18.312294,3
2026-03-06 21:14:18.31295,3
2026-03-06 21:14:18.312953,3
2026-03-06 21:14:18.313015,3
2026-03-06 21:14:18.313017,3
2026-03-06 21:14:18.313064,3
2026-03-06 21:14:18.313066,3
2026-03-06 21:14:18.313112,3
2026-03-06 21:14:18.313114,3
2026-03-06 21:14:18.31381,3
2026-03-06 21:14:18.313812,3
2026-03-06 21:14:18.313876,3
2026-03-06 21:14:18.313879,3
2026-03-06 21:14:18.314514,3
2026-03-06 21:14:18.314516,3
2026-03-06 21:14:18.314578,3
2026-03-06 21:14:18.31458,3
2026-03-06 21:14:18.316435,3
2026-03-06 21:14:18.316437,3
2026-03-06 21:14:18.316628,3
2026-03-06 21:14:18.316629,3
2026-03-06 21:14:18.316813,3
2026-03-06 21:14:18.316814,3
2026-03-06 21:14:18.31696,3
2026-03-06 21:14:18.316961,3
2026-03-06 21:14:18.317175,3
2026-03-06 21:14:18.317177,3
2026-03-06 21:14:18.317233,3
2026-03-06 21:14:18.317234,3
2026-03-06 21:14:18.318426,3
2026-03-06 21:14:18.318428,3
2026-03-06 21:14:18.319245,3
2026-03-06 21:14:18.319247,3
2026-03-06 21:14:18.319457,3
2026-03-06 21:14:18.319459,3
2026-03-06 21:14:18.319639,3
2026-03-06 21:14:18.31964,3
2026-03-06 21:14:18.319735,3
2026-03-06 21:14:18.319736,3
2026-03-06 21:14:18.360156,3
2026-03-06 21:14:18.360167,3
2026-03-06 21:14:18.41548,3
2026-03-06 21:14:18.415485,3
2026-03-06 21:14:18.462187,3
2026-03-06 21:14:18.462192,3
2026-03-06 21:14:18.517409,3
2026-03-06 21:14:18.517413,3
2026-03-06 21:14:18.564529,3
2026-03-06 21:14:18.564539,3
2026-03-06 21:14:18.619168,3
2026-03-06 21:14:18.619173,3
2026-03-06 21:14:18.66594,3
2026-03-06 21:14:18.665943,3
2026-03-06 21:14:18.72123,3
2026-03-06 21:14:18.721236,3
2026-03-06 21:14:18.768294,3
2026-03-06 21:14:18.768297,3
2026-03-06 21:14:18.823547,3
2026-03-06 21:14:18.823558,3
2026-03-06 21:14:18.870309,3
2026-03-06 21:14:18.870316,3
2026-03-06 21:14:18.925363,3
2026-03-06 21:14:18.925369,3
2026-03-06 21:14:18.972179,3
2026-03-06 21:14:18.972185,3
2026-03-06 21:14:19.027628,3
2026-03-06 21:14:19.027633,3
2026-03-06 21:14:19.074154,3
2026-03-06 21:14:19.074162,3
2026-03-06 21:14:19.129191,3
2026-03-06 21:14:19.129213,3
2026-03-06 21:14:19.17645,3
2026-03-06 21:14:19.17646,3
2026-03-06 21:14:19.231421,3
2026-03-06 21:14:19.231434,3
2026-03-06 21:14:19.278311,3
2026-03-06 21:14:19.278319,3
2026-03-06 21:14:19.333756,3
2026-03-06 21:14:19.333764,3
2026-03-06 21:14:19.380061,3
2026-03-06 21:14:19.380068,3
2026-03-06 21:14:19.435149,3
2026-03-06 21:14:19.435191,3
2026-03-06 21:14:19.482106,3
2026-03-06 21:14:19.482121,3
2026-03-06 21:14:19.5373,3
2026-03-06 21:14:19.53731,3
2026-03-06 21:14:19.584634,3
2026-03-06 21:14:19.584655,3
2026-03-06 21:14:19.639713,3
2026-03-06 21:14:19.639747,3
2026-03-06 21:14:19.686402,3
2026-03-06 21:14:19.686438,3
2026-03-06 21:14:19.741439,3
2026-03-06 21:14:19.741458,3
2026-03-06 21:14:19.788686,3
2026-03-06 21:14:19.788708,3
2026-03-06 21:14:19.843719,3
2026-03-06 21:14:19.843736,3
2026-03-06 21:14:19.890047,3
2026-03-06 21:14:19.890062,3
2026-03-06 21:14:19.945632,3
2026-03-06 21:14:19.945667,3
2026-03-06 21:14:19.992847,3
2026-03-06 21:14:19.992898,3
2026-03-06 21:14:20.047559,3
2026-03-06 21:14:20.047597,3
2026-03-06 21:14:20.094024,3
2026-03-06 21:14:20.094037,3
2026-03-06 21:14:20.149474,3
2026-03-06 21:14:20.149492,3
2026-03-06 21:14:20.196422,3
2026-03-06 21:14:20.196441,3
2026-03-06 21:14:20.251227,3
2026-03-06 21:14:20.251242,3
2026-03-06 21:14:20.29844,3
2026-03-06 21:14:20.298456,3
2026-03-06 21:14:20.353457,3
2026-03-06 21:14:20.353473,3
2026-03-06 21:14:20.400429,3
2026-03-06 21:14:20.400442,3
2026-03-06 21:14:20.455772,3
2026-03-06 21:14:20.455786,3
2026-03-06 21:14:20.502217,3
2026-03-06 21:14:20.50223,3
2026-03-06 21:14:20.557458,3
2026-03-06 21:14:20.557478,3
2026-03-06 21:14:20.604504,3
2026-03-06 21:14:20.604522,3
2026-03-06 21:14:20.659135,3
2026-03-06 21:14:20.659147,3
2026-03-06 21:14:20.706268,3
2026-03-06 21:14:20.706281,3
2026-03-06 21:14:20.76171,3
2026-03-06 21:14:20.761724,3
2026-03-06 21:14:20.808761,3
2026-03-06 21:14:20.808776,3
2026-03-06 21:14:20.863316,3
2026-03-06 21:14:20.86333,3
2026-03-06 21:14:20.910214,3
2026-03-06 21:14:20.910227,3
2026-03-06 21:14:20.965687,3
2026-03-06 21:14:20.965702,3
2026-03-06 21:14:21.012418,3
2026-03-06 21:14:21.012431,3
2026-03-06 21:14:21.067239,3
2026-03-06 21:14:21.06726,3
2026-03-06 21:14:21.114551,3
2026-03-06 21:14:21.114573,3
2026-03-06 21:14:21.169779,3
2026-03-06 21:14:21.16982,3
2026-03-06 21:14:21.216216,3
2026-03-06 21:14:21.216237,3
2026-03-06 21:14:21.271664,3
2026-03-06 21:14:21.271681,3
2026-03-06 21:14:21.318307,3
2026-03-06 21:14:21.318334,3
2026-03-06 21:14:21.373485,3
2026-03-06 21:14:21.373509,3
2026-03-06 21:14:21.420302,3
2026-03-06 21:14:21.420326,3
2026-03-06 21:14:21.475542,3
2026-03-06 21:14:21.475569,3
2026-03-06 21:14:21.522549,3
2026-03-06 21:14:21.522582,3
2026-03-06 21:14:21.577354,3
2026-03-06 21:14:21.577375,3
2026-03-06 21:14:21.624367,3
2026-03-06 21:14:21.6244,3
2026-03-06 21:14:21.679477,3
2026-03-06 21:14:21.679506,3
2026-03-06 21:14:21.726098,3
2026-03-06 21:14:21.726122,3
2026-03-06 21:14:21.781807,3
2026-03-06 21:14:21.781837,3
2026-03-06 21:14:21.828169,3
2026-03-06 21:14:21.8282,3
2026-03-06 21:14:21.883282,3
2026-03-06 21:14:21.883298,3
2026-03-06 21:14:21.930362,3
2026-03-06 21:14:21.930386,3
2026-03-06 21:14:21.985865,3
2026-03-06 21:14:21.985892,3
2026-03-06 21:14:22.032604,3
2026-03-06 21:14:22.032633,3
2026-03-06 21:14:22.087875,3
2026-03-06 21:14:22.087912,3
2026-03-06 21:14:22.134445,3
2026-03-06 21:14:22.134477,3
2026-03-06 21:14:22.189666,3
2026-03-06 21:14:22.1897,3
2026-03-06 21:14:22.236448,3
2026-03-06 21:14:22.236472,3
2026-03-06 21:14:22.291487,3
2026-03-06 21:14:22.291517,3
2026-03-06 21:14:22.33821,3
2026-03-06 21:14:22.338232,3
2026-03-06 21:14:22.393569,3
2026-03-06 21:14:22.393612,3
2026-03-06 21:14:22.440377,3
2026-03-06 21:14:22.440412,3
2026-03-06 21:14:22.495556,3
2026-03-06 21:14:22.495592,3
2026-03-06 21:14:22.54249,3
2026-03-06 21:14:22.542515,3
2026-03-06 21:14:22.597782,3
2026-03-06 21:14:22.597808,3
2026-03-06 21:14:22.64461,3
2026-03-06 21:14:22.644627,3
2026-03-06 21:14:22.69963,3
2026-03-06 21:14:22.699644,3
2026-03-06 21:14:22.746335,3
2026-03-06 21:14:22.746352,3
2026-03-06 21:14:22.801475,3
2026-03-06 21:14:22.80151,3
2026-03-06 21:14:22.848281,3
2026-03-06 21:14:22.848294,3
2026-03-06 21:14:22.903659,3
2026-03-06 21:14:22.903681,3
2026-03-06 21:14:22.950417,3
2026-03-06 21:14:22.95043,3
2026-03-06 21:14:23.005311,3
2026-03-06 21:14:23.00532,3
2026-03-06 21:14:23.052298,3
2026-03-06 21:14:23.052314,3
2026-03-06 21:14:23.107695,3
2026-03-06 21:14:23.107712,3
2026-03-06 21:14:23.154343,3
2026-03-06 21:14:23.154361,3
2026-03-06 21:14:23.209383,3
2026-03-06 21:14:23.209403,3
2026-03-06 21:14:23.256246,3
2026-03-06 21:14:23.25626,3
2026-03-06 21:14:23.311589,3
2026-03-06 21:14:23.311605,3
2026-03-06 21:14:23.358111,3
2026-03-06 21:14:23.358124,3
2026-03-06 21:14:23.413358,3
2026-03-06 21:14:23.413374,3
2026-03-06 21:14:23.460338,3
2026-03-06 21:14:23.460355,3
2026-03-06 21:14:23.515427,3
2026-03-06 21:14:23.515437,3
2026-03-06 21:14:23.562556,3
2026-03-06 21:14:23.562572,3
2026-03-06 21:14:23.617836,3
2026-03-06 21:14:23.61786,3
2026-03-06 21:14:23.664563,3
2026-03-06 21:14:23.664588,3
2026-03-06 21:14:23.719447,3
2026-03-06 21:14:23.719478,3
2026-03-06 21:14:23.766504,3
2026-03-06 21:14:23.766518,3
2026-03-06 21:14:23.821607,3
2026-03-06 21:14:23.821623,3
2026-03-06 21:14:23.868233,3
2026-03-06 21:14:23.868263,3
2026-03-06 21:14:23.923841,3
2026-03-06 21:14:23.923854,3
2026-03-06 21:14:23.97049,3
2026-03-06 21:14:23.970515,3
2026-03-06 21:14:24.026416,3
2026-03-06 21:14:24.026442,3
2026-03-06 21:14:24.07212,3
2026-03-06 21:14:24.072149,3
2026-03-06 21:14:24.127895,3
2026-03-06 21:14:24.127912,3
2026-03-06 21:14:24.174193,3
2026-03-06 21:14:24.174212,3
2026-03-06 21:14:24.229491,3
2026-03-06 21:14:24.229507,3
2026-03-06 21:14:24.276175,3
2026-03-06 21:14:24.27619,3
2026-03-06 21:14:24.331361,3
2026-03-06 21:14:24.331381,3
2026-03-06 21:14:24.378483,3
2026-03-06 21:14:24.378509,3
2026-03-06 21:14:24.433637,3
2026-03-06 21:14:24.433654,3
2026-03-06 21:14:24.480546,3
2026-03-06 21:14:24.480571,3
