time,PT_Cal.Ox_Upstream.channel_id
2026-03-06 21:14:19.0927,5
2026-03-06 21:14:19.092813,5
2026-03-06 21:14:19.093187,5
2026-03-06 21:14:19.202965,5
2026-03-06 21:14:19.20339,5
2026-03-06 21:14:19.31208,5
2026-03-06 21:14:19.31215,5
2026-03-06 21:14:19.312211,5
2026-03-06 21:14:19.420957,5
2026-03-06 21:14:19.421123,5
2026-03-06 21:14:19.421459,5
2026-03-06 21:14:19.529595,5
2026-03-06 21:14:19.529676,5
2026-03-06 21:14:19.529754,5
2026-03-06 21:14:19.529845,5
2026-03-06 21:14:19.529979,5
2026-03-06 21:14:19.639538,5
2026-03-06 21:14:19.639952,5
2026-03-06 21:14:19.64036,5
2026-03-06 21:14:19.641155,5
2026-03-06 21:14:19.642788,5
2026-03-06 21:14:19.748037,5
2026-03-06 21:14:19.748298,5
2026-03-06 21:14:19.74859,5
2026-03-06 21:14:19.748711,5
2026-03-06 21:14:19.748977,5
2026-03-06 21:14:19.857385,5
2026-03-06 21:14:19.857628,5
2026-03-06 21:14:19.857891,5
2026-03-06 21:14:19.858077,5
2026-03-06 21:14:19.858209,5
2026-03-06 21:14:19.966056,5
2026-03-06 21:14:19.966453,5
2026-03-06 21:14:19.966861,5
2026-03-06 21:14:19.967142,5
2026-03-06 21:14:19.967403,5
2026-03-06 21:14:19.967643,5
2026-03-06 21:14:20.074844,5
2026-03-06 21:14:20.074887,5
2026-03-06 21:14:20.074959,5
2026-03-06 21:14:20.075038,5
2026-03-06 21:14:20.075114,5
2026-03-06 21:14:20.075205,5
2026-03-06 21:14:20.075281,5
2026-03-06 21:14:20.075359,5
2026-03-06 21:14:20.075732,5
2026-03-06 21:14:20.183605,5
2026-03-06 21:14:20.183653,5
2026-03-06 21:14:20.183748,5
2026-03-06 21:14:20.183823,5
2026-03-06 21:14:20.183904,5
2026-03-06 21:14:20.183904,5
2026-03-06 21:14:20.292665,5
2026-03-06 21:14:20.292749,5
2026-03-06 21:14:20.29283,5
2026-03-06 21:14:20.292917,5
2026-03-06 21:14:20.293011,5
2026-03-06 21:14:20.293317,5
2026-03-06 21:14:20.40132,5
2026-03-06 21:14:20.401403,5
2026-03-06 21:14:20.401614,5
2026-03-06 21:14:20.402153,5
2026-03-06 21:14:20.510683,5
2026-03-06 21:14:20.510757,5
2026-03-06 21:14:20.510857,5
2026-03-06 21:14:20.510964,5
2026-03-06 21:14:20.511074,5
2026-03-06 21:14:20.511094,5
2026-03-06 21:14:20.619492,5
2026-03-06 21:14:20.61954,5
2026-03-06 21:14:20.619595,5
2026-03-06 21:14:20.619735,5
2026-03-06 21:14:20.61991,5
2026-03-06 21:14:20.619959,5
2026-03-06 21:14:20.619997,5
2026-03-06 21:14:20.728571,5
2026-03-06 21:14:20.728664,5
2026-03-06 21:14:20.728751,5
2026-03-06 21:14:20.728851,5
2026-03-06 21:14:20.729822,5
2026-03-06 21:14:20.837789,5
2026-03-06 21:14:20.837845,5
2026-03-06 21:14:20.837886,5
2026-03-06 21:14:20.837931,5
2026-03-06 21:14:20.837995,5
2026-03-06 21:14:20.838075,5
2026-03-06 21:14:20.838102,5
2026-03-06 21:14:20.838175,5
2026-03-06 21:14:20.838261,5
2026-03-06 21:14:20.83835,5
2026-03-06 21:14:20.946823,5
2026-03-06 21:14:20.946979,5
2026-03-06 21:14:20.947066,5
2026-03-06 21:14:20.94719,5
2026-03-06 21:14:20.947259,5
2026-03-06 21:14:20.947299,5
2026-03-06 21:14:20.947433,5
2026-03-06 21:14:21.055742,5
2026-03-06 21:14:21.055835,5
2026-03-06 21:14:21.055898,5
2026-03-06 21:14:21.05602,5
2026-03-06 21:14:21.056207,5
2026-03-06 21:14:21.05626,5
2026-03-06 21:14:21.056441,5
2026-03-06 21:14:21.165307,5
2026-03-06 21:14:21.165578,5
2026-03-06 21:14:21.165858,5
2026-03-06 21:14:21.166202,5
2026-03-06 21:14:21.166361,5
2026-03-06 21:14:21.167142,5
2026-03-06 21:14:21.275125,5
2026-03-06 21:14:21.275398,5
2026-03-06 21:14:21.275672,5
2026-03-06 21:14:21.275988,5
2026-03-06 21:14:21.275989,5
2026-03-06 21:14:21.276229,5
2026-03-06 21:14:21.383106,5
2026-03-06 21:14:21.383355,5
2026-03-06 21:14:21.383578,5
2026-03-06 21:14:21.383831,5
2026-03-06 21:14:21.384324,5
2026-03-06 21:14:21.492756,5
2026-03-06 21:14:21.492895,5
2026-03-06 21:14:21.492939,5
2026-03-06 21:14:21.4932,5
2026-03-06 21:14:21.49382,5
2026-03-06 21:14:21.494675,5
2026-03-06 21:14:21.49481,5
2026-03-06 21:14:21.495097,5
2026-03-06 21:14:21.495418,5
2026-03-06 21:14:21.601293,5
2026-03-06 21:14:21.601513,5
2026-03-06 21:14:21.601745,5
2026-03-06 21:14:21.601941,5
2026-03-06 21:14:21.601977,5
2026-03-06 21:14:21.602243,5
2026-03-06 21:14:21.602513,5
2026-03-06 21:14:21.710524,5
2026-03-06 21:14:21.710916,5
2026-03-06 21:14:21.711354,5
2026-03-06 21:14:21.711551,5
2026-03-06 21:14:21.711705,5
2026-03-06 21:14:21.711742,5
2026-03-06 21:14:21.711945,5
2026-03-06 21:14:21.712154,5
2026-03-06 21:14:21.818896,5
2026-03-06 21:14:21.81915,5
2026-03-06 21:14:21.81944,5
2026-03-06 21:14:21.819638,5
2026-03-06 21:14:21.819708,5
2026-03-06 21:14:21.927916,5
2026-03-06 21:14:21.928102,5
2026-03-06 21:14:21.928309,5
2026-03-06 21:14:21.928504,5
2026-03-06 21:14:21.928572,5
2026-03-06 21:14:21.928685,5
2026-03-06 21:14:22.036956,5
2026-03-06 21:14:22.037227,5
2026-03-06 21:14:22.037469,5
2026-03-06 21:14:22.037715,5
2026-03-06 21:14:22.037969,5
2026-03-06 21:14:22.038292,5
2026-03-06 21:14:22.038293,5
2026-03-06 21:14:22.145652,5
2026-03-06 21:14:22.145789,5
2026-03-06 21:14:22.145994,5
2026-03-06 21:14:22.146289,5
2026-03-06 21:14:22.146526,5
2026-03-06 21:14:22.146555,5
2026-03-06 21:14:22.254975,5
2026-03-06 21:14:22.255397,5
2026-03-06 21:14:22.255691,5
2026-03-06 21:14:22.256006,5
2026-03-06 21:14:22.256384,5
2026-03-06 21:14:22.256465,5
2026-03-06 21:14:22.256723,5
2026-03-06 21:14:22.257013,5
2026-03-06 21:14:22.364107,5
2026-03-06 21:14:22.364356,5
2026-03-06 21:14:22.364584,5
2026-03-06 21:14:22.364817,5
2026-03-06 21:14:22.365058,5
2026-03-06 21:14:22.365173,5
2026-03-06 21:14:22.473152,5
2026-03-06 21:14:22.473396,5
2026-03-06 21:14:22.47361,5
2026-03-06 21:14:22.473813,5
2026-03-06 21:14:22.47403,5
2026-03-06 21:14:22.474296,5
2026-03-06 21:14:22.474575,5
2026-03-06 21:14:22.582128,5
2026-03-06 21:14:22.582252,5
2026-03-06 21:14:22.582371,5
2026-03-06 21:14:22.582526,5
2026-03-06 21:14:22.582586,5
2026-03-06 21:14:22.582646,5
2026-03-06 21:14:22.582679,5
2026-03-06 21:14:22.582801,5
2026-03-06 21:14:22.690676,5
2026-03-06 21:14:22.690725,5
2026-03-06 21:14:22.690743,5
2026-03-06 21:14:22.690779,5
2026-03-06 21:14:22.690806,5
2026-03-06 21:14:22.690947,5
2026-03-06 21:14:22.691112,5
2026-03-06 21:14:22.799774,5
2026-03-06 21:14:22.799827,5
2026-03-06 21:14:22.799873,5
2026-03-06 21:14:22.799927,5
2026-03-06 21:14:22.800005,5
2026-03-06 21:14:22.800086,5
2026-03-06 21:14:22.800176,5
2026-03-06 21:14:22.800256,5
2026-03-06 21:14:22.80044,5
2026-03-06 21:14:22.909193,5
2026-03-06 21:14:22.909249,5
2026-03-06 21:14:22.909314,5
2026-03-06 21:14:22.909385,5
2026-03-06 21:14:22.909461,5
2026-03-06 21:14:22.909542,5
2026-03-06 21:14:22.909618,5
2026-03-06 21:14:22.909792,5
2026-03-06 21:14:23.017925,5
2026-03-06 21:14:23.017994,5
2026-03-06 21:14:23.018046,5
2026-03-06 21:14:23.018092,5
