time,TC.CH5.sample_ts_ms
2026-03-06 21:14:18.316577,10878132
2026-03-06 21:14:18.316592,10878146
2026-03-06 21:14:18.316596,10878160
2026-03-06 21:14:18.316601,10879146
2026-03-06 21:14:18.316605,10879160
2026-03-06 21:14:18.316609,10879174
2026-03-06 21:14:18.316614,10879188
2026-03-06 21:14:18.316618,10879202
2026-03-06 21:14:18.316622,10879216
2026-03-06 21:14:18.316992,10879235
2026-03-06 21:14:18.316998,10879249
2026-03-06 21:14:18.317002,10879263
2026-03-06 21:14:18.317007,10879277
2026-03-06 21:14:18.317011,10879291
2026-03-06 21:14:18.317015,10879305
2026-03-06 21:14:18.31702,10879319
2026-03-06 21:14:18.317024,10879333
2026-03-06 21:14:18.317029,10879347
2026-03-06 21:14:18.318378,10879362
2026-03-06 21:14:18.318384,10879376
2026-03-06 21:14:18.318389,10879390
2026-03-06 21:14:18.318393,10879404
2026-03-06 21:14:18.318398,10879418
2026-03-06 21:14:18.318402,10879432
2026-03-06 21:14:18.318406,10879446
2026-03-06 21:14:18.318411,10879460
2026-03-06 21:14:18.318415,10879474
2026-03-06 21:14:18.319598,10879489
2026-03-06 21:14:18.319604,10879503
2026-03-06 21:14:18.319608,10879517
2026-03-06 21:14:18.319613,10879531
2026-03-06 21:14:18.319617,10879545
2026-03-06 21:14:18.319621,10879559
2026-03-06 21:14:18.319626,10879573
2026-03-06 21:14:18.31963,10879587
2026-03-06 21:14:18.319634,10879601
2026-03-06 21:14:18.3557,10879616
2026-03-06 21:14:18.355708,10879630
2026-03-06 21:14:18.355712,10879644
2026-03-06 21:14:18.355716,10879658
2026-03-06 21:14:18.35572,10879672
2026-03-06 21:14:18.355724,10879686
2026-03-06 21:14:18.355729,10879700
2026-03-06 21:14:18.355733,10879714
2026-03-06 21:14:18.355737,10879728
2026-03-06 21:14:18.482351,10879743
2026-03-06 21:14:18.482358,10879757
2026-03-06 21:14:18.482362,10879771
2026-03-06 21:14:18.482367,10879785
2026-03-06 21:14:18.482372,10879799
2026-03-06 21:14:18.482376,10879813
2026-03-06 21:14:18.48238,10879827
2026-03-06 21:14:18.482385,10879841
2026-03-06 21:14:18.482389,10879855
2026-03-06 21:14:18.609346,10879870
2026-03-06 21:14:18.609356,10879884
2026-03-06 21:14:18.609362,10879898
2026-03-06 21:14:18.609369,10879912
2026-03-06 21:14:18.609375,10879926
2026-03-06 21:14:18.609381,10879940
2026-03-06 21:14:18.609388,10879954
2026-03-06 21:14:18.609394,10879968
2026-03-06 21:14:18.6094,10879982
2026-03-06 21:14:18.736468,10879997
2026-03-06 21:14:18.736475,10880011
2026-03-06 21:14:18.736479,10880025
2026-03-06 21:14:18.736484,10880039
2026-03-06 21:14:18.736489,10880053
2026-03-06 21:14:18.736506,10880067
2026-03-06 21:14:18.736511,10880081
2026-03-06 21:14:18.736515,10880095
2026-03-06 21:14:18.73652,10880109
2026-03-06 21:14:18.864494,10880124
2026-03-06 21:14:18.864505,10880139
2026-03-06 21:14:18.864512,10880153
2026-03-06 21:14:18.864518,10880167
2026-03-06 21:14:18.864525,10880181
2026-03-06 21:14:18.864531,10880195
2026-03-06 21:14:18.864538,10880209
2026-03-06 21:14:18.864544,10880223
2026-03-06 21:14:18.864549,10880237
2026-03-06 21:14:18.995384,10880256
2026-03-06 21:14:18.995393,10880270
