time,PT.GSE_Mid.status
2026-03-06 21:14:18.316105,0
2026-03-06 21:14:18.316173,0
2026-03-06 21:14:18.316188,0
2026-03-06 21:14:18.316202,0
2026-03-06 21:14:18.316216,0
2026-03-06 21:14:18.31623,0
2026-03-06 21:14:18.316247,0
2026-03-06 21:14:18.316261,0
2026-03-06 21:14:18.31642,0
2026-03-06 21:14:18.31675,0
2026-03-06 21:14:18.316757,0
2026-03-06 21:14:18.316765,0
2026-03-06 21:14:18.316771,0
2026-03-06 21:14:18.316778,0
2026-03-06 21:14:18.316785,0
2026-03-06 21:14:18.316792,0
2026-03-06 21:14:18.3168,0
2026-03-06 21:14:18.316806,0
2026-03-06 21:14:18.317035,0
2026-03-06 21:14:18.317044,0
2026-03-06 21:14:18.317051,0
2026-03-06 21:14:18.317058,0
2026-03-06 21:14:18.317064,0
2026-03-06 21:14:18.317071,0
2026-03-06 21:14:18.317078,0
2026-03-06 21:14:18.317084,0
2026-03-06 21:14:18.317092,0
2026-03-06 21:14:18.318301,0
2026-03-06 21:14:18.318313,0
2026-03-06 21:14:18.318321,0
2026-03-06 21:14:18.318329,0
2026-03-06 21:14:18.318336,0
2026-03-06 21:14:18.318345,0
2026-03-06 21:14:18.318352,0
2026-03-06 21:14:18.318359,0
2026-03-06 21:14:18.318365,0
2026-03-06 21:14:18.319299,0
2026-03-06 21:14:18.319307,0
2026-03-06 21:14:18.319314,0
2026-03-06 21:14:18.319321,0
2026-03-06 21:14:18.319329,0
2026-03-06 21:14:18.319336,0
2026-03-06 21:14:18.319343,0
2026-03-06 21:14:18.31935,0
2026-03-06 21:14:18.319357,0
2026-03-06 21:14:18.319669,0
2026-03-06 21:14:18.319677,0
2026-03-06 21:14:18.319685,0
2026-03-06 21:14:18.319692,0
2026-03-06 21:14:18.319699,0
2026-03-06 21:14:18.319706,0
2026-03-06 21:14:18.319713,0
2026-03-06 21:14:18.31972,0
2026-03-06 21:14:18.319727,0
2026-03-06 21:14:18.396688,0
