time,ACT.GSE_High_Press_Control.status
2026-03-06 21:14:18.309408,0
2026-03-06 21:14:18.309692,0
2026-03-06 21:14:18.310526,0
2026-03-06 21:14:18.310588,0
2026-03-06 21:14:18.310637,0
2026-03-06 21:14:18.311401,0
2026-03-06 21:14:18.312079,0
2026-03-06 21:14:18.312141,0
2026-03-06 21:14:18.312198,0
2026-03-06 21:14:18.312244,0
2026-03-06 21:14:18.312292,0
2026-03-06 21:14:18.31295,0
2026-03-06 21:14:18.313015,0
2026-03-06 21:14:18.313064,0
2026-03-06 21:14:18.313112,0
2026-03-06 21:14:18.31381,0
2026-03-06 21:14:18.313876,0
2026-03-06 21:14:18.314514,0
2026-03-06 21:14:18.314578,0
2026-03-06 21:14:18.316435,0
2026-03-06 21:14:18.316628,0
2026-03-06 21:14:18.316813,0
2026-03-06 21:14:18.31696,0
2026-03-06 21:14:18.317175,0
2026-03-06 21:14:18.317233,0
2026-03-06 21:14:18.318426,0
2026-03-06 21:14:18.319245,0
2026-03-06 21:14:18.319457,0
2026-03-06 21:14:18.319639,0
2026-03-06 21:14:18.319735,0
2026-03-06 21:14:18.360156,0
2026-03-06 21:14:18.41548,0
2026-03-06 21:14:18.462187,0
2026-03-06 21:14:18.517409,0
2026-03-06 21:14:18.564529,0
2026-03-06 21:14:18.619168,0
2026-03-06 21:14:18.66594,0
2026-03-06 21:14:18.72123,0
2026-03-06 21:14:18.768294,0
2026-03-06 21:14:18.823547,0
2026-03-06 21:14:18.870309,0
2026-03-06 21:14:18.925363,0
2026-03-06 21:14:18.972179,0
2026-03-06 21:14:19.027628,0
2026-03-06 21:14:19.074154,0
2026-03-06 21:14:19.129191,0
2026-03-06 21:14:19.17645,0
2026-03-06 21:14:19.231421,0
2026-03-06 21:14:19.278311,0
2026-03-06 21:14:19.333756,0
2026-03-06 21:14:19.380061,0
2026-03-06 21:14:19.435149,0
2026-03-06 21:14:19.482106,0
2026-03-06 21:14:19.5373,0
2026-03-06 21:14:19.584634,0
2026-03-06 21:14:19.639713,0
2026-03-06 21:14:19.686402,0
2026-03-06 21:14:19.741439,0
2026-03-06 21:14:19.788686,0
2026-03-06 21:14:19.843719,0
2026-03-06 21:14:19.890047,0
2026-03-06 21:14:19.945632,0
2026-03-06 21:14:19.992847,0
2026-03-06 21:14:20.047559,0
2026-03-06 21:14:20.094024,0
2026-03-06 21:14:20.149474,0
2026-03-06 21:14:20.196422,0
2026-03-06 21:14:20.251227,0
2026-03-06 21:14:20.29844,0
2026-03-06 21:14:20.353457,0
2026-03-06 21:14:20.400429,0
2026-03-06 21:14:20.455772,0
2026-03-06 21:14:20.502217,0
2026-03-06 21:14:20.557458,0
2026-03-06 21:14:20.604504,0
2026-03-06 21:14:20.659135,0
2026-03-06 21:14:20.706268,0
2026-03-06 21:14:20.76171,0
2026-03-06 21:14:20.808761,0
2026-03-06 21:14:20.863316,0
2026-03-06 21:14:20.910214,0
2026-03-06 21:14:20.965687,0
2026-03-06 21:14:21.012418,0
2026-03-06 21:14:21.067239,0
2026-03-06 21:14:21.114551,0
2026-03-06 21:14:21.169779,0
2026-03-06 21:14:21.216216,0
2026-03-06 21:14:21.271664,0
2026-03-06 21:14:21.318307,0
2026-03-06 21:14:21.373485,0
2026-03-06 21:14:21.420302,0
2026-03-06 21:14:21.475542,0
2026-03-06 21:14:21.522549,0
2026-03-06 21:14:21.577354,0
2026-03-06 21:14:21.624367,0
2026-03-06 21:14:21.679477,0
2026-03-06 21:14:21.726098,0
2026-03-06 21:14:21.781807,0
2026-03-06 21:14:21.828169,0
2026-03-06 21:14:21.883282,0
2026-03-06 21:14:21.930362,0
2026-03-06 21:14:21.985865,0
2026-03-06 21:14:22.032604,0
2026-03-06 21:14:22.087875,0
2026-03-06 21:14:22.134445,0
2026-03-06 21:14:22.189666,0
2026-03-06 21:14:22.236448,0
2026-03-06 21:14:22.291487,0
2026-03-06 21:14:22.33821,0
2026-03-06 21:14:22.393569,0
2026-03-06 21:14:22.440377,0
2026-03-06 21:14:22.495556,0
2026-03-06 21:14:22.54249,0
2026-03-06 21:14:22.597782,0
2026-03-06 21:14:22.64461,0
2026-03-06 21:14:22.69963,0
2026-03-06 21:14:22.746335,0
2026-03-06 21:14:22.801475,0
2026-03-06 21:14:22.848281,0
2026-03-06 21:14:22.903659,0
2026-03-06 21:14:22.950417,0
2026-03-06 21:14:23.005311,0
2026-03-06 21:14:23.052298,0
2026-03-06 21:14:23.107695,0
2026-03-06 21:14:23.154343,0
2026-03-06 21:14:23.209383,0
2026-03-06 21:14:23.256246,0
2026-03-06 21:14:23.311589,0
2026-03-06 21:14:23.358111,0
2026-03-06 21:14:23.413358,0
2026-03-06 21:14:23.460338,0
2026-03-06 21:14:23.515427,0
2026-03-06 21:14:23.562556,0
2026-03-06 21:14:23.617836,0
2026-03-06 21:14:23.664563,0
2026-03-06 21:14:23.719447,0
2026-03-06 21:14:23.766504,0
2026-03-06 21:14:23.821607,0
2026-03-06 21:14:23.868233,0
2026-03-06 21:14:23.923841,0
2026-03-06 21:14:23.97049,0
2026-03-06 21:14:24.026416,0
2026-03-06 21:14:24.07212,0
2026-03-06 21:14:24.127895,0
2026-03-06 21:14:24.174193,0
2026-03-06 21:14:24.229491,0
2026-03-06 21:14:24.276175,0
2026-03-06 21:14:24.331361,0
2026-03-06 21:14:24.378483,0
2026-03-06 21:14:24.433637,0
2026-03-06 21:14:24.480546,0
2026-03-06 21:14:24.535405,0
2026-03-06 21:14:24.582093,0
2026-03-06 21:14:24.63773,0
2026-03-06 21:14:24.684512,0
2026-03-06 21:14:24.739671,0
2026-03-06 21:14:24.786441,0
2026-03-06 21:14:24.841258,0
2026-03-06 21:14:24.888377,0
2026-03-06 21:14:24.943582,0
2026-03-06 21:14:24.990351,0
2026-03-06 21:14:25.045831,0
2026-03-06 21:14:25.092503,0
2026-03-06 21:14:25.147304,0
2026-03-06 21:14:25.194455,0
2026-03-06 21:14:25.249532,0
2026-03-06 21:14:25.29633,0
2026-03-06 21:14:25.35142,0
2026-03-06 21:14:25.398711,0
2026-03-06 21:14:25.453318,0
2026-03-06 21:14:25.500348,0
2026-03-06 21:14:25.55571,0
2026-03-06 21:14:25.602618,0
2026-03-06 21:14:25.657759,0
2026-03-06 21:14:25.704371,0
2026-03-06 21:14:25.759366,0
2026-03-06 21:14:25.806392,0
2026-03-06 21:14:25.861344,0
2026-03-06 21:14:25.908286,0
2026-03-06 21:14:25.963328,0
2026-03-06 21:14:26.010116,0
2026-03-06 21:14:26.065745,0
2026-03-06 21:14:26.112643,0
2026-03-06 21:14:26.167411,0
2026-03-06 21:14:26.214284,0
2026-03-06 21:14:26.26964,0
2026-03-06 21:14:26.316561,0
2026-03-06 21:14:26.371882,0
2026-03-06 21:14:26.418561,0
2026-03-06 21:14:26.473306,0
2026-03-06 21:14:26.520185,0
2026-03-06 21:14:26.575733,0
2026-03-06 21:14:26.622597,0
2026-03-06 21:14:26.677266,0
2026-03-06 21:14:26.724619,0
2026-03-06 21:14:26.77983,0
2026-03-06 21:14:26.826544,0
2026-03-06 21:14:26.881342,0
2026-03-06 21:14:26.928266,0
2026-03-06 21:14:26.983693,0
2026-03-06 21:14:27.030743,0
2026-03-06 21:14:27.08556,0
2026-03-06 21:14:27.132442,0
2026-03-06 21:14:27.187742,0
2026-03-06 21:14:27.234391,0
2026-03-06 21:14:27.289423,0
2026-03-06 21:14:27.336408,0
2026-03-06 21:14:27.391313,0
2026-03-06 21:14:27.438546,0
2026-03-06 21:14:27.493567,0
2026-03-06 21:14:27.540258,0
2026-03-06 21:14:27.59665,0
2026-03-06 21:14:27.642657,0
2026-03-06 21:14:27.697532,0
2026-03-06 21:14:27.744556,0
2026-03-06 21:14:27.799319,0
2026-03-06 21:14:27.846641,0
2026-03-06 21:14:27.901739,0
