time,ACT.LOX_Dump.actuator_state
2026-03-06 21:14:18.309596,0
2026-03-06 21:14:18.309711,0
2026-03-06 21:14:18.310546,0
2026-03-06 21:14:18.310607,0
2026-03-06 21:14:18.310656,0
2026-03-06 21:14:18.31142,0
2026-03-06 21:14:18.312098,0
2026-03-06 21:14:18.312165,0
2026-03-06 21:14:18.312217,0
2026-03-06 21:14:18.312263,0
2026-03-06 21:14:18.312311,0
2026-03-06 21:14:18.312969,0
2026-03-06 21:14:18.313033,0
2026-03-06 21:14:18.313083,0
2026-03-06 21:14:18.313131,0
2026-03-06 21:14:18.313828,0
2026-03-06 21:14:18.313895,0
2026-03-06 21:14:18.314533,0
2026-03-06 21:14:18.314597,0
2026-03-06 21:14:18.316452,0
2026-03-06 21:14:18.316639,0
2026-03-06 21:14:18.316824,0
2026-03-06 21:14:18.316971,0
2026-03-06 21:14:18.317186,0
2026-03-06 21:14:18.317243,0
2026-03-06 21:14:18.31845,0
2026-03-06 21:14:18.319262,0
2026-03-06 21:14:18.319468,0
2026-03-06 21:14:18.31965,0
2026-03-06 21:14:18.319745,0
2026-03-06 21:14:18.3602,0
2026-03-06 21:14:18.415519,0
2026-03-06 21:14:18.462226,0
2026-03-06 21:14:18.517446,0
2026-03-06 21:14:18.564564,0
2026-03-06 21:14:18.619199,0
2026-03-06 21:14:18.665969,0
2026-03-06 21:14:18.721258,0
2026-03-06 21:14:18.768323,0
2026-03-06 21:14:18.823587,0
2026-03-06 21:14:18.87036,0
2026-03-06 21:14:18.925407,0
2026-03-06 21:14:18.972212,0
2026-03-06 21:14:19.027667,0
2026-03-06 21:14:19.074209,0
2026-03-06 21:14:19.129308,0
2026-03-06 21:14:19.176544,0
2026-03-06 21:14:19.231521,0
2026-03-06 21:14:19.27837,0
2026-03-06 21:14:19.333811,0
2026-03-06 21:14:19.380115,0
2026-03-06 21:14:19.435306,0
2026-03-06 21:14:19.482248,0
2026-03-06 21:14:19.537379,0
2026-03-06 21:14:19.584802,0
2026-03-06 21:14:19.639968,0
2026-03-06 21:14:19.686631,0
2026-03-06 21:14:19.741581,0
2026-03-06 21:14:19.78886,0
2026-03-06 21:14:19.843846,0
2026-03-06 21:14:19.890151,0
2026-03-06 21:14:19.945865,0
2026-03-06 21:14:19.993185,0
2026-03-06 21:14:20.047705,0
2026-03-06 21:14:20.094124,0
2026-03-06 21:14:20.149602,0
2026-03-06 21:14:20.196548,0
2026-03-06 21:14:20.251336,0
2026-03-06 21:14:20.298572,0
2026-03-06 21:14:20.353579,0
2026-03-06 21:14:20.400515,0
2026-03-06 21:14:20.455887,0
2026-03-06 21:14:20.502321,0
2026-03-06 21:14:20.55758,0
2026-03-06 21:14:20.604633,0
2026-03-06 21:14:20.659251,0
2026-03-06 21:14:20.70637,0
2026-03-06 21:14:20.761811,0
2026-03-06 21:14:20.808866,0
2026-03-06 21:14:20.863424,0
2026-03-06 21:14:20.910311,0
2026-03-06 21:14:20.9658,0
2026-03-06 21:14:21.012523,0
2026-03-06 21:14:21.067408,0
2026-03-06 21:14:21.114723,0
2026-03-06 21:14:21.17005,0
2026-03-06 21:14:21.216361,0
2026-03-06 21:14:21.271783,0
2026-03-06 21:14:21.318504,0
2026-03-06 21:14:21.373662,0
2026-03-06 21:14:21.420488,0
2026-03-06 21:14:21.47575,0
2026-03-06 21:14:21.522772,0
2026-03-06 21:14:21.577512,0
2026-03-06 21:14:21.624569,0
2026-03-06 21:14:21.679735,0
2026-03-06 21:14:21.726297,0
2026-03-06 21:14:21.782019,0
2026-03-06 21:14:21.82836,0
2026-03-06 21:14:21.8834,0
2026-03-06 21:14:21.93054,0
2026-03-06 21:14:21.986066,0
2026-03-06 21:14:22.032821,0
2026-03-06 21:14:22.08819,0
2026-03-06 21:14:22.134675,0
2026-03-06 21:14:22.18989,0
2026-03-06 21:14:22.236614,0
2026-03-06 21:14:22.291711,0
2026-03-06 21:14:22.338357,0
2026-03-06 21:14:22.393815,0
2026-03-06 21:14:22.440579,0
2026-03-06 21:14:22.495811,0
2026-03-06 21:14:22.54265,0
2026-03-06 21:14:22.597965,0
2026-03-06 21:14:22.644735,0
2026-03-06 21:14:22.699739,0
2026-03-06 21:14:22.746446,0
2026-03-06 21:14:22.801606,0
2026-03-06 21:14:22.848386,0
2026-03-06 21:14:22.9038,0
2026-03-06 21:14:22.950516,0
2026-03-06 21:14:23.005381,0
2026-03-06 21:14:23.052409,0
2026-03-06 21:14:23.107845,0
2026-03-06 21:14:23.154475,0
2026-03-06 21:14:23.209517,0
2026-03-06 21:14:23.256362,0
2026-03-06 21:14:23.31177,0
2026-03-06 21:14:23.3583,0
2026-03-06 21:14:23.413486,0
2026-03-06 21:14:23.460442,0
2026-03-06 21:14:23.515506,0
2026-03-06 21:14:23.562666,0
2026-03-06 21:14:23.617989,0
2026-03-06 21:14:23.664743,0
2026-03-06 21:14:23.719669,0
2026-03-06 21:14:23.766608,0
2026-03-06 21:14:23.821743,0
2026-03-06 21:14:23.868343,0
2026-03-06 21:14:23.923956,0
2026-03-06 21:14:23.970696,0
2026-03-06 21:14:24.026612,0
2026-03-06 21:14:24.072315,0
2026-03-06 21:14:24.128003,0
2026-03-06 21:14:24.174311,0
2026-03-06 21:14:24.229599,0
2026-03-06 21:14:24.276283,0
2026-03-06 21:14:24.331502,0
2026-03-06 21:14:24.378719,0
2026-03-06 21:14:24.433789,0
2026-03-06 21:14:24.480721,0
2026-03-06 21:14:24.535631,0
2026-03-06 21:14:24.582182,0
2026-03-06 21:14:24.637936,0
2026-03-06 21:14:24.684666,0
2026-03-06 21:14:24.739891,0
2026-03-06 21:14:24.78659,0
2026-03-06 21:14:24.841377,0
2026-03-06 21:14:24.888517,0
2026-03-06 21:14:24.943742,0
2026-03-06 21:14:24.990651,0
2026-03-06 21:14:25.046017,0
2026-03-06 21:14:25.092683,0
2026-03-06 21:14:25.147496,0
2026-03-06 21:14:25.194647,0
2026-03-06 21:14:25.24962,0
2026-03-06 21:14:25.296558,0
2026-03-06 21:14:25.351587,0
2026-03-06 21:14:25.398914,0
2026-03-06 21:14:25.453461,0
2026-03-06 21:14:25.500579,0
2026-03-06 21:14:25.555891,0
2026-03-06 21:14:25.602802,0
2026-03-06 21:14:25.657911,0
2026-03-06 21:14:25.704591,0
2026-03-06 21:14:25.759487,0
2026-03-06 21:14:25.806548,0
2026-03-06 21:14:25.86149,0
2026-03-06 21:14:25.908488,0
2026-03-06 21:14:25.963474,0
2026-03-06 21:14:26.010261,0
2026-03-06 21:14:26.065889,0
