time,PT_Cal.Fuel_Downstream.pressure_psi
2026-03-06 21:14:19.092634,-1.6661755
2026-03-06 21:14:19.092806,-1.676022
2026-03-06 21:14:19.092843,-1.6271691
2026-03-06 21:14:19.092971,0.22969542
2026-03-06 21:14:19.202914,-1.7017726
2026-03-06 21:14:19.203124,0.22963205
2026-03-06 21:14:19.312047,-1.7328248
2026-03-06 21:14:19.312136,-1.6464834
2026-03-06 21:14:19.312188,-1.7343402
2026-03-06 21:14:19.312201,0.22957675
2026-03-06 21:14:19.420843,-2.0592341
2026-03-06 21:14:19.420961,0.22899556
2026-03-06 21:14:19.421319,-1.7097256
2026-03-06 21:14:19.529573,-1.7498665
2026-03-06 21:14:19.529644,-1.7142695
2026-03-06 21:14:19.529733,-1.815378
2026-03-06 21:14:19.529833,-1.5900557
2026-03-06 21:14:19.529919,0.22954641
2026-03-06 21:14:19.639422,-1.6074768
2026-03-06 21:14:19.639817,-1.7131332
2026-03-06 21:14:19.640299,-1.6385301
2026-03-06 21:14:19.64105,-1.7782677
2026-03-06 21:14:19.642439,0.22979993
2026-03-06 21:14:19.747967,-1.6631459
2026-03-06 21:14:19.748234,-1.6582223
2026-03-06 21:14:19.748522,-1.6616311
2026-03-06 21:14:19.748615,0.22970082
2026-03-06 21:14:19.748856,-1.7835691
2026-03-06 21:14:19.857319,-1.7267662
2026-03-06 21:14:19.857561,-1.6741282
2026-03-06 21:14:19.857821,-1.7714511
2026-03-06 21:14:19.857917,0.22958754
2026-03-06 21:14:19.858101,-1.6888971
2026-03-06 21:14:19.965958,-2.0891461
2026-03-06 21:14:19.966372,-1.7316892
2026-03-06 21:14:19.966672,-2.032729
2026-03-06 21:14:19.966771,0.2289423
2026-03-06 21:14:19.967036,-2.0993695
2026-03-06 21:14:19.967541,-1.6642821
2026-03-06 21:14:20.07483,-1.5169652
2026-03-06 21:14:20.074881,-1.4533391
2026-03-06 21:14:20.074938,-1.412436
2026-03-06 21:14:20.07502,-1.7210863
2026-03-06 21:14:20.075093,-1.7608478
2026-03-06 21:14:20.075184,-1.7411563
2026-03-06 21:14:20.075261,-1.6798083
2026-03-06 21:14:20.075338,-2.000544
2026-03-06 21:14:20.075421,-1.9763106
2026-03-06 21:14:20.075562,0.22996107
2026-03-06 21:14:20.183547,-1.7154057
2026-03-06 21:14:20.183645,-1.6710985
2026-03-06 21:14:20.183723,-1.7085894
2026-03-06 21:14:20.183804,-2.1050494
2026-03-06 21:14:20.183845,0.22960778
2026-03-06 21:14:20.183883,-1.7275239
2026-03-06 21:14:20.292626,-1.6586014
2026-03-06 21:14:20.292724,-1.6873828
2026-03-06 21:14:20.292809,-1.7688006
2026-03-06 21:14:20.292895,-3.3156419
2026-03-06 21:14:20.292978,-1.7438073
2026-03-06 21:14:20.293248,0.22970891
2026-03-06 21:14:20.401289,-1.7191924
2026-03-06 21:14:20.40138,-1.7438073
2026-03-06 21:14:20.401541,-1.7085894
2026-03-06 21:14:20.401589,0.22960103
2026-03-06 21:14:20.510659,-1.7063175
2026-03-06 21:14:20.510725,-2.0804377
2026-03-06 21:14:20.510818,-1.81197
2026-03-06 21:14:20.510944,-1.4298577
2026-03-06 21:14:20.510969,0.22962396
2026-03-06 21:14:20.51104,-1.750245
2026-03-06 21:14:20.619452,-1.642696
2026-03-06 21:14:20.619532,-1.6733711
2026-03-06 21:14:20.619583,-1.6987436
2026-03-06 21:14:20.619645,0.22973722
2026-03-06 21:14:20.619895,-1.8131062
2026-03-06 21:14:20.619946,-1.7445644
2026-03-06 21:14:20.619989,-1.6218675
2026-03-06 21:14:20.728538,-1.7460792
2026-03-06 21:14:20.728639,-1.7169205
2026-03-06 21:14:20.728727,-1.6665541
2026-03-06 21:14:20.728819,-1.678672
2026-03-06 21:14:20.729481,0.22955316
2026-03-06 21:14:20.837752,-1.3014647
2026-03-06 21:14:20.837834,-1.7381269
2026-03-06 21:14:20.837877,-1.3806223
2026-03-06 21:14:20.837918,-1.3779709
2026-03-06 21:14:20.837972,-1.4029671
2026-03-06 21:14:20.838044,0.23034471
2026-03-06 21:14:20.838053,-1.6036899
2026-03-06 21:14:20.838149,-1.3340367
2026-03-06 21:14:20.838234,-1.6718562
2026-03-06 21:14:20.838329,-1.6199741
2026-03-06 21:14:20.946796,-1.7313106
2026-03-06 21:14:20.946954,-1.6385301
2026-03-06 21:14:20.947041,-1.6271691
2026-03-06 21:14:20.947135,-2.9420757
2026-03-06 21:14:20.947236,0.22957945
2026-03-06 21:14:20.947266,-1.8240873
2026-03-06 21:14:20.947394,-1.651785
2026-03-06 21:14:21.055715,-1.4219044
2026-03-06 21:14:21.055816,-1.3984228
2026-03-06 21:14:21.055865,-1.7267662
2026-03-06 21:14:21.055992,-1.7445644
2026-03-06 21:14:21.056147,-1.675643
2026-03-06 21:14:21.056148,0.2301303
2026-03-06 21:14:21.056392,-1.5946008
2026-03-06 21:14:21.165215,-1.7381269
2026-03-06 21:14:21.165504,-1.7540321
2026-03-06 21:14:21.165781,-1.6623882
2026-03-06 21:14:21.165999,0.22956732
2026-03-06 21:14:21.166109,-1.7631208
2026-03-06 21:14:21.166325,-1.7161634
2026-03-06 21:14:21.275064,-1.6692052
2026-03-06 21:14:21.275322,-1.5938437
2026-03-06 21:14:21.27533,0.22969003
2026-03-06 21:14:21.275594,-2.063778
2026-03-06 21:14:21.275909,-1.4094067
