time,PT.Fuel_Upstream.status
2026-03-06 21:14:18.315417,0
2026-03-06 21:14:18.315599,0
2026-03-06 21:14:18.315614,0
2026-03-06 21:14:18.315628,0
2026-03-06 21:14:18.315643,0
2026-03-06 21:14:18.315657,0
2026-03-06 21:14:18.315671,0
2026-03-06 21:14:18.315685,0
2026-03-06 21:14:18.315699,0
2026-03-06 21:14:18.316659,0
2026-03-06 21:14:18.316674,0
2026-03-06 21:14:18.316682,0
2026-03-06 21:14:18.31669,0
2026-03-06 21:14:18.316697,0
2026-03-06 21:14:18.316706,0
2026-03-06 21:14:18.316714,0
2026-03-06 21:14:18.316721,0
2026-03-06 21:14:18.316729,0
2026-03-06 21:14:18.317096,0
2026-03-06 21:14:18.317105,0
2026-03-06 21:14:18.317113,0
2026-03-06 21:14:18.317121,0
2026-03-06 21:14:18.317129,0
2026-03-06 21:14:18.317137,0
2026-03-06 21:14:18.317145,0
2026-03-06 21:14:18.317152,0
2026-03-06 21:14:18.317164,0
2026-03-06 21:14:18.318465,0
2026-03-06 21:14:18.318487,0
2026-03-06 21:14:18.318494,0
2026-03-06 21:14:18.318503,0
2026-03-06 21:14:18.318511,0
2026-03-06 21:14:18.318518,0
2026-03-06 21:14:18.318526,0
2026-03-06 21:14:18.318534,0
2026-03-06 21:14:18.318542,0
2026-03-06 21:14:18.319513,0
2026-03-06 21:14:18.319525,0
2026-03-06 21:14:18.319533,0
2026-03-06 21:14:18.319541,0
2026-03-06 21:14:18.319548,0
2026-03-06 21:14:18.319556,0
2026-03-06 21:14:18.319564,0
2026-03-06 21:14:18.319572,0
2026-03-06 21:14:18.319579,0
2026-03-06 21:14:18.329403,0
2026-03-06 21:14:18.329434,0
2026-03-06 21:14:18.329444,0
2026-03-06 21:14:18.329452,0
2026-03-06 21:14:18.329459,0
2026-03-06 21:14:18.329467,0
2026-03-06 21:14:18.329475,0
2026-03-06 21:14:18.329483,0
2026-03-06 21:14:18.32949,0
2026-03-06 21:14:18.438143,0
2026-03-06 21:14:18.438198,0
2026-03-06 21:14:18.438206,0
2026-03-06 21:14:18.438214,0
2026-03-06 21:14:18.438222,0
2026-03-06 21:14:18.43823,0
2026-03-06 21:14:18.438237,0
2026-03-06 21:14:18.438245,0
2026-03-06 21:14:18.438253,0
2026-03-06 21:14:18.547341,0
2026-03-06 21:14:18.547397,0
2026-03-06 21:14:18.547405,0
2026-03-06 21:14:18.547413,0
2026-03-06 21:14:18.54742,0
2026-03-06 21:14:18.547428,0
2026-03-06 21:14:18.547436,0
2026-03-06 21:14:18.547444,0
2026-03-06 21:14:18.547452,0
2026-03-06 21:14:18.656313,0
2026-03-06 21:14:18.656357,0
2026-03-06 21:14:18.656366,0
2026-03-06 21:14:18.656373,0
2026-03-06 21:14:18.656381,0
2026-03-06 21:14:18.656389,0
2026-03-06 21:14:18.656397,0
2026-03-06 21:14:18.656405,0
2026-03-06 21:14:18.656412,0
2026-03-06 21:14:18.765447,0
2026-03-06 21:14:18.765493,0
2026-03-06 21:14:18.765501,0
2026-03-06 21:14:18.765509,0
2026-03-06 21:14:18.765517,0
2026-03-06 21:14:18.765525,0
2026-03-06 21:14:18.765533,0
2026-03-06 21:14:18.765541,0
2026-03-06 21:14:18.765548,0
2026-03-06 21:14:18.874562,0
2026-03-06 21:14:18.874621,0
2026-03-06 21:14:18.874631,0
2026-03-06 21:14:18.87464,0
2026-03-06 21:14:18.874651,0
2026-03-06 21:14:18.874659,0
2026-03-06 21:14:18.874667,0
